origin,target,h,as_of_utc,model,mm_forecast,mm_actual,yy_exante,yy_actual,cumulative_log_forecast,cumulative_log_actual
2019-02,2019-02,0,2019-03-10T22:59:00+00:00,FOOD_H0_FAST_R18,0.3177548805881821,0.1867413632119507,2.8136990211578414,2.6794258373205744,0.0,0.0
2019-02,2019-03,1,2019-03-10T22:59:00+00:00,FOOD_H0_FAST_R18,0.09055862604945422,0.1863932898415576,3.005375431637177,2.969348659003822,0.0905176464641945,0.18621979310646208
2019-02,2019-04,2,2019-03-10T22:59:00+00:00,FOOD_H0_FAST_R18,0.3138761683035441,0.0930232558139509,3.032614027225397,2.769818529130847,0.4039022518532268,0.2791998091031148
2019-02,2019-05,3,2019-03-10T22:59:00+00:00,FOOD_H0_FAST_R18,0.25170817441997406,0.6505576208178487,2.801024191431436,2.9467680608364977,0.6552941718288768,0.9276504370292084
2019-02,2019-06,4,2019-03-10T22:59:00+00:00,FOOD_H0_FAST_R18,0.1801744872009599,0.1846722068328699,2.596145995175366,2.7462121212121224,0.8353065395034529,1.112152334386138
2019-02,2019-07,5,2019-03-10T22:59:00+00:00,FOOD_H0_FAST_R18,0.34608913136908975,0.3686635944700533,2.7566053228597793,2.9300567107750517,1.1807981606533653,1.4801380302261997
2019-02,2019-08,6,2019-03-10T22:59:00+00:00,FOOD_H0_FAST_R18,0.057882842874308324,0.0918273645546419,2.718995869464546,2.9272898961284195,1.238664257871774,1.571923259249096
2019-02,2019-09,7,2019-03-10T22:59:00+00:00,FOOD_H0_FAST_R18,-0.07826855952889306,-0.5504587155963248,2.9301861205549753,2.6515151515151705,1.1603650525140845,1.019943936889315
2019-02,2019-10,8,2019-03-10T22:59:00+00:00,FOOD_H0_FAST_R18,0.3322262418973459,0.4612546125461358,2.882440993795638,2.735849056603792,1.4920406423025514,1.4801380302262204
2019-02,2019-11,9,2019-03-10T22:59:00+00:00,FOOD_H0_FAST_R18,0.09037032029517136,0.2754820936639035,3.072654538587506,3.116147308781873,1.5823701532083048,1.7552413674152
2019-02,2019-12,10,2019-03-10T22:59:00+00:00,FOOD_H0_FAST_R18,0.1647465912624387,0.1831501831501825,3.145064673252726,3.207547169811327,1.7469811861388123,1.938224035122816
2019-02,2020-01,11,2019-03-10T22:59:00+00:00,FOOD_H0_FAST_R18,0.8680841953446872,1.4625228519195457,2.971874620575959,3.6414565826330487,2.611319195056126,3.3901551675681305
2019-02,2020-02,12,2019-03-10T22:59:00+00:00,FOOD_H0_FAST_R18,0.3448780342643371,0.2702702702702675,2.9997153750164887,3.7278657968313063,2.955603888837187,3.660060864484629
2019-02,2019-02,0,2019-03-10T22:59:00+00:00,FOOD_H0_SLOW_R18,0.3177548805881821,0.1867413632119507,2.8136990211578414,2.6794258373205744,0.0,0.0
2019-02,2019-03,1,2019-03-10T22:59:00+00:00,FOOD_H0_SLOW_R18,0.09055862604945422,0.1863932898415576,3.005375431637177,2.969348659003822,0.0905176464641945,0.18621979310646208
2019-02,2019-04,2,2019-03-10T22:59:00+00:00,FOOD_H0_SLOW_R18,0.3138761683035441,0.0930232558139509,3.032614027225397,2.769818529130847,0.4039022518532268,0.2791998091031148
2019-02,2019-05,3,2019-03-10T22:59:00+00:00,FOOD_H0_SLOW_R18,0.25170817441997406,0.6505576208178487,2.801024191431436,2.9467680608364977,0.6552941718288768,0.9276504370292084
2019-02,2019-06,4,2019-03-10T22:59:00+00:00,FOOD_H0_SLOW_R18,0.1801744872009599,0.1846722068328699,2.596145995175366,2.7462121212121224,0.8353065395034529,1.112152334386138
2019-02,2019-07,5,2019-03-10T22:59:00+00:00,FOOD_H0_SLOW_R18,0.34608913136908975,0.3686635944700533,2.7566053228597793,2.9300567107750517,1.1807981606533653,1.4801380302261997
2019-02,2019-08,6,2019-03-10T22:59:00+00:00,FOOD_H0_SLOW_R18,0.057882842874308324,0.0918273645546419,2.718995869464546,2.9272898961284195,1.238664257871774,1.571923259249096
2019-02,2019-09,7,2019-03-10T22:59:00+00:00,FOOD_H0_SLOW_R18,-0.07826855952889306,-0.5504587155963248,2.9301861205549753,2.6515151515151705,1.1603650525140845,1.019943936889315
2019-02,2019-10,8,2019-03-10T22:59:00+00:00,FOOD_H0_SLOW_R18,0.3322262418973459,0.4612546125461358,2.882440993795638,2.735849056603792,1.4920406423025514,1.4801380302262204
2019-02,2019-11,9,2019-03-10T22:59:00+00:00,FOOD_H0_SLOW_R18,0.09037032029517136,0.2754820936639035,3.072654538587506,3.116147308781873,1.5823701532083048,1.7552413674152
2019-02,2019-12,10,2019-03-10T22:59:00+00:00,FOOD_H0_SLOW_R18,0.1647465912624387,0.1831501831501825,3.145064673252726,3.207547169811327,1.7469811861388123,1.938224035122816
2019-02,2020-01,11,2019-03-10T22:59:00+00:00,FOOD_H0_SLOW_R18,0.8680841953446872,1.4625228519195457,2.971874620575959,3.6414565826330487,2.611319195056126,3.3901551675681305
2019-02,2020-02,12,2019-03-10T22:59:00+00:00,FOOD_H0_SLOW_R18,0.3448780342643371,0.2702702702702675,2.9997153750164887,3.7278657968313063,2.955603888837187,3.660060864484629
2019-02,2019-02,0,2019-03-10T22:59:00+00:00,FOOD_H0_SELECT_R18,0.3177548805881821,0.1867413632119507,2.8136990211578414,2.6794258373205744,0.0,0.0
2019-02,2019-03,1,2019-03-10T22:59:00+00:00,FOOD_H0_SELECT_R18,0.09055862604945422,0.1863932898415576,3.005375431637177,2.969348659003822,0.0905176464641945,0.18621979310646208
2019-02,2019-04,2,2019-03-10T22:59:00+00:00,FOOD_H0_SELECT_R18,0.3138761683035441,0.0930232558139509,3.032614027225397,2.769818529130847,0.4039022518532268,0.2791998091031148
2019-02,2019-05,3,2019-03-10T22:59:00+00:00,FOOD_H0_SELECT_R18,0.25170817441997406,0.6505576208178487,2.801024191431436,2.9467680608364977,0.6552941718288768,0.9276504370292084
2019-02,2019-06,4,2019-03-10T22:59:00+00:00,FOOD_H0_SELECT_R18,0.1801744872009599,0.1846722068328699,2.596145995175366,2.7462121212121224,0.8353065395034529,1.112152334386138
2019-02,2019-07,5,2019-03-10T22:59:00+00:00,FOOD_H0_SELECT_R18,0.34608913136908975,0.3686635944700533,2.7566053228597793,2.9300567107750517,1.1807981606533653,1.4801380302261997
2019-02,2019-08,6,2019-03-10T22:59:00+00:00,FOOD_H0_SELECT_R18,0.057882842874308324,0.0918273645546419,2.718995869464546,2.9272898961284195,1.238664257871774,1.571923259249096
2019-02,2019-09,7,2019-03-10T22:59:00+00:00,FOOD_H0_SELECT_R18,-0.07826855952889306,-0.5504587155963248,2.9301861205549753,2.6515151515151705,1.1603650525140845,1.019943936889315
2019-02,2019-10,8,2019-03-10T22:59:00+00:00,FOOD_H0_SELECT_R18,0.3322262418973459,0.4612546125461358,2.882440993795638,2.735849056603792,1.4920406423025514,1.4801380302262204
2019-02,2019-11,9,2019-03-10T22:59:00+00:00,FOOD_H0_SELECT_R18,0.09037032029517136,0.2754820936639035,3.072654538587506,3.116147308781873,1.5823701532083048,1.7552413674152
2019-02,2019-12,10,2019-03-10T22:59:00+00:00,FOOD_H0_SELECT_R18,0.1647465912624387,0.1831501831501825,3.145064673252726,3.207547169811327,1.7469811861388123,1.938224035122816
2019-02,2020-01,11,2019-03-10T22:59:00+00:00,FOOD_H0_SELECT_R18,0.8680841953446872,1.4625228519195457,2.971874620575959,3.6414565826330487,2.611319195056126,3.3901551675681305
2019-02,2020-02,12,2019-03-10T22:59:00+00:00,FOOD_H0_SELECT_R18,0.3448780342643371,0.2702702702702675,2.9997153750164887,3.7278657968313063,2.955603888837187,3.660060864484629
2019-03,2019-03,0,2019-04-09T21:59:00+00:00,FOOD_H0_FAST_R18,0.0994602395416571,0.1863932898415576,2.8800008017511463,2.969348659003822,0.0,0.0
2019-03,2019-04,1,2019-04-09T21:59:00+00:00,FOOD_H0_FAST_R18,0.344260040446534,0.0930232558139509,2.9383756042254587,2.769818529130847,0.34366882206649413,0.09298001599665273
2019-03,2019-05,2,2019-04-09T21:59:00+00:00,FOOD_H0_FAST_R18,0.2324615750110397,0.6505576208178487,2.6872796186290566,2.9467680608364977,0.5758606231578298,0.7414306439227463
2019-03,2019-06,3,2019-04-09T21:59:00+00:00,FOOD_H0_FAST_R18,0.16083372477910707,0.1846722068328699,2.46284283699846,2.7462121212121224,0.7365651490135481,0.925932541279676
2019-03,2019-07,4,2019-04-09T21:59:00+00:00,FOOD_H0_FAST_R18,0.3252186420307566,0.3686635944700533,2.6017496075901287,2.9300567107750517,1.0612560990110602,1.2939182371197377
2019-03,2019-08,5,2019-04-09T21:59:00+00:00,FOOD_H0_FAST_R18,0.035637665023952575,0.0918273645546419,2.5413944428692865,2.9272898961284195,1.0968874153274804,1.3857034661426337
2019-03,2019-09,6,2019-04-09T21:59:00+00:00,FOOD_H0_FAST_R18,-0.10347967889885835,-0.5504587155963248,2.726294269369255,2.6515151515151705,0.9933541592447092,0.8337241437828525
2019-03,2019-10,7,2019-04-09T21:59:00+00:00,FOOD_H0_FAST_R18,0.3096879632396604,0.4612546125461358,2.6555783501138084,2.735849056603792,1.3025635770553312,1.293918237119758
2019-03,2019-11,8,2019-04-09T21:59:00+00:00,FOOD_H0_FAST_R18,0.06696959852272216,0.2754820936639035,2.821327631278391,3.116147308781873,1.369510760949188,1.5690215743087381
2019-03,2019-12,9,2019-04-09T21:59:00+00:00,FOOD_H0_FAST_R18,0.14193007298556803,0.1831501831501825,2.8701230901994133,3.207547169811327,1.5113402084073382,1.752004242016354
2019-03,2020-01,10,2019-04-09T21:59:00+00:00,FOOD_H0_FAST_R18,0.8423227053180146,1.4625228519195457,2.671165997773449,3.6414565826330487,2.3501351721614676,3.2039353744616688
2019-03,2020-02,11,2019-04-09T21:59:00+00:00,FOOD_H0_FAST_R18,0.3012444419034991,0.2702702702702675,2.788508516749846,3.7278657968313063,2.6509267821887184,3.473841071378167
2019-03,2020-03,12,2019-04-09T21:59:00+00:00,FOOD_H0_FAST_R18,0.04290705329261575,-0.0898472596585708,2.730436099051507,3.4418604651162905,2.69382463303746,3.3839534248764616
2019-03,2019-03,0,2019-04-09T21:59:00+00:00,FOOD_H0_SLOW_R18,0.0994602395416571,0.1863932898415576,2.8800008017511463,2.969348659003822,0.0,0.0
