a6_status,historical_coverage_gap,count,rows
candidate_unvalidated,False,8,13 25 60 61 62 63 65 66
exact,False,52,1 2 3 4 5 6 7 8 9 10 11 12 18 19 20 21 22 23 24 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 44 45 46 47 48 49 53 55 56 57 64 67 68 69 70 71 72
exact,True,8,14 26 43 50 51 52 58 59
unavailable,False,2,15 16
validated_proxy,False,2,17 54
