a6_number,exact_source,comparator,basis,n,first,last,mae,max_abs,corr
45,Eurostat sts_inppd_m B-E36 I21,CZSO CEN0201A section total (2015=100),100*dlog,138,2015-02,2026-07,0.03185347579559708,0.09255742983752437,0.9993456645772623
46,Eurostat sts_inppd_m B I21,CZSO CEN0201A section total (2015=100),100*dlog,138,2015-02,2026-07,0.030528127989380593,0.08941466313821128,0.9999287995898001
47,Eurostat sts_inppd_m C I21,CZSO CEN0201A section total (2015=100),100*dlog,138,2015-02,2026-07,0.034903338718287345,0.10556308117582314,0.9988652512651877
48,Eurostat sts_inppd_m D I21,CZSO CEN0201A section total (2015=100),100*dlog,138,2015-02,2026-07,0.02033584243944119,0.10314596066622124,0.9999513902845674
49,Eurostat sts_inppd_m E36 I21,CZSO CEN0201A section total (2015=100),100*dlog,138,2015-02,2026-07,0.002650337793543329,0.06399336071097572,0.9999838782682768
44,Eurostat sts_inppd_m B-E36 PCH_SM,CZSO CEN02A industrial producer prices y/y,y/y %,139,2015-01,2026-07,0.03669064748201711,0.10000000000000586,0.9999690956254645
50,CZSO CEN02032 group 130000 IM,CZSO CEN02A Index cen zemědělských výrobců - živočišná výroba bez ryb IM,m/m index,139,2015-01,2026-07,0.0,0.0,1.0
51,CZSO CEN02032 group 100000 IM,CZSO CEN02A Index cen zemědělských výrobců - rostlinná výroba IM,m/m index,139,2015-01,2026-07,0.0,0.0,0.9999999999999999
52,CZSO CEN02032 group 0 IM,CZSO CEN02A Index cen zemědělských výrobců včetně ryb IM,m/m index,139,2015-01,2026-07,0.0,0.0,1.0
43,"CZSO CEN02032 agriculture incl. fish, chained y/y",CZSO CEN02A agriculture incl. fish y/y,y/y %,139,2015-01,2026-07,0.2844225605574241,4.97400309312986,0.9976521709319788
