origin,h,target,as_of_utc,model,mm_forecast,mm_actual,yy_actual,yy_exante,cumulative_log_forecast,cumulative_log_actual,core_mm_forecast,core_mm_actual,core_cumulative_log_forecast,core_cumulative_log_actual,headline_yy_forecast_finite,headline_yy_actual_finite,headline_mm_forecast_finite,headline_mm_actual_finite,headline_cumulative_log_forecast_finite,headline_cumulative_log_actual_finite,core_mm_forecast_finite,core_mm_actual_finite,core_cumulative_log_forecast_finite,core_cumulative_log_actual_finite
2019-02,0,2019-02,2019-03-10T22:59:00+00:00,CORE_FAST_H0_R17,0.3177548805881821,0.1867413632119507,2.6794258373205744,2.8136990211578414,0.0,0.0,,0.3,,,True,True,True,True,True,True,False,True,False,False
2019-02,1,2019-03,2019-03-10T22:59:00+00:00,CORE_FAST_H0_R17,0.09055862604945425,0.1863932898415576,2.969348659003822,3.0053754316371775,0.09051764646419452,0.18621979310646208,0.18668757012584491,-0.1,0.1865135254611521,-0.10005003335835334,True,True,True,True,True,True,True,True,True,True
2019-02,2,2019-04,2019-03-10T22:59:00+00:00,CORE_FAST_H0_R17,0.31387616830354415,0.0930232558139509,2.769818529130847,3.0326140272253976,0.4039022518532269,0.2791998091031148,0.5414131420256466,0.4,0.7264662952617492,0.299152093595392,True,True,True,True,True,True,True,True,True,True
2019-02,3,2019-05,2019-03-10T22:59:00+00:00,CORE_FAST_H0_R17,0.25170817441997406,0.6505576208178487,2.9467680608364977,2.801024191431436,0.6552941718288768,0.9276504370292084,0.25690219263366393,0.1,0.9830390582997928,0.39910212690374536,True,True,True,True,True,True,True,True,True,True
2019-02,4,2019-06,2019-03-10T22:59:00+00:00,CORE_FAST_H0_R17,0.18017448720095988,0.1846722068328699,2.7462121212121224,2.596145995175366,0.8353065395034529,1.112152334386138,0.32391003420784753,0.3,1.3064256340081553,0.6986530248835933,True,True,True,True,True,True,True,True,True,True
2019-02,5,2019-07,2019-03-10T22:59:00+00:00,CORE_FAST_H0_R17,0.34608913136908975,0.3686635944700533,2.9300567107750517,2.7566053228597793,1.1807981606533653,1.4801380302261997,0.5883143676897583,1.0,1.8930161903706255,1.6936861102004017,True,True,True,True,True,True,True,True,True,True
2019-02,6,2019-08,2019-03-10T22:59:00+00:00,CORE_FAST_H0_R17,0.057882842874308324,0.0918273645546419,2.9272898961284195,2.718995869464546,1.238664257871774,1.571923259249096,0.2762988086245952,0.2,2.1689339954810785,1.8934863764677075,True,True,True,True,True,True,True,True,True,True
2019-02,7,2019-09,2019-03-10T22:59:00+00:00,CORE_FAST_H0_R17,-0.07826855952889304,-0.5504587155963248,2.6515151515151705,2.9301861205549753,1.1603650525140845,1.019943936889315,-0.2654185162153744,-0.9,1.9031626198141118,0.989411911252801,True,True,True,True,True,True,True,True,True,True
2019-02,8,2019-10,2019-03-10T22:59:00+00:00,CORE_FAST_H0_R17,0.33222624189734584,0.4612546125461358,2.735849056603792,2.882440993795638,1.4920406423025514,1.4801380302262204,0.4786495592082417,0.6,2.380670294320729,1.5876190790075473,True,True,True,True,True,True,True,True,True,True
2019-02,9,2019-11,2019-03-10T22:59:00+00:00,CORE_FAST_H0_R17,0.09037032029517136,0.2754820936639035,3.116147308781873,3.0726545385875057,1.5823701532083048,1.7552413674152,0.12466781469268841,0.0,2.505260463219493,1.5876190790075473,True,True,True,True,True,True,True,True,True,True
