threshold,clock,model,sample,n,reports,actual_direction_hits,material_gains,material_losses,mean_abs_gain,median_capture,median_relative_abs_gain,overshoot_beyond_twice
0.5,cutoff,COMBO_ALL_R17,full,25,13,15,12,11,0.19887233772460047,0.16882883506631938,0.07328080524031867,1
0.5,cutoff,COMBO_ALL_R17,reports_2024plus,8,6,5,3,3,0.006128061737211671,0.07056733498490206,0.07056733498490206,0
0.5,cutoff,COMBO_CORE_R17,full,25,13,16,11,9,0.33118187986616043,0.16611212498224054,0.08161047418016122,1
0.5,cutoff,COMBO_CORE_R17,reports_2024plus,8,6,6,2,2,0.0001650060259079933,0.07344051976439173,0.07344051976439173,0
0.5,cutoff,COMBO_FOOD_FUEL_R17,full,25,13,15,13,10,0.24593130449981737,0.30223444943540534,0.291692945011796,1
0.5,cutoff,COMBO_FOOD_FUEL_R17,reports_2024plus,8,6,5,4,3,0.07783827203841864,0.25764587115682464,0.25764587115682464,0
0.5,cutoff,CORE_FAST_H0_R17,full,25,13,15,13,10,0.25246776132600346,0.35294405574295057,0.29153886417440433,1
0.5,cutoff,CORE_FAST_H0_R17,reports_2024plus,8,6,5,4,2,0.059262374474392476,0.30447402861805706,0.30447402861805706,0
0.5,cutoff,CORE_NEWS_H0_R17,full,25,13,13,12,12,0.34929456411549126,0.21384083521610003,-0.008831927773604737,1
0.5,cutoff,CORE_NEWS_H0_R17,reports_2024plus,8,6,3,3,4,-0.048983624395692205,-0.15019946807647067,-0.15019946807647067,0
0.5,cutoff,CORE_NEWS_R17,full,25,13,15,13,10,0.49236597090883377,0.21460130076976414,0.13042000502863393,1
0.5,cutoff,CORE_NEWS_R17,reports_2024plus,8,6,3,2,4,-0.044318564855898995,-0.16192926411790004,-0.16192926411790004,0
0.5,cutoff,CORE_ROBUST_R17,full,25,13,15,11,8,0.4049976740579207,0.09814858240385815,0.0362775197266991,1
0.5,cutoff,CORE_ROBUST_R17,reports_2024plus,8,6,4,2,2,0.010270554875523585,-0.05124618667054671,-0.05124618667054671,0
0.5,cutoff,DAMPED_P95_Q001_R16,full,25,13,16,11,8,0.41278487056522567,0.09833774426982472,0.03709545987709344,1
0.5,cutoff,DAMPED_P95_Q001_R16,reports_2024plus,8,6,4,2,2,0.009936850350569598,-0.052167378447789535,-0.052167378447789535,0
0.5,cutoff,FOOD_ASYMMETRIC_R17,full,25,13,14,13,11,0.2515833205645095,0.24228488826732178,0.07370903040496209,1
0.5,cutoff,FOOD_ASYMMETRIC_R17,reports_2024plus,8,6,4,4,3,0.050203463909126,0.2235290377004878,0.2235290377004878,0
0.5,cutoff,FOOD_HALF_CORRECTION_R17,full,25,13,16,13,9,0.27893114066508234,0.21553250973206795,0.1131186170235526,2
0.5,cutoff,FOOD_HALF_CORRECTION_R17,reports_2024plus,8,6,4,4,3,0.037869982066891406,0.1174828828341806,0.1174828828341806,0
0.5,cutoff,FOOD_OWN_R17,full,25,13,14,13,9,0.29890606035692197,0.25793156740671175,0.05551769284980208,1
0.5,cutoff,FOOD_OWN_R17,reports_2024plus,8,6,4,4,2,0.0450002438584865,0.19264730293032167,0.19264730293032167,0
0.5,cutoff,FOOD_PERSISTENCE_R17,full,25,13,17,14,10,0.30456614999992226,0.3046761114589164,0.18752454713965763,2
0.5,cutoff,FOOD_PERSISTENCE_R17,reports_2024plus,8,6,4,4,4,0.02556249776890998,0.08283595942932374,0.08283595942932374,0
0.5,cutoff,FOOD_SEASONAL_R17,full,25,13,15,14,9,0.3174647937944537,0.3411563172241395,0.2898316911352416,0
0.5,cutoff,FOOD_SEASONAL_R17,reports_2024plus,8,6,5,5,2,0.1627086461917488,0.6831517669660616,0.6601545941976797,0
0.5,cutoff,FOOD_SYMMETRIC_R17,full,25,13,15,13,10,0.29549079789230426,0.2589278170909597,0.09464072370616768,1
0.5,cutoff,FOOD_SYMMETRIC_R17,reports_2024plus,8,6,4,4,3,0.030324414020039048,0.1863791577154011,0.1863791577154011,0
0.5,cutoff,FUEL_ANNUAL_R17,full,25,13,16,13,9,0.2832480924243721,0.3221743012564216,0.26273626975085035,0
0.5,cutoff,FUEL_ANNUAL_R17,reports_2024plus,8,6,5,4,3,0.11934843225089553,0.33875221932862326,0.33875221932862326,0
0.5,cutoff,FUEL_SPOT_ECM_R17,full,25,13,15,15,8,0.31247812032406674,0.3242628401276551,0.1704295005577169,0
0.5,cutoff,FUEL_SPOT_ECM_R17,reports_2024plus,8,6,4,4,2,0.11579806109403878,0.2937409004188909,0.2888761256182595,0
0.5,cutoff,INDEPENDENT_BRIDGE,full,25,13,16,12,12,-0.04512326179450731,0.2967841136984322,0.0852558045068786,3
0.5,cutoff,INDEPENDENT_BRIDGE,reports_2024plus,8,6,6,5,2,0.07397085115741864,0.3948547071564489,0.3948547071564489,0
0.5,cutoff,MONTHLY_AR_CORE_R17,full,25,13,16,14,9,0.27608677860721137,0.30510264577901347,0.25690419121628183,1
0.5,cutoff,MONTHLY_AR_CORE_R17,reports_2024plus,8,6,5,4,2,0.0489561857287521,0.23869519340676917,0.23869519340676917,0
0.5,cutoff,MONTHLY_BOTH_CORE_R17,full,25,13,16,14,8,0.29210742869781325,0.3143761737685246,0.256054265649079,1
