scope,sample,model,n,mae,rmse,bias,max_abs
all_models_common,full,COMBO_ALL_R17,1035,0.7173346909855548,1.0605126022721396,0.13504731657119404,5.059500122831821
all_models_common,full,COMBO_CORE_R17,1035,0.6889590126943799,1.0443730823754032,0.12257628669396607,5.166317765813833
all_models_common,full,COMBO_FOOD_FUEL_R17,1035,0.674501760795413,0.9830890518384585,0.13294036320835217,4.191872697590317
all_models_common,full,CORE_FAST_H0_R17,1035,0.7469805453432528,1.1334611582198586,0.12000491761206782,5.912736626123069
all_models_common,full,CORE_NEWS_H0_R17,1035,0.7671202666168552,1.1766342610586749,0.12213692604728364,6.368242818916418
all_models_common,full,CORE_NEWS_R17,1035,0.641855068483947,0.9610244170091932,0.1231280926121597,4.278643276028933
all_models_common,full,CORE_ROBUST_R17,1035,0.6267035230762213,0.9452854223495399,0.11828793669813342,4.271558575357724
all_models_common,full,DAMPED_P95_Q001_R16,1035,0.6366622420997279,0.9570528268622376,0.11759036874660934,4.273998577958542
all_models_common,full,FOOD_ASYMMETRIC_R17,1035,0.6813016259860437,0.993997882158463,0.09694162388229412,4.216051851097002
all_models_common,full,FOOD_HALF_CORRECTION_R17,1035,0.7205704465127769,1.0266277774534687,0.09806851977200576,3.7465462232287976
all_models_common,full,FOOD_OWN_R17,1035,0.6749840325325701,0.9853521566342611,0.1190591913273244,4.205712670652988
all_models_common,full,FOOD_PERSISTENCE_R17,1035,0.7789340370807751,1.0943147690585409,0.0986305930123009,4.467676590112976
all_models_common,full,FOOD_SEASONAL_R17,1035,0.6312195829770879,0.9509820623096854,0.12675115145468677,4.198521523028481
all_models_common,full,FOOD_SYMMETRIC_R17,1035,0.6843165110379954,0.991024377869747,0.12102009794608273,4.202537240211312
all_models_common,full,FUEL_ANNUAL_R17,1035,0.6372567001291254,0.9570551507660104,0.1323881946947176,4.2240015321131406
all_models_common,full,FUEL_SPOT_ECM_R17,1035,0.6479984477966201,0.9714502179390463,0.12512720564613666,4.218714825418377
all_models_common,full,INDEPENDENT_BRIDGE,1035,0.924925464381888,1.5278813917336798,0.1107585701029426,11.570784153875298
all_models_common,full,MONTHLY_AR_CORE_R17,1035,0.6294186736663419,0.9588688200402787,0.12417334184832723,4.418073776664453
all_models_common,full,MONTHLY_BOTH_CORE_R17,1035,0.6321045193375467,0.9594346239583489,0.12283824853713489,4.402738361854589
all_models_common,full,MONTHLY_DOMESTIC_CORE_R17,1035,0.6302724118566018,0.9578768459034707,0.12266701079441603,4.387279732616877
all_models_common,full,MONTHLY_IMPORTED_CORE_R17,1035,0.6312223072492786,0.95746902650584,0.12156335286369321,4.395789013024247
all_models_common,full,MONTHLY_OWN_CORE_R17,1035,0.629812603116721,0.9566914217514277,0.12287544382655495,4.38072170244753
all_models_common,full,PATH_COMPONENT_HALF_R17,1035,0.6698011177135162,0.9991498547294904,0.12778637940639967,4.539464752729551
all_models_common,full,PATH_COMPONENT_SELECT_R17,1035,0.6629067626677273,0.9840083752077177,0.12051243325326676,4.234760960919994
all_models_common,full,PATH_FAST_CURRENT_HALF_R17,1035,0.5812673776976558,0.9172203390641511,0.11990126698009247,4.2837147089862295
all_models_common,full,PATH_POOL_R17,1035,0.6481113851666306,0.9695314135223311,0.12569499238069926,4.269175497122758
all_models_common,full,RF_RESIDUAL_R15,1035,0.6405360597679143,0.9597965406826011,0.06835673249289827,4.480474944179454
all_models_common,full,STABLE_LOCAL_CORE_R14B,1035,0.5385023521558491,0.8984773261862642,0.11915656688746136,4.33150934331243
all_models_common,full,STABLE_PIPELINE_R14B,1035,0.8766982017038971,1.4668163193957526,0.13723882481097754,11.111797321650783
all_models_common,full,STATE_FAST_R15,1035,0.64566545930003,0.966684651121085,0.12047021752365256,4.234760960919994
all_models_common,origins_2019_2021,COMBO_ALL_R17,375,0.724673371936617,1.0353073428170654,0.286813197055693,4.84205456709537
all_models_common,origins_2019_2021,COMBO_CORE_R17,375,0.6775623119049594,1.0108930070631137,0.2832873326923938,4.88786352274514
all_models_common,origins_2019_2021,COMBO_FOOD_FUEL_R17,375,0.6974040421415865,0.9847837269404901,0.26979065277079894,4.191872697590317
all_models_common,origins_2019_2021,CORE_FAST_H0_R17,375,0.7844742393266682,1.138963031844918,0.29198957793381164,5.149273211379906
all_models_common,origins_2019_2021,CORE_NEWS_H0_R17,375,0.7784932851206667,1.1661174277982245,0.30116412763048916,5.50054110852448
all_models_common,origins_2019_2021,CORE_NEWS_R17,375,0.6428699476329026,0.9423958967668651,0.2741293691163947,4.278643276028933
all_models_common,origins_2019_2021,CORE_ROBUST_R17,375,0.6205065321106525,0.9191837499848893,0.26541952870804864,4.271558575357724
all_models_common,origins_2019_2021,DAMPED_P95_Q001_R16,375,0.6485135088922924,0.9532855545408986,0.26481961592684783,4.273998577958542
all_models_common,origins_2019_2021,FOOD_ASYMMETRIC_R17,375,0.6870815473751232,0.9771442385985115,0.240530074802964,4.216051851097002
all_models_common,origins_2019_2021,FOOD_HALF_CORRECTION_R17,375,0.7045461749144352,0.9780405429859108,0.24451953449966535,3.7465462232287976
all_models_common,origins_2019_2021,FOOD_OWN_R17,375,0.6807918527608341,0.9746559235636439,0.2677195404072935,4.205712670652988
all_models_common,origins_2019_2021,FOOD_PERSISTENCE_R17,375,0.7577362626012609,1.0091045985437939,0.24830722689178042,3.614508018912308
all_models_common,origins_2019_2021,FOOD_SEASONAL_R17,375,0.6711375369936547,0.9682655933773434,0.27187372664945125,4.198521523028481
all_models_common,origins_2019_2021,FOOD_SYMMETRIC_R17,375,0.6973507271119667,0.9860311040882657,0.2711691816936338,4.202537240211312
all_models_common,origins_2019_2021,FUEL_ANNUAL_R17,375,0.6611134340124636,0.9598752933949749,0.26484366885651933,4.2240015321131406
all_models_common,origins_2019_2021,FUEL_SPOT_ECM_R17,375,0.6705736182002746,0.9645037475281693,0.2632083959129945,4.218714825418377
