origin,h,target,as_of_utc,model,mm_forecast,mm_actual,yy_actual,yy_exante,cumulative_log_forecast,cumulative_log_actual,core_mm_forecast,core_mm_actual,core_cumulative_log_forecast,core_cumulative_log_actual,previous_origin,previous_h,previous_forecast,revision
2019-03,0,2019-03,2019-04-09T21:59:00+00:00,COMBO_ALL_R17,0.0994602395416571,0.1863932898415576,2.969348659003822,2.8800008017511463,0.0,0.0,,-0.1,,,2019-02,1.0,3.0411941128444964,-0.1611933110933501
2019-03,1,2019-04,2019-04-09T21:59:00+00:00,COMBO_ALL_R17,0.40665513170029083,0.0930232558139509,2.769818529130847,3.002383743173817,0.40583052450198664,0.09298001599665273,0.49722034109751045,0.4,0.49598828310040993,0.39920212695374535,2019-02,2.0,3.0675350468622735,-0.06515130368845634
2019-04,0,2019-04,2019-05-12T21:59:00+00:00,COMBO_ALL_R17,0.3871075486743048,0.0930232558139509,2.769818529130847,3.0717675404249056,0.0,0.0,,0.4,,,2019-03,1.0,3.002383743173817,0.06938379725108845
2019-03,2,2019-05,2019-04-09T21:59:00+00:00,COMBO_ALL_R17,0.28017889052723194,0.6505576208178487,2.9467680608364977,2.8000479934245757,0.6856176455753389,0.7414306439227463,0.20576087165257173,0.1,0.7015377570043643,0.49915216026209863,2019-02,3.0,2.7909432822400664,0.009104711184509284
2019-04,1,2019-05,2019-05-12T21:59:00+00:00,COMBO_ALL_R17,0.27625871261993995,0.6505576208178487,2.9467680608364977,2.865274102278051,0.27587781957733304,0.6484506279260935,0.14371586836144817,0.1,0.14361269594561307,0.09995003330835331,2019-03,2.0,2.8000479934245757,0.06522610885347513
2019-05,0,2019-05,2019-06-10T21:59:00+00:00,COMBO_ALL_R17,0.2254766707170906,0.6505576208178487,2.9467680608364977,2.5119894464748858,0.0,0.0,,0.1,,,2019-04,1.0,2.865274102278051,-0.35328465580316504
2019-03,3,2019-06,2019-04-09T21:59:00+00:00,COMBO_ALL_R17,0.1814291197538395,0.1846722068328699,2.7462121212121224,2.596456620091921,0.8668823814984313,0.925932541279676,0.2854232317208971,0.3,0.9865544300441238,0.7987030582419465,2019-02,4.0,2.513303685146693,0.08315293494522802
2019-04,2,2019-06,2019-05-12T21:59:00+00:00,COMBO_ALL_R17,0.11931072602397634,0.1846722068328699,2.7462121212121224,2.5978973341222678,0.3951174269171125,0.8329525252830231,0.18599523379517174,0.3,0.32943517278577783,0.3995009312882012,2019-03,3.0,2.596456620091921,0.0014407140303469568
2019-05,1,2019-06,2019-06-10T21:59:00+00:00,COMBO_ALL_R17,0.20163594355598552,0.1846722068328699,2.7462121212121224,2.3296045149273463,0.20143293113884653,0.18450189735692968,0.2016167024708318,0.3,0.20141372877072158,0.2995508979798479,2019-04,2.0,2.5978973341222678,-0.26829281919492143
2019-06,0,2019-06,2019-07-10T21:59:00+00:00,COMBO_ALL_R17,0.1241032984628462,0.1846722068328699,2.7462121212121224,2.684094575980366,0.0,0.0,,0.3,,,2019-05,1.0,2.3296045149273463,0.3544900610530197
2019-03,4,2019-07,2019-04-09T21:59:00+00:00,COMBO_ALL_R17,0.24466291892995648,0.3686635944700533,2.9300567107750517,2.653053443752051,1.1112464879984578,1.2939182371197377,0.5468746019044533,1.0,1.5319391023602014,1.7937361435587549,2019-02,5.0,2.541502153471274,0.11155129028077715
2019-04,3,2019-07,2019-05-12T21:59:00+00:00,COMBO_ALL_R17,0.2124277648939464,0.3686635944700533,2.9300567107750517,2.6214848813759297,0.6073198830570494,1.200938221123085,0.48448531345232526,1.0,0.8127506331327397,1.3945340166050095,2019-03,4.0,2.653053443752051,-0.03156856237612127
2019-05,2,2019-07,2019-06-10T21:59:00+00:00,COMBO_ALL_R17,0.20063306478461485,0.3686635944700533,2.9300567107750517,2.3410837265594338,0.40186499659254726,0.5524875931969915,0.47074479814156955,1.0,0.671053988602087,1.2945839832966564,2019-04,3.0,2.6214848813759297,-0.28040115481649597
2019-06,1,2019-07,2019-07-10T21:59:00+00:00,COMBO_ALL_R17,0.15075594273165474,0.3686635944700533,2.9300567107750517,2.6444944990910195,0.15064242004078984,0.3679856958400618,0.46499776584064023,1.0,0.46391999102387205,0.9950330853168083,2019-05,2.0,2.3410837265594338,0.30341077253158577
2019-07,0,2019-07,2019-08-11T21:59:00+00:00,COMBO_ALL_R17,0.435229027763851,0.3686635944700533,2.9300567107750517,2.9983208838599005,0.0,0.0,,1.0,,,2019-06,1.0,2.6444944990910195,0.35382638476888095
2019-03,5,2019-08,2019-04-09T21:59:00+00:00,COMBO_ALL_R17,0.02224391245412294,0.0918273645546419,2.9272898961284195,2.5789319868166767,1.1334879268611833,1.3857034661426337,0.22494564669716716,0.2,1.7566321251109773,1.9935364098260604,2019-02,6.0,2.4519140770590675,0.12701790975760918
2019-04,4,2019-08,2019-05-12T21:59:00+00:00,COMBO_ALL_R17,-0.03090230397723735,0.0918273645546419,2.9272898961284195,2.4928982831972535,0.5764128033339543,1.2927234501459808,0.16073526475727629,0.2,0.973356857020949,1.5943342828723153,2019-03,5.0,2.5789319868166767,-0.0860337036194232
2019-05,3,2019-08,2019-06-10T21:59:00+00:00,COMBO_ALL_R17,-0.045029019604382346,0.0918273645546419,2.9272898961284195,2.198404694258105,0.3568258358807238,0.6442728222198875,0.15763657727742122,0.2,0.8285664498447555,1.494384249563962,2019-04,4.0,2.4928982831972535,-0.2944935889391487
2019-06,2,2019-08,2019-07-10T21:59:00+00:00,COMBO_ALL_R17,0.01887014446306043,0.0918273645546419,2.9272898961284195,2.5669195051639027,0.1695107843160358,0.4597709248629578,0.15872197237120586,0.2,0.6225161332016912,1.1948333515841139,2019-05,3.0,2.198404694258105,0.36851481090579785
2019-07,1,2019-08,2019-08-11T21:59:00+00:00,COMBO_ALL_R17,0.05188877392863577,0.0918273645546419,2.9272898961284195,2.9544550007725725,0.05187531635944721,0.09178522902289597,0.18617405408040563,0.2,0.18600096498636737,0.19980026626730563,2019-06,2.0,2.5669195051639027,0.38753549560866984
2019-08,0,2019-08,2019-09-09T21:59:00+00:00,COMBO_ALL_R17,0.0721202716889229,0.0918273645546419,2.9272898961284195,2.907024528677269,0.0,0.0,,0.2,,,2019-07,1.0,2.9544550007725725,-0.0474304720953036
2019-03,6,2019-09,2019-04-09T21:59:00+00:00,COMBO_ALL_R17,-0.10770479887097677,-0.5504587155963248,2.6515151515151705,2.7595531043068537,1.0257250846910186,0.8337241437828525,-0.303399582001591,-0.9,1.4527713535098148,1.089461944611154,2019-02,7.0,2.6157511442603503,0.14380196004650347
2019-04,5,2019-09,2019-05-12T21:59:00+00:00,COMBO_ALL_R17,-0.17653119608957288,-0.5504587155963248,2.6515151515151705,2.602625339246388,0.39972560730901585,0.7407441277861999,-0.4059434468026666,-0.9,0.5665872231487443,0.6902598176574088,2019-03,6.0,2.7595531043068537,-0.15692776506046568
2019-05,4,2019-09,2019-06-10T21:59:00+00:00,COMBO_ALL_R17,-0.1867647750056591,-0.5504587155963248,2.6515151515151705,2.29732820456263,0.1698864380126132,0.09229349986010649,-0.3764045774702482,-0.9,0.45145168767286675,0.5903097843490557,2019-04,5.0,2.602625339246388,-0.30529713468375785
2019-06,3,2019-09,2019-07-10T21:59:00+00:00,COMBO_ALL_R17,-0.12176664329139854,-0.5504587155963248,2.6515151515151705,2.7330556965475763,0.04766994521092809,-0.09220839749682318,-0.38550143646345175,-0.9,0.23626972474918595,0.29075888636920744,2019-05,4.0,2.29732820456263,0.4357274919849461
2019-07,2,2019-09,2019-08-11T21:59:00+00:00,COMBO_ALL_R17,-0.08061561915957306,-0.5504587155963248,2.6515151515151705,3.163706088595845,-0.028772814664656535,-0.460194093336885,-0.3451801672024003,-0.9,-0.15977632344721326,-0.7042741989476008,2019-06,3.0,2.7330556965475763,0.4306503920482685
2019-08,1,2019-09,2019-09-09T21:59:00+00:00,COMBO_ALL_R17,-0.02496826958519425,-0.5504587155963248,2.6515151515151705,3.1736069322611216,-0.02497138717657452,-0.551979322359781,-0.21820439061643582,-0.9,-0.2184428032779252,-0.9040744652149064,2019-07,2.0,3.163706088595845,0.00990084366527677
2019-09,0,2019-09,2019-10-09T21:59:00+00:00,COMBO_ALL_R17,-0.3115374275151629,-0.5504587155963248,2.6515151515151705,2.898128981068642,0.0,0.0,,-0.9,,,2019-08,1.0,3.1736069322611216,-0.2754779511924794
2019-03,7,2019-10,2019-04-09T21:59:00+00:00,COMBO_ALL_R17,0.3343967920341288,0.4612546125461358,2.735849056603792,2.7141091581004173,1.3595640139567247,1.293918237119758,0.4540008282083642,0.6,1.905744706614715,1.6876691123659002,2019-02,8.0,2.5055242167259166,0.20858494137450068
2019-04,6,2019-10,2019-05-12T21:59:00+00:00,COMBO_ALL_R17,0.25274792135791574,0.4612546125461358,2.735849056603792,2.473793035098841,0.6521546582873348,1.2009382211231054,0.37618796917742336,0.6,0.9420693749649217,1.288466985412155,2019-03,7.0,2.7141091581004173,-0.24031612300157645
2019-05,5,2019-10,2019-06-10T21:59:00+00:00,COMBO_ALL_R17,0.2576688454149978,0.4612546125461358,2.735849056603792,2.1738942224375637,0.4272238864073056,0.552487593197012,0.3817762216819774,0.6,0.8325009934781976,1.188516952103802,2019-04,6.0,2.473793035098841,-0.29989881266127716
2019-06,4,2019-10,2019-07-10T21:59:00+00:00,COMBO_ALL_R17,0.2916056434416447,0.4612546125461358,2.735849056603792,2.643828703187279,0.3388512441376862,0.36798569584008234,0.3643083393658888,0.6,0.5999160686004937,0.8889660541239538,2019-05,5.0,2.1738942224375637,0.46993448074971544
2019-07,3,2019-10,2019-08-11T21:59:00+00:00,COMBO_ALL_R17,0.2828500593292031,0.4612546125461358,2.735849056603792,3.0651065615586357,0.2536779765936896,2.0556473190325164e-14,0.38831679847561335,0.6,0.22778847149054832,-0.10606703119285443,2019-06,4.0,2.643828703187279,0.42127785837135656
