month,dropping_out,seasonal_norm,model_mm,model_source,base_effect,momentum,change_under_model,implied_yy_norm,implied_yy_model,flag
2026-09,-0.6,-0.3,-0.4031577950341283,roster path,0.3,-0.10315779503412831,0.19684220496587168,2.2116462375522823,2.1058896873750075,
2026-10,0.5,0.4,0.3380957831239692,roster path,-0.09999999999999998,-0.061904216876030815,-0.1619042168760308,2.109943106967653,1.9413984027156563,
2026-11,-0.3,0.1,0.0204676843560466,roster path,0.4,-0.07953231564395341,0.3204676843560466,2.5196118857318157,2.2690706583438955,base effect
2026-12,-0.3,0.1,-0.0806067918159148,roster path,0.4,-0.18060679181591482,0.2193932081840852,2.9309242704288345,2.494117193045389,base effect
2027-01,0.9,0.8,1.0545699615660773,roster path,-0.09999999999999998,0.25456996156607725,0.15456996156607727,2.8289114614393114,2.6511292025129625,
2027-02,-0.1,0.2,0.1780481653101468,roster path,0.30000000000000004,-0.021951834689853206,0.2780481653101468,3.1377069913535434,2.9368344892174028,base effect
2027-03,0.6,0.1,0.0118223591505488,roster path,-0.5,-0.0881776408494512,-0.5881776408494512,2.625094133543635,2.334994086967121,base effect
2027-04,0.5,0.3,0.2235698397526985,roster path,-0.2,-0.07643016024730148,-0.2764301602473015,2.4208650904918074,2.053516685829141,base effect
2027-05,0.1,0.3,0.3438842603087161,roster path,0.19999999999999998,0.043884260308716116,0.2438842603087161,2.6255021835797026,2.3021605062969397,base effect
2027-06,-0.3,0.1,0.1945935269428947,roster path,0.4,0.09459352694289469,0.4945935269428947,3.0372394039752093,2.8096628771965135,base effect
2027-07,0.6,0.4,0.4004685764809764,roster path,-0.19999999999999996,0.00046857648097636817,-0.1995314235190236,2.8323939976054766,2.605748777938085,
2027-08,0.3,0.1,0.1,seasonal norm (beyond the path),-0.19999999999999998,0.0,-0.19999999999999998,2.6273443585274996,2.401151073495537,
