group,coicop,label_cs,block,weight_permille,yy,yy_year_ago,contribution,d3_yy,momentum_3m_ann
imputed_rent,42,Imputované nájemné za bydlení (náklady vlastnického bydlení),rents,119.295072,5.698184095178482,4.858831254103735,0.6797652819035719,0.28761757703716917,6.451323373912077
vehicle_operation,72,Provoz osobních dopravních prostředků,vehicle_operation,49.972974,12.397311426437629,-4.220314735336195,0.6195305215832706,-4.64473061560442,-18.59781211007504
tobacco,23,Tabák,alcohol_tobacco,46.151899,5.8886509635974305,7.23306544202067,0.2717724245182013,0.31523188535520497,2.5197731516444
catering,111,Stravovací služby,catering,60.074047,4.0099009900990135,4.500775995861339,0.24089098054455466,-0.0380750218949899,4.4575289323791285
actual_rent,41,Nájemné za bydlení,rents,34.497805,6.115591397849451,5.606813342796313,0.2109744795026878,-0.0960126977136877,6.290984248423481
personal_social_misc,13,"Osobní a sociální péče, různé zboží a služby",other_services,45.471435,3.626943005181338,2.251655629139071,0.16492230310880784,0.1809091950383035,3.521087629836539
recreation_services,94,Rekreační služby,other_services,28.911613,5.58035714285714,3.7637521713954847,0.16133712611607134,-0.4410272127984616,5.6895436526861465
health,6,Zdraví,other_services,25.690504,3.7443511943189067,3.19786808794138,0.09619426933505465,-0.3292361907008212,4.669098781474079
insurance_financial_services,12,Pojištění a finanční služby,other_services,17.831659,4.101838755304099,4.508499630450835,0.07314258995756713,-0.02040715798659054,1.655202010846013
housing_maintenance,43,"Drobné opravy, údržba a zabezpečení bydlení",other_services,13.507671,5.278944211157777,3.092145949288816,0.07130624163167378,1.3030405966999448,7.768696916572915
water_housing_services,44,Dodávka vody a ostatní služby související s bydlením,other_services,20.514268,3.441682600382423,3.907284768211916,0.07060359923518193,-0.07719135995027937,2.7995978488599027
package_holidays,98,Organizovaná dovolená a zájezdy,other_services,18.543302,3.610977371208479,5.005055611729015,0.06695944390948494,0.6169653951605847,6.538305658239837
ict_equipment,81,Informační a telekomunikační zařízení a příslušenství,core_goods,12.093774,5.23385300668151,3.5755478662053086,0.06329703541202668,-0.9528736524860859,-0.48501831368705783
accommodation,112,Ubytovací služby,catering,8.090192,6.365159128978237,6.797853309481217,0.0514953594639867,-0.06054368226673379,5.842946783413622
furniture,51,Nábytek a zařízení domácnosti,core_goods,18.492493,2.54521098459477,2.470830473575858,0.04706729631614189,0.5263684543121316,6.249185996885026
cultural_services,96,Kulturní služby,other_services,5.338698,7.033780657103206,6.874381800197837,0.037551230726515575,-0.10907648575393392,4.766731517045125
alcoholic_beverages,21,Alkoholické nápoje,alcohol_tobacco,36.718916,0.7473841554558991,1.133786848072571,0.027443136023916098,-4.051377454451233,-1.5256560153714789
education,10,Vzdělávání,other_services,6.103596,4.056795131845847,11.28668171557563,0.024761038539553783,0.06221151640914968,2.934865834905298
household_textiles,52,Bytový textil,core_goods,6.206557999999999,3.6992116434202416,8.131147540983608,0.022959371619163043,0.5951337371512322,6.59843373674186
passenger_transport,73,Osobní doprava,other_services,8.087484,2.694828841951913,3.622641509433966,0.021794385142024624,2.1808787685304587,9.826283917515378
ict_services,83,Informační a telekomunikační služby,other_services,35.379689,0.5893909626719207,1.6983016983016963,0.020852468958743164,-1.9056190173680099,-0.36726381588052526
books_stationery,97,"Noviny, knihy a papírnické zboží",core_goods,6.105766,2.6297085998578718,3.455882352941164,0.0160563853589198,-0.7202557622233652,-0.555469302875089
transport_postal_services,74,Přepravní a poštovní služby,other_services,1.837895,8.130081300813007,6.524249422632811,0.014942235772357721,0.41233047391113686,9.001971673212816
garden_pets_goods,93,"Výrobky pro zahradu, rostliny a domácí zvířata",core_goods,11.848126,1.1703511053315907,-0.6459948320413411,0.01386646736020796,-0.8730716277463246,-6.881250532752004
household_appliances,53,Domácí spotřebiče,core_goods,9.508924,1.2400354295836857,0.0,0.01179140265721862,-0.5283111663491269,-2.707949529683784
tableware_utensils,54,"Skleněné, stolní a kuchyňské potřeby pro domácnost",core_goods,3.824292,1.7293233082706916,0.1506024096385561,0.00661343729323314,-0.2373937870394638,-0.961784109001762
house_garden_tools,55,"Nářadí, nástroje a vybavení pro dům a zahradu",core_goods,3.695333,1.4962593516209433,-0.24875621890546595,0.005529176558603475,0.5012344759990572,0.13870340728526975
recreation_durables,91,Zboží dlouhodobé spotřeby pro rekreaci,core_goods,0.529366,6.701807228915646,9.031198686371123,0.0035477088855421597,-5.846306704879579,-12.477970489160697
other_recreation_goods,92,Jiné zboží pro rekreaci,core_goods,5.483502,0.36416605972322547,3.0780780780780947,0.0019969053168244263,-2.509820675722607,-3.7303557518624575
musical_instruments_media,95,Hudební nástroje a záznamová média s audiovizuálním obsahem,core_goods,1.75929,0.7943512797881747,-1.3066202090592283,0.0013974942630185377,0.35536971701382036,0.643170711454566
