x,y,x_label,y_label,sample,best_lag,best_corr,corr_lag0,corr_lag3,corr_lag6,corr_lag12
farm_prices,food_cpi,Farm-gate prices (CZSO basket),Food CPI (CZCPF),2015-2026,3,0.9122649500001612,0.8317629903426016,0.9122649500001612,0.7815598006545426,0.11597650280741638
farm_prices,food_cpi,Farm-gate prices (CZSO basket),Food CPI (CZCPF),excluding 2021-2023,2,0.847767837585943,0.7855355950623507,0.8365812897054518,0.6127689067716471,-0.45473678378651866
food_ppi,food_cpi,"Food-products PPI (CZPPA10M, cumulated)",Food CPI (CZCPF),2015-2026,1,0.9776549610489574,0.9542202860247937,0.9461208974072012,0.7411888446806615,0.07918940779798028
food_ppi,food_cpi,"Food-products PPI (CZPPA10M, cumulated)",Food CPI (CZCPF),excluding 2021-2023,1,0.9026480295043878,0.8681675672771393,0.849732474334299,0.4700359657499869,-0.44925204630800764
domestic_ppi,core_goods,Domestic PPI B+C (EPP0BCCZ),Core goods (block),2015-2026,3,0.8742958312677184,0.8393585571141624,0.8742958312677184,0.8191803300831227,0.500092649522509
domestic_ppi,core_goods,Domestic PPI B+C (EPP0BCCZ),Core goods (block),excluding 2021-2023,12,0.02475117975405088,-0.5512269183151375,-0.5686361521337684,-0.40827941358426983,0.02475117975405088
domestic_ppi,core,Domestic PPI B+C (EPP0BCCZ),CNB core (CZCIXM),2015-2026,4,0.9407489999987739,0.8635042260874656,0.9397960676260086,0.908982346863234,0.5902425763064827
domestic_ppi,core,Domestic PPI B+C (EPP0BCCZ),CNB core (CZCIXM),excluding 2021-2023,2,0.5345299967314874,0.5000635198619481,0.5132827355842692,0.461303097059421,0.3041740454404969
import_prices,core_goods,"Import prices (CZEIIMOM, cumulated)",Core goods (block),2015-2026,4,0.7490156145670778,0.6470648695395708,0.7421825738330136,0.7296312291219295,0.47146500499015986
import_prices,core_goods,"Import prices (CZEIIMOM, cumulated)",Core goods (block),excluding 2021-2023,12,0.019662589355452228,-0.22039924858009124,-0.27373590223374633,-0.22539669083024622,0.019662589355452228
domestic_ppi,services,Domestic PPI B+C (EPP0BCCZ),Services (block: other services + catering),2015-2026,8,0.9261181418492092,0.6273224651530374,0.814391910939908,0.9143572271854378,0.8146472240195946
domestic_ppi,services,Domestic PPI B+C (EPP0BCCZ),Services (block: other services + catering),excluding 2021-2023,12,0.5255377547699456,0.18771942973868885,0.23567378360401683,0.26126793850073093,0.5255377547699456
