h,sample,n,applied_coefficient,slope_baseline_error,t_ols,t_nw,r2,slope_candidate_error,t_nw_candidate,slope_fast_error,t_nw_fast,ratio_slope_to_applied
1,full,88,-0.1875,-0.17285069205003273,-1.86112419843899,-1.8535965633245257,0.03871715631672268,0.014649307949967303,0.1570945800048181,-0.18828283904760615,-1.9443548332572234,0.9218703576001746
1,origins_2024plus,30,-0.1875,-0.10685385561995348,-0.7230484984225297,-1.0916824966136152,0.018329166386112816,0.08064614438004652,0.8239289422760986,-0.11266012551749228,-1.165960106565875,0.5698872299730852
2,full,86,-0.140625,-0.196374259215435,-2.0395889191450087,-2.051243494130825,0.047186100208243986,-0.05574925921543502,-0.5823334775400427,-0.21132335275043657,-2.1042941590840387,1.3964391766430932
2,origins_2024plus,29,-0.140625,-0.228529247922208,-1.5266282872465131,-2.6552818819594464,0.0794594863366318,-0.08790424792220813,-1.0213596683019073,-0.2337872478454957,-2.7155722067429626,1.625096874113479
3,full,84,-0.10546875,-0.2950036756781589,-2.9928902032221383,-2.787419444003307,0.09847898663735544,-0.1895349256781589,-1.7908703542033066,-0.3097926453019863,-2.71851619325817,2.7970718879114322
3,origins_2024plus,28,-0.10546875,-0.19357037049817075,-1.2528832336033764,-1.8062431123003773,0.05693625478181308,-0.08810162049817079,-0.8220935094445486,-0.1983156199848044,-1.875307259368645,1.8353338832419153
4,full,83,-0.0791015625,-0.30364792480828234,-3.0220122371281617,-2.557611689328757,0.10132363008346301,-0.22454636230828234,-1.8913430789903045,-0.31919466004449726,-2.4568606496556575,3.8387095679466805
4,origins_2024plus,27,-0.0791015625,-0.263000769515084,-1.9243254687343478,-3.9882508953234477,0.12901176990360497,-0.18389920701508408,-2.7887225515707716,-0.26721956922479523,-4.147246977560657,3.324849234363531
5,full,82,-0.059326171875,-0.4562083256460883,-4.799618302100423,-3.411822175634548,0.22357487440469315,-0.3968821537710882,-2.9681425288153553,-0.4718765816873349,-3.1967112488022296,7.6898325178863285
5,origins_2024plus,26,-0.059326171875,-0.35842855005331037,-2.6965114340213012,-3.5636421397995517,0.23252001775977704,-0.2991023781783104,-2.9737972570319933,-0.3629856361666447,-3.6006735322686345,6.041659839581725
6,full,81,-0.04449462890625,-0.4655055542687159,-4.829188426097734,-3.029220052259874,0.22792043651560934,-0.421010925362466,-2.7396767356126377,-0.48099450916852443,-2.8596056436721016,10.462061729956984
6,origins_2024plus,25,-0.04449462890625,-0.26270404772401124,-1.7754450385655338,-2.6642117353120085,0.12053305160026251,-0.2182094188177612,-2.2129696873976124,-0.2681007306383389,-2.7508649348704584,5.904174372990672
7,full,80,0.0,-0.4181637746652226,-4.17656591023788,-2.879667321497408,0.18276431331091514,-0.4181637746652226,-2.8796673214974082,-0.434064973115365,-2.6826361366597604,
7,origins_2024plus,24,0.0,-0.2816761491277423,-1.9242426472345753,-2.563403145156258,0.1440591205840691,-0.2816761491277423,-2.5634031451562573,-0.28668620200321815,-2.6390244323152734,
8,full,79,0.0,-0.2716612935379083,-2.5171271962674373,-1.8982677829738774,0.07602878342777608,-0.2716612935379083,-1.8982677829738774,-0.2874908173063012,-1.782687719421065,
8,origins_2024plus,23,0.0,-0.0794493925473625,-0.5078253318478371,-0.8062936078100631,0.012131336144140525,-0.0794493925473625,-0.8062936078100632,-0.0853861472746464,-0.8797463475378656,
9,full,78,0.0,-0.3264029467761869,-3.062431064613682,-2.045222464785696,0.10984598909847865,-0.3264029467761869,-2.0452224647856965,-0.341915786716603,-1.932128504383434,
9,origins_2024plus,22,0.0,-0.26516378504925786,-1.941180375101003,-5.524920367103974,0.15853889741298488,-0.26516378504925786,-5.524920367103983,-0.27228862034133555,-5.7508445936375185,
10,full,77,0.0,-0.30766415534484554,-2.838176583311132,-1.7350214147235332,0.09698660440074425,-0.3076641553448455,-1.7350214147235332,-0.3231167543207682,-1.6630975249354127,
10,origins_2024plus,21,0.0,-0.16383343237007716,-1.0869983203408033,-1.7658102732055558,0.05854676423878147,-0.16383343237007716,-1.7658102732055565,-0.17154551340048033,-1.8657758006152174,
11,full,76,0.0,-0.24515762795455168,-2.2128538444989143,-1.84995963130787,0.06206496296010444,-0.24515762795455168,-1.8499596313078703,-0.2601994894830349,-1.7230992036907689,
11,origins_2024plus,20,0.0,-0.3032290144666743,-2.0501602196352406,-6.182398549864129,0.18930447324001065,-0.30322901446667433,-6.182398549864148,-0.3114992752703319,-6.304403786680059,
12,full,75,0.0,-0.23626121488467353,-2.113716148797653,-1.7130355213318007,0.05767294528591249,-0.23626121488467353,-1.7130355213318007,-0.2511710699053901,-1.6359030264075198,
12,origins_2024plus,19,0.0,-0.22692368327027568,-1.32238548398341,-2.0006439205686504,0.09327062964852151,-0.22692368327027568,-2.0006439205686504,-0.23588810373826538,-2.091433897701961,
