origin,as_of,model,anchor_log_monthly,n,median_annual_log_spread,first_target,last_target,last_release
2019-02,2019-03-10T23:59:00,ANCHOR_HL12_R21,0.1442225567821113,120,-0.49918409646527157,2009-02,2019-01,2019-02-13T09:00:00
2019-02,2019-03-10T23:59:00,ANCHOR_HL24_R21,0.1442225567821113,120,-0.49918409646527157,2009-02,2019-01,2019-02-13T09:00:00
2019-03,2019-04-09T23:59:00,ANCHOR_HL12_R21,0.1443954989909314,120,-0.4950334834535891,2009-03,2019-02,2019-03-11T09:00:00
2019-03,2019-04-09T23:59:00,ANCHOR_HL24_R21,0.1443954989909314,120,-0.4950334834535891,2009-03,2019-02,2019-03-11T09:00:00
2019-04,2019-05-12T23:59:00,ANCHOR_HL12_R21,0.14571071722240644,120,-0.463468245898188,2009-04,2019-03,2019-04-10T09:00:00
2019-04,2019-05-12T23:59:00,ANCHOR_HL24_R21,0.14571071722240644,120,-0.463468245898188,2009-04,2019-03,2019-04-10T09:00:00
2019-05,2019-06-10T23:59:00,ANCHOR_HL12_R21,0.14829256267733706,120,-0.4015039549798535,2009-05,2019-04,2019-05-13T09:00:00
2019-05,2019-06-10T23:59:00,ANCHOR_HL24_R21,0.14829256267733706,120,-0.4015039549798535,2009-05,2019-04,2019-05-13T09:00:00
2019-06,2019-07-10T23:59:00,ANCHOR_HL12_R21,0.1495748901976456,120,-0.3707280944924476,2009-06,2019-05,2019-06-11T09:00:00
2019-06,2019-07-10T23:59:00,ANCHOR_HL24_R21,0.1495748901976456,120,-0.3707280944924476,2009-06,2019-05,2019-06-11T09:00:00
2019-07,2019-08-11T23:59:00,ANCHOR_HL12_R21,0.1501651370029725,120,-0.3565621711646034,2009-07,2019-06,2019-07-11T09:00:00
2019-07,2019-08-11T23:59:00,ANCHOR_HL24_R21,0.1501651370029725,120,-0.3565621711646034,2009-07,2019-06,2019-07-11T09:00:00
2019-08,2019-09-09T23:59:00,ANCHOR_HL12_R21,0.151547837969037,120,-0.32337734797905426,2009-08,2019-07,2019-08-12T09:00:00
2019-08,2019-09-09T23:59:00,ANCHOR_HL24_R21,0.151547837969037,120,-0.32337734797905426,2009-08,2019-07,2019-08-12T09:00:00
2019-09,2019-10-09T23:59:00,ANCHOR_HL12_R21,0.15248518221553267,120,-0.3008810860631581,2009-09,2019-08,2019-09-10T09:00:00
2019-09,2019-10-09T23:59:00,ANCHOR_HL24_R21,0.15248518221553267,120,-0.3008810860631581,2009-09,2019-08,2019-09-10T09:00:00
2019-10,2019-11-10T23:59:00,ANCHOR_HL12_R21,0.15299399174214287,120,-0.28866965742451356,2009-10,2019-09,2019-10-10T09:00:00
2019-10,2019-11-10T23:59:00,ANCHOR_HL24_R21,0.15299399174214287,120,-0.28866965742451356,2009-10,2019-09,2019-10-10T09:00:00
2019-11,2019-12-09T23:59:00,ANCHOR_HL12_R21,0.15299399174214287,120,-0.28866965742451356,2009-11,2019-10,2019-11-11T09:00:00
2019-11,2019-12-09T23:59:00,ANCHOR_HL24_R21,0.15299399174214287,120,-0.28866965742451356,2009-11,2019-10,2019-11-11T09:00:00
