target_month,first_release_dt,first_release_kind,first_release_source,available_from,detail_release_source,availability_rule,vintage_status
2015-01,2015-02-09,regular,bbg_eco_release_dt,2015-02-09,bbg_eco_release_dt,detailed_CPI_date_at_midnight_Europe_Prague,historical_release_gate_assumption_on_frozen_current_history
2015-02,2015-03-09,regular,bbg_eco_release_dt,2015-03-09,bbg_eco_release_dt,detailed_CPI_date_at_midnight_Europe_Prague,historical_release_gate_assumption_on_frozen_current_history
2015-03,2015-04-09,regular,bbg_eco_release_dt,2015-04-09,bbg_eco_release_dt,detailed_CPI_date_at_midnight_Europe_Prague,historical_release_gate_assumption_on_frozen_current_history
2015-04,2015-05-12,regular,bbg_eco_release_dt,2015-05-12,bbg_eco_release_dt,detailed_CPI_date_at_midnight_Europe_Prague,historical_release_gate_assumption_on_frozen_current_history
2015-05,2015-06-09,regular,bbg_eco_release_dt,2015-06-09,bbg_eco_release_dt,detailed_CPI_date_at_midnight_Europe_Prague,historical_release_gate_assumption_on_frozen_current_history
2015-06,2015-07-09,regular,bbg_eco_release_dt,2015-07-09,bbg_eco_release_dt,detailed_CPI_date_at_midnight_Europe_Prague,historical_release_gate_assumption_on_frozen_current_history
2015-07,2015-08-10,regular,bbg_eco_release_dt,2015-08-10,bbg_eco_release_dt,detailed_CPI_date_at_midnight_Europe_Prague,historical_release_gate_assumption_on_frozen_current_history
2015-08,2015-09-09,regular,bbg_eco_release_dt,2015-09-09,bbg_eco_release_dt,detailed_CPI_date_at_midnight_Europe_Prague,historical_release_gate_assumption_on_frozen_current_history
2015-09,2015-10-09,regular,bbg_eco_release_dt,2015-10-09,bbg_eco_release_dt,detailed_CPI_date_at_midnight_Europe_Prague,historical_release_gate_assumption_on_frozen_current_history
2015-10,2015-11-09,regular,bbg_eco_release_dt,2015-11-09,bbg_eco_release_dt,detailed_CPI_date_at_midnight_Europe_Prague,historical_release_gate_assumption_on_frozen_current_history
2015-11,2015-12-09,regular,bbg_eco_release_dt,2015-12-09,bbg_eco_release_dt,detailed_CPI_date_at_midnight_Europe_Prague,historical_release_gate_assumption_on_frozen_current_history
2015-12,2016-01-12,regular,bbg_eco_release_dt,2016-01-12,bbg_eco_release_dt,detailed_CPI_date_at_midnight_Europe_Prague,historical_release_gate_assumption_on_frozen_current_history
2016-01,2016-02-12,regular,bbg_eco_release_dt,2016-02-12,bbg_eco_release_dt,detailed_CPI_date_at_midnight_Europe_Prague,historical_release_gate_assumption_on_frozen_current_history
2016-02,2016-03-09,regular,bbg_eco_release_dt,2016-03-09,bbg_eco_release_dt,detailed_CPI_date_at_midnight_Europe_Prague,historical_release_gate_assumption_on_frozen_current_history
2016-03,2016-04-11,regular,bbg_eco_release_dt,2016-04-11,bbg_eco_release_dt,detailed_CPI_date_at_midnight_Europe_Prague,historical_release_gate_assumption_on_frozen_current_history
2016-04,2016-05-10,regular,bbg_eco_release_dt,2016-05-10,bbg_eco_release_dt,detailed_CPI_date_at_midnight_Europe_Prague,historical_release_gate_assumption_on_frozen_current_history
2016-05,2016-06-09,regular,bbg_eco_release_dt,2016-06-09,bbg_eco_release_dt,detailed_CPI_date_at_midnight_Europe_Prague,historical_release_gate_assumption_on_frozen_current_history
2016-06,2016-07-12,regular,bbg_eco_release_dt,2016-07-12,bbg_eco_release_dt,detailed_CPI_date_at_midnight_Europe_Prague,historical_release_gate_assumption_on_frozen_current_history
2016-07,2016-08-09,regular,bbg_eco_release_dt,2016-08-09,bbg_eco_release_dt,detailed_CPI_date_at_midnight_Europe_Prague,historical_release_gate_assumption_on_frozen_current_history
2016-08,2016-09-09,regular,bbg_eco_release_dt,2016-09-09,bbg_eco_release_dt,detailed_CPI_date_at_midnight_Europe_Prague,historical_release_gate_assumption_on_frozen_current_history
2016-09,2016-10-10,regular,bbg_eco_release_dt,2016-10-10,bbg_eco_release_dt,detailed_CPI_date_at_midnight_Europe_Prague,historical_release_gate_assumption_on_frozen_current_history
2016-10,2016-11-09,regular,bbg_eco_release_dt,2016-11-09,bbg_eco_release_dt,detailed_CPI_date_at_midnight_Europe_Prague,historical_release_gate_assumption_on_frozen_current_history
2016-11,2016-12-09,regular,bbg_eco_release_dt,2016-12-09,bbg_eco_release_dt,detailed_CPI_date_at_midnight_Europe_Prague,historical_release_gate_assumption_on_frozen_current_history
2016-12,2017-01-10,regular,bbg_eco_release_dt,2017-01-10,bbg_eco_release_dt,detailed_CPI_date_at_midnight_Europe_Prague,historical_release_gate_assumption_on_frozen_current_history
2017-01,2017-02-10,regular,bbg_eco_release_dt,2017-02-10,bbg_eco_release_dt,detailed_CPI_date_at_midnight_Europe_Prague,historical_release_gate_assumption_on_frozen_current_history
2017-02,2017-03-09,regular,bbg_eco_release_dt,2017-03-09,bbg_eco_release_dt,detailed_CPI_date_at_midnight_Europe_Prague,historical_release_gate_assumption_on_frozen_current_history
2017-03,2017-04-10,regular,bbg_eco_release_dt,2017-04-10,bbg_eco_release_dt,detailed_CPI_date_at_midnight_Europe_Prague,historical_release_gate_assumption_on_frozen_current_history
2017-04,2017-05-10,regular,bbg_eco_release_dt,2017-05-10,bbg_eco_release_dt,detailed_CPI_date_at_midnight_Europe_Prague,historical_release_gate_assumption_on_frozen_current_history
2017-05,2017-06-09,regular,bbg_eco_release_dt,2017-06-09,bbg_eco_release_dt,detailed_CPI_date_at_midnight_Europe_Prague,historical_release_gate_assumption_on_frozen_current_history
2017-06,2017-07-12,regular,bbg_eco_release_dt,2017-07-12,bbg_eco_release_dt,detailed_CPI_date_at_midnight_Europe_Prague,historical_release_gate_assumption_on_frozen_current_history
2017-07,2017-08-09,regular,bbg_eco_release_dt,2017-08-09,bbg_eco_release_dt,detailed_CPI_date_at_midnight_Europe_Prague,historical_release_gate_assumption_on_frozen_current_history
2017-08,2017-09-11,regular,bbg_eco_release_dt,2017-09-11,bbg_eco_release_dt,detailed_CPI_date_at_midnight_Europe_Prague,historical_release_gate_assumption_on_frozen_current_history
2017-09,2017-10-09,regular,bbg_eco_release_dt,2017-10-09,bbg_eco_release_dt,detailed_CPI_date_at_midnight_Europe_Prague,historical_release_gate_assumption_on_frozen_current_history
2017-10,2017-11-09,regular,bbg_eco_release_dt,2017-11-09,bbg_eco_release_dt,detailed_CPI_date_at_midnight_Europe_Prague,historical_release_gate_assumption_on_frozen_current_history
2017-11,2017-12-11,regular,bbg_eco_release_dt,2017-12-11,bbg_eco_release_dt,detailed_CPI_date_at_midnight_Europe_Prague,historical_release_gate_assumption_on_frozen_current_history
2017-12,2018-01-10,regular,bbg_eco_release_dt,2018-01-10,bbg_eco_release_dt,detailed_CPI_date_at_midnight_Europe_Prague,historical_release_gate_assumption_on_frozen_current_history
2018-01,2018-02-14,regular,bbg_eco_release_dt,2018-02-14,bbg_eco_release_dt,detailed_CPI_date_at_midnight_Europe_Prague,historical_release_gate_assumption_on_frozen_current_history
2018-02,2018-03-09,regular,bbg_eco_release_dt,2018-03-09,bbg_eco_release_dt,detailed_CPI_date_at_midnight_Europe_Prague,historical_release_gate_assumption_on_frozen_current_history
2018-03,2018-04-10,regular,bbg_eco_release_dt,2018-04-10,bbg_eco_release_dt,detailed_CPI_date_at_midnight_Europe_Prague,historical_release_gate_assumption_on_frozen_current_history
2018-04,2018-05-10,regular,bbg_eco_release_dt,2018-05-10,bbg_eco_release_dt,detailed_CPI_date_at_midnight_Europe_Prague,historical_release_gate_assumption_on_frozen_current_history
2018-05,2018-06-11,regular,bbg_eco_release_dt,2018-06-11,bbg_eco_release_dt,detailed_CPI_date_at_midnight_Europe_Prague,historical_release_gate_assumption_on_frozen_current_history
2018-06,2018-07-11,regular,bbg_eco_release_dt,2018-07-11,bbg_eco_release_dt,detailed_CPI_date_at_midnight_Europe_Prague,historical_release_gate_assumption_on_frozen_current_history
2018-07,2018-08-09,regular,bbg_eco_release_dt,2018-08-09,bbg_eco_release_dt,detailed_CPI_date_at_midnight_Europe_Prague,historical_release_gate_assumption_on_frozen_current_history
2018-08,2018-09-10,regular,bbg_eco_release_dt,2018-09-10,bbg_eco_release_dt,detailed_CPI_date_at_midnight_Europe_Prague,historical_release_gate_assumption_on_frozen_current_history
2018-09,2018-10-09,regular,bbg_eco_release_dt,2018-10-09,bbg_eco_release_dt,detailed_CPI_date_at_midnight_Europe_Prague,historical_release_gate_assumption_on_frozen_current_history
2018-10,2018-11-09,regular,bbg_eco_release_dt,2018-11-09,bbg_eco_release_dt,detailed_CPI_date_at_midnight_Europe_Prague,historical_release_gate_assumption_on_frozen_current_history
2018-11,2018-12-10,regular,bbg_eco_release_dt,2018-12-10,bbg_eco_release_dt,detailed_CPI_date_at_midnight_Europe_Prague,historical_release_gate_assumption_on_frozen_current_history
2018-12,2019-01-10,regular,bbg_eco_release_dt,2019-01-10,bbg_eco_release_dt,detailed_CPI_date_at_midnight_Europe_Prague,historical_release_gate_assumption_on_frozen_current_history
2019-01,2019-02-13,regular,bbg_eco_release_dt,2019-02-13,bbg_eco_release_dt,detailed_CPI_date_at_midnight_Europe_Prague,historical_release_gate_assumption_on_frozen_current_history
2019-02,2019-03-11,regular,bbg_eco_release_dt,2019-03-11,bbg_eco_release_dt,detailed_CPI_date_at_midnight_Europe_Prague,historical_release_gate_assumption_on_frozen_current_history
2019-03,2019-04-10,regular,bbg_eco_release_dt,2019-04-10,bbg_eco_release_dt,detailed_CPI_date_at_midnight_Europe_Prague,historical_release_gate_assumption_on_frozen_current_history
2019-04,2019-05-13,regular,bbg_eco_release_dt,2019-05-13,bbg_eco_release_dt,detailed_CPI_date_at_midnight_Europe_Prague,historical_release_gate_assumption_on_frozen_current_history
2019-05,2019-06-11,regular,bbg_eco_release_dt,2019-06-11,bbg_eco_release_dt,detailed_CPI_date_at_midnight_Europe_Prague,historical_release_gate_assumption_on_frozen_current_history
2019-06,2019-07-11,regular,bbg_eco_release_dt,2019-07-11,bbg_eco_release_dt,detailed_CPI_date_at_midnight_Europe_Prague,historical_release_gate_assumption_on_frozen_current_history
2019-07,2019-08-12,regular,bbg_eco_release_dt,2019-08-12,bbg_eco_release_dt,detailed_CPI_date_at_midnight_Europe_Prague,historical_release_gate_assumption_on_frozen_current_history
2019-08,2019-09-10,regular,bbg_eco_release_dt,2019-09-10,bbg_eco_release_dt,detailed_CPI_date_at_midnight_Europe_Prague,historical_release_gate_assumption_on_frozen_current_history
2019-09,2019-10-10,regular,bbg_eco_release_dt,2019-10-10,bbg_eco_release_dt,detailed_CPI_date_at_midnight_Europe_Prague,historical_release_gate_assumption_on_frozen_current_history
2019-10,2019-11-11,regular,bbg_eco_release_dt,2019-11-11,bbg_eco_release_dt,detailed_CPI_date_at_midnight_Europe_Prague,historical_release_gate_assumption_on_frozen_current_history
2019-11,2019-12-10,regular,bbg_eco_release_dt,2019-12-10,bbg_eco_release_dt,detailed_CPI_date_at_midnight_Europe_Prague,historical_release_gate_assumption_on_frozen_current_history
2019-12,2020-01-13,regular,bbg_eco_release_dt,2020-01-13,bbg_eco_release_dt,detailed_CPI_date_at_midnight_Europe_Prague,historical_release_gate_assumption_on_frozen_current_history
2020-01,2020-02-14,regular,bbg_eco_release_dt,2020-02-14,bbg_eco_release_dt,detailed_CPI_date_at_midnight_Europe_Prague,historical_release_gate_assumption_on_frozen_current_history
2020-02,2020-03-10,regular,bbg_eco_release_dt,2020-03-10,bbg_eco_release_dt,detailed_CPI_date_at_midnight_Europe_Prague,historical_release_gate_assumption_on_frozen_current_history
2020-03,2020-04-14,regular,bbg_eco_release_dt,2020-04-14,bbg_eco_release_dt,detailed_CPI_date_at_midnight_Europe_Prague,historical_release_gate_assumption_on_frozen_current_history
2020-04,2020-05-13,regular,bbg_eco_release_dt,2020-05-13,bbg_eco_release_dt,detailed_CPI_date_at_midnight_Europe_Prague,historical_release_gate_assumption_on_frozen_current_history
