effective_year,basis_year,basket_code,basket_label_cs,weight_permille,mapped_series,mapping_status,eligible_for_exact_core_aggregation,available_from_assumption,availability_kind,source_file,source_sheet,source_cell
2014,2012,0,ÚHRN,1000.0,,native_basket_only_no_verified_concordance,False,2014-02-12,January detailed-CPI date proxy; February 15 fallback,raw/spot_kos2014.xlsx,List1,E5
2014,2012,01,POTRAVINY A NEALKOHOLICKÉ NÁPOJE,170.824417,,native_basket_only_no_verified_concordance,False,2014-02-12,January detailed-CPI date proxy; February 15 fallback,raw/spot_kos2014.xlsx,List1,E6
2014,2012,01.1,Potraviny,154.558006,,native_basket_only_no_verified_concordance,False,2014-02-12,January detailed-CPI date proxy; February 15 fallback,raw/spot_kos2014.xlsx,List1,E7
2014,2012,01.11,Pekárenské výrobky; obiloviny,27.177105,,native_basket_only_no_verified_concordance,False,2014-02-12,January detailed-CPI date proxy; February 15 fallback,raw/spot_kos2014.xlsx,List1,E8
2014,2012,01.12,Maso,40.603904,,native_basket_only_no_verified_concordance,False,2014-02-12,January detailed-CPI date proxy; February 15 fallback,raw/spot_kos2014.xlsx,List1,E39
2014,2012,01.13,Ryby,4.118228,,native_basket_only_no_verified_concordance,False,2014-02-12,January detailed-CPI date proxy; February 15 fallback,raw/spot_kos2014.xlsx,List1,E78
2014,2012,01.14,"Mléko, sýry a vejce",30.420893,,native_basket_only_no_verified_concordance,False,2014-02-12,January detailed-CPI date proxy; February 15 fallback,raw/spot_kos2014.xlsx,List1,E86
2014,2012,01.15,Oleje a tuky,7.183404,,native_basket_only_no_verified_concordance,False,2014-02-12,January detailed-CPI date proxy; February 15 fallback,raw/spot_kos2014.xlsx,List1,E115
2014,2012,01.16,Ovoce,12.542478,,native_basket_only_no_verified_concordance,False,2014-02-12,January detailed-CPI date proxy; February 15 fallback,raw/spot_kos2014.xlsx,List1,E129
2014,2012,01.17,Zelenina,14.802652,,native_basket_only_no_verified_concordance,False,2014-02-12,January detailed-CPI date proxy; February 15 fallback,raw/spot_kos2014.xlsx,List1,E150
