clock,report_date,cutoff_date,quarter,quarters_ahead,origin,as_of_utc,model,forecast,realised,error,model_cnb_deviation,realised_cnb_error,abs_error_gain_vs_cnb,squared_error_gain_vs_cnb,material_gain,material_loss,deviation_direction_correct
report,2022-02-10,2022-01-21,2022Q1,1,2021-12,2022-01-11 22:59:00+00:00,STATE_FAST_R15,10.79035743221643,11.23658150891361,-0.44622407669717923,1.1537254442610791,1.5999495209582584,1.1537254442610791,2.3607225429903105,True,False,True
report,2022-02-10,2022-01-21,2022Q1,1,2021-12,2022-01-11 22:59:00+00:00,STABLE_LOCAL_CORE_R14B,10.31548462118809,11.23658150891361,-0.9210968877255183,0.67885263323274,1.5999495209582584,0.67885263323274,1.7114189930369244,True,False,True
report,2022-02-10,2022-01-21,2022Q1,1,2021-12,2022-01-11 22:59:00+00:00,DAMPED_P95_Q001_R16,10.815482315993968,11.23658150891361,-0.42109919291964104,1.1788503280386173,1.5999495209582584,1.1788503280386173,2.3825139393369876,True,False,True
report,2022-02-10,2022-01-21,2022Q1,1,2021-12,2022-01-11 22:59:00+00:00,CORE_FEEDBACK_R21,10.901899365574742,11.23658150891361,-0.3346821433388669,1.2652673776193915,1.5999495209582584,1.2652673776193915,2.447826332544663,True,False,True
report,2022-02-10,2022-01-21,2022Q1,1,2021-12,2022-01-11 22:59:00+00:00,GAP_CALIBRATION_R23,10.79992433284748,11.23658150891361,-0.4366571760661291,1.1632923448921293,1.5999495209582584,1.1632923448921293,2.369168980204514,True,False,True
report,2022-02-10,2022-01-21,2022Q1,1,2021-12,2022-01-11 22:59:00+00:00,GAP_DOMESTIC_R23,10.792688003150635,11.23658150891361,-0.4438935057629738,1.1560560151952846,1.5999495209582584,1.1560560151952846,2.3627970251560173,True,False,True
report,2022-02-10,2022-01-21,2022Q1,1,2021-12,2022-01-11 22:59:00+00:00,GAP_IMPORTED_R23,10.793091690165104,11.23658150891361,-0.443489818748505,1.1564597022097534,1.5999495209582584,1.1564597022097534,2.363155250280979,True,False,True
report,2022-02-10,2022-01-21,2022Q1,1,2021-12,2022-01-11 22:59:00+00:00,GAP_JOINT_R23,10.793765717848364,11.23658150891361,-0.4428157910652448,1.1571337298930136,1.5999495209582584,1.1571337298930136,2.363752644797822,True,False,True
report,2022-02-10,2022-01-21,2022Q1,1,2021-12,2022-01-11 22:59:00+00:00,GAP_FREE_R23,10.801284146677242,11.23658150891361,-0.4352973622363674,1.164652158721891,1.5999495209582584,1.164652158721891,2.3703546760446215,True,False,True
report,2022-02-10,2022-01-21,2022Q1,1,2021-12,2022-01-11 22:59:00+00:00,GAP_ENET_R23,10.790346470550688,11.23658150891361,-0.44623503836292144,1.153714482595337,1.5999495209582584,1.153714482595337,2.3607127601518028,True,False,True
report,2022-02-10,2022-01-21,2022Q1,1,2021-12,2022-01-11 22:59:00+00:00,GAP_HALF_R23,10.792061554352108,11.23658150891361,-0.4445199545615015,1.1554295663967569,1.5999495209582584,1.1554295663967569,2.3622404796112013,True,False,True
report,2022-02-10,2022-01-21,2022Q1,1,2021-12,2022-01-11 22:59:00+00:00,cnb,9.63663198795535,11.23658150891361,-1.5999495209582584,0.0,1.5999495209582584,0.0,0.0,False,False,False
report,2022-02-10,2022-01-21,2022Q2,2,2021-12,2022-01-11 22:59:00+00:00,STATE_FAST_R15,11.766130674099614,15.77230851609123,-4.006177841991617,2.2610265140996137,6.267204356091231,2.2610265140996137,23.228389539344292,True,False,True
report,2022-02-10,2022-01-21,2022Q2,2,2021-12,2022-01-11 22:59:00+00:00,STABLE_LOCAL_CORE_R14B,10.617180777830512,15.77230851609123,-5.155127738260719,1.1120766178305121,6.267204356091231,1.1120766178305121,12.70250844322383,True,False,True
report,2022-02-10,2022-01-21,2022Q2,2,2021-12,2022-01-11 22:59:00+00:00,DAMPED_P95_Q001_R16,11.903237780405385,15.77230851609123,-3.8690707356858454,2.3981336204053854,6.267204356091231,2.3981336204053854,24.308142083268294,True,False,True
report,2022-02-10,2022-01-21,2022Q2,2,2021-12,2022-01-11 22:59:00+00:00,CORE_FEEDBACK_R21,12.013603124983982,15.77230851609123,-3.7587053911072488,2.508498964983982,6.267204356091231,2.508498964983982,25.149984223870206,True,False,True
report,2022-02-10,2022-01-21,2022Q2,2,2021-12,2022-01-11 22:59:00+00:00,GAP_CALIBRATION_R23,11.7947898564326,15.77230851609123,-3.9775186596586316,2.289685696432599,6.267204356091231,2.289685696432599,23.457195753076306,True,False,True
report,2022-02-10,2022-01-21,2022Q2,2,2021-12,2022-01-11 22:59:00+00:00,GAP_DOMESTIC_R23,11.773253814647424,15.77230851609123,-3.999054701443807,2.2681496546474236,6.267204356091231,2.2681496546474236,23.285411935869085,True,False,True
report,2022-02-10,2022-01-21,2022Q2,2,2021-12,2022-01-11 22:59:00+00:00,GAP_IMPORTED_R23,11.773253924152824,15.77230851609123,-3.999054591938407,2.268149764152824,6.267204356091231,2.268149764152824,23.285412811705243,True,False,True
report,2022-02-10,2022-01-21,2022Q2,2,2021-12,2022-01-11 22:59:00+00:00,GAP_JOINT_R23,11.775347505076297,15.77230851609123,-3.9969610110149336,2.270243345076297,6.267204356091231,2.270243345076297,23.30215311743538,True,False,True
report,2022-02-10,2022-01-21,2022Q2,2,2021-12,2022-01-11 22:59:00+00:00,GAP_FREE_R23,11.788870736096714,15.77230851609123,-3.9834377799945173,2.2837665760967134,6.267204356091231,2.2837665760967134,23.41007389392125,True,False,True
report,2022-02-10,2022-01-21,2022Q2,2,2021-12,2022-01-11 22:59:00+00:00,GAP_ENET_R23,11.766199709664482,15.77230851609123,-4.006108806426749,2.261095549664482,6.267204356091231,2.261095549664482,23.22894267207895,True,False,True
report,2022-02-10,2022-01-21,2022Q2,2,2021-12,2022-01-11 22:59:00+00:00,GAP_HALF_R23,11.7707389768532,15.77230851609123,-4.00156953923803,2.2656348168532006,6.267204356091231,2.2656348168532006,23.26529166365124,True,False,True
report,2022-02-10,2022-01-21,2022Q2,2,2021-12,2022-01-11 22:59:00+00:00,cnb,9.50510416,15.77230851609123,-6.267204356091231,0.0,6.267204356091231,0.0,0.0,False,False,False
report,2022-02-10,2022-01-21,2022Q3,3,2021-12,2022-01-11 22:59:00+00:00,STATE_FAST_R15,11.507533927035754,17.578003612072624,-6.070469685036871,3.3371534970357537,9.407623182072625,3.3371534970357537,51.65277173891861,True,False,True
report,2022-02-10,2022-01-21,2022Q3,3,2021-12,2022-01-11 22:59:00+00:00,STABLE_LOCAL_CORE_R14B,9.738990276594148,17.578003612072624,-7.839013335478477,1.568609846594148,9.407623182072625,1.568609846594148,27.053243862060867,True,False,True
report,2022-02-10,2022-01-21,2022Q3,3,2021-12,2022-01-11 22:59:00+00:00,DAMPED_P95_Q001_R16,11.843816503523634,17.578003612072624,-5.734187108548991,3.673436073523634,9.407623182072625,3.673436073523634,55.622472140020825,True,False,True
report,2022-02-10,2022-01-21,2022Q3,3,2021-12,2022-01-11 22:59:00+00:00,CORE_FEEDBACK_R21,11.852727869108884,17.578003612072624,-5.72527574296374,3.6823474391088844,9.407623182072625,3.6823474391088844,55.72459160290125,True,False,True
report,2022-02-10,2022-01-21,2022Q3,3,2021-12,2022-01-11 22:59:00+00:00,GAP_CALIBRATION_R23,11.564265459365636,17.578003612072624,-6.013738152706988,3.393885029365636,9.407623182072625,3.393885029365636,52.338327366546594,True,False,True
report,2022-02-10,2022-01-21,2022Q3,3,2021-12,2022-01-11 22:59:00+00:00,GAP_DOMESTIC_R23,11.519615941508263,17.578003612072624,-6.058387670564361,3.3492355115082635,9.407623182072625,3.3492355115082635,51.79931276902399,True,False,True
report,2022-02-10,2022-01-21,2022Q3,3,2021-12,2022-01-11 22:59:00+00:00,GAP_IMPORTED_R23,11.519910827834588,17.578003612072624,-6.0580927842380365,3.349530397834588,9.407623182072625,3.349530397834588,51.802885753433294,True,False,True
report,2022-02-10,2022-01-21,2022Q3,3,2021-12,2022-01-11 22:59:00+00:00,GAP_JOINT_R23,11.52188423786746,17.578003612072624,-6.0561193742051636,3.351503807867461,9.407623182072625,3.351503807867461,51.82679206124712,True,False,True
report,2022-02-10,2022-01-21,2022Q3,3,2021-12,2022-01-11 22:59:00+00:00,GAP_FREE_R23,11.536387310829872,17.578003612072624,-6.041616301242753,3.3660068808298718,9.407623182072625,3.3660068808298718,52.0022464044281,True,False,True
report,2022-02-10,2022-01-21,2022Q3,3,2021-12,2022-01-11 22:59:00+00:00,GAP_ENET_R23,11.507063502617834,17.578003612072624,-6.07094010945479,3.3366830726178343,9.407623182072625,3.3366830726178343,51.64706012328332,True,False,True
report,2022-02-10,2022-01-21,2022Q3,3,2021-12,2022-01-11 22:59:00+00:00,GAP_HALF_R23,11.514708826812893,17.578003612072624,-6.063294785259732,3.3443283968128927,9.407623182072625,3.3443283968128927,51.7398302829124,True,False,True
report,2022-02-10,2022-01-21,2022Q3,3,2021-12,2022-01-11 22:59:00+00:00,cnb,8.17038043,17.578003612072624,-9.407623182072625,0.0,9.407623182072625,0.0,0.0,False,False,False
