origin,model,band,target,predicted_turn,actual_turn,eligible,exact_hit,missed_turn,false_turn
2019-08,GAP_FREE_R23,2,2020-02,none,peak,True,False,True,False
2019-08,GAP_FREE_R23,3,2020-05,none,trough,True,False,True,False
2019-08,GAP_HALF_R23,2,2020-02,none,peak,True,False,True,False
2019-08,GAP_HALF_R23,3,2020-05,none,trough,True,False,True,False
2019-08,GAP_IMPORTED_R23,2,2020-02,none,peak,True,False,True,False
2019-08,GAP_IMPORTED_R23,3,2020-05,none,trough,True,False,True,False
2019-08,GAP_JOINT_R23,2,2020-02,none,peak,True,False,True,False
2019-08,GAP_JOINT_R23,3,2020-05,none,trough,True,False,True,False
2019-08,STABLE_LOCAL_CORE_R14B,2,2020-02,none,peak,True,False,True,False
2019-08,STABLE_LOCAL_CORE_R14B,3,2020-05,none,trough,True,False,True,False
2019-08,STATE_FAST_R15,2,2020-02,none,peak,True,False,True,False
2019-08,STATE_FAST_R15,3,2020-05,none,trough,True,False,True,False
2019-09,CORE_FEEDBACK_R21,2,2020-03,none,none,True,False,False,False
2019-09,CORE_FEEDBACK_R21,3,2020-06,none,none,True,False,False,False
2019-09,DAMPED_P95_Q001_R16,2,2020-03,none,none,True,False,False,False
2019-09,DAMPED_P95_Q001_R16,3,2020-06,none,none,True,False,False,False
2019-09,GAP_CALIBRATION_R23,2,2020-03,none,none,True,False,False,False
2019-09,GAP_CALIBRATION_R23,3,2020-06,none,none,True,False,False,False
2019-09,GAP_DOMESTIC_R23,2,2020-03,none,none,True,False,False,False
2019-09,GAP_DOMESTIC_R23,3,2020-06,none,none,True,False,False,False
2019-09,GAP_ENET_R23,2,2020-03,none,none,True,False,False,False
2019-09,GAP_ENET_R23,3,2020-06,none,none,True,False,False,False
2019-09,GAP_FREE_R23,2,2020-03,none,none,True,False,False,False
2019-09,GAP_FREE_R23,3,2020-06,none,none,True,False,False,False
2019-09,GAP_HALF_R23,2,2020-03,none,none,True,False,False,False
2019-09,GAP_HALF_R23,3,2020-06,none,none,True,False,False,False
2019-09,GAP_IMPORTED_R23,2,2020-03,none,none,True,False,False,False
2019-09,GAP_IMPORTED_R23,3,2020-06,none,none,True,False,False,False
2019-09,GAP_JOINT_R23,2,2020-03,none,none,True,False,False,False
2019-09,GAP_JOINT_R23,3,2020-06,none,none,True,False,False,False
2019-09,STABLE_LOCAL_CORE_R14B,2,2020-03,none,none,True,False,False,False
2019-09,STABLE_LOCAL_CORE_R14B,3,2020-06,none,none,True,False,False,False
2019-09,STATE_FAST_R15,2,2020-03,none,none,True,False,False,False
2019-09,STATE_FAST_R15,3,2020-06,none,none,True,False,False,False
2019-10,CORE_FEEDBACK_R21,2,2020-04,none,trough,True,False,True,False
2019-10,CORE_FEEDBACK_R21,3,2020-07,none,peak,True,False,True,False
2019-10,DAMPED_P95_Q001_R16,2,2020-04,none,trough,True,False,True,False
2019-10,DAMPED_P95_Q001_R16,3,2020-07,none,peak,True,False,True,False
2019-10,GAP_CALIBRATION_R23,2,2020-04,none,trough,True,False,True,False
2019-10,GAP_CALIBRATION_R23,3,2020-07,none,peak,True,False,True,False
2019-10,GAP_DOMESTIC_R23,2,2020-04,none,trough,True,False,True,False
2019-10,GAP_DOMESTIC_R23,3,2020-07,none,peak,True,False,True,False
2019-10,GAP_ENET_R23,2,2020-04,none,trough,True,False,True,False
2019-10,GAP_ENET_R23,3,2020-07,none,peak,True,False,True,False
2019-10,GAP_FREE_R23,2,2020-04,none,trough,True,False,True,False
2019-10,GAP_FREE_R23,3,2020-07,none,peak,True,False,True,False
2019-10,GAP_HALF_R23,2,2020-04,none,trough,True,False,True,False
2019-10,GAP_HALF_R23,3,2020-07,none,peak,True,False,True,False
2019-10,GAP_IMPORTED_R23,2,2020-04,none,trough,True,False,True,False
2019-10,GAP_IMPORTED_R23,3,2020-07,none,peak,True,False,True,False
