,max_abs_replay_vs_supplied_r4
actual,0.0
STRUCT,4.139797199487205e-08
STRUCT_QRF,0.008586373965660699
STRUCT_ST,4.13979719393609e-08
STRUCT_R,4.139797199487205e-08
STRUCT_QRF_R,0.008586373965660699
STRUCT_PE,0.0299617727575191
STRUCT_PE_R,0.0299617727575191
STRUCT_PEH,0.014980886308031516
STRUCT_PEH_R,0.014980886308031516
pe_corr,0.054288583557246806
fuel_pre,0.0
STRUCT_PE_WARM,4.139797199487205e-08
STRUCT_PEH_WARM,4.139797199487205e-08
pe_corr_warm,0.0
STRUCT_PRE,4.139797199487205e-08
STRUCT_PE_PRE,0.029961772757519017
adm_pred_R,0.0
alc_pred,1.0408340855860843e-16
alc_actual,0.0
core_pred,1.3322676295501878e-15
core_actual,0.0
food_pred,2.3331787346592137e-07
food_actual,0.0
adm_pred,0.0
adm_actual,0.0
fuel_mm,0.0
wedge,1.0408340855860843e-16
STRUCT_H1,2.414957589458311e-08
actual_h1,0.0
STRUCT_H3,2.5206962399326738e-08
actual_h3,0.0
STRUCT_H6,3.4369025625480276e-08
actual_h6,0.0
STRUCT_H12,3.752571253734516e-08
actual_h12,0.0
band_lo,0.010188928584129453
band_hi,0.008990469444627447
