frame,model,n,rmse,big_n,big_mae,material_wins,material_losses,big_gain_sum,alerts
all,consensus,90,0.3815174380753199,23,0.5782608695652175,0,0,0.0,0
all,STRUCT,90,0.7307338513426378,23,0.6416468206607339,6,3,-1.4578768751968743,19
all,STRUCT_PE_WARM,90,0.7272775942040342,23,0.5995462392445339,10,4,-0.48956350262427867,32
all,STRUCT_PEH_WARM,90,0.7257579686984372,23,0.6205965299526338,7,2,-0.9737201889105755,24
ex_jan,consensus,83,0.3800760862318244,19,0.5947368421052632,0,0,0.0,0
ex_jan,STRUCT,83,0.4048176760697304,19,0.5208628441255434,6,2,1.4036059616146748,16
ex_jan,STRUCT_PE_WARM,83,0.3988934597824281,19,0.48541081518019674,10,2,2.0771945115762636,29
ex_jan,STRUCT_PEH_WARM,83,0.3959275730443921,19,0.5031368296528701,7,1,1.7404002365954698,21
2024_plus,consensus,31,0.2409657986707497,5,0.45999999999999996,0,0,0.0,0
2024_plus,STRUCT,31,0.21405532218407966,5,0.33356477479457103,2,0,0.6321761260271448,5
2024_plus,STRUCT_PE_WARM,31,0.2266978174341433,5,0.3576411260672598,2,1,0.511794369663701,7
2024_plus,STRUCT_PEH_WARM,31,0.21731090282454935,5,0.3456029504309154,2,0,0.5719852478454228,6
