horizon,policy,model,n,rmse,mae,bias,directional_hit,fallback_rate
1,independent,TVW_QRF,6,0.352712028622334,0.2984042958813899,-0.08136600458397449,0.5,0.0
1,common,AR3,6,0.3684047660390007,0.3224321914471665,0.08405360237424724,0.6666666666666666,0.0
1,sentiment,BBIM,6,0.37006472364885845,0.3191401515637457,0.09704495560933395,0.6666666666666666,0.0
1,independent,BBIM,6,0.37265508121424856,0.31719258435095743,0.11915727017002571,0.6666666666666666,0.0
1,full,TVW_QRF,6,0.37397703322571463,0.3255303003271252,-0.11106023048077403,0.5,0.0
1,full,BBIM,6,0.37526556622741186,0.3229460502221742,0.10464632377622558,0.6666666666666666,0.0
1,sentiment,TVW_QRF,6,0.3826131927623961,0.3286712846707633,-0.10569763639228526,0.5,0.0
1,common,RW,6,0.6404511101806131,0.5636241724377896,0.03398588408486022,0.3333333333333333,0.0
3,full,TVW_QRF,6,0.33264511558219434,0.24928361781168826,0.009087042310186097,0.5,0.0
3,independent,TVW_QRF,6,0.33731362316503866,0.26756030463378766,-0.04397977795635146,0.5,0.0
3,sentiment,TVW_QRF,6,0.343422811108212,0.26819013640423434,0.005776958678881107,0.5,0.0
3,common,AR3,6,0.36633472539237044,0.31442886170695217,0.061654076787975735,0.6666666666666666,0.0
3,sentiment,BBIM,6,0.39402862829453533,0.34741827238617157,0.11338772616203692,0.6666666666666666,0.0
3,full,BBIM,6,0.3968085164758321,0.34803550730213534,0.1225265414330402,0.6666666666666666,0.0
3,independent,BBIM,6,0.3987819352248172,0.3575421189663246,0.12265712996894718,0.6666666666666666,0.0
3,common,RW,6,0.5488490125408586,0.4692207979354009,-0.041246507911713026,0.5,0.0
