origin,h,target,as_of_utc,model,mm_forecast,mm_actual,yy_actual,yy_exante,cumulative_log_forecast,cumulative_log_actual,core_mm_forecast,core_mm_actual,core_cumulative_log_forecast,core_cumulative_log_actual,previous_origin,previous_h,previous_forecast,revision
2019-03,0,2019-03,2019-04-09T21:59:00+00:00,CORE_FEEDBACK_R21,0.0994602395416571,0.1863932898415576,2.969348659003822,2.8800008017511463,0.0,0.0,,-0.1,,,2019-02,1.0,3.0053754316371775,-0.1253746298860312
2019-03,1,2019-04,2019-04-09T21:59:00+00:00,CORE_FEEDBACK_R21,0.3442600404465341,0.0930232558139509,2.769818529130847,2.9383756042254587,0.3436688220664942,0.09298001599665273,0.4889012938078136,0.4,0.48771005251734584,0.39920212695374535,2019-02,2.0,3.0326140272253976,-0.0942384229999389
2019-04,0,2019-04,2019-05-12T21:59:00+00:00,CORE_FEEDBACK_R21,0.3871075486743048,0.0930232558139509,2.769818529130847,3.0717675404249056,0.0,0.0,,0.4,,,2019-03,1.0,2.9383756042254587,0.1333919361994469
2019-03,2,2019-05,2019-04-09T21:59:00+00:00,CORE_FEEDBACK_R21,0.23246157501103976,0.6505576208178487,2.9467680608364977,2.6872796186290566,0.5758606231578299,0.7414306439227463,0.20651543881789955,0.1,0.6940125413355787,0.49915216026209863,2019-02,3.0,2.8010241914314364,-0.11374457280237982
2019-04,1,2019-05,2019-05-12T21:59:00+00:00,CORE_FEEDBACK_R21,0.2365490566922223,0.6505576208178487,2.9467680608364977,2.824539189608261,0.23626971983685036,0.6484506279260935,0.12522092769810245,0.1,0.12514259168300493,0.09995003330835331,2019-03,2.0,2.6872796186290566,0.13725957097920416
2019-05,0,2019-05,2019-06-10T21:59:00+00:00,CORE_FEEDBACK_R21,0.2254766707170906,0.6505576208178487,2.9467680608364977,2.5119894464748858,0.0,0.0,,0.1,,,2019-04,1.0,2.824539189608261,-0.312549743133375
2019-03,3,2019-06,2019-04-09T21:59:00+00:00,CORE_FEEDBACK_R21,0.16083372477910707,0.1846722068328699,2.7462121212121224,2.46284283699846,0.7365651490135483,0.925932541279676,0.27507188630767787,0.3,0.9687067972748828,0.7987030582419465,2019-02,4.0,2.5961459951753665,-0.1333031581769064
2019-04,2,2019-06,2019-05-12T21:59:00+00:00,CORE_FEEDBACK_R21,0.11662436173053053,0.1846722068328699,2.7462121212121224,2.5545165246702797,0.35282612818696824,0.8329525252830231,0.19683282964627133,0.3,0.3217819593380209,0.3995009312882012,2019-03,3.0,2.46284283699846,0.0916736876718196
2019-05,1,2019-06,2019-06-10T21:59:00+00:00,CORE_FEEDBACK_R21,0.15885726224780353,0.1846722068328699,2.7462121212121224,2.2859173485581037,0.15873121756872052,0.18450189735692968,0.1922993232649411,0.3,0.1921146648097096,0.2995508979798479,2019-04,2.0,2.5545165246702797,-0.268599176112176
2019-06,0,2019-06,2019-07-10T21:59:00+00:00,CORE_FEEDBACK_R21,0.1241032984628462,0.1846722068328699,2.7462121212121224,2.684094575980366,0.0,0.0,,0.3,,,2019-05,1.0,2.2859173485581037,0.39817722742226236
2019-03,4,2019-07,2019-04-09T21:59:00+00:00,CORE_FEEDBACK_R21,0.3252186420307566,0.3686635944700533,2.9300567107750517,2.6017496075901287,1.0612560990110602,1.2939182371197377,0.5406166866231327,1.0,1.5078673974288967,1.7937361435587549,2019-02,5.0,2.7566053228597798,-0.15485571526965103
2019-04,3,2019-07,2019-05-12T21:59:00+00:00,CORE_FEEDBACK_R21,0.28266949274179043,0.3686635944700533,2.9300567107750517,2.649993988911115,0.6350968619879648,1.200938221123085,0.46466595855741655,1.0,0.7853716782884981,1.3945340166050095,2019-03,4.0,2.6017496075901287,0.048244381320986296
2019-05,2,2019-07,2019-06-10T21:59:00+00:00,CORE_FEEDBACK_R21,0.28565336344745706,0.3686635944700533,2.9300567107750517,2.3841910590340185,0.4439773670917963,0.5524875931969915,0.460280277559878,1.0,0.6513388919878699,1.2945839832966564,2019-04,3.0,2.649993988911115,-0.2658029298770965
2019-06,1,2019-07,2019-07-10T21:59:00+00:00,CORE_FEEDBACK_R21,0.24645059177510711,0.3686635944700533,2.9300567107750517,2.742571930308312,0.24614740034671614,0.3679856958400618,0.4570746419625334,1.0,0.45603322797463125,0.9950330853168083,2019-05,2.0,2.3841910590340185,0.3583808712742935
2019-07,0,2019-07,2019-08-11T21:59:00+00:00,CORE_FEEDBACK_R21,0.435229027763851,0.3686635944700533,2.9300567107750517,2.9983208838599005,0.0,0.0,,1.0,,,2019-06,1.0,2.742571930308312,0.25574895355158844
2019-03,5,2019-08,2019-04-09T21:59:00+00:00,CORE_FEEDBACK_R21,0.03563766502395255,0.0918273645546419,2.9272898961284195,2.541394442869287,1.0968874153274804,1.3857034661426337,0.22976128738662346,0.2,1.737365137179375,1.9935364098260604,2019-02,6.0,2.718995869464546,-0.17760142659525924
