origin,model,block,h,target,mm_forecast,mm_actual,cumulative_log_forecast,cumulative_log_actual
2019-02,CORE_FEEDBACK_R21,core,1,2019-03,0.18668757012584491,-0.1,0.1865135254611521,-0.10005003335835334
2019-02,CORE_FEEDBACK_R21,core,2,2019-04,0.5414131420256467,0.4,0.7264662952617496,0.29915209359539197
2019-02,CORE_FEEDBACK_R21,core,3,2019-05,0.256902192633664,0.1,0.9830390582997932,0.3991021269037453
2019-02,CORE_FEEDBACK_R21,core,4,2019-06,0.32391003420784753,0.3,1.306425634008156,0.6986530248835933
2019-02,CORE_FEEDBACK_R21,core,5,2019-07,0.5883143676897583,1.0,1.893016190370626,1.6936861102004013
2019-02,CORE_FEEDBACK_R21,core,6,2019-08,0.27629880862459516,0.2,2.168933995481079,1.8934863764677072
2019-02,CORE_FEEDBACK_R21,core,7,2019-09,-0.2654185162153744,-0.9,1.903162619814112,0.9894119112528008
2019-02,CORE_FEEDBACK_R21,core,8,2019-10,0.47864955920824176,0.6,2.380670294320729,1.5876190790075473
2019-02,CORE_FEEDBACK_R21,core,9,2019-11,0.12466781469268841,0.0,2.5052604632194924,1.5876190790075473
2019-02,CORE_FEEDBACK_R21,core,10,2019-12,0.29262060119380007,0.1,2.7974537637090515,1.6875691123159005
2019-02,CORE_FEEDBACK_R21,core,11,2020-01,0.3988592845907656,0.8,3.1955197134819993,2.4843860772335877
2019-02,CORE_FEEDBACK_R21,core,12,2020-02,0.41039661813105244,0.7,3.6050765016638806,3.1819474508761116
2019-02,CORE_FEEDBACK_R21,food,1,2019-03,-0.19116997637700336,0.0,-0.19135293939376602,0.0
2019-02,CORE_FEEDBACK_R21,food,2,2019-04,-0.21039972272790136,-0.6505576208178376,-0.401974313295163,-0.6526829696684437
2019-02,CORE_FEEDBACK_R21,food,3,2019-05,0.30790890503174134,1.9644527595883865,-0.09453847690086498,1.2927234501459586
2019-02,CORE_FEEDBACK_R21,food,4,2019-06,0.02871693619559069,0.3669724770642313,-0.06582566322817396,1.6590242260196828
2019-02,CORE_FEEDBACK_R21,food,5,2019-07,-0.16378665538176962,-0.5484460694698434,-0.229746595590896,1.109068669415817
2019-02,CORE_FEEDBACK_R21,food,6,2019-08,-0.5623823684662368,-0.27573529411764053,-0.7937162877153104,0.8329525252830223
2019-02,CORE_FEEDBACK_R21,food,7,2019-09,0.41939609245457943,-0.552995391705069,-0.3751972094189144,0.2784224536404959
2019-02,CORE_FEEDBACK_R21,food,8,2019-10,0.3746928544859207,0.8341056533827551,-0.0012045800251502242,1.109068669415817
2019-02,CORE_FEEDBACK_R21,food,9,2019-11,0.09247084882088372,1.194852941176472,0.09122354084489566,2.2968396000950206
2019-02,CORE_FEEDBACK_R21,food,10,2019-12,0.396653662946015,0.7266121707538709,0.4870926072189444,3.0208246628637387
2019-02,CORE_FEEDBACK_R21,food,11,2020-01,1.1067664352311466,2.3444544634806164,1.5877792013676901,5.3382189193773435
2019-02,CORE_FEEDBACK_R21,food,12,2020-02,0.3041309806327488,0.0,1.8914486392929906,5.3382189193773435
2019-02,CORE_FEEDBACK_R21,fuel,1,2019-03,0.1292355051968831,1.1190233977619535,0.1291520679971201,1.1128086509407487
2019-02,CORE_FEEDBACK_R21,fuel,2,2019-04,0.0,3.9235412474849074,0.1291520679971201,4.961334897247198
