model,H,sample,block,n,rms,bias
CORE_FEEDBACK_R21,3,full,h0,90,0.41880820829170357,-0.02026752116319163
CORE_FEEDBACK_R21,3,full,core,87,0.4545071955276014,-0.0054342007424061835
CORE_FEEDBACK_R21,3,full,food,87,0.3944000928606898,-0.04224689023877332
CORE_FEEDBACK_R21,3,full,fuel,87,0.2880523726038208,-0.04024654359111621
CORE_FEEDBACK_R21,3,full,administered,87,1.0115603852936068,-0.1720612797875276
CORE_FEEDBACK_R21,3,full,alcohol_tobacco,87,0.11080057720054058,-0.028293262725589675
CORE_FEEDBACK_R21,3,full,wedge,87,0.12996229318471,0.003267327299764402
CORE_FEEDBACK_R21,3,full,total,87,1.2869735662987234,-0.308845567955242
DAMPED_P95_Q001_R16,3,full,h0,90,0.41880820829170357,-0.02026752116319163
DAMPED_P95_Q001_R16,3,full,core,87,0.467432487016868,-0.001704643998176304
DAMPED_P95_Q001_R16,3,full,food,87,0.3944000928606898,-0.04224689023877332
DAMPED_P95_Q001_R16,3,full,fuel,87,0.2880523726038208,-0.04024654359111621
DAMPED_P95_Q001_R16,3,full,administered,87,1.0115603852936068,-0.1720612797875276
DAMPED_P95_Q001_R16,3,full,alcohol_tobacco,87,0.11080057720054058,-0.028293262725589675
DAMPED_P95_Q001_R16,3,full,wedge,87,0.12996229318471,0.0032673272997644004
DAMPED_P95_Q001_R16,3,full,total,87,1.2908855050570536,-0.3051160112110122
PRESS_DOMESTIC_R23B,3,full,h0,90,0.41880820829170357,-0.02026752116319163
PRESS_DOMESTIC_R23B,3,full,core,87,0.4366865364027678,-0.01902561233264899
PRESS_DOMESTIC_R23B,3,full,food,87,0.3944000928606898,-0.04224689023877332
PRESS_DOMESTIC_R23B,3,full,fuel,87,0.2880523726038208,-0.04024654359111621
PRESS_DOMESTIC_R23B,3,full,administered,87,1.0115603852936068,-0.1720612797875276
PRESS_DOMESTIC_R23B,3,full,alcohol_tobacco,87,0.11080057720054058,-0.028293262725589675
PRESS_DOMESTIC_R23B,3,full,wedge,87,0.12996229318471,0.003267327299764413
PRESS_DOMESTIC_R23B,3,full,total,87,1.3062150393026313,-0.3224369795454848
PRESS_JOINT_R23B,3,full,h0,90,0.41880820829170357,-0.02026752116319163
PRESS_JOINT_R23B,3,full,core,87,0.4339036320214998,-0.011644525247348844
PRESS_JOINT_R23B,3,full,food,87,0.3944000928606898,-0.04224689023877332
PRESS_JOINT_R23B,3,full,fuel,87,0.2880523726038208,-0.04024654359111621
PRESS_JOINT_R23B,3,full,administered,87,1.0115603852936068,-0.1720612797875276
PRESS_JOINT_R23B,3,full,alcohol_tobacco,87,0.11080057720054058,-0.028293262725589675
PRESS_JOINT_R23B,3,full,wedge,87,0.12996229318471003,0.0032673272997644194
PRESS_JOINT_R23B,3,full,total,87,1.3206369852814956,-0.31505589246018467
PRESS_LEVELS_R23B,3,full,h0,90,0.41880820829170357,-0.02026752116319163
PRESS_LEVELS_R23B,3,full,core,87,0.4458177123663174,-0.0047559741151410265
PRESS_LEVELS_R23B,3,full,food,87,0.3944000928606898,-0.04224689023877332
PRESS_LEVELS_R23B,3,full,fuel,87,0.2880523726038208,-0.04024654359111621
PRESS_LEVELS_R23B,3,full,administered,87,1.0115603852936068,-0.1720612797875276
PRESS_LEVELS_R23B,3,full,alcohol_tobacco,87,0.11080057720054058,-0.028293262725589675
PRESS_LEVELS_R23B,3,full,wedge,87,0.12996229318471003,0.0032673272997644207
PRESS_LEVELS_R23B,3,full,total,87,1.3118702757212006,-0.3081673413279769
PRESS_MOMENTUM_R23B,3,full,h0,90,0.41880820829170357,-0.02026752116319163
PRESS_MOMENTUM_R23B,3,full,core,87,0.4507564500609281,0.017993051482560366
PRESS_MOMENTUM_R23B,3,full,food,87,0.3944000928606898,-0.04224689023877332
PRESS_MOMENTUM_R23B,3,full,fuel,87,0.2880523726038208,-0.04024654359111621
PRESS_MOMENTUM_R23B,3,full,administered,87,1.0115603852936068,-0.1720612797875276
PRESS_MOMENTUM_R23B,3,full,alcohol_tobacco,87,0.11080057720054058,-0.028293262725589675
