scope,benchmark,model,metric,h,sample,n,block,draws,seed,eligible_blocks,n_origins_in_blocks,mean_loss_difference,ci_low,ci_high,bootstrap_probability_improvement,status
paired_fast_CORE_FEEDBACK_R21,STATE_FAST_R15,CORE_FEEDBACK_R21,headline_yy,5,recent_targets,31,12,2000,1509,20,31,0.0019408246421361284,-0.02479442288164065,0.061925467285326004,0.2685,ok
paired_fast_CORE_FEEDBACK_R21,STATE_FAST_R15,CORE_FEEDBACK_R21,headline_yy,6,full,84,12,2000,1509,73,84,-0.2912662541250365,-0.8577074035833938,0.009157362315377312,0.9685,ok
paired_fast_CORE_FEEDBACK_R21,STATE_FAST_R15,CORE_FEEDBACK_R21,headline_yy,6,origins_2019_2021,35,12,2000,1509,24,35,-0.31779475608840285,-0.43355562608585774,0.07726348518532228,0.4665,ok
paired_fast_CORE_FEEDBACK_R21,STATE_FAST_R15,CORE_FEEDBACK_R21,headline_yy,6,origins_2022_2023,24,12,2000,1509,13,24,-0.5707793781686932,-0.7782414236156227,-0.13779883487266587,1.0,ok
paired_fast_CORE_FEEDBACK_R21,STATE_FAST_R15,CORE_FEEDBACK_R21,headline_yy,6,origins_2024plus,25,12,2000,1509,14,25,0.014206247705586919,-0.04194280807453538,0.041604272750844856,0.5935,ok
paired_fast_CORE_FEEDBACK_R21,STATE_FAST_R15,CORE_FEEDBACK_R21,headline_yy,6,recent_targets,31,12,2000,1509,20,31,-0.012733867352555883,-0.03779678235670465,0.06983533361828495,0.357,ok
paired_fast_CORE_FEEDBACK_R21,STATE_FAST_R15,CORE_FEEDBACK_R21,headline_yy,7,full,83,12,2000,1509,72,83,-0.37079272348272607,-1.077355783950593,0.006422683914594772,0.9685,ok
paired_fast_CORE_FEEDBACK_R21,STATE_FAST_R15,CORE_FEEDBACK_R21,headline_yy,7,origins_2019_2021,35,12,2000,1509,24,35,-0.4330650448954906,-0.5990970572182759,0.09391631542349273,0.474,ok
paired_fast_CORE_FEEDBACK_R21,STATE_FAST_R15,CORE_FEEDBACK_R21,headline_yy,7,origins_2022_2023,24,12,2000,1509,13,24,-0.6643895446801951,-0.8937176630288483,-0.14560242545879287,1.0,ok
paired_fast_CORE_FEEDBACK_R21,STATE_FAST_R15,CORE_FEEDBACK_R21,headline_yy,7,origins_2024plus,24,12,2000,1509,13,24,0.013617899775024351,-0.057385952808129394,0.043939312981027316,0.686,ok
paired_fast_CORE_FEEDBACK_R21,STATE_FAST_R15,CORE_FEEDBACK_R21,headline_yy,7,recent_targets,31,12,2000,1509,20,31,-0.02695429557093003,-0.057576894271172664,0.07258827951596934,0.44,ok
paired_fast_CORE_FEEDBACK_R21,STATE_FAST_R15,CORE_FEEDBACK_R21,headline_yy,8,full,82,12,2000,1509,71,82,-0.43238528352396355,-1.2601284549272902,0.010690253505333602,0.9595,ok
