threshold,clock,model,sample,n,reports,actual_direction_hits,material_gains,material_losses,mean_abs_gain,median_capture,median_relative_abs_gain,overshoot_beyond_twice
0.5,cutoff,CORE_FEEDBACK_R21,full,25,13,16,13,9,0.4002365349236649,0.27028319697652414,0.11680037686207817,1
0.5,cutoff,CORE_FEEDBACK_R21,reports_2024plus,8,6,5,3,2,-0.013440417034744578,0.04792880342138599,0.04792880342138599,0
0.5,cutoff,DAMPED_P95_Q001_R16,full,25,13,16,11,8,0.41278487056522567,0.09833774426982472,0.03709545987709344,1
0.5,cutoff,DAMPED_P95_Q001_R16,reports_2024plus,8,6,4,2,2,0.009936850350569598,-0.052167378447789535,-0.052167378447789535,0
0.5,cutoff,PRESS_DOMESTIC_R23B,full,25,13,17,15,8,0.3791244119040331,0.3547286527584467,0.3287035669114981,0
0.5,cutoff,PRESS_DOMESTIC_R23B,reports_2024plus,8,6,5,5,3,0.04685799158437137,0.568969782191728,0.44132814233448614,0
0.5,cutoff,PRESS_JOINT_R23B,full,25,13,17,15,8,0.381264023956828,0.2977352018236869,0.290254000042701,0
0.5,cutoff,PRESS_JOINT_R23B,reports_2024plus,8,6,5,4,3,0.06662978075655299,0.5341157129604405,0.3964532568525432,0
0.5,cutoff,PRESS_LEVELS_R23B,full,25,13,16,14,9,0.33664246163602835,0.3547286527584467,0.3269106084794735,0
0.5,cutoff,PRESS_LEVELS_R23B,reports_2024plus,8,6,5,5,3,0.014436413368215911,0.743384315816275,0.5038628755407082,0
0.5,cutoff,PRESS_MOMENTUM_R23B,full,25,13,14,13,8,0.33266328263275224,0.2485975249061207,0.08585898898401445,1
0.5,cutoff,PRESS_MOMENTUM_R23B,reports_2024plus,8,6,4,4,2,0.07477438691258331,0.25112714281932275,0.25112714281932275,0
0.5,cutoff,PRESS_SIGNED_R23B,full,25,13,17,15,8,0.3895655130855631,0.3678284873646408,0.3359601298451547,1
0.5,cutoff,PRESS_SIGNED_R23B,reports_2024plus,8,6,5,4,3,0.04200904903787772,0.39569434904255957,0.31175299579941823,0
0.5,cutoff,PRESS_ULC_R23B,full,25,13,17,15,8,0.37843164382275146,0.3601580830565521,0.3113677883604784,0
0.5,cutoff,PRESS_ULC_R23B,reports_2024plus,8,6,5,5,3,0.04067347830506293,0.536825183576702,0.4337654285858707,0
0.5,cutoff,STABLE_LOCAL_CORE_R14B,full,25,13,14,13,10,-0.01663408116335539,0.17744380981444477,0.16673816714760917,1
0.5,cutoff,STABLE_LOCAL_CORE_R14B,reports_2024plus,8,6,5,5,2,0.21049749251907696,0.56377432522763,0.56377432522763,0
0.5,cutoff,STATE_FAST_R15,full,25,13,16,13,8,0.3378968743428,0.3269106084794735,0.11433610877962301,0
0.5,cutoff,STATE_FAST_R15,reports_2024plus,8,6,5,4,2,0.07187766066004392,0.30116716266160637,0.30116716266160637,0
0.5,report,CORE_FEEDBACK_R21,full,25,13,17,13,8,0.4922858394630775,0.24349255542430828,0.18350741077649838,1
0.5,report,CORE_FEEDBACK_R21,reports_2024plus,8,6,6,3,1,0.02328932626734312,0.2296369686938823,0.18624907559386944,0
0.5,report,DAMPED_P95_Q001_R16,full,25,13,15,12,8,0.48028452786031245,0.2515866165024032,0.16439551692569673,2
0.5,report,DAMPED_P95_Q001_R16,reports_2024plus,8,6,4,3,1,0.024844156680547985,0.09746022487915378,0.08649702286648035,0
0.5,report,PRESS_DOMESTIC_R23B,full,25,13,17,13,7,0.5067577944593694,0.3411278194696015,0.1658194704814942,1
0.5,report,PRESS_DOMESTIC_R23B,reports_2024plus,8,6,5,4,2,0.0928636999025951,0.662398818271438,0.3479364111217259,0
0.5,report,PRESS_JOINT_R23B,full,25,13,16,15,5,0.5757920750756104,0.3709439844562232,0.23880427401930282,0
0.5,report,PRESS_JOINT_R23B,reports_2024plus,8,6,5,5,2,0.10804871307767994,0.6255949718439625,0.29425598910848966,0
0.5,report,PRESS_LEVELS_R23B,full,25,13,16,13,9,0.46247990110838744,0.3411278194696015,0.1658194704814942,1
0.5,report,PRESS_LEVELS_R23B,reports_2024plus,8,6,5,4,2,0.049756689462240516,0.7782897725898025,0.3110310024665436,0
0.5,report,PRESS_MOMENTUM_R23B,full,25,13,16,13,9,0.5253371097319909,0.24171650389032445,0.23334693216214175,1
0.5,report,PRESS_MOMENTUM_R23B,reports_2024plus,8,6,6,4,2,0.10090145152816174,0.3717717698326359,0.23649412435728223,0
0.5,report,PRESS_SIGNED_R23B,full,25,13,18,14,8,0.5905806140413128,0.3678284873646408,0.224340073700719,1
0.5,report,PRESS_SIGNED_R23B,reports_2024plus,8,6,6,4,2,0.08751817893771371,0.5209641586944522,0.2610785724731097,0
0.5,report,PRESS_ULC_R23B,full,25,13,16,13,8,0.5368905883295718,0.3539013567728275,0.16672573588839815,1
0.5,report,PRESS_ULC_R23B,reports_2024plus,8,6,5,4,2,0.08452953711977088,0.6280631126602562,0.33687961408038725,0
0.5,report,STABLE_LOCAL_CORE_R14B,full,25,13,17,14,9,0.14757563241646549,0.16673816714760917,0.1286511634112748,1
0.5,report,STABLE_LOCAL_CORE_R14B,reports_2024plus,8,6,6,5,2,0.20380414446506473,0.5796098988262293,0.3462479111193053,0
0.5,report,STATE_FAST_R15,full,25,13,17,14,9,0.4608856350119926,0.3411278194696015,0.1658194704814942,1
0.5,report,STATE_FAST_R15,reports_2024plus,8,6,6,5,2,0.10568420012010615,0.45944007034518297,0.3241624248698294,0
1.0,cutoff,CORE_FEEDBACK_R21,full,13,4,9,8,5,0.9881214216886852,0.35808889041832803,0.34104381881509876,1
1.0,cutoff,CORE_FEEDBACK_R21,reports_2024plus,0,0,0,0,0,,,,0
1.0,cutoff,DAMPED_P95_Q001_R16,full,13,4,10,8,4,1.0055547266621285,0.3608556705020722,0.3343494458416257,1
1.0,cutoff,DAMPED_P95_Q001_R16,reports_2024plus,0,0,0,0,0,,,,0
