model,h,sample,n,n_active,correlation,mean_needed,mean_applied,sign_agreement
PRESS_ULC_R23B,3,full,87,46,0.32594312997312525,0.004941237409762094,-0.031259723333675174,0.6739130434782609
PRESS_ULC_R23B,3,origins_2024plus,28,28,0.03125408429603557,0.013764320365533449,0.058232549518762215,0.5
PRESS_DOMESTIC_R23B,3,full,87,43,0.25575810791753695,0.004941237409762094,-0.023497394433285697,0.6744186046511628
PRESS_DOMESTIC_R23B,3,origins_2024plus,28,28,0.03295124280423366,0.013764320365533449,0.060845592992886444,0.5
PRESS_MOMENTUM_R23B,3,full,87,55,0.11254341909334906,0.004941237409762094,0.0405886071210822,0.6
PRESS_MOMENTUM_R23B,3,origins_2024plus,28,19,-0.3657679750930237,0.013764320365533449,-0.04205900028489819,0.42105263157894735
PRESS_JOINT_R23B,3,full,87,58,0.2697616706703664,0.004941237409762094,-0.012054404516594045,0.603448275862069
PRESS_JOINT_R23B,3,origins_2024plus,28,28,-0.1125949699407829,0.013764320365533449,0.009885961248118833,0.39285714285714285
PRESS_SIGNED_R23B,3,full,87,52,0.20841489655337436,0.004941237409762094,-0.02364436828399438,0.6153846153846154
PRESS_SIGNED_R23B,3,origins_2024plus,28,28,-0.06757875716549859,0.013764320365533449,-0.015338803874686039,0.42857142857142855
PRESS_LEVELS_R23B,3,full,87,46,0.13660345677133745,0.004941237409762094,0.0022527323985203533,0.6521739130434783
PRESS_LEVELS_R23B,3,origins_2024plus,28,28,0.040046089381428646,0.013764320365533449,0.05852970075150111,0.5
CORE_FEEDBACK_R21,3,full,87,74,0.019686536764797896,0.004941237409762094,-0.002040555052004928,0.4594594594594595
CORE_FEEDBACK_R21,3,origins_2024plus,28,28,0.06684072338864133,0.013764320365533449,-0.10390425220222703,0.39285714285714285
PRESS_ULC_R23B,6,full,84,63,0.4237958001365066,0.013017378827077668,-0.1076852519782792,0.6825396825396826
PRESS_ULC_R23B,6,origins_2024plus,25,25,0.15415656992713797,0.058306343743327244,0.13913508784121842,0.56
PRESS_DOMESTIC_R23B,6,full,84,51,0.26506311322329523,0.013017378827077668,-0.07303621006677671,0.6274509803921569
PRESS_DOMESTIC_R23B,6,origins_2024plus,25,25,0.16232607029530235,0.058306343743327244,0.1534297673512914,0.56
PRESS_MOMENTUM_R23B,6,full,84,69,0.03225290148163881,0.013017378827077668,0.09009346544693446,0.5652173913043478
PRESS_MOMENTUM_R23B,6,origins_2024plus,25,16,-0.41045635101483047,0.058306343743327244,-0.04343508559391667,0.4375
PRESS_JOINT_R23B,6,full,84,69,0.27743347159016685,0.013017378827077668,-0.06163683995227472,0.6086956521739131
PRESS_JOINT_R23B,6,origins_2024plus,25,25,0.1367496715729274,0.058306343743327244,0.008420236944928172,0.52
PRESS_SIGNED_R23B,6,full,84,60,0.2189006751966171,0.013017378827077668,-0.07794090196622364,0.6
PRESS_SIGNED_R23B,6,origins_2024plus,25,25,0.07211867903117937,0.058306343743327244,-0.006815804675334655,0.52
PRESS_LEVELS_R23B,6,full,84,54,0.14323267772612203,0.013017378827077668,0.029525200286280986,0.6481481481481481
PRESS_LEVELS_R23B,6,origins_2024plus,25,25,0.11290433447714765,0.058306343743327244,0.2607970243008285,0.56
CORE_FEEDBACK_R21,6,full,84,71,-0.05167703855895232,0.013017378827077668,-0.004139047319117849,0.4788732394366197
CORE_FEEDBACK_R21,6,origins_2024plus,25,25,0.13585570387816634,0.058306343743327244,-0.20283784879329525,0.48
PRESS_ULC_R23B,12,full,78,57,0.42555787022835684,-0.0016394078502647718,-0.1463557792583663,0.7017543859649122
PRESS_ULC_R23B,12,origins_2024plus,19,19,0.30328990212029366,0.0425773617165805,0.05832566210807019,0.6842105263157895
PRESS_DOMESTIC_R23B,12,full,78,45,0.25736113855399323,-0.0016394078502647718,-0.11170282480157374,0.7111111111111111
PRESS_DOMESTIC_R23B,12,origins_2024plus,19,19,0.3044210133160177,0.0425773617165805,0.06620871025625129,0.6842105263157895
PRESS_MOMENTUM_R23B,12,full,78,63,-0.09133775765048877,-0.0016394078502647718,0.1065510018212279,0.5238095238095238
PRESS_MOMENTUM_R23B,12,origins_2024plus,19,10,-0.3694501872800403,0.0425773617165805,-0.01803947870182302,0.2
PRESS_JOINT_R23B,12,full,78,63,0.18174175242756602,-0.0016394078502647718,-0.08666599579754711,0.6190476190476191
PRESS_JOINT_R23B,12,origins_2024plus,19,19,0.2870495652475783,0.0425773617165805,-0.07220774697865202,0.631578947368421
PRESS_SIGNED_R23B,12,full,78,54,0.11199018516511931,-0.0016394078502647718,-0.09512143058498382,0.6296296296296297
PRESS_SIGNED_R23B,12,origins_2024plus,19,19,0.27188966301311246,0.0425773617165805,-0.05488583880785931,0.6842105263157895
PRESS_LEVELS_R23B,12,full,78,48,0.14218561475184063,-0.0016394078502647718,-0.006727968448051127,0.7291666666666666
PRESS_LEVELS_R23B,12,origins_2024plus,19,19,0.2702821731882,0.0425773617165805,0.18500143392237475,0.6842105263157895
CORE_FEEDBACK_R21,12,full,78,65,-0.1944238232280295,-0.0016394078502647718,-0.002201192077524968,0.38461538461538464
CORE_FEEDBACK_R21,12,origins_2024plus,19,19,0.011536709688255709,0.0425773617165805,-0.38974192439981836,0.3684210526315789
