sample,h,model,control,n,mse_difference,ci_low,ci_high,block_length,replicates,seed
full,1,FOOD_STABLE_PIPELINE_R14B,INDEPENDENT_BRIDGE,88,-0.001130968109090605,-0.03841647201571393,0.034020399187380486,12,2000,1410
full,1,FOOD_STABLE_OWN_AR_R14B,INDEPENDENT_BRIDGE,88,0.018549347294132948,-0.032701646830333664,0.07838309885031704,12,2000,1410
full,1,FOOD_STABLE_PIPELINE_R14B,FOOD_STABLE_OWN_AR_R14B,89,-0.019479608478584914,-0.04807215768077137,-0.0017769467631581087,12,2000,1410
full,2,FOOD_STABLE_PIPELINE_R14B,INDEPENDENT_BRIDGE,86,-0.0035245332067767535,-0.10017465692569644,0.1092590907504929,12,2000,1410
full,2,FOOD_STABLE_OWN_AR_R14B,INDEPENDENT_BRIDGE,86,0.04770625063401506,-0.07274340625225367,0.21682140376381576,12,2000,1410
full,2,FOOD_STABLE_PIPELINE_R14B,FOOD_STABLE_OWN_AR_R14B,88,-0.05018208731913052,-0.12695039941931027,-0.004106874300929001,12,2000,1410
full,3,FOOD_STABLE_PIPELINE_R14B,INDEPENDENT_BRIDGE,84,-0.009256099750337568,-0.18763718520748193,0.1690552779500831,12,2000,1410
full,3,FOOD_STABLE_OWN_AR_R14B,INDEPENDENT_BRIDGE,84,0.0676377061299801,-0.14573056899044878,0.31442401789958446,12,2000,1410
full,3,FOOD_STABLE_PIPELINE_R14B,FOOD_STABLE_OWN_AR_R14B,87,-0.07474040764547135,-0.1848725004042227,-0.002713396258369744,12,2000,1410
full,4,FOOD_STABLE_PIPELINE_R14B,INDEPENDENT_BRIDGE,83,-0.07638058574600197,-0.36924813590348854,0.1602700456164375,12,2000,1410
full,4,FOOD_STABLE_OWN_AR_R14B,INDEPENDENT_BRIDGE,83,-0.02625269238110673,-0.38974697980131223,0.305416921534389,12,2000,1410
full,4,FOOD_STABLE_PIPELINE_R14B,FOOD_STABLE_OWN_AR_R14B,86,-0.04908377310231937,-0.16629071745736126,0.04113854594264762,12,2000,1410
full,5,FOOD_STABLE_PIPELINE_R14B,INDEPENDENT_BRIDGE,82,-0.10095824202849357,-0.49118027275747234,0.1987097478811797,12,2000,1410
full,5,FOOD_STABLE_OWN_AR_R14B,INDEPENDENT_BRIDGE,82,-0.07850447946021552,-0.5377289510271022,0.3402677718820762,12,2000,1410
full,5,FOOD_STABLE_PIPELINE_R14B,FOOD_STABLE_OWN_AR_R14B,85,-0.022359265097185253,-0.16140978348712606,0.11297961337384013,12,2000,1410
full,6,FOOD_STABLE_PIPELINE_R14B,INDEPENDENT_BRIDGE,81,-0.037068530991955194,-0.37427786170895516,0.30171375434877507,12,2000,1410
full,6,FOOD_STABLE_OWN_AR_R14B,INDEPENDENT_BRIDGE,81,-0.000905371562812392,-0.5192202118575835,0.4908307243440308,12,2000,1410
full,6,FOOD_STABLE_PIPELINE_R14B,FOOD_STABLE_OWN_AR_R14B,84,-0.03538851705294482,-0.18799836049085825,0.12279244875263723,12,2000,1410
full,7,FOOD_STABLE_PIPELINE_R14B,INDEPENDENT_BRIDGE,80,0.015975275659815224,-0.31395387301976657,0.4274351727529386,12,2000,1410
full,7,FOOD_STABLE_OWN_AR_R14B,INDEPENDENT_BRIDGE,80,0.11111357642483292,-0.33344279741504407,0.6625000103644704,12,2000,1410
full,7,FOOD_STABLE_PIPELINE_R14B,FOOD_STABLE_OWN_AR_R14B,83,-0.09230747399822561,-0.2511556728807986,0.04239109046222126,12,2000,1410
full,8,FOOD_STABLE_PIPELINE_R14B,INDEPENDENT_BRIDGE,79,0.10232463208793997,-0.24199025798202417,0.5548212438528961,12,2000,1410
full,8,FOOD_STABLE_OWN_AR_R14B,INDEPENDENT_BRIDGE,79,0.2693353826024431,-0.16758060332630614,0.8639777553984359,12,2000,1410
full,8,FOOD_STABLE_PIPELINE_R14B,FOOD_STABLE_OWN_AR_R14B,82,-0.16199438821808276,-0.3712029590997572,-0.011272395717036988,12,2000,1410
full,9,FOOD_STABLE_PIPELINE_R14B,INDEPENDENT_BRIDGE,78,0.11457894785256151,-0.3724417841945247,0.7126687540280858,12,2000,1410
full,9,FOOD_STABLE_OWN_AR_R14B,INDEPENDENT_BRIDGE,78,0.275246140488017,-0.35922698760517907,1.0829274302979817,12,2000,1410
full,9,FOOD_STABLE_PIPELINE_R14B,FOOD_STABLE_OWN_AR_R14B,81,-0.15661209197234527,-0.4062206228247054,0.026336788734548585,12,2000,1410
full,10,FOOD_STABLE_PIPELINE_R14B,INDEPENDENT_BRIDGE,77,0.09108405423506312,-0.5427844199226132,0.8607343911553744,12,2000,1410
full,10,FOOD_STABLE_OWN_AR_R14B,INDEPENDENT_BRIDGE,77,0.22157358903341923,-0.5842654923779732,1.220279709527237,12,2000,1410
full,10,FOOD_STABLE_PIPELINE_R14B,FOOD_STABLE_OWN_AR_R14B,80,-0.12842446319545267,-0.4297029164100224,0.10176019912495811,12,2000,1410
full,11,FOOD_STABLE_PIPELINE_R14B,INDEPENDENT_BRIDGE,76,0.06155437527491686,-0.7591452536817858,0.9495466042297858,12,2000,1410
full,11,FOOD_STABLE_OWN_AR_R14B,INDEPENDENT_BRIDGE,76,0.13414853478680186,-0.9834231381884516,1.3213892331406112,12,2000,1410
full,11,FOOD_STABLE_PIPELINE_R14B,FOOD_STABLE_OWN_AR_R14B,79,-0.07314063280704292,-0.4075870654452766,0.21865421871836743,12,2000,1410
full,12,FOOD_STABLE_PIPELINE_R14B,INDEPENDENT_BRIDGE,75,0.030872175890920957,-0.8566572961295809,1.061745521317686,12,2000,1410
full,12,FOOD_STABLE_OWN_AR_R14B,INDEPENDENT_BRIDGE,75,0.06169016316340053,-1.1980410357206113,1.5231864177962942,12,2000,1410
full,12,FOOD_STABLE_PIPELINE_R14B,FOOD_STABLE_OWN_AR_R14B,78,-0.032688418726351205,-0.40560077740160244,0.30730513387589115,12,2000,1410
recent_targets,1,FOOD_STABLE_PIPELINE_R14B,INDEPENDENT_BRIDGE,31,-0.00641685685963017,-0.020898254144133706,0.008161766638274072,12,2000,1410
recent_targets,1,FOOD_STABLE_OWN_AR_R14B,INDEPENDENT_BRIDGE,31,-0.0044395276364815025,-0.017337187321399862,0.010253219960209194,12,2000,1410
recent_targets,1,FOOD_STABLE_PIPELINE_R14B,FOOD_STABLE_OWN_AR_R14B,31,-0.0019773292231486665,-0.00686842368242115,0.002571166831636714,12,2000,1410
recent_targets,2,FOOD_STABLE_PIPELINE_R14B,INDEPENDENT_BRIDGE,31,-0.043611838947479775,-0.08883857921090334,0.002954847248034582,12,2000,1410
recent_targets,2,FOOD_STABLE_OWN_AR_R14B,INDEPENDENT_BRIDGE,31,-0.044702586875339886,-0.09334437014194596,0.005635158489299898,12,2000,1410
recent_targets,2,FOOD_STABLE_PIPELINE_R14B,FOOD_STABLE_OWN_AR_R14B,31,0.0010907479278601062,-0.007157957294714442,0.00813303944580244,12,2000,1410
recent_targets,3,FOOD_STABLE_PIPELINE_R14B,INDEPENDENT_BRIDGE,31,-0.027278109313262244,-0.07679713852835633,0.025905232271045898,12,2000,1410
recent_targets,3,FOOD_STABLE_OWN_AR_R14B,INDEPENDENT_BRIDGE,31,-0.03471955184267979,-0.09374545039042986,0.02863021008697418,12,2000,1410
recent_targets,3,FOOD_STABLE_PIPELINE_R14B,FOOD_STABLE_OWN_AR_R14B,31,0.007441442529417548,-0.007250362835811834,0.020017654154858663,12,2000,1410
recent_targets,4,FOOD_STABLE_PIPELINE_R14B,INDEPENDENT_BRIDGE,31,-0.013565382590596385,-0.07336492880449269,0.0466338051885082,12,2000,1410
recent_targets,4,FOOD_STABLE_OWN_AR_R14B,INDEPENDENT_BRIDGE,31,-0.013095009688433204,-0.08965381571715123,0.06165473287347867,12,2000,1410
recent_targets,4,FOOD_STABLE_PIPELINE_R14B,FOOD_STABLE_OWN_AR_R14B,31,-0.0004703729021631751,-0.02632228392967593,0.020600939486221832,12,2000,1410
recent_targets,5,FOOD_STABLE_PIPELINE_R14B,INDEPENDENT_BRIDGE,31,-0.013389016055457286,-0.07048433466521925,0.03949822677973067,12,2000,1410
recent_targets,5,FOOD_STABLE_OWN_AR_R14B,INDEPENDENT_BRIDGE,31,-0.00832813570282618,-0.09798936127848254,0.06741532367208106,12,2000,1410
recent_targets,5,FOOD_STABLE_PIPELINE_R14B,FOOD_STABLE_OWN_AR_R14B,31,-0.005060880352631113,-0.04781481116814572,0.028123519454603205,12,2000,1410
recent_targets,6,FOOD_STABLE_PIPELINE_R14B,INDEPENDENT_BRIDGE,31,-0.027883308792459184,-0.067454186984596,0.005953959716118362,12,2000,1410
recent_targets,6,FOOD_STABLE_OWN_AR_R14B,INDEPENDENT_BRIDGE,31,-0.00024064836117161428,-0.07693335563980935,0.07586824405920596,12,2000,1410
