origin,n_train,train_start,train_end,contraction,unconstrained_spectral_radius,spectral_radius,model,status,anchor_month
2019-02,42,2015-08,2019-01,1.0,0.6055898016897628,0.6055898016897628,FOOD_STABLE_PIPELINE_R14B,estimated,2019-01
2019-02,42,2015-08,2019-01,1.0,0.4396564031154634,0.4396564031154634,FOOD_STABLE_OWN_AR_R14B,estimated,2019-01
2019-03,43,2015-08,2019-02,1.0,0.6276304852123133,0.6276304852123133,FOOD_STABLE_PIPELINE_R14B,estimated,2019-02
2019-03,43,2015-08,2019-02,1.0,0.4349123660269328,0.4349123660269328,FOOD_STABLE_OWN_AR_R14B,estimated,2019-02
2019-04,44,2015-08,2019-03,1.0,0.6264732115725999,0.6264732115725999,FOOD_STABLE_PIPELINE_R14B,estimated,2019-03
2019-04,44,2015-08,2019-03,1.0,0.42942259023650575,0.42942259023650575,FOOD_STABLE_OWN_AR_R14B,estimated,2019-03
2019-05,45,2015-08,2019-04,1.0,0.640330852922967,0.640330852922967,FOOD_STABLE_PIPELINE_R14B,estimated,2019-04
2019-05,45,2015-08,2019-04,1.0,0.43290732535037135,0.43290732535037135,FOOD_STABLE_OWN_AR_R14B,estimated,2019-04
2019-06,46,2015-08,2019-05,1.0,0.653532514205153,0.653532514205153,FOOD_STABLE_PIPELINE_R14B,estimated,2019-05
2019-06,46,2015-08,2019-05,1.0,0.4742128196563906,0.4742128196563906,FOOD_STABLE_OWN_AR_R14B,estimated,2019-05
2019-07,47,2015-08,2019-06,1.0,0.654078857563416,0.654078857563416,FOOD_STABLE_PIPELINE_R14B,estimated,2019-06
2019-07,47,2015-08,2019-06,1.0,0.47268113787207033,0.47268113787207033,FOOD_STABLE_OWN_AR_R14B,estimated,2019-06
2019-08,48,2015-08,2019-07,1.0,0.6273084867748423,0.6273084867748423,FOOD_STABLE_PIPELINE_R14B,estimated,2019-07
2019-08,48,2015-08,2019-07,1.0,0.4740679499392213,0.4740679499392213,FOOD_STABLE_OWN_AR_R14B,estimated,2019-07
2019-09,49,2015-08,2019-08,1.0,0.6007708360850408,0.6007708360850408,FOOD_STABLE_PIPELINE_R14B,estimated,2019-08
2019-09,49,2015-08,2019-08,1.0,0.47200977511568437,0.47200977511568437,FOOD_STABLE_OWN_AR_R14B,estimated,2019-08
2019-10,50,2015-08,2019-09,1.0,0.6118714185154247,0.6118714185154247,FOOD_STABLE_PIPELINE_R14B,estimated,2019-09
2019-10,50,2015-08,2019-09,1.0,0.46569809899897185,0.46569809899897185,FOOD_STABLE_OWN_AR_R14B,estimated,2019-09
2019-11,51,2015-08,2019-10,1.0,0.598486706623713,0.598486706623713,FOOD_STABLE_PIPELINE_R14B,estimated,2019-10
2019-11,51,2015-08,2019-10,1.0,0.473492930001734,0.473492930001734,FOOD_STABLE_OWN_AR_R14B,estimated,2019-10
2019-12,52,2015-08,2019-11,1.0,0.6214624436281,0.6214624436281,FOOD_STABLE_PIPELINE_R14B,estimated,2019-11
2019-12,52,2015-08,2019-11,1.0,0.45688446737802285,0.45688446737802285,FOOD_STABLE_OWN_AR_R14B,estimated,2019-11
2020-01,53,2015-08,2019-12,1.0,0.621147157154369,0.621147157154369,FOOD_STABLE_PIPELINE_R14B,estimated,2019-12
2020-01,53,2015-08,2019-12,1.0,0.458233629734166,0.458233629734166,FOOD_STABLE_OWN_AR_R14B,estimated,2019-12
2020-02,54,2015-08,2020-01,1.0,0.6214868272806744,0.6214868272806744,FOOD_STABLE_PIPELINE_R14B,estimated,2020-01
