month,books_stationery
2015-01,99.900000000000006
2015-02,99.400000000000006
2015-03,99.900000000000006
2015-04,100
2015-05,100.5
2015-06,99.900000000000006
2015-07,100.09999999999999
2015-08,99.400000000000006
2015-09,99.200000000000003
2015-10,100.40000000000001
2015-11,100.5
2015-12,100.7
2016-01,100.40000000000001
2016-02,100.8
2016-03,100.59999999999999
2016-04,100.40000000000001
2016-05,100.7
2016-06,100.90000000000001
2016-07,100.5
2016-08,100.2
2016-09,99.599999999999994
2016-10,100.2
2016-11,100.7
2016-12,100.5
2017-01,100.7
2017-02,100.8
2017-03,101.59999999999999
2017-04,101.3
2017-05,101.40000000000001
2017-06,101.09999999999999
2017-07,101.2
2017-08,100.8
2017-09,100.59999999999999
2017-10,101.2
2017-11,101.7
2017-12,102.5
2018-01,102.5
2018-02,102.90000000000001
2018-03,103
2018-04,103.5
2018-05,103
2018-06,103.3
2018-07,103.2
2018-08,102.59999999999999
2018-09,102.40000000000001
2018-10,103.3
2018-11,104.3
2018-12,104.40000000000001
2019-01,103.90000000000001
2019-02,104.09999999999999
2019-03,104.40000000000001
2019-04,104.09999999999999
2019-05,104.2
2019-06,104.5
2019-07,104.5
2019-08,103.8
2019-09,104.2
2019-10,106.09999999999999
2019-11,106.40000000000001
2019-12,107.7
2020-01,107.90000000000001
2020-02,107.59999999999999
2020-03,107.8
2020-04,106.40000000000001
2020-05,107.2
2020-06,107.3
2020-07,107.2
2020-08,105.90000000000001
2020-09,105.2
2020-10,107
2020-11,107
2020-12,108.09999999999999
2021-01,106.59999999999999
2021-02,106.7
2021-03,106.7
2021-04,106.90000000000001
2021-05,108.40000000000001
2021-06,108.90000000000001
2021-07,109.59999999999999
2021-08,109.3
2021-09,110.40000000000001
2021-10,112
2021-11,112.09999999999999
2021-12,113.5
2022-01,114.8
2022-02,115.8
2022-03,117.5
2022-04,118.90000000000001
2022-05,119.90000000000001
2022-06,121.3
2022-07,121.59999999999999
2022-08,121
2022-09,121.40000000000001
2022-10,125.8
2022-11,127.2
2022-12,128.30000000000001
2023-01,129.59999999999999
2023-02,130.09999999999999
2023-03,131
2023-04,131.40000000000001
2023-05,132.30000000000001
2023-06,133
2023-07,133.09999999999999
2023-08,131
2023-09,130.19999999999999
2023-10,132.09999999999999
2023-11,132
2023-12,135.69999999999999
2024-01,135.5
2024-02,135.69999999999999
2024-03,135.19999999999999
2024-04,135.19999999999999
2024-05,135.80000000000001
2024-06,134.80000000000001
2024-07,136
2024-08,133.30000000000001
2024-09,132.80000000000001
2024-10,136
2024-11,136.5
2024-12,139.09999999999999
2025-01,140
2025-02,139.59999999999999
2025-03,139.69999999999999
2025-04,140.30000000000001
2025-05,141.5
2025-06,141.19999999999999
2025-07,140.69999999999999
2025-08,139.09999999999999
2025-09,139
2025-10,141.19999999999999
2025-11,142.90000000000001
2025-12,143.40000000000001
2026-01,143.69999999999999
2026-02,143.09999999999999
2026-03,144.5
2026-04,145
2026-05,145.30000000000001
2026-06,145.19999999999999
2026-07,144.40000000000001
2026-08,142.90000000000001
