basket_effective_year,source_file,sheet_name,excel_row,column_1,column_2,column_3,column_4,column_5
2014,C:\Users\luis_\Documents\Codex\2026-09-05\c-users-luis-appdata-local-temp\work\cpi-independent\data\baskets\spot_kos2014.xlsx,List1,364,04.1,Nájemné z bytu, , ,45.200602
2014,C:\Users\luis_\Documents\Codex\2026-09-05\c-users-luis-appdata-local-temp\work\cpi-independent\data\baskets\spot_kos2014.xlsx,List1,381,04.2,Imputované nájemné za bydlení, , ,92.955475
2014,C:\Users\luis_\Documents\Codex\2026-09-05\c-users-luis-appdata-local-temp\work\cpi-independent\data\baskets\spot_kos2014.xlsx,List1,868,09.6,Dovolená s komplexními službami, , ,19.132667
2014,C:\Users\luis_\Documents\Codex\2026-09-05\c-users-luis-appdata-local-temp\work\cpi-independent\data\baskets\spot_kos2014.xlsx,List1,916,11,STRAVOVÁNÍ  A UBYTOVÁNÍ, , ,55.573088
2014,C:\Users\luis_\Documents\Codex\2026-09-05\c-users-luis-appdata-local-temp\work\cpi-independent\data\baskets\spot_kos2014.xlsx,List1,917,11.1,Stravovací služby, , ,48.163825
2014,C:\Users\luis_\Documents\Codex\2026-09-05\c-users-luis-appdata-local-temp\work\cpi-independent\data\baskets\spot_kos2014.xlsx,List1,965,11.2,Ubytovací služby, , ,7.409263
2014,C:\Users\luis_\Documents\Codex\2026-09-05\c-users-luis-appdata-local-temp\work\cpi-independent\data\baskets\spot_kos2014.xlsx,List1,976,12,OSTATNÍ ZBOŽÍ A SLUŽBY, , ,68.3017
2016,C:\Users\luis_\Documents\Codex\2026-09-05\c-users-luis-appdata-local-temp\work\cpi-independent\data\baskets\spot_kos2016.xlsx,List1,364,04.1,Nájemné z bytu, , ,35.253288
2016,C:\Users\luis_\Documents\Codex\2026-09-05\c-users-luis-appdata-local-temp\work\cpi-independent\data\baskets\spot_kos2016.xlsx,List1,377,04.2,Imputované nájemné za bydlení, , ,86.977832
2016,C:\Users\luis_\Documents\Codex\2026-09-05\c-users-luis-appdata-local-temp\work\cpi-independent\data\baskets\spot_kos2016.xlsx,List1,863,09.6,Dovolená s komplexními službami, , ,19.786038
2016,C:\Users\luis_\Documents\Codex\2026-09-05\c-users-luis-appdata-local-temp\work\cpi-independent\data\baskets\spot_kos2016.xlsx,List1,910,11,STRAVOVÁNÍ  A UBYTOVÁNÍ, , ,58.111424
2016,C:\Users\luis_\Documents\Codex\2026-09-05\c-users-luis-appdata-local-temp\work\cpi-independent\data\baskets\spot_kos2016.xlsx,List1,911,11.1,Stravovací služby, , ,50.461515
2016,C:\Users\luis_\Documents\Codex\2026-09-05\c-users-luis-appdata-local-temp\work\cpi-independent\data\baskets\spot_kos2016.xlsx,List1,958,11.2,Ubytovací služby, , ,7.649909
2016,C:\Users\luis_\Documents\Codex\2026-09-05\c-users-luis-appdata-local-temp\work\cpi-independent\data\baskets\spot_kos2016.xlsx,List1,969,12,OSTATNÍ ZBOŽÍ A SLUŽBY, , ,69.225464
2018,C:\Users\luis_\Documents\Codex\2026-09-05\c-users-luis-appdata-local-temp\work\cpi-independent\data\baskets\spot_kos2018.xlsx,List1,358,E04.1,Nájemné z bytu, , ,33.660201
2018,C:\Users\luis_\Documents\Codex\2026-09-05\c-users-luis-appdata-local-temp\work\cpi-independent\data\baskets\spot_kos2018.xlsx,List1,370,E04.2,Imputované nájemné za bydlení (náklady vlastnického bydlení), , ,103.857336
2018,C:\Users\luis_\Documents\Codex\2026-09-05\c-users-luis-appdata-local-temp\work\cpi-independent\data\baskets\spot_kos2018.xlsx,List1,895,E09.6,Dovolená s komplexními službami, , ,19.182249
2018,C:\Users\luis_\Documents\Codex\2026-09-05\c-users-luis-appdata-local-temp\work\cpi-independent\data\baskets\spot_kos2018.xlsx,List1,941,E11,STRAVOVÁNÍ A UBYTOVÁNÍ, , ,59.129828
2018,C:\Users\luis_\Documents\Codex\2026-09-05\c-users-luis-appdata-local-temp\work\cpi-independent\data\baskets\spot_kos2018.xlsx,List1,942,E11.1,Stravovací služby, , ,51.351304
2018,C:\Users\luis_\Documents\Codex\2026-09-05\c-users-luis-appdata-local-temp\work\cpi-independent\data\baskets\spot_kos2018.xlsx,List1,982,E11.2,Ubytovací služby, , ,7.778524
2018,C:\Users\luis_\Documents\Codex\2026-09-05\c-users-luis-appdata-local-temp\work\cpi-independent\data\baskets\spot_kos2018.xlsx,List1,995,E12,OSTATNÍ ZBOŽÍ A SLUŽBY, , ,67.238258
2020,C:\Users\luis_\Documents\Codex\2026-09-05\c-users-luis-appdata-local-temp\work\cpi-independent\data\baskets\spot_kos2020.xlsx,List1,358,E04.1,Nájemné z bytu, , ,36.321093
2020,C:\Users\luis_\Documents\Codex\2026-09-05\c-users-luis-appdata-local-temp\work\cpi-independent\data\baskets\spot_kos2020.xlsx,List1,370,E04.2,Imputované nájemné za bydlení (náklady vlastnického bydlení), , ,106.143269
2020,C:\Users\luis_\Documents\Codex\2026-09-05\c-users-luis-appdata-local-temp\work\cpi-independent\data\baskets\spot_kos2020.xlsx,List1,896,E09.6,Dovolená s komplexními službami, , ,19.151497
2020,C:\Users\luis_\Documents\Codex\2026-09-05\c-users-luis-appdata-local-temp\work\cpi-independent\data\baskets\spot_kos2020.xlsx,List1,941,E11,STRAVOVÁNÍ A UBYTOVÁNÍ, , ,63.529392
2020,C:\Users\luis_\Documents\Codex\2026-09-05\c-users-luis-appdata-local-temp\work\cpi-independent\data\baskets\spot_kos2020.xlsx,List1,942,E11.1,Stravovací služby, , ,54.804978
2020,C:\Users\luis_\Documents\Codex\2026-09-05\c-users-luis-appdata-local-temp\work\cpi-independent\data\baskets\spot_kos2020.xlsx,List1,982,E11.2,Ubytovací služby, , ,8.724414
2020,C:\Users\luis_\Documents\Codex\2026-09-05\c-users-luis-appdata-local-temp\work\cpi-independent\data\baskets\spot_kos2020.xlsx,List1,994,E12,OSTATNÍ ZBOŽÍ A SLUŽBY, , ,63.380252
2022,C:\Users\luis_\Documents\Codex\2026-09-05\c-users-luis-appdata-local-temp\work\cpi-independent\data\baskets\spot_kos2022.xlsx,List1,179,E04.1,Nájemné z bytu, , ,33.478171
2022,C:\Users\luis_\Documents\Codex\2026-09-05\c-users-luis-appdata-local-temp\work\cpi-independent\data\baskets\spot_kos2022.xlsx,List1,191,E04.2,Imputované nájemné za bydlení (náklady vlastnického bydlení), , ,122.207014
2022,C:\Users\luis_\Documents\Codex\2026-09-05\c-users-luis-appdata-local-temp\work\cpi-independent\data\baskets\spot_kos2022.xlsx,List1,693,E09.6,Dovolená s komplexními službami, , ,16.949289
2022,C:\Users\luis_\Documents\Codex\2026-09-05\c-users-luis-appdata-local-temp\work\cpi-independent\data\baskets\spot_kos2022.xlsx,List1,727,E11,STRAVOVÁNÍ A UBYTOVÁNÍ, , ,57.909566
2022,C:\Users\luis_\Documents\Codex\2026-09-05\c-users-luis-appdata-local-temp\work\cpi-independent\data\baskets\spot_kos2022.xlsx,List1,728,E11.1,Stravovací služby, , ,51.302108
2022,C:\Users\luis_\Documents\Codex\2026-09-05\c-users-luis-appdata-local-temp\work\cpi-independent\data\baskets\spot_kos2022.xlsx,List1,769,E11.2,Ubytovací služby, , ,6.607458
2022,C:\Users\luis_\Documents\Codex\2026-09-05\c-users-luis-appdata-local-temp\work\cpi-independent\data\baskets\spot_kos2022.xlsx,List1,781,E12,OSTATNÍ ZBOŽÍ A SLUŽBY, , ,62.521156
2024,C:\Users\luis_\Documents\Codex\2026-09-05\c-users-luis-appdata-local-temp\work\cpi-independent\data\baskets\spot_kos2024.xlsx,List1,179,E04.1,Nájemné z bytu, , ,33.184542
2024,C:\Users\luis_\Documents\Codex\2026-09-05\c-users-luis-appdata-local-temp\work\cpi-independent\data\baskets\spot_kos2024.xlsx,List1,191,E04.2,Imputované nájemné za bydlení (náklady vlastnického bydlení), , ,103.372152
2024,C:\Users\luis_\Documents\Codex\2026-09-05\c-users-luis-appdata-local-temp\work\cpi-independent\data\baskets\spot_kos2024.xlsx,List1,662,E09.6,Dovolená s komplexními službami, , ,18.74232
2024,C:\Users\luis_\Documents\Codex\2026-09-05\c-users-luis-appdata-local-temp\work\cpi-independent\data\baskets\spot_kos2024.xlsx,List1,696,E11,STRAVOVÁNÍ A UBYTOVÁNÍ, , ,64.772537
2024,C:\Users\luis_\Documents\Codex\2026-09-05\c-users-luis-appdata-local-temp\work\cpi-independent\data\baskets\spot_kos2024.xlsx,List1,697,E11.1,Stravovací služby, , ,56.992583
2024,C:\Users\luis_\Documents\Codex\2026-09-05\c-users-luis-appdata-local-temp\work\cpi-independent\data\baskets\spot_kos2024.xlsx,List1,738,E11.2,Ubytovací služby, , ,7.779954
2024,C:\Users\luis_\Documents\Codex\2026-09-05\c-users-luis-appdata-local-temp\work\cpi-independent\data\baskets\spot_kos2024.xlsx,List1,750,E12,OSTATNÍ ZBOŽÍ A SLUŽBY, , ,65.535551
2026,C:\Users\luis_\Documents\Codex\2026-09-05\c-users-luis-appdata-local-temp\work\cpi-independent\data\baskets\spot_kos2026.xlsx,List1,187,04.1,NÁJEMNÉ ZA BYDLENÍ,,,34.497805
2026,C:\Users\luis_\Documents\Codex\2026-09-05\c-users-luis-appdata-local-temp\work\cpi-independent\data\baskets\spot_kos2026.xlsx,List1,199,04.2,IMPUTOVANÉ NÁJEMNÉ ZA BYDLENÍ (NÁKLADY VLASTNICKÉHO BYDLENÍ),,,119.295072
2026,C:\Users\luis_\Documents\Codex\2026-09-05\c-users-luis-appdata-local-temp\work\cpi-independent\data\baskets\spot_kos2026.xlsx,List1,624,09.6,KULTURNÍ SLUŽBY,,,5.338698
2026,C:\Users\luis_\Documents\Codex\2026-09-05\c-users-luis-appdata-local-temp\work\cpi-independent\data\baskets\spot_kos2026.xlsx,List1,679,09.8,ORGANIZOVANÁ DOVOLENÁ A ZÁJEZDY,,,18.543302
