period,as_of,model,block,prediction,n_train,train_start,train_end,training_last_release,dropped_columns,fit_status
2019-06,2019-07-10 23:59:00,TARGET_BASE_REMAINDER,remaining_core_tax_reconciliation,-0.026536763579354666,52,2015-02,2019-05,2019-06-11 09:00:00,[],estimated
2019-06,2019-07-10 23:59:00,TARGET_MACRO_REMAINDER,remaining_core_tax_reconciliation,-0.023805061118368852,52,2015-02,2019-05,2019-06-11 09:00:00,[],estimated
2019-07,2019-08-11 23:59:00,SHARED_OWN_CATEGORIES,actual_rent,0.4132559442375471,53,2015-02,2019-06,2019-07-11 09:00:00,[],estimated
2019-07,2019-08-11 23:59:00,SHARED_OWN_CATEGORIES,imputed_rent,0.31702279274468437,53,2015-02,2019-06,2019-07-11 09:00:00,[],estimated
2019-07,2019-08-11 23:59:00,SHARED_OWN_CATEGORIES,catering,0.3193948784321191,53,2015-02,2019-06,2019-07-11 09:00:00,[],estimated
2019-07,2019-08-11 23:59:00,SHARED_OWN_CATEGORIES,accommodation,1.1245197673644636,53,2015-02,2019-06,2019-07-11 09:00:00,[],estimated
2019-07,2019-08-11 23:59:00,SHARED_OWN_CATEGORIES,package_holidays,20.18932093308936,53,2015-02,2019-06,2019-07-11 09:00:00,[],estimated
2019-07,2019-08-11 23:59:00,OWN_REPLAY,remaining_core_tax_reconciliation,-0.027219035965133698,53,2015-02,2019-06,2019-07-11 09:00:00,[],estimated
2019-07,2019-08-11 23:59:00,TARGET_BASE_REMAINDER,remaining_core_tax_reconciliation,-0.03829816483082898,53,2015-02,2019-06,2019-07-11 09:00:00,[],estimated
2019-07,2019-08-11 23:59:00,TARGET_MACRO_REMAINDER,remaining_core_tax_reconciliation,-0.017972473578873396,53,2015-02,2019-06,2019-07-11 09:00:00,[],estimated
2019-08,2019-09-09 23:59:00,SHARED_OWN_CATEGORIES,actual_rent,0.41398143032833423,54,2015-02,2019-07,2019-08-12 09:00:00,[],estimated
2019-08,2019-09-09 23:59:00,SHARED_OWN_CATEGORIES,imputed_rent,0.6027930586458536,54,2015-02,2019-07,2019-08-12 09:00:00,[],estimated
2019-08,2019-09-09 23:59:00,SHARED_OWN_CATEGORIES,catering,0.30295782715846514,54,2015-02,2019-07,2019-08-12 09:00:00,[],estimated
2019-08,2019-09-09 23:59:00,SHARED_OWN_CATEGORIES,accommodation,0.17050577145898738,54,2015-02,2019-07,2019-08-12 09:00:00,[],estimated
2019-08,2019-09-09 23:59:00,SHARED_OWN_CATEGORIES,package_holidays,1.9703322074703604,54,2015-02,2019-07,2019-08-12 09:00:00,[],estimated
2019-08,2019-09-09 23:59:00,OWN_REPLAY,remaining_core_tax_reconciliation,-0.058539085121047565,54,2015-02,2019-07,2019-08-12 09:00:00,[],estimated
2019-08,2019-09-09 23:59:00,TARGET_BASE_REMAINDER,remaining_core_tax_reconciliation,-0.061501543283307675,54,2015-02,2019-07,2019-08-12 09:00:00,[],estimated
2019-08,2019-09-09 23:59:00,TARGET_MACRO_REMAINDER,remaining_core_tax_reconciliation,-0.05192399285222281,54,2015-02,2019-07,2019-08-12 09:00:00,[],estimated
2019-09,2019-10-09 23:59:00,SHARED_OWN_CATEGORIES,actual_rent,0.2094730989298846,55,2015-02,2019-08,2019-09-10 09:00:00,[],estimated
2019-09,2019-10-09 23:59:00,SHARED_OWN_CATEGORIES,imputed_rent,0.3751204909606253,55,2015-02,2019-08,2019-09-10 09:00:00,[],estimated
