period,as_of,model,block,prediction,weight,contribution
2019-04,2019-05-12 23:59:00,TARGET_MACRO_REMAINDER,accommodation,1.0273562732330732,0.007778524,0.007991315427894018
2019-04,2019-05-12 23:59:00,TARGET_MACRO_REMAINDER,package_holidays,-1.9602859921500255,0.019182249,-0.03760269401263383
2019-04,2019-05-12 23:59:00,TARGET_MACRO_REMAINDER,remaining_core_tax_reconciliation,0.19178196468836067,1.0,0.19178196468836067
2019-05,2019-06-10 23:59:00,TARGET_BASE_REMAINDER,actual_rent,0.0002789679145338564,0.033660201,9.390116075760428e-06
2019-05,2019-06-10 23:59:00,TARGET_BASE_REMAINDER,imputed_rent,0.697314721475367,0.10385733600000001,0.07242124932601361
2019-05,2019-06-10 23:59:00,TARGET_BASE_REMAINDER,catering,0.31823052720362,0.051351304,0.01634155254451336
2019-05,2019-06-10 23:59:00,TARGET_BASE_REMAINDER,accommodation,0.5817604542482753,0.007778524,0.004525237655621111
2019-05,2019-06-10 23:59:00,TARGET_BASE_REMAINDER,package_holidays,0.5703968802686848,0.019182249,0.010941494986137099
2019-05,2019-06-10 23:59:00,TARGET_BASE_REMAINDER,remaining_core_tax_reconciliation,-0.000490250567581195,1.0,-0.000490250567581195
2019-05,2019-06-10 23:59:00,TARGET_MACRO_REMAINDER,actual_rent,0.0002789679145338564,0.033660201,9.390116075760428e-06
2019-05,2019-06-10 23:59:00,TARGET_MACRO_REMAINDER,imputed_rent,0.697314721475367,0.10385733600000001,0.07242124932601361
2019-05,2019-06-10 23:59:00,TARGET_MACRO_REMAINDER,catering,0.31823052720362,0.051351304,0.01634155254451336
2019-05,2019-06-10 23:59:00,TARGET_MACRO_REMAINDER,accommodation,0.5817604542482753,0.007778524,0.004525237655621111
2019-05,2019-06-10 23:59:00,TARGET_MACRO_REMAINDER,package_holidays,0.5703968802686848,0.019182249,0.010941494986137099
2019-05,2019-06-10 23:59:00,TARGET_MACRO_REMAINDER,remaining_core_tax_reconciliation,0.00043759682168742486,1.0,0.00043759682168742486
2019-06,2019-07-10 23:59:00,TARGET_BASE_REMAINDER,actual_rent,0.08445907863505019,0.033660201,0.002842909563130595
2019-06,2019-07-10 23:59:00,TARGET_BASE_REMAINDER,imputed_rent,0.2954109402807515,0.10385733600000001,0.030680593282813945
2019-06,2019-07-10 23:59:00,TARGET_BASE_REMAINDER,catering,0.0950057118229865,0.051351304,0.004878667189558574
2019-06,2019-07-10 23:59:00,TARGET_BASE_REMAINDER,accommodation,0.3143018924171064,0.007778524,0.00244480481341188
2019-06,2019-07-10 23:59:00,TARGET_BASE_REMAINDER,package_holidays,4.01668097672798,0.019182249,0.07704897464915932
2019-06,2019-07-10 23:59:00,TARGET_BASE_REMAINDER,remaining_core_tax_reconciliation,-0.026536763579354666,1.0,-0.026536763579354666
2019-06,2019-07-10 23:59:00,TARGET_MACRO_REMAINDER,actual_rent,0.08445907863505019,0.033660201,0.002842909563130595
2019-06,2019-07-10 23:59:00,TARGET_MACRO_REMAINDER,imputed_rent,0.2954109402807515,0.10385733600000001,0.030680593282813945
2019-06,2019-07-10 23:59:00,TARGET_MACRO_REMAINDER,catering,0.0950057118229865,0.051351304,0.004878667189558574
2019-06,2019-07-10 23:59:00,TARGET_MACRO_REMAINDER,accommodation,0.3143018924171064,0.007778524,0.00244480481341188
