period,R9_BASE,R9_HALF,R9_FULL,TARGET_OWN,TARGET_OWN_HALF,TARGET_CHANNEL,TARGET_BASE_REMAINDER,TARGET_BASE_REMAINDER_HALF,TARGET_MACRO_REMAINDER,TARGET_MACRO_REMAINDER_HALF
2019-02,0.31775488058818213,0.3457208529825975,0.3736868253770129,0.3214390864645076,0.31959698352634486,0.3311841489829337,0.28177178811962067,0.2997633343539014,0.3200455852102496,0.3189002328992159
2019-03,0.09946023954165717,0.09481364394484938,0.0901670483480416,0.018810227797368066,0.05913523366951262,0.025515805518424015,0.0016981932443036196,0.050579216392980395,0.008972273489637583,0.054216256515647376
2019-04,0.38710754867430486,0.4331530262959052,0.4791985039175055,0.3843414177863059,0.3857244832303054,0.4052979057718957,0.3950628547835564,0.39108520172893063,0.40022129239201726,0.3936644205331611
2019-05,0.2254766707170906,0.24160405653897696,0.2577314423608633,0.2703047338042085,0.24789070226064955,0.2768372077531801,0.2728133650077384,0.2491450178624145,0.273741212397007,0.2496089415570488
2019-06,0.12410329846284626,0.07361655119089941,0.02312980391895257,0.12315035846394702,0.12362682846339665,0.14297453731556203,0.12009292797245594,0.1220981132176511,0.12282463043344174,0.123463964448144
2019-07,0.435229027763851,0.4401493662832389,0.4450697048026269,0.5016039569149744,0.4684164923394127,0.5147834952263677,0.4905248280492791,0.46287692790656504,0.5108505193012347,0.47303977353254284
2019-08,0.07212027168892293,0.08632839290472513,0.10053651412052733,0.003901984150030527,0.03801112791947673,0.007840824319528997,0.0009395259877704176,0.036529898838346675,0.010517076418855284,0.04131867405388911
2019-09,-0.3115374275151629,-0.31736840944316663,-0.3231993913711704,-0.4067800328746164,-0.35915873019488964,-0.4088704674549448,-0.39796468138772034,-0.3547510544514416,-0.40737267652560577,-0.3594550520203843
2019-10,0.22940611674544503,0.28517471091363017,0.3409433050818153,0.3371197444307257,0.2832629305880854,0.33189568323961643,0.3405007148366308,0.28495341579103795,0.3415494288069584,0.2854777727762017
2019-11,0.16027885730460945,0.18827727179203121,0.21627568627945298,0.15476450183810875,0.1575216795713591,0.1544579598266781,0.15921932857009585,0.15974909293735265,0.15187625512327876,0.1560775562139441
2019-12,0.015134052299833604,0.015041241673181452,0.014948431046529301,0.10940964852952717,0.06227185041468039,0.1032334060997514,0.10477849692497582,0.059956274612404714,0.09308271856230199,0.0541083854310678
2020-01,0.8910783646002834,0.9161045016767744,0.9411306387532653,0.9334732469382441,0.9122758057692637,0.9283992691051024,0.914489147594044,0.9027837560971637,0.9181718696612626,0.9046251171307731
2020-02,0.3016255681785912,0.32068032834451476,0.3397350885104384,0.2538713185262529,0.27774844335242205,0.25480864737519315,0.24918866477341658,0.2754071164760039,0.23828890792131943,0.2699572380499553
2020-03,-0.2620574219510465,-0.25946905877354964,-0.2568806955960528,-0.37323872443305345,-0.31764807319204996,-0.34527029603180504,-0.3388325620740722,-0.30044499201255936,-0.3295521898624271,-0.2958048059067368
2020-04,-0.31758186237127,-0.31591219209715493,-0.31424252182303986,-0.2620149450876949,-0.28979840372948246,-0.2612438873809623,-0.2491642415864808,-0.2833730519788754,-0.2740555721921129,-0.29581871728169146
2020-05,0.1755417858910625,0.17193851305540414,0.16833524021974577,0.09008321485468743,0.13281250037287495,0.14355325464097946,0.1236106765683953,0.1495762312297289,0.13777565992226076,0.15665872290666163
2020-06,0.3438817354017713,0.38055781125886934,0.4172338871159674,0.12531691839368683,0.23459932689772905,0.11557426148953462,0.18195416402372516,0.26291794971274823,0.12120955674442138,0.23254564607309636
2020-07,0.4869502977384474,0.5039786142894122,0.5210069308403769,0.4820921602187407,0.48452122897859407,0.41115412424644,0.5053995397181013,0.49617491872827435,0.4230245454840013,0.45498742161122435
2020-08,0.03313375648649175,0.04252609564169979,0.05191843479690783,0.013069996995635241,0.023101876741063496,-0.017535863611653574,-0.04624957879881761,-0.006557911156162929,-0.007238023970402324,0.012947866258044713
2020-09,-0.3793055312609125,-0.40274300905269717,-0.4261804868444819,-0.4204958049118244,-0.3999006680863685,-0.4319409260813346,-0.4709676203935881,-0.4251365758272503,-0.42820023379584204,-0.40375288252837727
2020-10,0.1835507038734855,0.27093426617196403,0.3583178284704426,0.27215818536493985,0.22785444461921267,0.22732804090445113,0.2561686218397422,0.21985966285661385,0.2424956204691657,0.2130231621713256
2020-11,0.1331935220806632,0.15115491697647487,0.16911631187228654,0.03414084111130807,0.08366718159598564,0.0851310854244696,0.08668256626853076,0.10993804417459699,0.0856984311709057,0.10944597662578445
2020-12,0.17439862975000198,0.19002614785821642,0.2056536659664309,0.14583699821241103,0.1601178139812065,0.17699770039702567,0.17513781665681183,0.1747682232034069,0.17850652589744906,0.17645257782372553
2021-01,0.8285790522695597,0.8912732558451942,0.9539674594208288,0.8564782764159043,0.8425286643427321,0.8244166558790387,0.8709135163513002,0.84974628431043,0.8322502533701062,0.830414652819833
2021-02,0.4287738547440542,0.5098263614647857,0.5908788681855172,0.36233460600092904,0.3955542303724916,0.38713725804621324,0.35304038155030815,0.39090711814718115,0.3714297442130172,0.40010179947853575
2021-03,0.15191007441957335,0.1480979520457448,0.14428582967191625,0.13178900558100076,0.14184954000028704,0.14349511256121883,0.1191721109567521,0.13554109268816272,0.14257486233242356,0.14724246837599847
2021-04,0.256026468736474,0.28598810394052204,0.31594973914457003,0.29993688652407546,0.2779816776302747,0.3195581131325854,0.28907533971816785,0.2725509042273209,0.31659955609965656,0.2863130124180653
2021-05,0.5680138323904842,0.5879420434422872,0.6078702544940903,0.44912363071466627,0.5085687315525752,0.497479923764971,0.4803766448555345,0.5241952386230093,0.49090897726929345,0.5294614048298888
2021-06,0.3296679179291987,0.3465223378797241,0.3633767578302495,0.2975476969943047,0.3136078074617517,0.2944955775144833,0.29478053507086216,0.31222422650003046,0.29623091837368726,0.31294941815144295
2021-07,0.6445519678863136,0.6697218783064215,0.6948917887265292,0.6759881768007359,0.6602700723435247,0.6796398234496859,0.6888026915407462,0.66667732971353,0.6744950303464173,0.6595234991163654
2021-08,0.22450335235865432,0.16642410398316554,0.10834485560767679,0.18417642120718786,0.2043398867829211,0.21353264050179782,0.18539402600583701,0.20494868918224568,0.212895982759708,0.21869966755918116
2021-09,-0.12400009742970602,-0.1178999114519989,-0.11179972547429179,-0.2038309670489613,-0.16391553223933367,-0.16029353606073482,-0.18391656035790105,-0.15395832889380354,-0.15830291461609164,-0.14115150602289883
2021-10,0.7237052274417968,0.7927388934226424,0.861772559403488,0.8774949982505005,0.8006001128461486,0.8464549430355626,0.8229438078590479,0.7733245176504223,0.8531951552500503,0.7884501913459235
2021-11,0.6823484514284204,0.6982576755906593,0.7141668997528983,0.6717178348241459,0.6770331431262832,0.782364018514129,0.8108414254071032,0.7465949384177618,0.7827693219458787,0.7325588866871495
2021-12,0.7709389674170302,0.873441606645287,0.9759442458735439,0.5278450690785419,0.649392018247786,0.7438524299251206,0.7224882540913207,0.7467136107541754,0.7343348789830138,0.752636923200022
2022-01,4.378137226971534,4.42010852550301,4.462079824034487,4.269005663906188,4.32357144543886,4.929993954812202,4.732121628750864,4.555129427861199,4.920885984277474,4.649511605624504
2022-02,0.8664254070284128,0.9472553663580414,1.02808532568767,0.8093639532797627,0.8378946801540877,0.8273477177128215,0.7790504349809575,0.8227379210046851,0.8046448203291079,0.8355351136787603
2022-03,0.9740717773895649,0.9599351536255071,0.9457985298614493,1.1366007143931571,1.055336245891361,0.97947668010063,0.9519337696920649,0.9630027735408149,0.9540933790659656,0.9640825782277652
2022-04,0.7418585559133414,0.810248090240683,0.8786376245680246,0.6504573721822949,0.6961579640478182,0.8340735867135062,0.788654920099615,0.7652567380064782,0.8114888607619477,0.7766737083376445
2022-05,1.8273429935590184,1.928849481807915,2.0303559700568115,1.4388336791718304,1.6330883363654243,1.6527894913205654,1.619334995492885,1.7233389945259519,1.6082283169013327,1.7177856552301756
2022-06,1.3932606931984495,1.507368052800301,1.6214754124021524,1.402219752311186,1.3977402227548177,1.4541629510704226,1.48393242908767,1.4385965611430598,1.4218835965989678,1.4075721448987086
2022-07,1.4018402902822626,1.5144143355557442,1.6269883808292258,1.2429956530746749,1.3224179716784688,1.3360405877513175,1.4233375099459904,1.4125889001141265,1.3280616403201944,1.3649509653012286
2022-08,0.6308526564677204,0.6720821029177679,0.7133115493678155,0.25437640168796055,0.4426145290778405,0.32824027843774295,0.3659415182509803,0.49839708735935034,0.32538480162380246,0.4781187290457614
2022-09,0.16209244464284336,0.11496016188846969,0.06782787913409602,-0.154337358603645,0.0038775430195991806,-0.11684181847607225,-0.11068908549512851,0.025701679573857425,-0.108931928099125,0.026580258271859183
2022-10,1.1729476113272232,1.1241974351095643,1.075447258891905,0.9946441633135371,1.0837958873203801,1.0108503824511672,1.0160248666914393,1.0944862390093313,1.0156181833164573,1.0942828973218401
2022-11,0.7585158740889214,0.7882528330528827,0.817989792016844,0.6510810202669725,0.7047984471779469,0.5941434885951491,0.5773554956722773,0.6679356848805993,0.583246188103161,0.6708810310960411
2022-12,0.047475065722731635,0.09094142216773585,0.13440777861274006,0.06734967190695146,0.05741236881484155,0.03332181457329375,0.00085136974556832,0.024163217734149978,0.03224050731126754,0.03985778651699959
2023-01,4.873148431243555,4.8557166576029465,4.838284883962337,4.739142307772745,4.80614536950815,4.789243122593463,4.794511554118865,4.83382999268121,4.775070521795256,4.824109476519405
2023-02,0.5313152061494304,0.5039703923327187,0.47662557851600684,0.39101288105754173,0.46116404360348606,0.4414588306881792,0.42715493758295275,0.4792350718661916,0.434880605714017,0.4830979059317237
2023-03,0.2926338566146489,0.22856958059145327,0.16450530456825765,0.18020602696828533,0.23641994179146714,0.17869474060961119,0.16289723574059878,0.22776554617762385,0.174585430293832,0.23360964345424046
2023-04,0.5640927888903151,0.5026749219687728,0.44125705504723056,0.4462693802258743,0.5051810845580947,0.46408801636269326,0.5000920530718065,0.5320924209810608,0.47333911958855773,0.5187159542394364
2023-05,0.22898268041677386,0.16802415321198316,0.10706562600719244,0.17236988025936834,0.2006762803380711,0.16870781854874442,0.20848222204947334,0.2187324512331236,0.18136113617261748,0.20517190829469567
2023-06,0.035044079040744636,-0.04713023043292175,-0.12930453990658813,0.11671126702462309,0.07587767303268386,0.08234251901312814,0.13014128294759572,0.08259268099417018,0.0991447159410577,0.06709439749090117
2023-07,0.38617514341012105,0.3623426582424115,0.33851017307470194,0.4234358619564448,0.4048055026832829,0.4500181755541014,0.4727109039143095,0.42944302366221526,0.45863250388739574,0.4224038236487584
2023-08,0.4746143904367312,0.47188412299930443,0.4691538555618777,0.29288977115145276,0.38375208079409195,0.3373086604587142,0.3589719049304776,0.4167931476836044,0.34671079200162175,0.4106625912191765
2023-09,-0.24889839959904397,-0.2755480777313318,-0.30219775586361963,-0.4071797837834573,-0.3280390916912507,-0.3921186182895889,-0.38635350380311795,-0.317625951701081,-0.3863569972734561,-0.31762769843625005
2023-10,0.29059742738357847,0.2826615364616625,0.2747256455397465,0.2561559415315513,0.2733766844575649,0.3284389550254899,0.3183715944881381,0.30448451093585827,0.3382049966373084,0.31440121201044346
2023-11,0.05849249293244713,0.03891311393757824,0.01933373494270936,-0.09074768785149648,-0.016127597459524676,0.046798751738254235,0.0507360178161389,0.054614255374293014,0.05483421687582554,0.056663354904136334
2023-12,-0.13307024110083232,-0.14765019744245733,-0.16223015378408234,-0.17667267919445956,-0.15487146014764594,-0.12153165371416441,-0.125488593593656,-0.12927941734724416,-0.11930285167097618,-0.12618654638590426
2024-01,0.9319165376518567,0.8857871746883093,0.8396578117247618,1.050824973138948,0.9913707553954023,1.0195174861032437,1.0063473614070955,0.9691319495294761,1.0192430929526124,0.9755798153022346
2024-02,0.2706200012537311,0.2580380446649967,0.24545608807626224,0.25663650245583575,0.26362825185478345,0.2291228118266823,0.24893212709451276,0.2597760641741219,0.23727877106937387,0.2539493861615525
2024-03,0.17828022163150525,0.17795882405921745,0.17763742648692965,0.10715021728178237,0.1427152194566438,0.12331212694946596,0.15422571812969205,0.16625296988059865,0.1364127772222607,0.15734649942688297
2024-04,0.535513874597449,0.5169386135775386,0.49836335255762815,0.4836538472365173,0.5095838609169832,0.49714356264344994,0.5001772710240764,0.5178455728107627,0.48951696757550783,0.5125154210864784
2024-05,0.2079810434726739,0.21924642636613612,0.23051180925959833,0.2345501788336488,0.22126561115316135,0.23737233538831062,0.26545902279841505,0.23672003313554446,0.24582851802184913,0.2269047807472615
2024-06,0.049566412104763674,0.08126073928770258,0.1129550664706415,0.07502909974254585,0.06229775592365476,0.09100952313315455,0.09898182113117254,0.07427411661796811,0.09132383104881847,0.07044512157679107
2024-07,0.20998444901121854,0.24684517534253225,0.283705901673846,0.39503341706708117,0.30250893303914983,0.3495353182296265,0.35770663234327515,0.2838455406772469,0.36166044683499776,0.2858224479231082
2024-08,0.07281547435294283,0.04978803679458074,0.02676059923621866,0.029061402951009535,0.050938438651976184,0.03393814005122983,0.0429504504181982,0.057882962385570516,0.033379492623017204,0.05309748348798002
2024-09,-0.4651739920724355,-0.5428417910368668,-0.6205095900012981,-0.5806477349401029,-0.5229108635062691,-0.5597020042170173,-0.528917535529103,-0.49704576380076926,-0.5658932551048885,-0.5155336235886621
2024-10,0.2218404811078794,0.28435967663125583,0.3468788721546322,0.3457083431502444,0.2837744121290619,0.3399074195118704,0.3710432838286596,0.2964418824682695,0.3446176366662042,0.2832290588870418
2024-11,0.13103934262291972,0.1125881018490863,0.09413686107525288,0.1337081174769199,0.1323737300499198,0.13026569060688473,0.16697674064116497,0.14900804163204234,0.1303351068733442,0.13068722474813196
2024-12,0.00423825253460209,-0.029928734165286276,-0.06409572086517465,-0.03137263085977362,-0.013567189162585765,-0.018773343718285936,0.0026078602570509743,0.003423056395826532,-0.023055041709473888,-0.009408394587435899
2025-01,1.1241131790061303,1.141778566097235,1.1594439531883396,1.1897039247806747,1.1569085518934026,1.199552524856841,1.1851553574824119,1.154634268244271,1.188862623596513,1.1564879013013216
2025-02,0.3273352565503001,0.3449213748972017,0.3625074932441033,0.3565201283955971,0.34192769247294863,0.3552066174160068,0.3390712128436728,0.33320323469698643,0.34793617293535306,0.3376357147428266
2025-03,0.025961209336477623,0.01279907147341732,-0.00036306638964298324,-0.004196632242170831,0.010882288547153396,0.027355400462899623,0.025343098869749905,0.025652154103113764,0.018089718346198505,0.022025463841338064
2025-04,0.1887731296337113,0.17127147038237248,0.15376981113103366,0.22226360858491387,0.2055183691093126,0.209318226922486,0.2404465634337344,0.21460984653372284,0.21734321812843718,0.20305817388107422
2025-05,0.2616004842766493,0.2843344825640807,0.3070684808515122,0.33227403545303963,0.2969372598648444,0.3241961570575254,0.35499074293604166,0.3082956136063455,0.3200519901805988,0.29082623722862405
2025-06,0.21403896943571182,0.21877442075846298,0.22350987208121414,0.24937406235027654,0.23170651589299418,0.25627746130477197,0.25923113931995956,0.2366350543778357,0.25298957966735675,0.23351427455153428
2025-07,0.482699677975129,0.5584568402910703,0.6342140026070118,0.6011150504557781,0.5419073642154535,0.6006373029342427,0.607155881182117,0.544927779578623,0.5946260659048875,0.5386628719400083
2025-08,0.12246127477104277,0.09808353927722599,0.07370580378340921,0.09123946597791481,0.10685037037447878,0.09767741387036577,0.11332092564907176,0.11789110021005726,0.0960371549447546,0.10924921485789868
2025-09,-0.4796923876781566,-0.5222102106965498,-0.564728033714943,-0.5041416132981518,-0.4919170004881542,-0.5262210961166179,-0.5058492490471154,-0.492770818362636,-0.524736807192637,-0.5022145974353969
2025-10,0.24018251506517188,0.28619898904433005,0.33221546302348826,0.33564303956943664,0.28791277731730425,0.33129277918183564,0.355781002917576,0.2979817589913739,0.33403565526608925,0.28710908516563055
2025-11,0.013912520901711065,0.02817917668424684,0.042445832466782615,0.032516375361667495,0.02321444813168928,0.023073815294954537,0.05917179779876131,0.03654215935023619,0.03179867821585967,0.022855599558785366
2025-12,-0.3176359844265689,-0.3192220059914924,-0.32080802755641596,-0.32652124031256685,-0.32207861236956786,-0.3377652669838617,-0.31308944021401547,-0.31536271232029217,-0.3307276012425445,-0.3241817928345567
2026-01,0.8514524588474814,0.853289440279114,0.8551264217107467,0.9095401071706197,0.8804962830090506,0.8895940573038471,0.8796356087061648,0.8655440337768231,0.892134089405482,0.8717932741264818
2026-02,0.07585143971505987,0.09415719696403499,0.11246295421301011,0.09956025318157835,0.08770584644831911,0.07835169170510414,0.1011523012066301,0.08850187046084498,0.09912697228610648,0.08748920600058317
2026-03,0.5831477425464591,0.5745975532171261,0.5660473638877932,0.5711235983718433,0.5771356704591513,0.571512212305465,0.5836701700832817,0.5834089563148703,0.5779550864345525,0.5805514144905057
2026-04,0.4980319143303553,0.4728034992943644,0.44757508425837345,0.5208479441858647,0.50943992925811,0.506046317302123,0.5161024446900051,0.5070671795101802,0.5045223369647174,0.5012771256475363
2026-05,0.36764935566655854,0.385238322814708,0.4028272899628575,0.35791607879623843,0.3627827172313985,0.3631942554080016,0.396253654683856,0.38195150517520726,0.3658883126132061,0.3667688341398823
2026-06,-0.05839529757472206,-0.08281790072322807,-0.10724050387173409,-0.09722396009026754,-0.0778096288324948,-0.06887637552234277,-0.04874899527451512,-0.05357214642461859,-0.06433305129347672,-0.06136417443409939
2026-07,0.44767252748945857,0.5124477950466728,0.577223062603887,0.5401098097668883,0.4938911686281734,0.5295612275292656,0.5347573206296669,0.4912149240595627,0.5344143043247326,0.49104341590709555
