quarter,previous_report,report_date,previous_model_origin,model_origin,previous_model_clock,model_clock,model_origin_changed,revision_available,model_revision,cnb_revision,same_revision_direction,previous_disagreement,disagreement,model_abs_error_improvement,cnb_abs_error_improvement,scored
2022Q2,2022-02-10,2022-05-12,2021-12,2022-04,2022-01-11 22:59:00+00:00,2022-05-09 21:59:00+00:00,True,True,1.5556081808771935,5.0315523087991,True,2.5817358585437624,-0.8942082693781437,1.5556081808771935,5.0315523087991,True
2022Q3,2022-02-10,2022-05-12,2021-12,2022-04,2022-01-11 22:59:00+00:00,2022-05-09 21:59:00+00:00,True,True,2.63349079386861,5.694612170000001,True,2.9116569347123633,-0.1494644414190276,2.63349079386861,5.694612170000001,True
2022Q3,2022-05-12,2022-08-11,2022-04,2022-07,2022-05-09 21:59:00+00:00,2022-08-09 21:59:00+00:00,True,True,4.465036657374174,5.6277782743343,True,-0.1494644414190276,-1.3122060583791537,3.2599142496091282,1.798243749810947,True
2022Q4,2022-02-10,2022-05-12,2021-12,2022-04,2022-01-11 22:59:00+00:00,2022-05-09 21:59:00+00:00,True,True,2.9120195300829455,6.122429189999999,True,3.497101480262727,0.2866918203456734,2.9120195300829455,6.122429189999998,True
2022Q4,2022-05-12,2022-08-11,2022-04,2022-07,2022-05-09 21:59:00+00:00,2022-08-09 21:59:00+00:00,True,True,7.289365703865487,6.9058799,True,0.2866918203456734,0.6701776242111599,-1.9644495002563378,-1.0075800556995045,True
2022Q4,2022-08-11,2022-11-10,2022-07,2022-10,2022-08-09 21:59:00+00:00,2022-11-09 22:59:00+00:00,True,True,-1.554689458900345,-1.2425908429287986,True,0.6701776242111599,0.35807900823961347,1.554689458900345,1.2425908429287986,True
2023Q1,2022-02-10,2022-05-12,2021-12,2022-04,2022-01-11 22:59:00+00:00,2022-05-09 21:59:00+00:00,True,False,,4.82443952,False,,0.5203602769517612,,,False
2023Q1,2022-05-12,2022-08-11,2022-04,2022-07,2022-05-09 21:59:00+00:00,2022-08-09 21:59:00+00:00,True,True,9.815221960205966,8.311089289999998,True,0.5203602769517612,2.0244929471577287,6.216602587333652,8.311089289999998,True
2023Q1,2022-08-11,2022-11-10,2022-07,2022-10,2022-08-09 21:59:00+00:00,2022-11-09 22:59:00+00:00,True,True,-2.621229600333983,-1.3017299999999992,True,2.0244929471577287,0.7049933468237448,0.9773897725383307,-1.3017299999999992,True
2023Q1,2022-11-10,2023-02-09,2022-10,2022-12,2022-11-09 22:59:00+00:00,2023-01-10 22:59:00+00:00,True,True,-4.214981988856076,1.4410701004732012,False,0.7049933468237448,-4.951058742505532,-4.214981988856076,1.4410701004732012,True
2023Q2,2022-02-10,2022-05-12,2021-12,2022-04,2022-01-11 22:59:00+00:00,2022-05-09 21:59:00+00:00,True,False,,1.5292535899999997,False,,,,,False
