panel,horizon,n_source,n_agreement,n_scored,n_unique_quarters,n_reports,n_model_origins,same_error_direction,shared_large_miss,close_agreement,model_closer,cnb_closer,mean_abs_error_gain,model_mse,cnb_mse,disagreement_mse,mean_cross_term,disagreement_rmse,disagreement_mae,model_rmse,model_mae,model_bias,cnb_rmse,cnb_mae,cnb_bias,age_days_min,age_days_median,age_days_p90,age_days_max
all_reports,all,161,76,66,18,18,18,44,16,18,20,46,-0.4674795260744426,5.5809181754552855,5.2691056665768095,2.9858788444739655,-2.674066335595491,1.618841813633156,0.995853374442487,2.3623967015417384,1.5280287492622204,-0.04472285437386021,2.2954532595060195,1.0605492231877778,-0.49906748985091737,0.0006944444444444445,8.000694444444445,29.000694444444445,30.042361111111113
all_reports,1,19,19,18,18,18,18,13,3,8,6,12,-0.30069387636101236,2.3788776134492524,0.8976873353467789,1.8650697061409116,-0.383879428038438,1.330799850998669,0.7269911407795032,1.542361051585929,0.8561549384541672,-0.12263847320135457,0.9474636327304489,0.555461062093155,0.16478353356270228,0.0006944444444444445,8.000694444444445,29.000694444444445,30.042361111111113
all_reports,2,19,19,17,17,17,17,11,6,6,6,11,-0.14865937256389863,3.822337802330506,4.304527652536462,1.2375604901463113,-1.7197503403522671,1.059086861162487,0.6798057331474319,1.9550799989592513,1.3245505492142235,-0.2416342921928435,2.0747355620744687,1.1758911766503248,-0.3511216184204253,0.0006944444444444445,8.000694444444445,29.000694444444445,30.042361111111113
all_reports,3,19,19,16,16,16,16,11,4,2,4,12,-0.4865245125841292,5.0000238861402755,6.281592020508522,2.4277664446113247,-3.709334578979571,1.4403450018144897,1.0145585796806742,2.2360733185967483,1.5953936967099105,-0.07658255902275357,2.5063104397716818,1.1088691841257812,-0.7537429704129559,0.0006944444444444445,8.000694444444445,29.000694444444445,30.042361111111113
all_reports,4,19,19,15,15,15,15,9,3,2,4,11,-1.0086371607655098,12.03604518133995,10.528010635771412,6.907597171898454,-5.3995626263299235,2.3484693574988955,1.5620580441623384,3.4693003878793705,2.4930300050087437,0.30592586937280025,3.2446896054586505,1.4843928442432337,-1.1917068596356442,0.0006944444444444445,8.000694444444445,29.000694444444445,30.042361111111113
recent_reports,all,93,44,34,10,10,10,21,2,15,10,24,-0.1763208278567416,0.348572579684929,0.13822705874414448,0.30403219027063927,-0.09368666932985475,0.531686871044726,0.41586411690514474,0.5904003554241215,0.4628292688018275,0.030273489869384072,0.3717889976103979,0.2865084409450859,0.03658731984429152,0.0006944444444444445,8.000694444444445,29.000694444444445,29.000694444444445
recent_reports,1,11,11,10,10,10,10,7,0,7,3,7,-0.055766689733263486,0.08940255746075317,0.07778133847761622,0.23653816001009592,-0.224916941026959,0.4713292146596069,0.25664987191453703,0.299002604438077,0.23128397889035987,-0.06580541283703337,0.27889305921377144,0.17551728915709636,0.07191491898514357,0.0006944444444444445,8.000694444444445,29.000694444444445,29.000694444444445
recent_reports,2,11,11,9,9,9,9,4,0,4,3,6,-0.053610486436989464,0.1820913207757137,0.13658681660490965,0.20555375562769632,-0.16004925145689222,0.43932697270578713,0.3618501616610036,0.4267215963315118,0.369044677100729,-0.06577876451634743,0.36957653687011793,0.31543419066373957,-0.011783615828694435,0.0006944444444444445,8.000694444444445,29.000694444444445,29.000694444444445
recent_reports,3,11,11,8,8,8,8,5,1,2,2,6,-0.22838854922884064,0.41355815824145115,0.17760007901169092,0.24479135187618142,-0.008833272646421184,0.47971094156376337,0.4126982279817801,0.6430848763899297,0.547166125308201,0.08888371402189968,0.42142624385732186,0.3187775760793603,0.04884101941445121,0.0006944444444444445,8.000694444444445,29.000694444444445,29.000694444444445
recent_reports,4,11,11,7,7,7,7,5,1,2,2,5,-0.4468054968618498,0.8585935688238602,0.18168923299814807,0.594771179063151,0.08213315676256104,0.6967651759171511,0.6322582060632578,0.9266032423987411,0.8178034648551956,0.22404170748590305,0.42625019999778074,0.37099796799334583,0.034306295999588024,0.0006944444444444445,8.000694444444445,29.000694444444445,29.000694444444445
