month,household_appliances
2015-01,99.5
2015-02,100.09999999999999
2015-03,99.900000000000006
2015-04,100.09999999999999
2015-05,100.40000000000001
2015-06,100.09999999999999
2015-07,100.2
2015-08,99.400000000000006
2015-09,99.5
2015-10,99.799999999999997
2015-11,100.2
2015-12,100.90000000000001
2016-01,100.59999999999999
2016-02,101.90000000000001
2016-03,101.3
2016-04,101
2016-05,101.5
2016-06,101.7
2016-07,101
2016-08,101.40000000000001
2016-09,101
2016-10,101.40000000000001
2016-11,101.8
2016-12,100.7
2017-01,100.3
2017-02,100.40000000000001
2017-03,100
2017-04,99
2017-05,99.5
2017-06,99.5
2017-07,99.799999999999997
2017-08,99.099999999999994
2017-09,99.599999999999994
2017-10,100
2017-11,99.700000000000003
2017-12,99.200000000000003
2018-01,98.599999999999994
2018-02,99.099999999999994
2018-03,98.900000000000006
2018-04,98.599999999999994
2018-05,98.700000000000003
2018-06,98.299999999999997
2018-07,98.299999999999997
2018-08,98.099999999999994
2018-09,98.200000000000003
2018-10,97.900000000000006
2018-11,97.599999999999994
2018-12,98.099999999999994
2019-01,96.200000000000003
2019-02,96.700000000000003
2019-03,98.099999999999994
2019-04,97.400000000000006
2019-05,97
2019-06,96.599999999999994
2019-07,96.799999999999997
2019-08,95.599999999999994
2019-09,96.700000000000003
2019-10,97.200000000000003
2019-11,97.099999999999994
2019-12,97.299999999999997
2020-01,96.299999999999997
2020-02,98.5
2020-03,99.099999999999994
2020-04,98.299999999999997
2020-05,99.700000000000003
2020-06,99.799999999999997
2020-07,100.09999999999999
2020-08,100
2020-09,99.400000000000006
2020-10,99.700000000000003
2020-11,98.799999999999997
2020-12,99.5
2021-01,99.099999999999994
2021-02,100.09999999999999
2021-03,100.2
2021-04,100.90000000000001
2021-05,100.2
2021-06,100.90000000000001
2021-07,101.2
2021-08,101
2021-09,102.09999999999999
2021-10,102.7
2021-11,103.09999999999999
2021-12,104.59999999999999
2022-01,104.90000000000001
2022-02,105.90000000000001
2022-03,106.5
2022-04,107.40000000000001
2022-05,106.8
2022-06,107.40000000000001
2022-07,108.40000000000001
2022-08,109.5
2022-09,112
2022-10,112.90000000000001
2022-11,110.2
2022-12,111.8
2023-01,110.2
2023-02,112.3
2023-03,112.5
2023-04,113.40000000000001
2023-05,113.09999999999999
2023-06,112.2
2023-07,112.40000000000001
2023-08,111.59999999999999
2023-09,112.7
2023-10,113.2
2023-11,110.90000000000001
2023-12,113.3
2024-01,110.90000000000001
2024-02,113.40000000000001
2024-03,113.8
2024-04,115
2024-05,113.3
2024-06,113
2024-07,112.90000000000001
2024-08,111.09999999999999
2024-09,112.3
2024-10,112
2024-11,110
2024-12,111
2025-01,110.59999999999999
2025-02,112.59999999999999
2025-03,111.90000000000001
2025-04,113.09999999999999
2025-05,112.7
2025-06,112.8
2025-07,112.90000000000001
2025-08,111.5
2025-09,113.59999999999999
2025-10,113.3
2025-11,109.09999999999999
2025-12,112.59999999999999
2026-01,111
2026-02,114.5
2026-03,114.7
2026-04,115.09999999999999
2026-05,113.8
2026-06,114.5
2026-07,114.3
2026-08,113.09999999999999
