month,alcoholic_beverages
2015-01,101.8
2015-02,100.59999999999999
2015-03,99.400000000000006
2015-04,99.599999999999994
2015-05,99.900000000000006
2015-06,100.3
2015-07,101.2
2015-08,99.299999999999997
2015-09,100.3
2015-10,100.2
2015-11,98.799999999999997
2015-12,98.599999999999994
2016-01,104.09999999999999
2016-02,104.2
2016-03,103
2016-04,106.40000000000001
2016-05,103.40000000000001
2016-06,102.8
2016-07,104.2
2016-08,103.09999999999999
2016-09,103
2016-10,103.5
2016-11,103.7
2016-12,101.59999999999999
2017-01,104.59999999999999
2017-02,103.7
2017-03,104.7
2017-04,102
2017-05,102.7
2017-06,102.2
2017-07,103.7
2017-08,103.59999999999999
2017-09,103.40000000000001
2017-10,103.7
2017-11,104.09999999999999
2017-12,103.3
2018-01,109
2018-02,106.2
2018-03,105.40000000000001
2018-04,106.3
2018-05,106.3
2018-06,105.59999999999999
2018-07,105.8
2018-08,104.7
2018-09,106.5
2018-10,106.40000000000001
2018-11,106.3
2018-12,104.7
2019-01,111.40000000000001
2019-02,108.3
2019-03,110.09999999999999
2019-04,106.09999999999999
2019-05,109.8
2019-06,108.09999999999999
2019-07,107.2
2019-08,108.59999999999999
2019-09,109.59999999999999
2019-10,109.7
2019-11,109.59999999999999
2019-12,108.3
2020-01,117.2
2020-02,112.3
2020-03,115.09999999999999
2020-04,112.2
2020-05,114.40000000000001
2020-06,115.2
2020-07,114.09999999999999
2020-08,113.90000000000001
2020-09,115.90000000000001
2020-10,113.5
2020-11,113.3
2020-12,111.90000000000001
2021-01,119.7
2021-02,117.8
2021-03,116.2
2021-04,117.7
2021-05,117.40000000000001
2021-06,117.8
2021-07,117.3
2021-08,116.3
2021-09,115.5
2021-10,116.2
2021-11,115.3
2021-12,113.5
2022-01,121.40000000000001
2022-02,119.5
2022-03,119.8
2022-04,116.7
2022-05,119.7
2022-06,121.09999999999999
2022-07,120.3
2022-08,121.7
2022-09,121.3
2022-10,121.8
2022-11,122.59999999999999
2022-12,119.2
2023-01,129.90000000000001
2023-02,129.30000000000001
2023-03,128
2023-04,125.40000000000001
2023-05,128
2023-06,129.69999999999999
2023-07,129.80000000000001
2023-08,130.40000000000001
2023-09,129.09999999999999
2023-10,128.09999999999999
2023-11,128.40000000000001
2023-12,123.90000000000001
2024-01,135.09999999999999
2024-02,132.19999999999999
2024-03,130.40000000000001
2024-04,134.80000000000001
2024-05,133.90000000000001
2024-06,132.30000000000001
2024-07,132.30000000000001
2024-08,133.80000000000001
2024-09,131.90000000000001
2024-10,131.40000000000001
2024-11,130.40000000000001
2024-12,126.59999999999999
2025-01,137.90000000000001
2025-02,133.09999999999999
2025-03,132.90000000000001
2025-04,129.19999999999999
2025-05,133.59999999999999
2025-06,133.09999999999999
2025-07,133.80000000000001
2025-08,132.40000000000001
2025-09,132.69999999999999
2025-10,134.59999999999999
2025-11,132
2025-12,128
2026-01,141.69999999999999
2026-02,135.80000000000001
2026-03,133.5
2026-04,135.40000000000001
2026-05,135.5
2026-06,136.09999999999999
2026-07,134.80000000000001
