block,target,available_from,error
core,2019-03,2019-04-10 09:00:00,-0.28656355881950546
food,2019-03,2019-04-10 09:00:00,0.19135293939376602
core,2019-04,2019-05-13 09:00:00,-0.0885079255636005
food,2019-04,2019-05-13 09:00:00,-0.4853844164600539
core,2019-05,2019-06-11 09:00:00,-0.025192558374651647
food,2019-05,2019-06-11 09:00:00,1.6014599011725945
core,2019-06,2019-07-11 09:00:00,0.10743623317013824
food,2019-06,2019-07-11 09:00:00,0.24882085667999962
core,2019-07,2019-08-12 09:00:00,0.5389998573421771
food,2019-07,2019-08-12 09:00:00,-0.44387525260205396
core,2019-08,2019-09-10 09:00:00,0.00838913235071102
food,2019-08,2019-09-10 09:00:00,0.21695599878581878
core,2019-09,2019-10-10 09:00:00,-0.7344981469233633
food,2019-09,2019-10-10 09:00:00,-1.0040164680851664
core,2019-10,2019-11-11 09:00:00,0.09673351108770165
food,2019-10,2019-11-11 09:00:00,0.5161396181176225
core,2019-11,2019-12-10 09:00:00,0.10200399607574538
food,2019-11,2019-12-10 09:00:00,1.050200685463849
core,2019-12,2020-01-13 09:00:00,-0.10397683036303011
food,2019-12,2020-01-13 09:00:00,0.3713673123954568
core,2020-01,2020-02-14 09:00:00,0.49506721879457544
food,2020-01,2020-02-14 09:00:00,1.2178185911157766
core,2020-02,2020-03-10 09:00:00,0.4239261043927462
food,2020-02,2020-03-10 09:00:00,-0.5259550313596257
core,2020-03,2020-04-14 09:00:00,-0.4838274376096454
food,2020-03,2020-04-14 09:00:00,0.9979525764887355
core,2020-04,2020-05-13 09:00:00,-0.4543131738976344
food,2020-04,2020-05-13 09:00:00,0.9504052436356871
core,2020-05,2020-06-10 09:00:00,0.5596944051439169
food,2020-05,2020-06-10 09:00:00,-0.11816542183418566
core,2020-06,2020-07-10 09:00:00,0.3580798286846162
food,2020-06,2020-07-10 09:00:00,-0.6535323446620617
core,2020-07,2020-08-13 09:00:00,0.48282345329738385
food,2020-07,2020-08-13 09:00:00,-1.1527494624023789
core,2020-08,2020-09-10 09:00:00,-0.3588931539815386
food,2020-08,2020-09-10 09:00:00,0.06520107487053925
core,2020-09,2020-10-12 09:00:00,-0.7356458645117724
food,2020-09,2020-10-12 09:00:00,-1.3817114122527092
core,2020-10,2020-11-10 09:00:00,-0.061465237556206004
food,2020-10,2020-11-10 09:00:00,0.2706649504799347
core,2020-11,2020-12-10 09:00:00,0.03155776836999295
food,2020-11,2020-12-10 09:00:00,-0.3124807581544591
core,2020-12,2021-01-13 09:00:00,-0.20155471459514473
food,2020-12,2021-01-13 09:00:00,-1.604598020830919
core,2021-01,2021-02-12 09:00:00,0.28288601714297046
food,2021-01,2021-02-12 09:00:00,1.6923652222791117
core,2021-02,2021-03-10 09:00:00,-0.001364220694770107
food,2021-02,2021-03-10 09:00:00,-0.30032296029708944
core,2021-03,2021-04-13 09:00:00,-0.2692426898974234
food,2021-03,2021-04-13 09:00:00,0.044508521264281994
core,2021-04,2021-05-11 09:00:00,-0.13726016626574555
food,2021-04,2021-05-11 09:00:00,0.8955381624446581
core,2021-05,2021-06-10 09:00:00,0.2730377262233107
food,2021-05,2021-06-10 09:00:00,-1.3210882846310847
core,2021-06,2021-07-13 09:00:00,0.7182401070404185
