origin,model,as_of,block,offset_log,n,last_release,targets
2019-10,FOOD_FEEDBACK_R21,2019-11-10T23:59:00,food,0.0,7,2019-10-10 09:00:00,2019-03|2019-04|2019-05|2019-06|2019-07|2019-08|2019-09
2019-10,DUAL_FEEDBACK_R21,2019-11-10T23:59:00,core,0.0,7,2019-10-10 09:00:00,2019-03|2019-04|2019-05|2019-06|2019-07|2019-08|2019-09
2019-10,DUAL_FEEDBACK_R21,2019-11-10T23:59:00,food,0.0,7,2019-10-10 09:00:00,2019-03|2019-04|2019-05|2019-06|2019-07|2019-08|2019-09
2019-11,CORE_FEEDBACK_R21,2019-12-09T23:59:00,core,0.0,8,2019-11-11 09:00:00,2019-03|2019-04|2019-05|2019-06|2019-07|2019-08|2019-09|2019-10
2019-11,FOOD_FEEDBACK_R21,2019-12-09T23:59:00,food,0.0,8,2019-11-11 09:00:00,2019-03|2019-04|2019-05|2019-06|2019-07|2019-08|2019-09|2019-10
2019-11,DUAL_FEEDBACK_R21,2019-12-09T23:59:00,core,0.0,8,2019-11-11 09:00:00,2019-03|2019-04|2019-05|2019-06|2019-07|2019-08|2019-09|2019-10
2019-11,DUAL_FEEDBACK_R21,2019-12-09T23:59:00,food,0.0,8,2019-11-11 09:00:00,2019-03|2019-04|2019-05|2019-06|2019-07|2019-08|2019-09|2019-10
2019-12,CORE_FEEDBACK_R21,2020-01-12T23:59:00,core,0.0,9,2019-12-10 09:00:00,2019-03|2019-04|2019-05|2019-06|2019-07|2019-08|2019-09|2019-10|2019-11
2019-12,FOOD_FEEDBACK_R21,2020-01-12T23:59:00,food,0.0,9,2019-12-10 09:00:00,2019-03|2019-04|2019-05|2019-06|2019-07|2019-08|2019-09|2019-10|2019-11
2019-12,DUAL_FEEDBACK_R21,2020-01-12T23:59:00,core,0.0,9,2019-12-10 09:00:00,2019-03|2019-04|2019-05|2019-06|2019-07|2019-08|2019-09|2019-10|2019-11
2019-12,DUAL_FEEDBACK_R21,2020-01-12T23:59:00,food,0.0,9,2019-12-10 09:00:00,2019-03|2019-04|2019-05|2019-06|2019-07|2019-08|2019-09|2019-10|2019-11
2020-01,CORE_FEEDBACK_R21,2020-02-13T23:59:00,core,0.0,10,2020-01-13 09:00:00,2019-03|2019-04|2019-05|2019-06|2019-07|2019-08|2019-09|2019-10|2019-11|2019-12
2020-01,FOOD_FEEDBACK_R21,2020-02-13T23:59:00,food,0.0,10,2020-01-13 09:00:00,2019-03|2019-04|2019-05|2019-06|2019-07|2019-08|2019-09|2019-10|2019-11|2019-12
2020-01,DUAL_FEEDBACK_R21,2020-02-13T23:59:00,core,0.0,10,2020-01-13 09:00:00,2019-03|2019-04|2019-05|2019-06|2019-07|2019-08|2019-09|2019-10|2019-11|2019-12
2020-01,DUAL_FEEDBACK_R21,2020-02-13T23:59:00,food,0.0,10,2020-01-13 09:00:00,2019-03|2019-04|2019-05|2019-06|2019-07|2019-08|2019-09|2019-10|2019-11|2019-12
2020-02,CORE_FEEDBACK_R21,2020-03-09T23:59:00,core,0.0,11,2020-02-14 09:00:00,2019-03|2019-04|2019-05|2019-06|2019-07|2019-08|2019-09|2019-10|2019-11|2019-12|2020-01
2020-02,FOOD_FEEDBACK_R21,2020-03-09T23:59:00,food,0.0,11,2020-02-14 09:00:00,2019-03|2019-04|2019-05|2019-06|2019-07|2019-08|2019-09|2019-10|2019-11|2019-12|2020-01
2020-02,DUAL_FEEDBACK_R21,2020-03-09T23:59:00,core,0.0,11,2020-02-14 09:00:00,2019-03|2019-04|2019-05|2019-06|2019-07|2019-08|2019-09|2019-10|2019-11|2019-12|2020-01
2020-02,DUAL_FEEDBACK_R21,2020-03-09T23:59:00,food,0.0,11,2020-02-14 09:00:00,2019-03|2019-04|2019-05|2019-06|2019-07|2019-08|2019-09|2019-10|2019-11|2019-12|2020-01
2020-03,CORE_FEEDBACK_R21,2020-04-13T23:59:00,core,0.023489422035687758,12,2020-03-10 09:00:00,2019-03|2019-04|2019-05|2019-06|2019-07|2019-08|2019-09|2019-10|2019-11|2019-12|2020-01|2020-02
2020-03,FOOD_FEEDBACK_R21,2020-04-13T23:59:00,food,0.08568764591121122,12,2020-03-10 09:00:00,2019-03|2019-04|2019-05|2019-06|2019-07|2019-08|2019-09|2019-10|2019-11|2019-12|2020-01|2020-02
2020-03,DUAL_FEEDBACK_R21,2020-04-13T23:59:00,core,0.023489422035687758,12,2020-03-10 09:00:00,2019-03|2019-04|2019-05|2019-06|2019-07|2019-08|2019-09|2019-10|2019-11|2019-12|2020-01|2020-02
2020-03,DUAL_FEEDBACK_R21,2020-04-13T23:59:00,food,0.08568764591121122,12,2020-03-10 09:00:00,2019-03|2019-04|2019-05|2019-06|2019-07|2019-08|2019-09|2019-10|2019-11|2019-12|2020-01|2020-02
2020-04,CORE_FEEDBACK_R21,2020-05-12T23:59:00,core,0.004059651604711842,13,2020-04-14 09:00:00,2019-03|2019-04|2019-05|2019-06|2019-07|2019-08|2019-09|2019-10|2019-11|2019-12|2020-01|2020-02|2020-03
2020-04,FOOD_FEEDBACK_R21,2020-05-12T23:59:00,food,0.11798699294344643,13,2020-04-14 09:00:00,2019-03|2019-04|2019-05|2019-06|2019-07|2019-08|2019-09|2019-10|2019-11|2019-12|2020-01|2020-02|2020-03
2020-04,DUAL_FEEDBACK_R21,2020-05-12T23:59:00,core,0.004059651604711842,13,2020-04-14 09:00:00,2019-03|2019-04|2019-05|2019-06|2019-07|2019-08|2019-09|2019-10|2019-11|2019-12|2020-01|2020-02|2020-03
2020-04,DUAL_FEEDBACK_R21,2020-05-12T23:59:00,food,0.11798699294344643,13,2020-04-14 09:00:00,2019-03|2019-04|2019-05|2019-06|2019-07|2019-08|2019-09|2019-10|2019-11|2019-12|2020-01|2020-02|2020-03
2020-05,CORE_FEEDBACK_R21,2020-06-09T23:59:00,core,-0.0131142205992576,14,2020-05-13 09:00:00,2019-03|2019-04|2019-05|2019-06|2019-07|2019-08|2019-09|2019-10|2019-11|2019-12|2020-01|2020-02|2020-03|2020-04
2020-05,FOOD_FEEDBACK_R21,2020-06-09T23:59:00,food,0.14663599319026135,14,2020-05-13 09:00:00,2019-03|2019-04|2019-05|2019-06|2019-07|2019-08|2019-09|2019-10|2019-11|2019-12|2020-01|2020-02|2020-03|2020-04
