origin,model,as_of,fast,current,gentle,n_labels,n_origins
2020-01,POOL_PRIOR_R21,2020-02-13T23:59:00,0.5,0.25,0.25,0,0
2020-01,POOL_COMPLETE_R21,2020-02-13T23:59:00,0.5,0.25,0.25,0,0
2020-01,POOL_PARTIAL_R21,2020-02-13T23:59:00,0.5,0.25,0.25,55,10
2020-02,POOL_PRIOR_R21,2020-03-09T23:59:00,0.5,0.25,0.25,0,0
2020-02,POOL_COMPLETE_R21,2020-03-09T23:59:00,0.5,0.25,0.25,0,0
2020-02,POOL_PARTIAL_R21,2020-03-09T23:59:00,0.5,0.25,0.25,66,11
2020-03,POOL_PRIOR_R21,2020-04-13T23:59:00,0.5,0.25,0.25,0,0
2020-03,POOL_COMPLETE_R21,2020-04-13T23:59:00,0.5,0.25,0.25,12,1
2020-03,POOL_PARTIAL_R21,2020-04-13T23:59:00,0.5,0.25,0.25,78,12
2020-04,POOL_PRIOR_R21,2020-05-12T23:59:00,0.5,0.25,0.25,0,0
2020-04,POOL_COMPLETE_R21,2020-05-12T23:59:00,0.5,0.25,0.25,24,2
2020-04,POOL_PARTIAL_R21,2020-05-12T23:59:00,0.5,0.25,0.25,90,13
2020-05,POOL_PRIOR_R21,2020-06-09T23:59:00,0.5,0.25,0.25,0,0
2020-05,POOL_COMPLETE_R21,2020-06-09T23:59:00,0.5,0.25,0.25,36,3
2020-05,POOL_PARTIAL_R21,2020-06-09T23:59:00,0.5,0.25,0.25,102,14
2020-06,POOL_PRIOR_R21,2020-07-09T23:59:00,0.5,0.25,0.25,0,0
2020-06,POOL_COMPLETE_R21,2020-07-09T23:59:00,0.5,0.25,0.25,48,4
2020-06,POOL_PARTIAL_R21,2020-07-09T23:59:00,0.5,0.25,0.25,114,15
2020-07,POOL_PRIOR_R21,2020-08-12T23:59:00,0.5,0.25,0.25,0,0
2020-07,POOL_COMPLETE_R21,2020-08-12T23:59:00,0.5,0.25,0.25,60,5
2020-07,POOL_PARTIAL_R21,2020-08-12T23:59:00,0.5,0.25,0.25,126,16
2020-08,POOL_PRIOR_R21,2020-09-09T23:59:00,0.5,0.25,0.25,0,0
2020-08,POOL_COMPLETE_R21,2020-09-09T23:59:00,0.25,0.75,0.0,72,6
2020-08,POOL_PARTIAL_R21,2020-09-09T23:59:00,0.25,0.6878039480268711,0.062196051973129,138,17
2020-09,POOL_PRIOR_R21,2020-10-11T23:59:00,0.5,0.25,0.25,0,0
2020-09,POOL_COMPLETE_R21,2020-10-11T23:59:00,0.25,0.5822741136842604,0.16772588631573965,84,7
2020-09,POOL_PARTIAL_R21,2020-10-11T23:59:00,0.25,0.6437924929410278,0.10620750705897222,150,18
2020-10,POOL_PRIOR_R21,2020-11-09T23:59:00,0.5,0.25,0.25,0,0
2020-10,POOL_COMPLETE_R21,2020-11-09T23:59:00,0.2500000000000001,0.3209053920900951,0.4290946079099049,96,8
2020-10,POOL_PARTIAL_R21,2020-11-09T23:59:00,0.25000000000000006,0.705787783306369,0.04421221669363096,162,19
2020-11,POOL_PRIOR_R21,2020-12-09T23:59:00,0.5,0.25,0.25,0,0
2020-11,POOL_COMPLETE_R21,2020-12-09T23:59:00,0.25,0.75,0.0,108,9
2020-11,POOL_PARTIAL_R21,2020-12-09T23:59:00,0.25000000000000006,0.75,6.938893903907228e-18,174,20
2020-12,POOL_PRIOR_R21,2021-01-12T23:59:00,0.5,0.25,0.25,0,0
2020-12,POOL_COMPLETE_R21,2021-01-12T23:59:00,0.24999999999999994,0.7499999999999999,1.3530843112619093e-16,120,10
2020-12,POOL_PARTIAL_R21,2021-01-12T23:59:00,0.25,0.75,3.8163916471489756e-17,186,21
2021-01,POOL_PRIOR_R21,2021-02-11T23:59:00,0.5,0.25,0.25,0,0
2021-01,POOL_COMPLETE_R21,2021-02-11T23:59:00,0.25000000000000006,0.7496866413835794,0.0003133586164206018,132,11
2021-01,POOL_PARTIAL_R21,2021-02-11T23:59:00,0.25000000000000006,0.7499999999999999,5.551115123125783e-17,198,22
2021-02,POOL_PRIOR_R21,2021-03-09T23:59:00,0.5,0.25,0.25,0,0
2021-02,POOL_COMPLETE_R21,2021-03-09T23:59:00,0.25,0.7067603156599513,0.04323968434004864,144,12
2021-02,POOL_PARTIAL_R21,2021-03-09T23:59:00,0.25,0.75,9.71445146547012e-17,210,23
2021-03,POOL_PRIOR_R21,2021-04-12T23:59:00,0.5,0.25,0.25,0,0
2021-03,POOL_COMPLETE_R21,2021-04-12T23:59:00,0.25,0.75,0.0,156,13
2021-03,POOL_PARTIAL_R21,2021-04-12T23:59:00,0.25,0.75,0.0,222,24
2021-04,POOL_PRIOR_R21,2021-05-10T23:59:00,0.5,0.25,0.25,0,0
2021-04,POOL_COMPLETE_R21,2021-05-10T23:59:00,0.25,0.75,0.0,168,14
2021-04,POOL_PARTIAL_R21,2021-05-10T23:59:00,0.25,0.7499999999999998,1.6653345369377348e-16,234,25
2021-05,POOL_PRIOR_R21,2021-06-09T23:59:00,0.5,0.25,0.25,0,0
2021-05,POOL_COMPLETE_R21,2021-06-09T23:59:00,0.25000000000000006,0.75,5.160802341031001e-17,180,15
2021-05,POOL_PARTIAL_R21,2021-06-09T23:59:00,0.25,0.75,5.551115123125783e-17,246,26
2021-06,POOL_PRIOR_R21,2021-07-12T23:59:00,0.5,0.25,0.25,0,0
2021-06,POOL_COMPLETE_R21,2021-07-12T23:59:00,0.25000000000000006,0.7499999999999999,0.0,192,16
2021-06,POOL_PARTIAL_R21,2021-07-12T23:59:00,0.25000000000000006,0.75,0.0,258,27
2021-07,POOL_PRIOR_R21,2021-08-09T23:59:00,0.5,0.25,0.25,0,0
2021-07,POOL_COMPLETE_R21,2021-08-09T23:59:00,0.25000000000000006,0.75,0.0,204,17
2021-07,POOL_PARTIAL_R21,2021-08-09T23:59:00,0.2500000000000001,0.75,0.0,270,28
2021-08,POOL_PRIOR_R21,2021-09-09T23:59:00,0.5,0.25,0.25,0,0
2021-08,POOL_COMPLETE_R21,2021-09-09T23:59:00,0.25,0.75,0.0,216,18
2021-08,POOL_PARTIAL_R21,2021-09-09T23:59:00,0.25,0.75,0.0,282,29
2021-09,POOL_PRIOR_R21,2021-10-10T23:59:00,0.5,0.25,0.25,0,0
2021-09,POOL_COMPLETE_R21,2021-10-10T23:59:00,0.25000000000000006,0.75,0.0,228,19
2021-09,POOL_PARTIAL_R21,2021-10-10T23:59:00,0.25,0.75,4.163336342344337e-17,294,30
2021-10,POOL_PRIOR_R21,2021-11-09T23:59:00,0.5,0.25,0.25,0,0
2021-10,POOL_COMPLETE_R21,2021-11-09T23:59:00,0.25000000000000006,0.7499999999999999,5.551115123125783e-17,240,20
2021-10,POOL_PARTIAL_R21,2021-11-09T23:59:00,0.25,0.75,0.0,306,31
2021-11,POOL_PRIOR_R21,2021-12-09T23:59:00,0.5,0.25,0.25,0,0
2021-11,POOL_COMPLETE_R21,2021-12-09T23:59:00,0.25,0.75,0.0,252,21
2021-11,POOL_PARTIAL_R21,2021-12-09T23:59:00,0.25,0.75,0.0,318,32
2021-12,POOL_PRIOR_R21,2022-01-11T23:59:00,0.5,0.25,0.25,0,0
2021-12,POOL_COMPLETE_R21,2022-01-11T23:59:00,0.25000000000000006,0.7499999999999999,2.7755575615628914e-17,264,22
2021-12,POOL_PARTIAL_R21,2022-01-11T23:59:00,0.25,0.75,1.1102230246251565e-16,330,33
2022-01,POOL_PRIOR_R21,2022-02-13T23:59:00,0.5,0.25,0.25,0,0
2022-01,POOL_COMPLETE_R21,2022-02-13T23:59:00,0.25,0.75,0.0,276,23
2022-01,POOL_PARTIAL_R21,2022-02-13T23:59:00,0.25,0.75,5.724587470723463e-17,342,34
2022-02,POOL_PRIOR_R21,2022-03-09T23:59:00,0.5,0.25,0.25,0,0
2022-02,POOL_COMPLETE_R21,2022-03-09T23:59:00,0.25,0.75,0.0,288,24
2022-02,POOL_PARTIAL_R21,2022-03-09T23:59:00,0.38739158534145535,0.4510311634476051,0.16157725121093958,354,35
2022-03,POOL_PRIOR_R21,2022-04-10T23:59:00,0.5,0.25,0.25,0,0
2022-03,POOL_COMPLETE_R21,2022-04-10T23:59:00,0.25,0.75,2.7755575615628914e-17,300,25
2022-03,POOL_PARTIAL_R21,2022-04-10T23:59:00,0.5440720824825973,0.1407585626507982,0.3151693548666044,366,36
2022-04,POOL_PRIOR_R21,2022-05-09T23:59:00,0.5,0.25,0.25,0,0
2022-04,POOL_COMPLETE_R21,2022-05-09T23:59:00,0.25,0.75,2.7755575615628914e-17,311,26
2022-04,POOL_PARTIAL_R21,2022-05-09T23:59:00,0.600816360920195,1.4715754531790708e-17,0.399183639079805,377,37
2022-05,POOL_PRIOR_R21,2022-06-09T23:59:00,0.5,0.25,0.25,0,0
2022-05,POOL_COMPLETE_R21,2022-06-09T23:59:00,0.25,0.7499999999999999,8.326672684688674e-17,321,27
2022-05,POOL_PARTIAL_R21,2022-06-09T23:59:00,0.5822032930827507,0.0,0.41779670691724946,387,38
2022-06,POOL_PRIOR_R21,2022-07-12T23:59:00,0.5,0.25,0.25,0,0
