origin,model,h,log_rate,correction
2019-02,FOOD_ECM_R27,1,0.04679350645468221,0.16866969238376506
2019-02,FOOD_ECM_R27,2,-0.01464235114889001,0.1265022692878238
2019-02,FOOD_ECM_R27,3,0.47178929182484897,0.09487670196586784
2019-02,FOOD_ECM_R27,4,0.16934709361177505,0.07115752647440088
2019-02,FOOD_ECM_R27,5,-0.041076034042238176,0.053368144855800666
2019-02,FOOD_ECM_R27,6,-0.4544668300178808,0.040026108641850494
2019-02,FOOD_ECM_R27,7,0.48799583176107936,0.0
2019-02,FOOD_ECM_R27,8,0.44346938285844717,0.0
2019-02,FOOD_ECM_R27,9,0.16190487433472908,0.0
2019-02,FOOD_ECM_R27,10,0.46534581983873197,0.0
2019-02,FOOD_ECM_R27,11,1.170163347613429,0.0
2019-02,FOOD_ECM_R27,12,0.37314619138998373,0.0
2019-02,FOOD_ECM_A002_R27,1,-0.10424458075189995,0.017631605177182905
2019-02,FOOD_ECM_A002_R27,2,-0.12386564736307455,0.017278973073639247
2019-02,FOOD_ECM_A002_R27,3,0.3938459834711476,0.01693339361216646
2019-02,FOOD_ECM_A002_R27,4,0.1147842928772973,0.01659472573992313
2019-02,FOOD_ECM_A002_R27,5,-0.07818134767291417,0.01626283122512467
2019-02,FOOD_ECM_A002_R27,6,-0.47855536405910915,0.015937574600622176
2019-02,FOOD_ECM_A002_R27,7,0.48799583176107936,0.0
2019-02,FOOD_ECM_A002_R27,8,0.44346938285844717,0.0
2019-02,FOOD_ECM_A002_R27,9,0.16190487433472908,0.0
2019-02,FOOD_ECM_A002_R27,10,0.46534581983873197,0.0
2019-02,FOOD_ECM_A002_R27,11,1.170163347613429,0.0
2019-02,FOOD_ECM_A002_R27,12,0.37314619138998373,0.0
2019-02,FOOD_ECM_A005_R27,1,-0.0791465305251957,0.04272965540388715
2019-02,FOOD_ECM_A005_R27,2,-0.10055144780302101,0.04059317263369279
2019-02,FOOD_ECM_A005_R27,3,0.41547610386098927,0.03856351400200815
2019-02,FOOD_ECM_A005_R27,4,0.1348249054392819,0.03663533830190774
2019-02,FOOD_ECM_A005_R27,5,-0.0596406075112265,0.034803571386812344
2019-02,FOOD_ECM_A005_R27,6,-0.4614295458422596,0.03306339281747173
2019-02,FOOD_ECM_A005_R27,7,0.48799583176107936,0.0
2019-02,FOOD_ECM_A005_R27,8,0.44346938285844717,0.0
2019-02,FOOD_ECM_A005_R27,9,0.16190487433472908,0.0
2019-02,FOOD_ECM_A005_R27,10,0.46534581983873197,0.0
2019-02,FOOD_ECM_A005_R27,11,1.170163347613429,0.0
2019-02,FOOD_ECM_A005_R27,12,0.37314619138998373,0.0
2019-02,FOOD_ECM_A010_R27,1,-0.040914733584875615,0.08096145234420724
2019-02,FOOD_ECM_A010_R27,2,-0.06827931332692729,0.07286530710978652
2019-02,FOOD_ECM_A010_R27,3,0.442491366257789,0.06557877639880787
2019-02,FOOD_ECM_A010_R27,4,0.15721046589630125,0.059020898758927076
2019-02,FOOD_ECM_A010_R27,5,-0.04132537001500447,0.05311880888303437
2019-02,FOOD_ECM_A010_R27,6,-0.44668601066500035,0.047806927994730936
2019-02,FOOD_ECM_A010_R27,7,0.48799583176107936,0.0
2019-02,FOOD_ECM_A010_R27,8,0.44346938285844717,0.0
2019-02,FOOD_ECM_A010_R27,9,0.16190487433472908,0.0
2019-02,FOOD_ECM_A010_R27,10,0.46534581983873197,0.0
2019-02,FOOD_ECM_A010_R27,11,1.170163347613429,0.0
2019-02,FOOD_ECM_A010_R27,12,0.37314619138998373,0.0
2019-02,FOOD_ECM_A015_R27,1,-0.007180795108122626,0.11469539082096022
2019-02,FOOD_ECM_A015_R27,2,-0.043653538238897616,0.09749108219781619
2019-02,FOOD_ECM_A015_R27,3,0.4597800097271249,0.08286741986814376
2019-02,FOOD_ECM_A015_R27,4,0.16862687402529636,0.07043730688792219
2019-02,FOOD_ECM_A015_R27,5,-0.03457246804330497,0.05987171085473387
2019-02,FOOD_ECM_A015_R27,6,-0.44360198443320753,0.05089095422652378
2019-02,FOOD_ECM_A015_R27,7,0.48799583176107936,0.0
2019-02,FOOD_ECM_A015_R27,8,0.44346938285844717,0.0
2019-02,FOOD_ECM_A015_R27,9,0.16190487433472908,0.0
2019-02,FOOD_ECM_A015_R27,10,0.46534581983873197,0.0
2019-02,FOOD_ECM_A015_R27,11,1.170163347613429,0.0
2019-02,FOOD_ECM_A015_R27,12,0.37314619138998373,0.0
2019-02,FOOD_ECM_PPI_R27,1,0.052341712351591255,0.1742178982806741
2019-02,FOOD_ECM_PPI_R27,2,-0.01048119672620823,0.13066342371050557
2019-02,FOOD_ECM_PPI_R27,3,0.4749101576418603,0.09799756778287919
2019-02,FOOD_ECM_PPI_R27,4,0.17168774297453354,0.07349817583715938
2019-02,FOOD_ECM_PPI_R27,5,-0.0393205470201693,0.05512363187786954
2019-02,FOOD_ECM_PPI_R27,6,-0.45315021475132916,0.04134272390840216
2019-02,FOOD_ECM_PPI_R27,7,0.48799583176107936,0.0
2019-02,FOOD_ECM_PPI_R27,8,0.44346938285844717,0.0
2019-02,FOOD_ECM_PPI_R27,9,0.16190487433472908,0.0
2019-02,FOOD_ECM_PPI_R27,10,0.46534581983873197,0.0
2019-02,FOOD_ECM_PPI_R27,11,1.170163347613429,0.0
2019-02,FOOD_ECM_PPI_R27,12,0.37314619138998373,0.0
2019-03,FOOD_ECM_R27,1,0.04239480475878951,0.15211534548174616
2019-03,FOOD_ECM_R27,2,0.5238142923965902,0.11408650911130962
2019-03,FOOD_ECM_R27,3,0.20339654870323845,0.08556488183348221
2019-03,FOOD_ECM_R27,4,-0.01932723240161542,0.06417366137511166
2019-03,FOOD_ECM_R27,5,-0.44579803265850204,0.04813024603133374
2019-03,FOOD_ECM_R27,6,0.5206974274725148,0.036097684523500304
2019-03,FOOD_ECM_R27,7,0.4367341680001287,0.0
2019-03,FOOD_ECM_R27,8,0.15335438270368135,0.0
2019-03,FOOD_ECM_R27,9,0.4554310172172384,0.0
2019-03,FOOD_ECM_R27,10,1.1595807290383942,0.0
2019-03,FOOD_ECM_R27,11,0.47275067095168416,0.0
2019-03,FOOD_ECM_R27,12,-0.1948926163447318,0.0
2019-03,FOOD_ECM_A002_R27,1,-0.09381941660859812,0.01590112411435853
2019-03,FOOD_ECM_A002_R27,2,0.425310884917352,0.015583101632071357
2019-03,FOOD_ECM_A002_R27,3,0.13310310646918616,0.01527143959942993
2019-03,FOOD_ECM_A002_R27,4,-0.06853488296928575,0.014966010807441331
2019-03,FOOD_ECM_A002_R27,5,-0.4792615880985433,0.014666690591292506
2019-03,FOOD_ECM_A002_R27,6,0.4989730997284812,0.014373356779466655
2019-03,FOOD_ECM_A002_R27,7,0.4367341680001287,0.0
2019-03,FOOD_ECM_A002_R27,8,0.15335438270368135,0.0
2019-03,FOOD_ECM_A002_R27,9,0.4554310172172384,0.0
2019-03,FOOD_ECM_A002_R27,10,1.1595807290383942,0.0
2019-03,FOOD_ECM_A002_R27,11,0.47275067095168416,0.0
2019-03,FOOD_ECM_A002_R27,12,-0.1948926163447318,0.0
2019-03,FOOD_ECM_A005_R27,1,-0.07118465320091429,0.03853588752204236
2019-03,FOOD_ECM_A005_R27,2,0.44633687643122083,0.03660909314594024
2019-03,FOOD_ECM_A005_R27,3,0.15261030535839948,0.034778638488643224
2019-03,FOOD_ECM_A005_R27,4,-0.050461187212516016,0.03303970656421106
2019-03,FOOD_ECM_A005_R27,5,-0.46254055745383527,0.031387721236000504
2019-03,FOOD_ECM_A005_R27,6,0.514418078123215,0.029818335174200482
2019-03,FOOD_ECM_A005_R27,7,0.4367341680001287,0.0
2019-03,FOOD_ECM_A005_R27,8,0.15335438270368135,0.0
2019-03,FOOD_ECM_A005_R27,9,0.4554310172172384,0.0
2019-03,FOOD_ECM_A005_R27,10,1.1595807290383942,0.0
2019-03,FOOD_ECM_A005_R27,11,0.47275067095168416,0.0
2019-03,FOOD_ECM_A005_R27,12,-0.1948926163447318,0.0
2019-03,FOOD_ECM_A010_R27,1,-0.036705174891718484,0.07301536583123816
2019-03,FOOD_ECM_A010_R27,2,0.47544161253339495,0.06571382924811435
