origin,as_of,model,last_common_month,status,n,window_start,window_end,intercept,trend_per_month,coef_food_ppi,coef_agri4,r2,gap_seasonal_share_raw,gap_seasonal_share_centred,gap_sd,speed_status,speed_n_pairs,speed_alpha_raw,speed_wrong_sign,alpha,gap_last,cumulative_correction_h6
2019-02,2019-03-10T22:59:00+00:00,FOOD_ECM_R27,2019-01,estimated,49,2015-01,2019-01,-0.45196213274355174,0.15952375948954797,-0.3756028753374754,0.4325077105199516,0.8588398999476912,0.336674430282516,3.545460893288016e-33,0.8857319488583666,estimated,48,-0.32295342777404173,False,-0.25,-0.8995716927134136,0.5546004436095088
2019-02,2019-03-10T22:59:00+00:00,FOOD_ECM_PPI_R27,2019-01,estimated,49,2015-01,2019-01,-0.8990450392865582,0.1495467078779517,0.7997894311247202,,0.8131292200948407,0.5352308746480058,3.343967506872357e-33,0.8530456962519233,estimated,48,-0.4083986415525958,False,-0.25,-0.9291621241635952,0.5728434213974899
2019-03,2019-04-09T21:59:00+00:00,FOOD_ECM_R27,2019-02,estimated,50,2015-01,2019-02,-0.45028432629449494,0.15881654833106887,-0.3765399563715646,0.4312963010228062,0.8668836936471765,0.32084395681958133,1.1903317843349537e-33,0.8879963250905173,estimated,49,-0.32519801308955815,False,-0.25,-0.8112818425693128,0.5001683283564837
2019-03,2019-04-09T21:59:00+00:00,FOOD_ECM_PPI_R27,2019-02,estimated,50,2015-01,2019-02,-0.8976529282231638,0.14922397695905376,0.7977800510947436,,0.8240296579513744,0.5137710343085706,4.783185267791985e-33,0.8638750023886317,estimated,49,-0.40713660321691875,False,-0.25,-1.1045284410436744,0.6809595814808445
2019-04,2019-05-12T21:59:00+00:00,FOOD_ECM_R27,2019-03,estimated,51,2015-01,2019-03,-0.44758514301260044,0.15838454486070572,-0.3812150566449516,0.4319713675541917,0.8738739342053893,0.3129098370863251,3.915180548946599e-33,0.8847398459414149,estimated,50,-0.32117155842264083,False,-0.25,-0.538584249485164,0.3320458681670924
2019-04,2019-05-12T21:59:00+00:00,FOOD_ECM_PPI_R27,2019-03,estimated,51,2015-01,2019-03,-0.8944524975709247,0.1485082801826531,0.7932377984190406,,0.8331390333406181,0.4904604170710886,3.421964821001821e-33,0.8763400060761797,estimated,50,-0.39226704737621537,False,-0.25,-1.1364791931937992,0.7006577350128519
2019-05,2019-06-10T21:59:00+00:00,FOOD_ECM_R27,2019-04,estimated,52,2015-01,2019-04,-0.44519305563746886,0.1564557613805306,-0.4405575590451658,0.44442711719299854,0.8749374151834004,0.27494624537534196,1.6870403535410593e-33,0.9133718737032949,estimated,51,-0.29550217540753937,False,-0.25,-1.3567306726667203,0.8364463210819423
2019-05,2019-06-10T21:59:00+00:00,FOOD_ECM_PPI_R27,2019-04,estimated,52,2015-01,2019-04,-0.908353422355986,0.14557584658706801,0.7594862213662161,,0.8330412184508005,0.43978256345547084,4.015313214480542e-33,0.9276449292529428,estimated,51,-0.3414183285687718,False,-0.25,-1.8588554907523032,1.1460143623101204
2019-06,2019-07-10T21:59:00+00:00,FOOD_ECM_R27,2019-05,estimated,53,2015-01,2019-05,-0.44510394056822944,0.15684369408858306,-0.4004584236915566,0.4339693281479681,0.8833752112199893,0.2818939134492927,2.1180228005945474e-33,0.9022150328751511,estimated,52,-0.34146642083341944,False,-0.25,-0.4156794226603162,0.2562730620295321
2019-06,2019-07-10T21:59:00+00:00,FOOD_ECM_PPI_R27,2019-05,estimated,53,2015-01,2019-05,-0.9189461629700693,0.14495504715156787,0.7480516129747464,,0.8445190850933211,0.4195429312637656,3.88763729368591e-33,0.9365779223287639,estimated,52,-0.37606254303251174,False,-0.25,-1.0896456348764527,0.6717840916679106
2019-07,2019-08-11T21:59:00+00:00,FOOD_ECM_R27,2019-06,estimated,54,2015-01,2019-06,-0.4453873394724468,0.1568284846176633,-0.40151472459917886,0.434186069049068,0.8917401699713283,0.27398094751737495,1.631977943836253e-33,0.8987361312900666,estimated,53,-0.34253842247518573,False,-0.25,-0.6110307527082596,0.3767103047550128
2019-07,2019-08-11T21:59:00+00:00,FOOD_ECM_PPI_R27,2019-06,estimated,54,2015-01,2019-06,-0.9332432133335288,0.14437368161423839,0.7347817224454178,,0.8551577457680725,0.40538484610656833,3.240428915524234e-33,0.9407844848748657,estimated,53,-0.3685867776339893,False,-0.25,-0.9456881212800312,0.5830319649078123
2019-08,2019-09-09T21:59:00+00:00,FOOD_ECM_R27,2019-07,estimated,55,2015-01,2019-07,-0.44512988265869424,0.1568123532799863,-0.4073248147554426,0.43583621533174943,0.8976182221838217,0.2734097932277014,2.2792120495732805e-33,0.8909127953888105,estimated,54,-0.3394974533003635,False,-0.25,-0.0037225502212411485,0.00229501219389385
2019-08,2019-09-09T21:59:00+00:00,FOOD_ECM_PPI_R27,2019-07,estimated,55,2015-01,2019-07,-0.9634192934356003,0.1431742004715186,0.7065924792910444,,0.8603990189277309,0.40472211183742923,2.6619182624571453e-33,0.9416363248887608,estimated,54,-0.35336598343505743,False,-0.25,-0.7219631341344306,0.4451019053889089
2019-09,2019-10-09T21:59:00+00:00,FOOD_ECM_R27,2019-08,estimated,56,2015-01,2019-08,-0.4576630927380225,0.15671091337734444,-0.3568287183311276,0.4192613515089773,0.9018963572237736,0.2655177077329042,1.7533504978700313e-33,0.8893078390234832,estimated,55,-0.34507825179301865,False,-0.25,0.879683479988187,-0.5423390400000413
2019-09,2019-10-09T21:59:00+00:00,FOOD_ECM_PPI_R27,2019-08,estimated,56,2015-01,2019-08,-0.9871352818939897,0.1417955899974814,0.6797161487909712,,0.8634166611532422,0.4133025141087721,1.3710397024640399e-33,0.9378316058937899,estimated,55,-0.3438623274806712,False,-0.25,-0.18072256052524405,0.11141837059725891
2019-10,2019-11-10T22:59:00+00:00,FOOD_ECM_R27,2019-09,estimated,57,2015-01,2019-09,-0.45358486768840434,0.15655061899287742,-0.42637613822782916,0.4390672193476965,0.9032771563850506,0.26370531275562775,1.5710201538566705e-33,0.8914777309490907,estimated,56,-0.3474824408843916,False,-0.25,-0.4296897562207418,0.26491065842197953
