month,water_housing_services
2015-01,99.900000000000006
2015-02,99.900000000000006
2015-03,99.900000000000006
2015-04,99.900000000000006
2015-05,99.900000000000006
2015-06,100.09999999999999
2015-07,100.09999999999999
2015-08,100.09999999999999
2015-09,100.09999999999999
2015-10,100.09999999999999
2015-11,100.09999999999999
2015-12,100.09999999999999
2016-01,101.40000000000001
2016-02,101.40000000000001
2016-03,101.40000000000001
2016-04,102.40000000000001
2016-05,102.40000000000001
2016-06,102.40000000000001
2016-07,102.40000000000001
2016-08,102.40000000000001
2016-09,102.40000000000001
2016-10,102.40000000000001
2016-11,102.40000000000001
2016-12,102.40000000000001
2017-01,102.8
2017-02,102.8
2017-03,102.8
2017-04,102.90000000000001
2017-05,102.90000000000001
2017-06,102.90000000000001
2017-07,102.90000000000001
2017-08,102.90000000000001
2017-09,102.90000000000001
2017-10,102.90000000000001
2017-11,102.90000000000001
2017-12,102.90000000000001
2018-01,103.59999999999999
2018-02,103.59999999999999
2018-03,103.59999999999999
2018-04,103.7
2018-05,103.7
2018-06,103.7
2018-07,103.7
2018-08,103.8
2018-09,103.8
2018-10,103.8
2018-11,103.8
2018-12,103.8
2019-01,105.7
2019-02,105.8
2019-03,105.8
2019-04,105.8
2019-05,105.8
2019-06,105.8
2019-07,105.90000000000001
2019-08,105.90000000000001
2019-09,105.90000000000001
2019-10,105.90000000000001
2019-11,105.90000000000001
2019-12,105.90000000000001
2020-01,111.8
2020-02,111.8
2020-03,111.8
2020-04,111.8
2020-05,109.5
2020-06,109.59999999999999
2020-07,109.59999999999999
2020-08,109.59999999999999
2020-09,109.59999999999999
2020-10,109.7
2020-11,109.7
2020-12,109.7
2021-01,114.40000000000001
2021-02,114.59999999999999
2021-03,114.59999999999999
2021-04,114.59999999999999
2021-05,114.7
2021-06,114.7
2021-07,114.7
2021-08,114.8
2021-09,114.8
2021-10,114.90000000000001
2021-11,114.90000000000001
2021-12,114.90000000000001
2022-01,119.8
2022-02,119.8
2022-03,119.90000000000001
2022-04,119.90000000000001
2022-05,120
2022-06,120.09999999999999
2022-07,120.5
2022-08,120.59999999999999
2022-09,120.7
2022-10,120.8
2022-11,120.8
2022-12,120.8
2023-01,138.90000000000001
2023-02,139.19999999999999
2023-03,139.30000000000001
2023-04,139.30000000000001
2023-05,139.40000000000001
2023-06,138.5
2023-07,138.90000000000001
2023-08,139
2023-09,139.09999999999999
2023-10,139.19999999999999
2023-11,139.30000000000001
2023-12,139.40000000000001
2024-01,150.19999999999999
2024-02,150.30000000000001
2024-03,150.30000000000001
2024-04,150.30000000000001
2024-05,150.5
2024-06,150.5
2024-07,151
2024-08,151.30000000000001
2024-09,151.40000000000001
2024-10,151.40000000000001
2024-11,151.5
2024-12,151.5
2025-01,156
2025-02,156
2025-03,156.30000000000001
2025-04,156.30000000000001
2025-05,156.40000000000001
2025-06,156.59999999999999
2025-07,156.90000000000001
2025-08,157.30000000000001
2025-09,157.30000000000001
2025-10,157.30000000000001
2025-11,157.40000000000001
2025-12,157.40000000000001
2026-01,161.5
2026-02,161.59999999999999
2026-03,161.59999999999999
2026-04,161.80000000000001
2026-05,161.90000000000001
2026-06,162
2026-07,162.30000000000001
2026-08,162.30000000000001
