group,ticker,retrieved_at,name,source,adjustment,frequency,last_update,status,periodicity,observations,first_date,last_date,last_value
ppi_czso_mom,CZPPA01M Index,2026-09-12T16:33:03.865440+00:00,Czech Republic PPI Processed &,Czech Statistical Office,MoM% NSA,Monthly,2026-07-31,ok,MONTHLY,317,2000-02-29,2026-07-31,-1.4
ppi_czso_mom,CZPPA03M Index,2026-09-12T16:33:04.384112+00:00,Czech Republic PPI Processed &,Czech Statistical Office,MoM% NSA,Monthly,2026-07-31,ok,MONTHLY,317,2000-02-29,2026-07-31,-0.3
ppi_czso_mom,CZPPA04M Index,2026-09-12T16:33:04.927166+00:00,Czech Republic PPI Vegetable &,Czech Statistical Office,MoM% NSA,Monthly,2026-07-31,ok,MONTHLY,317,2000-02-29,2026-07-31,1.4
ppi_czso_mom,CZPPA05M Index,2026-09-12T16:33:05.501867+00:00,Czech Republic PPI Dairy Produ,Czech Statistical Office,MoM% NSA,Monthly,2026-07-31,ok,MONTHLY,317,2000-02-29,2026-07-31,-0.4
ppi_czso_mom,CZPPA06M Index,2026-09-12T16:33:06.036160+00:00,Czech Republic PPI Mill & Star,Czech Statistical Office,MoM% NSA,Monthly,2026-07-31,ok,MONTHLY,317,2000-02-29,2026-07-31,-0.2
ppi_czso_mom,CZPPA07M Index,2026-09-12T16:33:06.547028+00:00,Czech Republic PPI Bread Cakes,Czech Statistical Office,MoM% NSA,Monthly,2026-07-31,ok,MONTHLY,317,2000-02-29,2026-07-31,-0.2
ppi_czso_mom,CZPPBM Index,2026-09-12T16:33:07.067101+00:00,Czech Republic PPI Mining & Qu,Czech Statistical Office,MoM% NSA,Monthly,2026-07-31,ok,MONTHLY,317,2000-02-29,2026-07-31,-0.4
ppi_czso_mom,CZPPCM Index,2026-09-12T16:33:07.589536+00:00,Czech Republic PPI Services &,Czech Statistical Office,MoM% NSA,Monthly,2026-07-31,ok,MONTHLY,317,2000-02-29,2026-07-31,0.4
ppi_eurostat,EUPPCZY Index,2026-09-12T16:33:08.070409+00:00,Eurostat PPI Czech Republic In,Eurostat,YoY% NSA,Monthly,2026-07-31,ok,MONTHLY,427,1991-01-31,2026-07-31,1.6
ppi_eurostat,PPENCZY Index,2026-09-12T16:33:08.616585+00:00,Eurostat PPI Czech Republic En,Eurostat,YoY% NSA,Monthly,2026-07-31,ok,MONTHLY,379,1995-01-31,2026-07-31,2.2
ppi_eurostat,EPT00BCZ Index,2026-09-12T16:33:09.182347+00:00,Eurostat PPI Mining & Quarryin,Eurostat,Index NSA,Monthly,2026-07-31,ok,MONTHLY,319,2000-01-31,2026-07-31,192.1
ppi_eurostat,EPT00CCZ Index,2026-09-12T16:33:09.760541+00:00,Eurostat PPI Manufacturing Cze,Eurostat,Index NSA,Monthly,2026-07-31,ok,MONTHLY,319,2000-01-31,2026-07-31,117.0
ppi_eurostat,EPT010CZ Index,2026-09-12T16:33:10.340860+00:00,Eurostat PPI Manufacture of Fo,Eurostat,Index NSA,Monthly,2026-07-31,ok,MONTHLY,319,2000-01-31,2026-07-31,125.0
ppi_eurostat,EPTC10CZ Index,2026-09-12T16:33:10.872115+00:00,Eurostat PPI Manufacture of Fo,Eurostat,Index NSA,Monthly,2026-07-31,ok,MONTHLY,319,2000-01-31,2026-07-31,124.3
ppi_eurostat,EPT0BCCZ Index,2026-09-12T16:33:11.393922+00:00,Eurostat PPI Manufacturing Min,Eurostat,Index NSA,Monthly,2026-07-31,ok,MONTHLY,319,2000-01-31,2026-07-31,118.6
trade_prices,CZEII Index,2026-09-12T16:33:11.985836+00:00,Czech Republic Import Prices,Czech Statistical Office,Index NSA,Monthly,2026-07-31,ok,MONTHLY,233,2007-02-28,2026-07-31,116.1
trade_prices,CZEIE Index,2026-09-12T16:33:12.553315+00:00,Czech Republic Export Prices,Czech Statistical Office,Index NSA,Monthly,2026-07-31,ok,MONTHLY,233,2007-02-28,2026-07-31,120.7
trade_prices,CZEIIF Index,2026-09-12T16:33:13.091966+00:00,Czech Republic Import Prices F,Czech Statistical Office,Index NSA,Monthly,2026-07-31,ok,MONTHLY,233,2007-02-28,2026-07-31,122.0
trade_prices,CZEIIB Index,2026-09-12T16:33:13.606362+00:00,Czech Republic Import Prices B,Czech Statistical Office,Index NSA,Monthly,2026-07-31,ok,MONTHLY,233,2007-02-28,2026-07-31,191.6
