model,family,threshold,frame,n_eligible,n_alert,n_big,n_false,material_wins,material_losses,mae,survey_mae,total_gain,missed_big
HARD_BASE,STATE,0.55,2024+,31,4,2,2,2,1,0.3100552807915111,0.35,0.1597788768339554,3
HARD_BASE,STATE,0.55,flash,19,1,0,1,1,0,0.017635984426568885,0.19999999999999998,0.1823640155734311,1
HARD_BASE,STATE,0.65,all,66,8,5,3,3,4,0.611107046795019,0.6125,0.011143625639847443,15
HARD_BASE,STATE,0.65,2024+,31,2,2,0,1,0,0.36628479387534707,0.5,0.2674304122493058,3
HARD_BASE,STATE,0.65,flash,19,0,0,0,0,0,,,0.0,1
HARD_BASE,STATE,0.75,all,66,4,2,2,1,2,0.3608084135555151,0.3250000000000001,-0.1432336542220598,18
HARD_BASE,STATE,0.75,2024+,31,1,1,0,0,0,0.5680834623481432,0.5,-0.06808346234814322,4
HARD_BASE,STATE,0.75,flash,19,0,0,0,0,0,,,0.0,1
HARD_FULL,POOLED,0.0,all,66,18,6,12,7,10,0.3728373372440045,0.27777777777777785,-1.7110720703920799,14
HARD_FULL,POOLED,0.0,2024+,31,5,2,3,3,2,0.2668705855770474,0.33999999999999997,0.365647072114763,3
HARD_FULL,POOLED,0.0,flash,19,2,0,2,2,0,0.02803999692073647,0.25,0.443920006158527,1
HARD_FULL,POOLED,0.55,all,66,15,5,10,5,9,0.40930414439311796,0.2800000000000001,-1.9395621658967703,15
HARD_FULL,POOLED,0.55,2024+,31,3,2,1,2,1,0.2990836006675557,0.43333333333333335,0.4027491979973329,3
HARD_FULL,POOLED,0.55,flash,19,1,0,1,1,0,0.03527196628505702,0.3,0.26472803371494297,1
HARD_FULL,POOLED,0.65,all,66,9,4,5,3,6,0.45961684912115186,0.31111111111111117,-1.3365516420903654,16
HARD_FULL,POOLED,0.65,2024+,31,1,1,0,0,1,0.6603421882752382,0.5,-0.16034218827523816,4
HARD_FULL,POOLED,0.65,flash,19,0,0,0,0,0,,,0.0,1
HARD_FULL,POOLED,0.75,all,66,5,3,2,2,3,0.5380874688555487,0.3600000000000002,-0.8904373442777423,17
HARD_FULL,POOLED,0.75,2024+,31,1,1,0,0,1,0.6603421882752382,0.5,-0.16034218827523816,4
HARD_FULL,POOLED,0.75,flash,19,0,0,0,0,0,,,0.0,1
HARD_FULL,SCALE,0.0,all,66,18,6,12,7,10,0.3728373372440045,0.27777777777777785,-1.7110720703920799,14
HARD_FULL,SCALE,0.0,2024+,31,5,2,3,3,2,0.2668705855770474,0.33999999999999997,0.365647072114763,3
HARD_FULL,SCALE,0.0,flash,19,2,0,2,2,0,0.02803999692073647,0.25,0.443920006158527,1
HARD_FULL,SCALE,0.55,all,66,13,5,8,5,7,0.40787595165354557,0.30769230769230776,-1.3023873714960914,15
HARD_FULL,SCALE,0.55,2024+,31,3,2,1,2,1,0.2990836006675557,0.43333333333333335,0.4027491979973329,3
HARD_FULL,SCALE,0.55,flash,19,1,0,1,1,0,0.03527196628505702,0.3,0.26472803371494297,1
HARD_FULL,SCALE,0.65,all,66,8,4,4,3,5,0.4682090967381062,0.33750000000000013,-1.0456727739048484,16
HARD_FULL,SCALE,0.65,2024+,31,1,1,0,0,1,0.6603421882752382,0.5,-0.16034218827523816,4
HARD_FULL,SCALE,0.65,flash,19,0,0,0,0,0,,,0.0,1
HARD_FULL,SCALE,0.75,all,66,2,1,1,0,2,0.618143217074391,0.30000000000000004,-0.6362864341487822,19
HARD_FULL,SCALE,0.75,2024+,31,1,1,0,0,1,0.6603421882752382,0.5,-0.16034218827523816,4
HARD_FULL,SCALE,0.75,flash,19,0,0,0,0,0,,,0.0,1
HARD_FULL,STATE,0.0,all,66,18,6,12,7,10,0.3728373372440045,0.27777777777777785,-1.7110720703920799,14
HARD_FULL,STATE,0.0,2024+,31,5,2,3,3,2,0.2668705855770474,0.33999999999999997,0.365647072114763,3
HARD_FULL,STATE,0.0,flash,19,2,0,2,2,0,0.02803999692073647,0.25,0.443920006158527,1
HARD_FULL,STATE,0.55,all,66,14,4,10,5,8,0.3929078345349848,0.28571428571428575,-1.5007096834897866,16
HARD_FULL,STATE,0.55,2024+,31,4,2,2,3,1,0.22951470738977076,0.375,0.581941170440917,3
HARD_FULL,STATE,0.55,flash,19,2,0,2,2,0,0.02803999692073647,0.25,0.443920006158527,1
HARD_FULL,STATE,0.65,all,66,6,2,4,1,5,0.5405670215892846,0.2666666666666668,-1.643402129535707,18
HARD_FULL,STATE,0.65,2024+,31,1,1,0,0,1,0.6603421882752382,0.5,-0.16034218827523816,4
HARD_FULL,STATE,0.65,flash,19,0,0,0,0,0,,,0.0,1
HARD_FULL,STATE,0.75,all,66,2,1,1,0,2,0.618143217074391,0.30000000000000004,-0.6362864341487822,19
HARD_FULL,STATE,0.75,2024+,31,1,1,0,0,1,0.6603421882752382,0.5,-0.16034218827523816,4
HARD_FULL,STATE,0.75,flash,19,0,0,0,0,0,,,0.0,1
HARD_HALF,POOLED,0.0,all,66,18,7,11,7,9,0.46843511401571747,0.3944444444444445,-1.331832052282912,13
HARD_HALF,POOLED,0.0,2024+,31,5,2,3,3,1,0.26948816633731254,0.33999999999999997,0.35255916831343737,3
HARD_HALF,POOLED,0.0,flash,19,2,0,2,2,0,0.04850589764747129,0.25,0.40298820470505736,1
HARD_HALF,POOLED,0.55,all,66,13,6,7,4,7,0.5725841369022957,0.46153846153846156,-1.4435937797298442,14
HARD_HALF,POOLED,0.55,2024+,31,2,2,0,1,0,0.39863710586707607,0.5,0.2027257882658478,3
HARD_HALF,POOLED,0.55,flash,19,0,0,0,0,0,,,0.0,1
HARD_HALF,POOLED,0.65,all,66,9,5,4,4,4,0.4096492889243711,0.3555555555555557,-0.48684360031933854,15
HARD_HALF,POOLED,0.65,2024+,31,2,2,0,1,0,0.39863710586707607,0.5,0.2027257882658478,3
HARD_HALF,POOLED,0.65,flash,19,0,0,0,0,0,,,0.0,1
HARD_HALF,POOLED,0.75,all,66,6,3,3,2,3,0.47985890954260246,0.3166666666666668,-0.9791534572556142,17
HARD_HALF,POOLED,0.75,2024+,31,1,1,0,0,0,0.6142128253116907,0.5,-0.11421282531169075,4
HARD_HALF,POOLED,0.75,flash,19,0,0,0,0,0,,,0.0,1
HARD_HALF,SCALE,0.0,all,66,18,7,11,7,9,0.46843511401571747,0.3944444444444445,-1.331832052282912,13
HARD_HALF,SCALE,0.0,2024+,31,5,2,3,3,1,0.26948816633731254,0.33999999999999997,0.35255916831343737,3
HARD_HALF,SCALE,0.0,flash,19,2,0,2,2,0,0.04850589764747129,0.25,0.40298820470505736,1
HARD_HALF,SCALE,0.55,all,66,13,6,7,5,6,0.5171346876420649,0.4538461538461539,-0.8227509393468438,14
HARD_HALF,SCALE,0.55,2024+,31,3,2,1,2,0,0.27216540590854815,0.39999999999999997,0.38350378227435533,3
HARD_HALF,SCALE,0.55,flash,19,1,0,1,1,0,0.01922200599149243,0.19999999999999998,0.18077799400850755,1
HARD_HALF,SCALE,0.65,all,66,8,4,4,3,4,0.43797277673710977,0.33750000000000013,-0.8037822138968771,16
HARD_HALF,SCALE,0.65,2024+,31,1,1,0,0,0,0.6142128253116907,0.5,-0.11421282531169075,4
HARD_HALF,SCALE,0.65,flash,19,0,0,0,0,0,,,0.0,1
HARD_HALF,SCALE,0.75,all,66,1,1,0,0,0,0.6142128253116907,0.5,-0.11421282531169075,19
HARD_HALF,SCALE,0.75,2024+,31,1,1,0,0,0,0.6142128253116907,0.5,-0.11421282531169075,4
HARD_HALF,SCALE,0.75,flash,19,0,0,0,0,0,,,0.0,1
HARD_HALF,STATE,0.0,all,66,18,7,11,7,9,0.46843511401571747,0.3944444444444445,-1.331832052282912,13
HARD_HALF,STATE,0.0,2024+,31,5,2,3,3,1,0.26948816633731254,0.33999999999999997,0.35255916831343737,3
HARD_HALF,STATE,0.0,flash,19,2,0,2,2,0,0.04850589764747129,0.25,0.40298820470505736,1
HARD_HALF,STATE,0.55,all,66,12,5,7,4,6,0.5494917881282441,0.4583333333333334,-1.0939014575389292,15
HARD_HALF,STATE,0.55,2024+,31,3,2,1,2,0,0.27216540590854815,0.39999999999999997,0.38350378227435533,3
HARD_HALF,STATE,0.55,flash,19,1,0,1,1,0,0.01922200599149243,0.19999999999999998,0.18077799400850755,1
HARD_HALF,STATE,0.65,all,66,7,3,4,2,4,0.4578927835527809,0.3000000000000001,-1.1052494848694654,17
HARD_HALF,STATE,0.65,2024+,31,2,2,0,1,0,0.39863710586707607,0.5,0.2027257882658478,3
HARD_HALF,STATE,0.65,flash,19,0,0,0,0,0,,,0.0,1
HARD_HALF,STATE,0.75,all,66,2,1,1,0,1,0.5438272159784889,0.30000000000000004,-0.4876544319569777,19
HARD_HALF,STATE,0.75,2024+,31,1,1,0,0,0,0.6142128253116907,0.5,-0.11421282531169075,4
HARD_HALF,STATE,0.75,flash,19,0,0,0,0,0,,,0.0,1
