origin,model,family,status,n
2019-02,HARD_BASE,POOLED,insufficient_history,0
2019-02,HARD_BASE,SCALE,insufficient_history,0
2019-02,HARD_BASE,STATE,insufficient_history,0
2019-03,HARD_BASE,POOLED,insufficient_history,1
2019-03,HARD_BASE,SCALE,insufficient_history,1
2019-03,HARD_BASE,STATE,insufficient_history,1
2019-04,HARD_BASE,POOLED,insufficient_history,2
2019-04,HARD_BASE,SCALE,insufficient_history,2
2019-04,HARD_BASE,STATE,insufficient_history,2
2019-05,HARD_BASE,POOLED,insufficient_history,3
2019-05,HARD_BASE,SCALE,insufficient_history,3
2019-05,HARD_BASE,STATE,insufficient_history,3
2019-06,HARD_BASE,POOLED,insufficient_history,4
2019-06,HARD_BASE,SCALE,insufficient_history,4
2019-06,HARD_BASE,STATE,insufficient_history,4
2019-07,HARD_BASE,POOLED,insufficient_history,5
2019-07,HARD_BASE,SCALE,insufficient_history,5
2019-07,HARD_BASE,STATE,insufficient_history,5
2019-08,HARD_BASE,POOLED,insufficient_history,6
2019-08,HARD_BASE,SCALE,insufficient_history,6
2019-08,HARD_BASE,STATE,insufficient_history,6
2019-09,HARD_BASE,POOLED,insufficient_history,7
2019-09,HARD_BASE,SCALE,insufficient_history,7
2019-09,HARD_BASE,STATE,insufficient_history,7
2019-10,HARD_BASE,POOLED,insufficient_history,8
2019-10,HARD_BASE,SCALE,insufficient_history,8
2019-10,HARD_BASE,STATE,insufficient_history,8
2019-11,HARD_BASE,POOLED,insufficient_history,9
2019-11,HARD_BASE,SCALE,insufficient_history,9
2019-11,HARD_BASE,STATE,insufficient_history,9
2019-12,HARD_BASE,POOLED,insufficient_history,10
2019-12,HARD_BASE,SCALE,insufficient_history,10
2019-12,HARD_BASE,STATE,insufficient_history,10
2020-01,HARD_BASE,POOLED,insufficient_history,11
2020-01,HARD_BASE,SCALE,insufficient_history,11
2020-01,HARD_BASE,STATE,insufficient_history,11
2020-02,HARD_BASE,POOLED,insufficient_history,12
2020-02,HARD_BASE,SCALE,insufficient_history,12
2020-02,HARD_BASE,STATE,insufficient_history,12
2020-03,HARD_BASE,POOLED,insufficient_history,13
2020-03,HARD_BASE,SCALE,insufficient_history,13
2020-03,HARD_BASE,STATE,insufficient_history,13
2020-04,HARD_BASE,POOLED,insufficient_history,14
2020-04,HARD_BASE,SCALE,insufficient_history,14
2020-04,HARD_BASE,STATE,insufficient_history,14
2020-05,HARD_BASE,POOLED,insufficient_history,15
2020-05,HARD_BASE,SCALE,insufficient_history,15
2020-05,HARD_BASE,STATE,insufficient_history,15
2020-06,HARD_BASE,POOLED,insufficient_history,16
2020-06,HARD_BASE,SCALE,insufficient_history,16
2020-06,HARD_BASE,STATE,insufficient_history,16
2020-07,HARD_BASE,POOLED,insufficient_history,17
2020-07,HARD_BASE,SCALE,insufficient_history,17
2020-07,HARD_BASE,STATE,insufficient_history,17
2020-08,HARD_BASE,POOLED,insufficient_history,18
2020-08,HARD_BASE,SCALE,insufficient_history,18
2020-08,HARD_BASE,STATE,insufficient_history,18
2020-09,HARD_BASE,POOLED,insufficient_history,19
2020-09,HARD_BASE,SCALE,insufficient_history,19
2020-09,HARD_BASE,STATE,insufficient_history,19
2020-10,HARD_BASE,POOLED,insufficient_history,20
2020-10,HARD_BASE,SCALE,insufficient_history,20
2020-10,HARD_BASE,STATE,insufficient_history,20
2020-11,HARD_BASE,POOLED,insufficient_history,21
2020-11,HARD_BASE,SCALE,insufficient_history,21
2020-11,HARD_BASE,STATE,insufficient_history,21
2020-12,HARD_BASE,POOLED,insufficient_history,22
2020-12,HARD_BASE,SCALE,insufficient_history,22
2020-12,HARD_BASE,STATE,insufficient_history,22
2021-01,HARD_BASE,POOLED,insufficient_history,23
2021-01,HARD_BASE,SCALE,insufficient_history,23
2021-01,HARD_BASE,STATE,insufficient_history,23
2021-02,HARD_BASE,POOLED,estimated,24
2021-02,HARD_BASE,SCALE,estimated,24
2021-02,HARD_BASE,STATE,estimated,24
2021-03,HARD_BASE,POOLED,estimated,25
2021-03,HARD_BASE,SCALE,estimated,25
2021-03,HARD_BASE,STATE,estimated,25
2021-04,HARD_BASE,POOLED,estimated,26
2021-04,HARD_BASE,SCALE,estimated,26
2021-04,HARD_BASE,STATE,estimated,26
2021-05,HARD_BASE,POOLED,estimated,27
2021-05,HARD_BASE,SCALE,estimated,27
2021-05,HARD_BASE,STATE,estimated,27
2021-06,HARD_BASE,POOLED,estimated,28
2021-06,HARD_BASE,SCALE,estimated,28
2021-06,HARD_BASE,STATE,estimated,28
2021-07,HARD_BASE,POOLED,estimated,29
2021-07,HARD_BASE,SCALE,estimated,29
2021-07,HARD_BASE,STATE,estimated,29
2021-08,HARD_BASE,POOLED,estimated,30
2021-08,HARD_BASE,SCALE,estimated,30
2021-08,HARD_BASE,STATE,estimated,30
2021-09,HARD_BASE,POOLED,estimated,31
2021-09,HARD_BASE,SCALE,estimated,31
2021-09,HARD_BASE,STATE,estimated,31
2021-10,HARD_BASE,POOLED,estimated,32
2021-10,HARD_BASE,SCALE,estimated,32
2021-10,HARD_BASE,STATE,estimated,32
2021-11,HARD_BASE,POOLED,estimated,33
2021-11,HARD_BASE,SCALE,estimated,33
2021-11,HARD_BASE,STATE,estimated,33
2021-12,HARD_BASE,POOLED,estimated,34
2021-12,HARD_BASE,SCALE,estimated,34
2021-12,HARD_BASE,STATE,estimated,34
2022-01,HARD_BASE,POOLED,estimated,35
2022-01,HARD_BASE,SCALE,estimated,35
2022-01,HARD_BASE,STATE,estimated,35
2022-02,HARD_BASE,POOLED,estimated,36
2022-02,HARD_BASE,SCALE,estimated,36
2022-02,HARD_BASE,STATE,estimated,36
2022-03,HARD_BASE,POOLED,estimated,37
2022-03,HARD_BASE,SCALE,estimated,37
2022-03,HARD_BASE,STATE,estimated,37
2022-04,HARD_BASE,POOLED,estimated,38
2022-04,HARD_BASE,SCALE,estimated,38
2022-04,HARD_BASE,STATE,estimated,38
2022-05,HARD_BASE,POOLED,estimated,39
2022-05,HARD_BASE,SCALE,estimated,39
2022-05,HARD_BASE,STATE,estimated,39
2022-06,HARD_BASE,POOLED,estimated,40
2022-06,HARD_BASE,SCALE,estimated,40
2022-06,HARD_BASE,STATE,estimated,40
2022-07,HARD_BASE,POOLED,estimated,41
2022-07,HARD_BASE,SCALE,estimated,41
2022-07,HARD_BASE,STATE,estimated,41
2022-08,HARD_BASE,POOLED,estimated,42
2022-08,HARD_BASE,SCALE,estimated,42
2022-08,HARD_BASE,STATE,estimated,42
2022-09,HARD_BASE,POOLED,estimated,43
2022-09,HARD_BASE,SCALE,estimated,43
2022-09,HARD_BASE,STATE,estimated,43
2022-10,HARD_BASE,POOLED,estimated,44
2022-10,HARD_BASE,SCALE,estimated,44
2022-10,HARD_BASE,STATE,estimated,44
2022-11,HARD_BASE,POOLED,estimated,45
2022-11,HARD_BASE,SCALE,estimated,45
2022-11,HARD_BASE,STATE,estimated,45
2022-12,HARD_BASE,POOLED,estimated,46
2022-12,HARD_BASE,SCALE,estimated,46
2022-12,HARD_BASE,STATE,estimated,46
2023-01,HARD_BASE,POOLED,estimated,47
2023-01,HARD_BASE,SCALE,estimated,47
2023-01,HARD_BASE,STATE,estimated,47
2023-02,HARD_BASE,POOLED,estimated,48
2023-02,HARD_BASE,SCALE,estimated,48
2023-02,HARD_BASE,STATE,estimated,48
2023-03,HARD_BASE,POOLED,estimated,49
2023-03,HARD_BASE,SCALE,estimated,49
2023-03,HARD_BASE,STATE,estimated,49
2023-04,HARD_BASE,POOLED,estimated,50
2023-04,HARD_BASE,SCALE,estimated,50
2023-04,HARD_BASE,STATE,estimated,50
2023-05,HARD_BASE,POOLED,estimated,51
2023-05,HARD_BASE,SCALE,estimated,51
2023-05,HARD_BASE,STATE,estimated,51
2023-06,HARD_BASE,POOLED,estimated,52
2023-06,HARD_BASE,SCALE,estimated,52
2023-06,HARD_BASE,STATE,estimated,52
2023-07,HARD_BASE,POOLED,estimated,53
2023-07,HARD_BASE,SCALE,estimated,53
2023-07,HARD_BASE,STATE,estimated,53
2023-08,HARD_BASE,POOLED,estimated,54
2023-08,HARD_BASE,SCALE,estimated,54
2023-08,HARD_BASE,STATE,estimated,54
2023-09,HARD_BASE,POOLED,estimated,55
2023-09,HARD_BASE,SCALE,estimated,55
2023-09,HARD_BASE,STATE,estimated,55
2023-10,HARD_BASE,POOLED,estimated,56
2023-10,HARD_BASE,SCALE,estimated,56
2023-10,HARD_BASE,STATE,estimated,56
2023-11,HARD_BASE,POOLED,estimated,57
2023-11,HARD_BASE,SCALE,estimated,57
2023-11,HARD_BASE,STATE,estimated,57
2023-12,HARD_BASE,POOLED,estimated,58
2023-12,HARD_BASE,SCALE,estimated,58
2023-12,HARD_BASE,STATE,estimated,58
2024-01,HARD_BASE,POOLED,estimated,59
2024-01,HARD_BASE,SCALE,estimated,59
2024-01,HARD_BASE,STATE,estimated,59
2024-02,HARD_BASE,POOLED,estimated,60
2024-02,HARD_BASE,SCALE,estimated,60
2024-02,HARD_BASE,STATE,estimated,60
2024-03,HARD_BASE,POOLED,estimated,60
2024-03,HARD_BASE,SCALE,estimated,60
2024-03,HARD_BASE,STATE,estimated,60
2024-04,HARD_BASE,POOLED,estimated,60
