period,alc_replay_delta,admin_replay_delta,fuel_replay_delta,wedge_replay_delta,weeks_observed,fraction_observed,petrol_share,cur_mean,prev_mean,latest_eligible_fuel_observation,target_last_monday,wedge_history_end,wedge_same_month_n,tail_projection
2019-02,0,0,0,-1.3877787807814457e-17,4,1,0.67083999999999999,30.350000000000001,30.800000000000001,2019-02-25 00:00:00,2019-02-25 00:00:00,2019-01,4,
2019-03,0,0,0,6.9388939039072284e-18,4,1,0.67083999999999999,30.690000000000001,30.350000000000001,2019-04-01 00:00:00,2019-03-25 00:00:00,2019-02,4,
2019-04,0,0,0,-1.0408340855860843e-17,4,0.80000000000000004,0.67083999999999999,31.969999999999999,30.690000000000001,2019-04-29 00:00:00,2019-04-29 00:00:00,2019-03,4,32.450000000000003
2019-05,-1.3877787807814457e-17,0,0,-1.0408340855860843e-17,4,1,0.67083999999999999,32.810000000000002,31.850000000000001,2019-06-03 00:00:00,2019-05-27 00:00:00,2019-04,4,
2019-06,0,0,0,-5.2041704279304213e-18,4,1,0.67083999999999999,32.780000000000001,32.810000000000002,2019-07-01 00:00:00,2019-06-24 00:00:00,2019-05,4,
2019-07,0,0,0,-6.9388939039072284e-18,5,1,0.67083999999999999,32.359999999999999,32.780000000000001,2019-07-29 00:00:00,2019-07-29 00:00:00,2019-06,4,
2019-08,0,0,0,-6.9388939039072284e-18,4,1,0.67083999999999999,32.189999999999998,32.359999999999999,2019-09-02 00:00:00,2019-08-26 00:00:00,2019-07,4,
2019-09,0,0,0,1.3877787807814457e-17,5,1,0.67083999999999999,32.039999999999999,32.189999999999998,2019-09-30 00:00:00,2019-09-30 00:00:00,2019-08,4,
2019-10,-1.3877787807814457e-17,0,0,-1.3877787807814457e-17,4,1,0.67083999999999999,32.07,32.039999999999999,2019-10-28 00:00:00,2019-10-28 00:00:00,2019-09,4,
2019-11,0,0,0,5.2041704279304213e-18,4,1,0.67083999999999999,31.879999999999999,32.07,2019-12-02 00:00:00,2019-11-25 00:00:00,2019-10,4,
2019-12,0,0,0,-1.3877787807814457e-17,3,0.59999999999999998,0.67083999999999999,31.719999999999999,31.879999999999999,2019-12-16 00:00:00,2019-12-30 00:00:00,2019-11,4,31.670000000000002
2020-01,0,0,0,0,4,1,0.67083999999999999,31.949999999999999,31.75,2020-02-03 00:00:00,2020-01-27 00:00:00,2019-12,4,
2020-02,0,0,0,-1.0408340855860843e-17,4,1,0.67083700000000002,31.510000000000002,31.949999999999999,2020-03-02 00:00:00,2020-02-24 00:00:00,2020-01,5,
2020-03,0,0,0,6.9388939039072284e-18,5,1,0.67083700000000002,29.699999999999999,31.510000000000002,2020-04-06 00:00:00,2020-03-30 00:00:00,2020-02,5,
2020-04,0,0,0,-8.6736173798840355e-18,3,0.75,0.67083700000000002,26.280000000000001,29.699999999999999,2020-05-04 00:00:00,2020-04-27 00:00:00,2020-03,5,25.84
2020-05,0,0,0,-6.9388939039072284e-18,4,1,0.67083700000000002,25.600000000000001,26.43,2020-06-01 00:00:00,2020-05-25 00:00:00,2020-04,5,
2020-06,0,0,0,-4.1199682554449168e-18,5,1,0.67083700000000002,26.399999999999999,25.600000000000001,2020-06-29 00:00:00,2020-06-29 00:00:00,2020-05,5,
2020-07,0,0,0,-5.4210108624275222e-18,4,1,0.67083700000000002,27.629999999999999,26.399999999999999,2020-08-03 00:00:00,2020-07-27 00:00:00,2020-06,5,
2020-08,0,0,0,-1.0408340855860843e-17,5,1,0.67083700000000002,27.739999999999998,27.629999999999999,2020-08-31 00:00:00,2020-08-31 00:00:00,2020-07,5,
2020-09,0,0,0,1.3877787807814457e-17,4,1,0.67083700000000002,27.510000000000002,27.739999999999998,2020-09-28 00:00:00,2020-09-28 00:00:00,2020-08,5,
2020-10,-1.3877787807814457e-17,0,0,-1.214306433183765e-17,4,1,0.67083700000000002,27.649999999999999,27.510000000000002,2020-11-02 00:00:00,2020-10-26 00:00:00,2020-09,5,
2020-11,0,0,0,1.7347234759768071e-18,5,1,0.67083700000000002,27.530000000000001,27.649999999999999,2020-11-30 00:00:00,2020-11-30 00:00:00,2020-10,5,
2020-12,0,0,0,-1.0408340855860843e-17,2,0.5,0.67083700000000002,27.760000000000002,27.530000000000001,2021-01-04 00:00:00,2020-12-28 00:00:00,2020-11,5,27.789999999999999
2021-01,0,0,0,0,4,1,0.67083700000000002,27.870000000000001,27.739999999999998,2021-02-01 00:00:00,2021-01-25 00:00:00,2020-12,5,
2021-02,0,0,0,-1.0408340855860843e-17,4,1,0.67083700000000002,28.350000000000001,27.870000000000001,2021-03-01 00:00:00,2021-02-22 00:00:00,2021-01,6,
2021-03,0,0,0,6.9388939039072284e-18,5,1,0.67083700000000002,30.030000000000001,28.350000000000001,2021-03-29 00:00:00,2021-03-29 00:00:00,2021-02,6,
2021-04,0,0,0,-6.9388939039072284e-18,3,0.75,0.67083700000000002,30.93,30.030000000000001,2021-05-03 00:00:00,2021-04-26 00:00:00,2021-03,6,30.949999999999999
2021-05,0,0,0,-1.3877787807814457e-17,5,1,0.67083700000000002,31.32,30.920000000000002,2021-05-31 00:00:00,2021-05-31 00:00:00,2021-04,6,
2021-06,0,0,0,-3.4694469519536142e-18,4,1,0.67083700000000002,31.829999999999998,31.32,2021-06-28 00:00:00,2021-06-28 00:00:00,2021-05,6,
2021-07,0,0,0,-1.0408340855860843e-17,3,0.75,0.67083700000000002,32.93,31.829999999999998,2021-08-02 00:00:00,2021-07-26 00:00:00,2021-06,6,32.990000000000002
2021-08,0,0,0,-1.3877787807814457e-17,5,1,0.67083700000000002,33.07,32.909999999999997,2021-08-30 00:00:00,2021-08-30 00:00:00,2021-07,6,
2021-09,0,0,0,6.9388939039072284e-18,4,1,0.67083700000000002,33.18,33.07,2021-09-27 00:00:00,2021-09-27 00:00:00,2021-08,6,
2021-10,-1.3877787807814457e-17,0,0,-9.2699285747510629e-18,4,1,0.67083700000000002,35.090000000000003,33.18,2021-11-01 00:00:00,2021-10-25 00:00:00,2021-09,6,
