,error_core,error_food,error_fuel,error_admin,error_alc,error_wedge
error_core,1,0.13857492800239848,-0.065541157840783515,-0.079107929751609837,0.0035316864084673377,0.054643746603966162
error_food,0.13857492800239848,1,0.099631490224612887,-0.25776901823524107,0.19803773473577868,-0.14267368071234213
error_fuel,-0.065541157840783515,0.099631490224612887,1,0.14243479433745107,0.045725723938954327,0.13654390383296844
error_admin,-0.079107929751609837,-0.25776901823524107,0.14243479433745107,1,0.047105023015542605,0.23076839556536421
error_alc,0.0035316864084673377,0.19803773473577868,0.045725723938954327,0.047105023015542605,1,-0.20877720566040051
error_wedge,0.054643746603966162,-0.14267368071234213,0.13654390383296844,0.23076839556536421,-0.20877720566040051,1
