window,block,n,bias,mae,rmse,squared_term,cross_with_headline
all,core,90,0.0026374216554713417,0.13242573393665233,0.16570909930879432,2.4713555034358672,2.4542724666743796
all,food,90,-0.010825534493593754,0.12017345593092874,0.16194866783650361,2.3604633912616357,1.474190054171133
all,fuel,90,-0.00050132553472318343,0.0043746541731299595,0.0072078179865893389,0.0046757376115020713,0.050936300658528534
all,admin,90,-0.0060719635125597651,0.13614211654003014,0.34729295176993852,10.855115491416916,9.906425453648172
all,alc,90,-0.0069777984216682059,0.061916541916110485,0.080294097700354672,0.5802427912962691,0.8208660886746787
all,wedge,90,-0.003486436461497963,0.060420130525422909,0.083600855621203105,0.62901927545375225,1.0148242736304025
all,noncore,90,-0.027863058424042873,0.23245138987780342,0.38419215689178254,13.284325207544406,13.267242170782913
all,all_blocks,90,-0.021739200307073565,0.25627028757354231,0.39889967223253636,14.320885365650245,14.706690363826894
all,headline,90,-0.025225636768571529,0.2625157341641442,0.41795154739724044,15.721514637457295,15.721514637457295
ex_jan,core,83,0.010802684823455986,0.13143202849157118,0.16501976996574283,2.2602165318023748,2.3586793184206987
ex_jan,food,83,0.0027491765487771612,0.10594119134667659,0.13865931187631531,1.5957915959111015,1.0083261432449708
ex_jan,fuel,83,0.00033018367809902653,0.0037628084519312319,0.0062311472493907904,0.003222657271618004,0.016603674971484548
ex_jan,admin,83,-0.0013923837213438972,0.11065169391242113,0.31809089455212108,8.3980908273483958,8.4499514271459315
ex_jan,alc,83,0.00053262338355880145,0.059039508116438849,0.077231685951999196,0.49507286514402304,0.49363613454932498
ex_jan,wedge,83,-0.0039708697699186125,0.058499700548418035,0.080894117342455524,0.54314023231104192,1.1750103745098568
ex_jan,noncore,83,-0.0017512698808275222,0.21670272700704352,0.36479181994836996,11.045064967803247,11.143527754421569
ex_jan,all_blocks,83,0.013022284712547086,0.24062543146287521,0.37537654277948629,11.695326556133599,12.327196698332413
ex_jan,headline,83,0.0090514149426284551,0.24825110030558287,0.40333260920572989,13.502207072842266,13.502207072842266
big,core,23,0.040054265509621031,0.19146904638291087,0.21559653298438419,1.0690828958023932,1.5413416372632425
big,food,23,-0.041078064021261421,0.17625476869653833,0.230233845164798,1.2191753395654681,0.2008127154610673
big,fuel,23,-0.0021070559758574075,0.0057350083621183793,0.0085864511602177368,0.0016957243011165039,0.025999328711229942
big,admin,23,0.01048684684645711,0.32178952701077046,0.61504144486741563,8.7003475148057614,8.0328427268081875
big,alc,23,-0.023527632533168082,0.077218458390898595,0.098999927620514475,0.2254226703839434,0.28840695059857324
big,wedge,23,-0.0050668834436414919,0.06535131242576063,0.095299892141993678,0.20888759717233946,1.1346043981421652
big,noncore,23,-0.061292789127471249,0.42286996097917517,0.63281315939775851,9.2104073782603759,9.6826661197212278
big,all_blocks,23,-0.016171640174208766,0.44997830715889053,0.63120611110009672,9.1636865578724773,10.089403358842306
big,headline,23,-0.02123852361785028,0.48458284194899887,0.69857020925615931,11.224007756984467,11.224007756984467
2022,core,12,0.063340230455304722,0.22507948183910356,0.24672070704376958,0.73045328741013094,0.88105716550602642
2022,food,12,-0.11850085144902049,0.15195553535295994,0.22295763311295849,0.59652127395999122,-0.44043721577984701
2022,fuel,12,-0.0013770821821327548,0.005900670405111985,0.0085697736251207704,0.00088129223982978731,0.016134647471470049
2022,admin,12,0.013663014783589535,0.54131058629248374,0.8267253692651142,8.2016980342384738,7.7972114293279633
2022,alc,12,-0.007288952636391185,0.047905981384239883,0.056078368554066185,0.037737401036228149,-0.1448334171996761
2022,wedge,12,0.0047320240779854675,0.080637170285954421,0.11579824776857556,0.16091081023526899,1.0572681483747655
2022,noncore,12,-0.10877184740596942,0.55426611693132999,0.82334377763780942,8.1347397140987816,8.2853435921946765
2022,all_blocks,12,-0.050163641028650181,0.50313320896733327,0.77528356485366268,7.2127752711864419,8.1091326093259379
2022,headline,12,-0.045431616950664784,0.54217471984382415,0.87399469667063323,9.1664007577007052,9.1664007577007052
2024plus,core,31,-0.008158555138485948,0.079387738072013617,0.10107725235449885,0.31671493924958638,0.23213071151316353
2024plus,food,31,0.028904546417913943,0.10878009158752135,0.13792809649721452,0.58974895390369242,0.2499589276864228
2024plus,fuel,31,-0.0011144654454415617,0.0036259473736628719,0.0052002205367950582,0.00083831110257045756,0.0052608973429635365
2024plus,admin,31,-0.0068632027075990268,0.059236504866397775,0.14598246952087904,0.66063732362984584,0.45844120533133909
2024plus,alc,31,0.004436689142100261,0.059318305297210071,0.071468007490905483,0.1583379589363238,0.27799766005882698
2024plus,wedge,31,-0.023083009554388773,0.049009941088463904,0.061663990589423526,0.11787587979778791,0.26269965688288016
2024plus,noncore,31,0.0022805578525848498,0.16170720542938033,0.20782611955429309,1.3389425750388551,1.2543583473024322
2024plus,all_blocks,31,0.017205012268487679,0.14776359662736449,0.18656190055051464,1.0789656248476236,1.2237894019327158
2024plus,headline,31,-0.0058779972859010574,0.1690393240182862,0.21897776134072025,1.4864890588155963,1.4864890588155963
