origin,h,target,scored,mm_recorded,mm_lane,food_recorded,food_lane,alc_recorded,alc_lane,fuel_recorded,fuel_lane,yy_recorded,yy_lane_previous_history,yy_lane,actual_previous,actual_bbg
2019-02,0,2019-02,False,0.3177548805881821,0.3246682526924389,,,,,,,2.8136990211578414,2.8207844006063185,2.855030603616528,2.6794258373205744,2.7272180011000375
2019-02,1,2019-03,False,0.13282947219143784,0.141327418179733,0.0468044563237898,0.08532231470532048,0.5070259413749834,0.525,0.1292355051968831,0.12923190924514302,3.048877280727015,3.0647248915485417,3.1034964592958896,2.969348659003822,3.0357081452474843
2019-02,2,2019-04,False,0.34864828627046385,0.3422057481632,-0.014641279208973878,-0.04845909141487718,0.6547269024545554,0.6500000000000001,0.0,0.0,3.111856985772942,3.1210933236409577,3.1468819050217762,2.769818529130847,2.830253094110401
2019-02,3,2019-05,False,0.28101586481978186,0.2861940452416167,0.4729039697919344,0.4866847570552776,0.12036906490745512,0.15,0.0,0.0,2.910165106983521,2.9246977951244877,2.927444914314777,2.9467680608364977,3.0348904137006705
2019-02,4,2019-06,False,0.2051797804660953,0.2093910669068419,0.16949056678013172,0.19615055534628062,-0.0443104061040811,-0.05,0.0,0.0,2.730704912532534,2.749530293259151,2.7320376388055903,2.7462121212121224,2.8296416280160077
2019-02,5,2019-07,False,0.3678874325242586,0.37290594638483565,-0.04106759899434222,-0.038421078320709644,0.5006382609860527,0.55,0.0,0.0,2.9137259055796583,2.9377315766494223,2.90931289022256,2.9300567107750517,3.03489041370067
2019-02,6,2019-08,False,0.07723478811936282,0.08422094694602458,-0.4534356921711843,-0.4052253424249878,-0.3328819766809238,-0.35,0.0,0.0,2.89595594687896,2.927142075606238,2.8930909970373144,2.9272898961284195,3.03489041370067
2019-02,7,2019-09,False,-0.06587150137987097,-0.07431871079313417,0.48918847064031296,0.4455138329821855,0.2824815536417502,0.275,0.0,0.0,3.1203023382121353,3.1428372913280813,3.126000178849659,2.6515151515151705,2.7248556381328646
2019-02,8,2019-10,False,0.3446177813053466,0.3556662832539832,0.44445416352155104,0.5020946891956986,0.11621002199403706,0.125,0.0,0.0,3.085198997578246,3.1190790151378023,3.080462739795089,2.735849056603792,2.827171231397938
2019-02,9,2019-11,False,0.10272701859924893,0.09072100870323425,0.1620360110390849,0.0903914195316994,-0.0828143751614413,-0.075,0.0,0.0,3.28853736550811,3.3100920347620058,3.277255630999592,3.116147308781873,3.23889163672886
