source_id,url,file,publication_date_evidence,content_update_evidence,retrieved_at,strict_snapshot_available_from,archived_historical_vintage,sha256,publication_note
ERU_E_schema,https://eru.gov.cz/sites/default/files/obsah/prilohy/jsonschema-monitorovacivyhlaskaev0json_2.txt,work\research_r18_energy\sources\ERU_E_schema.txt,,2026-04-27,2026-09-15,2026-09-15T23:59:59+00:00,False,bf87bb5ceb6fe3d8edb7c63320e2013a77e0f436b7a4aeb962acc468aedc430e,Displayed source date is not an archived historical content vintage
ERU_G_schema,https://eru.gov.cz/sites/default/files/obsah/prilohy/jsonschema-monitorovacivyhlaskagv0json_2.txt,work\research_r18_energy\sources\ERU_G_schema.txt,,2026-04-27,2026-09-15,2026-09-15T23:59:59+00:00,False,dd53c9746dfdad4b14d5f4827620dcbce3eaa71df90285340bb0231d594579d6,Displayed source date is not an archived historical content vintage
ERU_E_templates,https://eru.gov.cz/vzory-sablon-xlsx-json-souboru-pro-predkladani-souhrnnych-informaci-podle-monitorovaci-vyhlasky,work\research_r18_energy\sources\ERU_E_templates.html,2026-04-17,2026-06-25,2026-09-15,2026-09-15T23:59:59+00:00,False,89d929a2f5dceabf3199d8dc498585a91ac61e26801ce8d890590a17aafb920b,Displayed source date is not an archived historical content vintage
ERU_G_templates,https://eru.gov.cz/vzory-sablon-xlsx-json-souboru-pro-predkladani-souhrnnych-informaci-podle-monitorovaci-vyhlasky-0,work\research_r18_energy\sources\ERU_G_templates.html,2026-04-17,2026-06-25,2026-09-15,2026-09-15T23:59:59+00:00,False,7675c42e117261d07cb62ababcd0ab1d9f4d3ca3532cbf6b27254b68f2436844,Displayed source date is not an archived historical content vintage
CZSO_energy_method,https://statistikaamy.csu.gov.cz/statistika-cen-energii,work\research_r18_energy\sources\CZSO_energy_method.html,2023-11-10,,2026-09-15,2026-09-15T23:59:59+00:00,False,0df6eec474fd4a9e997eb4baee50917022344993d4d884651111ee1b08011a0b,Displayed source date is not an archived historical content vintage
CZSO_Elek_2025,https://csu.gov.cz/vykazy/ceny-elek-1-12-mesicni-vykaz-o-cenach-elektricke-energie_psz_2025,work\research_r18_energy\sources\CZSO_Elek_2025.html,,2024-11-12,2026-09-15,2026-09-15T23:59:59+00:00,False,1c2ac31cf20e4b8c9b285db97f02f604ed2511b766463a262b44c786e850f9d4,Displayed source date is not an archived historical content vintage
CNB_2023_energy,https://www.cnb.cz/cs/menova-politika/zpravy-o-menove-politice/boxy-a-clanky/Dopad-zvysenych-cen-energii-na-domacnosti-a-podniky/,work\research_r18_energy\sources\CNB_2023_energy.html,,,2026-09-15,2026-09-15T23:59:59+00:00,False,305c09a58854598196ccde81f4efbe8a99713ed0e10b1b3a442f62cd2ee18341,Displayed source date is not an archived historical content vintage
ERU_reporting_manual,https://eru.gov.cz/sites/default/files/obsah/prilohy/metodickapriruckavyplnovanisablonv31.pdf,work\research_r18_energy\sources\ERU_reporting_manual.pdf,,2026-04-17,2026-09-15,2026-09-15T23:59:59+00:00,False,2f58d54ed086073fec197566844931887f01a5f34f231ef70a482209ecdbb8cf,Displayed source date is not an archived historical content vintage
EUROSTAT_hicp_CZ,https://ec.europa.eu/eurostat/cache/metadata/EN/prc_hicp_esmshi3_cz.htm,work\research_r18_energy\sources\EUROSTAT_hicp_CZ.html,2025-08-26,2025-08-26,2026-09-15,2026-09-15T23:59:59+00:00,False,56fdfc15f5c4d41e2267d56d0a712044fb34a8c730a73582618f697302602ee0,Displayed source date is not an archived historical content vintage
EUROSTAT_electricity_CZ,https://ec.europa.eu/eurostat/cache/metadata/EN/nrg_pc_204_sims_cz.htm,work\research_r18_energy\sources\EUROSTAT_electricity_CZ.html,2025-06-24,2025-06-24,2026-09-15,2026-09-15T23:59:59+00:00,False,934daad666ae186ded222254b85fcf090742fc1a1837f983b2dd8d6f481e484a,Displayed source date is not an archived historical content vintage
EUROSTAT_gas_CZ,https://ec.europa.eu/eurostat/cache/metadata/EN/nrg_pc_202_sims_cz.htm,work\research_r18_energy\sources\EUROSTAT_gas_CZ.html,2025-06-25,2025-06-25,2026-09-15,2026-09-15T23:59:59+00:00,False,9f7f4a0086383394d83c0c0c04c66a17f89d5ff8a06db83de0797f9f83bfbf41,Displayed source date is not an archived historical content vintage
CZSO_gas_2026,https://csu.gov.cz/vykazy/ceny-e-6-04-ctvrtletni-vykaz-o-cenach-zemniho-plynu-pro-konecne-zakazniky_psz_2026,work\research_r18_energy\sources\CZSO_gas_2026.html,,2025-11-06,2026-09-15,2026-09-15T23:59:59+00:00,False,9b5cb43c3411c67c6eabddda35c72e584363bf37b192ccb83da0a06d5d5016ae,Displayed source date is not an archived historical content vintage
