item,form,field,title,description,type,categories,actual_observations_available,source_id,time_semantics
electricity,mvE1,obdobi,obdobi,Společné,"[{""$ref"": ""#/definitions/dateFormat""}]",[],False,ERU_E_schema,obdobi is HALF-YEAR; not monthly; price fields are end-period snapshots
electricity,mvE1,typZakaznika,typZakaznika,Společné,"""string""","[""C"", ""D""]",False,ERU_E_schema,obdobi is HALF-YEAR; not monthly; price fields are end-period snapshots
electricity,mvE1,distribucniSazba,distribucniSazba,Společné,"""string""",[],False,ERU_E_schema,obdobi is HALF-YEAR; not monthly; price fields are end-period snapshots
electricity,mvE1,typSmlouvy,typSmlouvy,Společné,"""string""","[""A"", ""B"", ""C"", ""D1"", ""D2"", ""D3"", ""E"", ""F""]",False,ERU_E_schema,obdobi is HALF-YEAR; not monthly; price fields are end-period snapshots
electricity,mvE1,pocetOm,pocetOm,Společné,"""integer""",[],False,ERU_E_schema,obdobi is HALF-YEAR; not monthly; price fields are end-period snapshots
electricity,mvE1,planovanaSpotrebaMwh,planovanaSpotrebaMwh,Společné,"[""number"", ""null""]",[],False,ERU_E_schema,obdobi is HALF-YEAR; not monthly; price fields are end-period snapshots
electricity,mvE1,idProduktu,idProduktu,Pouze A,"""string""",[],False,ERU_E_schema,obdobi is HALF-YEAR; not monthly; price fields are end-period snapshots
electricity,mvE1,platnostCenikuOd,platnostCenikuOd,Pouze A,"[{""$ref"": ""#/definitions/dateFormat""}]",[],False,ERU_E_schema,obdobi is HALF-YEAR; not monthly; price fields are end-period snapshots
electricity,mvE1,kratkodobyTrh,kratkodobyTrh,Pouze A,"""string""",[],False,ERU_E_schema,obdobi is HALF-YEAR; not monthly; price fields are end-period snapshots
electricity,mvE1,prirazkaProcenta,prirazkaProcenta,Pouze A,"[""number"", ""null""]",[],False,ERU_E_schema,obdobi is HALF-YEAR; not monthly; price fields are end-period snapshots
electricity,mvE1,prirazkaAbsolutni,prirazkaAbsolutni,Pouze A,"""integer""",[],False,ERU_E_schema,obdobi is HALF-YEAR; not monthly; price fields are end-period snapshots
electricity,mvE1,prirazkaMinimalni,prirazkaMinimalni,Pouze A,"""integer""",[],False,ERU_E_schema,obdobi is HALF-YEAR; not monthly; price fields are end-period snapshots
electricity,mvE1,stalyPlat,stalyPlat,Pouze A,"""integer""",[],False,ERU_E_schema,obdobi is HALF-YEAR; not monthly; price fields are end-period snapshots
electricity,mvE1,stalyPlatPrumer,stalyPlatPrumer,Pouze B–F,"[""number"", ""null""]",[],False,ERU_E_schema,obdobi is HALF-YEAR; not monthly; price fields are end-period snapshots
electricity,mvE1,stalyPlatMedian,stalyPlatMedian,Pouze B–F,"[""number"", ""null""]",[],False,ERU_E_schema,obdobi is HALF-YEAR; not monthly; price fields are end-period snapshots
electricity,mvE1,obchodniSlozkaCenyPrumer,obchodniSlozkaCenyPrumer,Pouze B–F,"[""number"", ""null""]",[],False,ERU_E_schema,obdobi is HALF-YEAR; not monthly; price fields are end-period snapshots
electricity,mvE1,obchodniSlozkaCenyMedian,obchodniSlozkaCenyMedian,Pouze B–F,"[""number"", ""null""]",[],False,ERU_E_schema,obdobi is HALF-YEAR; not monthly; price fields are end-period snapshots
electricity,mvE1,obchodniSlozkaCenySoucetMocnin,obchodniSlozkaCenySoucetMocnin,Pouze B–F,"[""number"", ""null""]",[],False,ERU_E_schema,obdobi is HALF-YEAR; not monthly; price fields are end-period snapshots
electricity,mvE1,obchodniSlozkaCenyPocetJedinecnych,obchodniSlozkaCenyPocetJedinecnych,Pouze B–F,"""integer""",[],False,ERU_E_schema,obdobi is HALF-YEAR; not monthly; price fields are end-period snapshots
