origin,model,h,log_rate
2019-03,FOOD_ZERO_DRIFT_R24,7,0.22617892131657405
2019-03,FOOD_ZERO_DRIFT_R24,8,-0.057200863979873395
2019-03,FOOD_ZERO_DRIFT_R24,9,0.24487577053368373
2019-03,FOOD_ZERO_DRIFT_R24,10,0.9490254823548394
2019-03,FOOD_ZERO_DRIFT_R24,11,0.26219542426812936
2019-03,FOOD_ZERO_DRIFT_R24,12,-0.4054478630282865
2019-03,FOOD_ROBUST_WINDOW_R24,1,-0.12558570622862283
2019-03,FOOD_ROBUST_WINDOW_R24,2,0.39386261777961445
2019-03,FOOD_ROBUST_WINDOW_R24,3,0.10196650136409008
2019-03,FOOD_ROBUST_WINDOW_R24,4,-0.09936605928239325
2019-03,FOOD_ROBUST_WINDOW_R24,5,-0.509793444195502
2019-03,FOOD_ROBUST_WINDOW_R24,6,0.46873457744334834
2019-03,FOOD_ROBUST_WINDOW_R24,7,0.42086900249446263
2019-03,FOOD_ROBUST_WINDOW_R24,8,0.13748921719801518
2019-03,FOOD_ROBUST_WINDOW_R24,9,0.4395658517115723
2019-03,FOOD_ROBUST_WINDOW_R24,10,1.143715563532728
2019-03,FOOD_ROBUST_WINDOW_R24,11,0.4568855054460179
2019-03,FOOD_ROBUST_WINDOW_R24,12,-0.21075778185039792
2019-03,FOOD_NORM_SHIFT_R24,1,-0.10972054072295667
2019-03,FOOD_NORM_SHIFT_R24,2,0.4097277832852806
2019-03,FOOD_NORM_SHIFT_R24,3,0.11783166686975624
2019-03,FOOD_NORM_SHIFT_R24,4,-0.08350089377672709
2019-03,FOOD_NORM_SHIFT_R24,5,-0.4939282786898358
2019-03,FOOD_NORM_SHIFT_R24,6,0.48459974294901453
2019-03,FOOD_NORM_SHIFT_R24,7,0.43673416800012876
2019-03,FOOD_NORM_SHIFT_R24,8,0.15335438270368135
2019-03,FOOD_NORM_SHIFT_R24,9,0.45543101721723844
2019-03,FOOD_NORM_SHIFT_R24,10,1.1595807290383942
2019-03,FOOD_NORM_SHIFT_R24,11,0.4727506709516841
2019-03,FOOD_NORM_SHIFT_R24,12,-0.19489261634473176
2019-03,FOOD_NORM_REFIT_R24,1,-0.10594575717612298
2019-03,FOOD_NORM_REFIT_R24,2,0.41039625801239865
2019-03,FOOD_NORM_REFIT_R24,3,0.11919976314021437
2019-03,FOOD_NORM_REFIT_R24,4,-0.08191833317492887
2019-03,FOOD_NORM_REFIT_R24,5,-0.4924856912041364
2019-03,FOOD_NORM_REFIT_R24,6,0.4852533643399282
2019-03,FOOD_NORM_REFIT_R24,7,0.43715351756707616
2019-03,FOOD_NORM_REFIT_R24,8,0.15365863738879984
2019-03,FOOD_NORM_REFIT_R24,9,0.4556202853384624
2019-03,FOOD_NORM_REFIT_R24,10,1.1596957191567379
2019-03,FOOD_NORM_REFIT_R24,11,0.47281884215042935
2019-03,FOOD_NORM_REFIT_R24,12,-0.19484843076491287
2019-04,FOOD_STABLE_PIPELINE_R14B,1,0.34394651864180764
2019-04,FOOD_STABLE_PIPELINE_R14B,2,0.056590730767001704
2019-04,FOOD_STABLE_PIPELINE_R14B,3,-0.1433998740778118
2019-04,FOOD_STABLE_PIPELINE_R14B,4,-0.5557434907818645
2019-04,FOOD_STABLE_PIPELINE_R14B,5,0.42470120043871146
2019-04,FOOD_STABLE_PIPELINE_R14B,6,0.3777635482910526
2019-04,FOOD_STABLE_PIPELINE_R14B,7,0.09505930810389722
