origin,model,status
2021-07,FOOD_ZERO_DRIFT_R24,estimated
2021-07,FOOD_ROBUST_WINDOW_R24,estimated
2021-07,FOOD_NORM_SHIFT_R24,estimated
2021-07,FOOD_NORM_REFIT_R24,estimated
2021-08,FOOD_ZERO_DRIFT_R24,estimated
2021-08,FOOD_ROBUST_WINDOW_R24,estimated
2021-08,FOOD_NORM_SHIFT_R24,estimated
2021-08,FOOD_NORM_REFIT_R24,estimated
2021-09,FOOD_ZERO_DRIFT_R24,estimated
2021-09,FOOD_ROBUST_WINDOW_R24,estimated
2021-09,FOOD_NORM_SHIFT_R24,estimated
2021-09,FOOD_NORM_REFIT_R24,estimated
2021-10,FOOD_ZERO_DRIFT_R24,estimated
2021-10,FOOD_ROBUST_WINDOW_R24,estimated
2021-10,FOOD_NORM_SHIFT_R24,estimated
2021-10,FOOD_NORM_REFIT_R24,estimated
2021-11,FOOD_ZERO_DRIFT_R24,estimated
2021-11,FOOD_ROBUST_WINDOW_R24,estimated
2021-11,FOOD_NORM_SHIFT_R24,estimated
2021-11,FOOD_NORM_REFIT_R24,estimated
2021-12,FOOD_ZERO_DRIFT_R24,estimated
2021-12,FOOD_ROBUST_WINDOW_R24,estimated
2021-12,FOOD_NORM_SHIFT_R24,estimated
2021-12,FOOD_NORM_REFIT_R24,estimated
2022-01,FOOD_ZERO_DRIFT_R24,estimated
2022-01,FOOD_ROBUST_WINDOW_R24,estimated
2022-01,FOOD_NORM_SHIFT_R24,estimated
2022-01,FOOD_NORM_REFIT_R24,estimated
2022-02,FOOD_ZERO_DRIFT_R24,estimated
2022-02,FOOD_ROBUST_WINDOW_R24,estimated
2022-02,FOOD_NORM_SHIFT_R24,estimated
2022-02,FOOD_NORM_REFIT_R24,estimated
2022-03,FOOD_ZERO_DRIFT_R24,estimated
2022-03,FOOD_ROBUST_WINDOW_R24,estimated
2022-03,FOOD_NORM_SHIFT_R24,estimated
2022-03,FOOD_NORM_REFIT_R24,estimated
2022-04,FOOD_ZERO_DRIFT_R24,estimated
2022-04,FOOD_ROBUST_WINDOW_R24,estimated
2022-04,FOOD_NORM_SHIFT_R24,estimated
2022-04,FOOD_NORM_REFIT_R24,estimated
2022-05,FOOD_ZERO_DRIFT_R24,estimated
2022-05,FOOD_ROBUST_WINDOW_R24,estimated
2022-05,FOOD_NORM_SHIFT_R24,estimated
2022-05,FOOD_NORM_REFIT_R24,estimated
2022-06,FOOD_ZERO_DRIFT_R24,estimated
2022-06,FOOD_ROBUST_WINDOW_R24,estimated
2022-06,FOOD_NORM_SHIFT_R24,estimated
2022-06,FOOD_NORM_REFIT_R24,estimated
2022-07,FOOD_ZERO_DRIFT_R24,estimated
2022-07,FOOD_ROBUST_WINDOW_R24,estimated
2022-07,FOOD_NORM_SHIFT_R24,estimated
2022-07,FOOD_NORM_REFIT_R24,estimated
2022-08,FOOD_ZERO_DRIFT_R24,estimated
2022-08,FOOD_ROBUST_WINDOW_R24,estimated
2022-08,FOOD_NORM_SHIFT_R24,estimated
2022-08,FOOD_NORM_REFIT_R24,estimated
2022-09,FOOD_ZERO_DRIFT_R24,estimated
2022-09,FOOD_ROBUST_WINDOW_R24,estimated
2022-09,FOOD_NORM_SHIFT_R24,estimated
2022-09,FOOD_NORM_REFIT_R24,estimated
2022-10,FOOD_ZERO_DRIFT_R24,estimated
2022-10,FOOD_ROBUST_WINDOW_R24,estimated
2022-10,FOOD_NORM_SHIFT_R24,estimated
2022-10,FOOD_NORM_REFIT_R24,estimated
2022-11,FOOD_ZERO_DRIFT_R24,estimated
2022-11,FOOD_ROBUST_WINDOW_R24,estimated
2022-11,FOOD_NORM_SHIFT_R24,estimated
2022-11,FOOD_NORM_REFIT_R24,estimated
2022-12,FOOD_ZERO_DRIFT_R24,estimated
2022-12,FOOD_ROBUST_WINDOW_R24,estimated
2022-12,FOOD_NORM_SHIFT_R24,estimated
2022-12,FOOD_NORM_REFIT_R24,estimated
2023-01,FOOD_ZERO_DRIFT_R24,estimated
2023-01,FOOD_ROBUST_WINDOW_R24,estimated
2023-01,FOOD_NORM_SHIFT_R24,estimated
2023-01,FOOD_NORM_REFIT_R24,estimated
2023-02,FOOD_ZERO_DRIFT_R24,estimated
2023-02,FOOD_ROBUST_WINDOW_R24,estimated
2023-02,FOOD_NORM_SHIFT_R24,estimated
2023-02,FOOD_NORM_REFIT_R24,estimated
2023-03,FOOD_ZERO_DRIFT_R24,estimated
2023-03,FOOD_ROBUST_WINDOW_R24,estimated
2023-03,FOOD_NORM_SHIFT_R24,estimated
2023-03,FOOD_NORM_REFIT_R24,estimated
2023-04,FOOD_ZERO_DRIFT_R24,estimated
2023-04,FOOD_ROBUST_WINDOW_R24,estimated
2023-04,FOOD_NORM_SHIFT_R24,estimated
2023-04,FOOD_NORM_REFIT_R24,estimated
2023-05,FOOD_ZERO_DRIFT_R24,estimated
2023-05,FOOD_ROBUST_WINDOW_R24,estimated
2023-05,FOOD_NORM_SHIFT_R24,estimated
2023-05,FOOD_NORM_REFIT_R24,estimated
2023-06,FOOD_ZERO_DRIFT_R24,estimated
2023-06,FOOD_ROBUST_WINDOW_R24,estimated
2023-06,FOOD_NORM_SHIFT_R24,estimated
2023-06,FOOD_NORM_REFIT_R24,estimated
2023-07,FOOD_ZERO_DRIFT_R24,estimated
2023-07,FOOD_ROBUST_WINDOW_R24,estimated
2023-07,FOOD_NORM_SHIFT_R24,estimated
2023-07,FOOD_NORM_REFIT_R24,estimated
2023-08,FOOD_ZERO_DRIFT_R24,estimated
2023-08,FOOD_ROBUST_WINDOW_R24,estimated
2023-08,FOOD_NORM_SHIFT_R24,estimated
2023-08,FOOD_NORM_REFIT_R24,estimated
2023-09,FOOD_ZERO_DRIFT_R24,estimated
2023-09,FOOD_ROBUST_WINDOW_R24,estimated
2023-09,FOOD_NORM_SHIFT_R24,estimated
2023-09,FOOD_NORM_REFIT_R24,estimated
2023-10,FOOD_ZERO_DRIFT_R24,estimated
2023-10,FOOD_ROBUST_WINDOW_R24,estimated
2023-10,FOOD_NORM_SHIFT_R24,estimated
2023-10,FOOD_NORM_REFIT_R24,estimated
2023-11,FOOD_ZERO_DRIFT_R24,estimated
2023-11,FOOD_ROBUST_WINDOW_R24,estimated
2023-11,FOOD_NORM_SHIFT_R24,estimated
2023-11,FOOD_NORM_REFIT_R24,estimated
2023-12,FOOD_ZERO_DRIFT_R24,estimated
2023-12,FOOD_ROBUST_WINDOW_R24,estimated
2023-12,FOOD_NORM_SHIFT_R24,estimated
2023-12,FOOD_NORM_REFIT_R24,estimated
2024-01,FOOD_ZERO_DRIFT_R24,estimated
2024-01,FOOD_ROBUST_WINDOW_R24,estimated
2024-01,FOOD_NORM_SHIFT_R24,estimated
2024-01,FOOD_NORM_REFIT_R24,estimated
2024-02,FOOD_ZERO_DRIFT_R24,estimated
2024-02,FOOD_ROBUST_WINDOW_R24,estimated
2024-02,FOOD_NORM_SHIFT_R24,estimated
2024-02,FOOD_NORM_REFIT_R24,estimated
2024-03,FOOD_ZERO_DRIFT_R24,estimated
2024-03,FOOD_ROBUST_WINDOW_R24,estimated
2024-03,FOOD_NORM_SHIFT_R24,estimated
2024-03,FOOD_NORM_REFIT_R24,estimated
2024-04,FOOD_ZERO_DRIFT_R24,estimated
2024-04,FOOD_ROBUST_WINDOW_R24,estimated
2024-04,FOOD_NORM_SHIFT_R24,estimated
2024-04,FOOD_NORM_REFIT_R24,estimated
2024-05,FOOD_ZERO_DRIFT_R24,estimated
2024-05,FOOD_ROBUST_WINDOW_R24,estimated
2024-05,FOOD_NORM_SHIFT_R24,estimated
2024-05,FOOD_NORM_REFIT_R24,estimated
2024-06,FOOD_ZERO_DRIFT_R24,estimated
2024-06,FOOD_ROBUST_WINDOW_R24,estimated
2024-06,FOOD_NORM_SHIFT_R24,estimated
2024-06,FOOD_NORM_REFIT_R24,estimated
2024-07,FOOD_ZERO_DRIFT_R24,estimated
2024-07,FOOD_ROBUST_WINDOW_R24,estimated
2024-07,FOOD_NORM_SHIFT_R24,estimated
2024-07,FOOD_NORM_REFIT_R24,estimated
2024-08,FOOD_ZERO_DRIFT_R24,estimated
2024-08,FOOD_ROBUST_WINDOW_R24,estimated
2024-08,FOOD_NORM_SHIFT_R24,estimated
2024-08,FOOD_NORM_REFIT_R24,estimated
2024-09,FOOD_ZERO_DRIFT_R24,estimated
2024-09,FOOD_ROBUST_WINDOW_R24,estimated
2024-09,FOOD_NORM_SHIFT_R24,estimated
2024-09,FOOD_NORM_REFIT_R24,estimated
2024-10,FOOD_ZERO_DRIFT_R24,estimated
2024-10,FOOD_ROBUST_WINDOW_R24,estimated
2024-10,FOOD_NORM_SHIFT_R24,estimated
2024-10,FOOD_NORM_REFIT_R24,estimated
2024-11,FOOD_ZERO_DRIFT_R24,estimated
2024-11,FOOD_ROBUST_WINDOW_R24,estimated
2024-11,FOOD_NORM_SHIFT_R24,estimated
2024-11,FOOD_NORM_REFIT_R24,estimated
2024-12,FOOD_ZERO_DRIFT_R24,estimated
2024-12,FOOD_ROBUST_WINDOW_R24,estimated
2024-12,FOOD_NORM_SHIFT_R24,estimated
2024-12,FOOD_NORM_REFIT_R24,estimated
2025-01,FOOD_ZERO_DRIFT_R24,estimated
2025-01,FOOD_ROBUST_WINDOW_R24,estimated
2025-01,FOOD_NORM_SHIFT_R24,estimated
2025-01,FOOD_NORM_REFIT_R24,estimated
2025-02,FOOD_ZERO_DRIFT_R24,estimated
2025-02,FOOD_ROBUST_WINDOW_R24,estimated
2025-02,FOOD_NORM_SHIFT_R24,estimated
2025-02,FOOD_NORM_REFIT_R24,estimated
2025-03,FOOD_ZERO_DRIFT_R24,estimated
2025-03,FOOD_ROBUST_WINDOW_R24,estimated
2025-03,FOOD_NORM_SHIFT_R24,estimated
2025-03,FOOD_NORM_REFIT_R24,estimated
2025-04,FOOD_ZERO_DRIFT_R24,estimated
2025-04,FOOD_ROBUST_WINDOW_R24,estimated
2025-04,FOOD_NORM_SHIFT_R24,estimated
2025-04,FOOD_NORM_REFIT_R24,estimated
2025-05,FOOD_ZERO_DRIFT_R24,estimated
2025-05,FOOD_ROBUST_WINDOW_R24,estimated
2025-05,FOOD_NORM_SHIFT_R24,estimated
2025-05,FOOD_NORM_REFIT_R24,estimated
2025-06,FOOD_ZERO_DRIFT_R24,estimated
2025-06,FOOD_ROBUST_WINDOW_R24,estimated
2025-06,FOOD_NORM_SHIFT_R24,estimated
2025-06,FOOD_NORM_REFIT_R24,estimated
2025-07,FOOD_ZERO_DRIFT_R24,estimated
2025-07,FOOD_ROBUST_WINDOW_R24,estimated
2025-07,FOOD_NORM_SHIFT_R24,estimated
2025-07,FOOD_NORM_REFIT_R24,estimated
2025-08,FOOD_ZERO_DRIFT_R24,estimated
2025-08,FOOD_ROBUST_WINDOW_R24,estimated
2025-08,FOOD_NORM_SHIFT_R24,estimated
2025-08,FOOD_NORM_REFIT_R24,estimated
2025-09,FOOD_ZERO_DRIFT_R24,estimated
2025-09,FOOD_ROBUST_WINDOW_R24,estimated
2025-09,FOOD_NORM_SHIFT_R24,estimated
2025-09,FOOD_NORM_REFIT_R24,estimated
2025-10,FOOD_ZERO_DRIFT_R24,estimated
2025-10,FOOD_ROBUST_WINDOW_R24,estimated
2025-10,FOOD_NORM_SHIFT_R24,estimated
2025-10,FOOD_NORM_REFIT_R24,estimated
2025-11,FOOD_ZERO_DRIFT_R24,estimated
2025-11,FOOD_ROBUST_WINDOW_R24,estimated
2025-11,FOOD_NORM_SHIFT_R24,estimated
2025-11,FOOD_NORM_REFIT_R24,estimated
2025-12,FOOD_ZERO_DRIFT_R24,estimated
2025-12,FOOD_ROBUST_WINDOW_R24,estimated
2025-12,FOOD_NORM_SHIFT_R24,estimated
2025-12,FOOD_NORM_REFIT_R24,estimated
2026-01,FOOD_ZERO_DRIFT_R24,estimated
2026-01,FOOD_ROBUST_WINDOW_R24,estimated
2026-01,FOOD_NORM_SHIFT_R24,estimated
2026-01,FOOD_NORM_REFIT_R24,estimated
2026-02,FOOD_ZERO_DRIFT_R24,estimated
2026-02,FOOD_ROBUST_WINDOW_R24,estimated
2026-02,FOOD_NORM_SHIFT_R24,estimated
2026-02,FOOD_NORM_REFIT_R24,estimated
2026-03,FOOD_ZERO_DRIFT_R24,estimated
2026-03,FOOD_ROBUST_WINDOW_R24,estimated
2026-03,FOOD_NORM_SHIFT_R24,estimated
2026-03,FOOD_NORM_REFIT_R24,estimated
2026-04,FOOD_ZERO_DRIFT_R24,estimated
2026-04,FOOD_ROBUST_WINDOW_R24,estimated
2026-04,FOOD_NORM_SHIFT_R24,estimated
2026-04,FOOD_NORM_REFIT_R24,estimated
2026-05,FOOD_ZERO_DRIFT_R24,estimated
2026-05,FOOD_ROBUST_WINDOW_R24,estimated
2026-05,FOOD_NORM_SHIFT_R24,estimated
2026-05,FOOD_NORM_REFIT_R24,estimated
2026-06,FOOD_ZERO_DRIFT_R24,estimated
2026-06,FOOD_ROBUST_WINDOW_R24,estimated
2026-06,FOOD_NORM_SHIFT_R24,estimated
2026-06,FOOD_NORM_REFIT_R24,estimated
2026-07,FOOD_ZERO_DRIFT_R24,estimated
2026-07,FOOD_ROBUST_WINDOW_R24,estimated
2026-07,FOOD_NORM_SHIFT_R24,estimated
2026-07,FOOD_NORM_REFIT_R24,estimated
