origin,as_of,mu_window,mu_robust,mu_long,mu_window_annual_pct,mu_robust_annual_pct,mu_long_annual_pct,spectral_radius,contraction,n_train,train_start,train_end
2019-02,2019-03-10T22:59:00+00:00,0.14375164012152786,0.19889567838869385,0.213228393586211,1.7250196814583343,2.3867481406643263,2.558740723034532,0.6058146587352284,1.0,42,2015-08,2019-01
2019-03,2019-04-09T21:59:00+00:00,0.15297723419812168,0.19469008117788858,0.21055524668355474,1.83572681037746,2.336280974134663,2.526662960202657,0.6277725509729488,1.0,43,2015-08,2019-02
2019-04,2019-05-12T21:59:00+00:00,0.15825110811623488,0.1904844839670833,0.2099317258741659,1.8990132973948186,2.285813807605,2.519180710489991,0.6266402459535227,1.0,44,2015-08,2019-03
2019-05,2019-06-10T21:59:00+00:00,0.14987321988938274,0.1749132480117841,0.20930820506477707,1.7984786386725928,2.098958976141409,2.5116984607773247,0.6404776643382049,1.0,45,2015-08,2019-04
2019-06,2019-07-10T21:59:00+00:00,0.18462948446392166,0.1904844839670833,0.2099317258741659,2.21555381356706,2.285813807605,2.519180710489991,0.6535466851841721,1.0,46,2015-08,2019-05
2019-07,2019-08-11T21:59:00+00:00,0.19187370375914617,0.19469008117788858,0.21055524668355474,2.302484445109754,2.336280974134663,2.526662960202657,0.6541020272134106,1.0,47,2015-08,2019-06
2019-08,2019-09-09T21:59:00+00:00,0.18406077048185354,0.19889567838869385,0.213228393586211,2.2087292457822425,2.3867481406643263,2.558740723034532,0.6273717210343832,1.0,48,2015-08,2019-07
2019-09,2019-10-09T21:59:00+00:00,0.188952479816156,0.21045979716933913,0.21590154048886726,2.267429757793872,2.5255175660320694,2.590818485866407,0.6007562500105287,1.0,49,2015-08,2019-08
2019-10,2019-11-10T22:59:00+00:00,0.1727908492573181,0.20326210936799494,0.213228393586211,2.073490191087817,2.4391453124159392,2.558740723034532,0.6118813529992356,1.0,50,2015-08,2019-09
2019-11,2019-12-09T22:59:00+00:00,0.18043062156399856,0.21264301265898966,0.21590154048886726,2.1651674587679826,2.551716151907876,2.590818485866407,0.598482656149935,1.0,51,2015-08,2019-10
2019-12,2020-01-12T22:59:00+00:00,0.19870620304593378,0.22202391594998439,0.21677711666573884,2.3844744365512054,2.6642869913998126,2.601325399988866,0.6214603723507803,1.0,52,2015-08,2019-11
2020-01,2020-02-13T22:59:00+00:00,0.20418590406717266,0.2229532281349972,0.21765269284261043,2.450230848806072,2.6754387376199666,2.611832314111325,0.6211546747399765,1.0,53,2015-08,2019-12
2020-02,2020-03-09T22:59:00+00:00,0.22447132216155916,0.22388254032001006,0.21855779782881748,2.6936558659387098,2.6865904838401207,2.62269357394581,0.6214744448701912,1.0,54,2015-08,2020-01
2020-03,2020-04-13T21:59:00+00:00,0.21756880993819946,0.22822788731449117,0.21946290281502456,2.6108257192583935,2.738734647773894,2.6335548337802948,0.6158933096247614,1.0,55,2015-08,2020-02
2020-04,2020-05-12T21:59:00+00:00,0.2353531110771291,0.23257323430897228,0.2199211250098377,2.8242373329255495,2.7908788117076675,2.6390535001180524,0.63108135507754,1.0,56,2015-08,2020-03
2020-05,2020-06-09T21:59:00+00:00,0.25136263641465284,0.23279001297799992,0.22037934720465083,3.016351636975834,2.793480155735999,2.64455216645581,0.631353622232922,1.0,57,2015-08,2020-04
2020-06,2020-07-09T21:59:00+00:00,0.24988962496899467,0.23300679164702753,0.22042538000578085,2.998675499627936,2.7960814997643304,2.6451045600693703,0.6267904448089551,1.0,58,2015-08,2020-05
2020-07,2020-08-12T21:59:00+00:00,0.23948060516374606,0.2509236550661032,0.22047141280691088,2.873767261964953,3.0110838607932386,2.6456569536829306,0.63084191266763,1.0,59,2015-08,2020-06
2020-08,2020-09-09T21:59:00+00:00,0.219202236160831,0.2688405184851789,0.22091065043136382,2.630426833929972,3.226086221822147,2.650927805176366,0.6113275872968265,1.0,60,2015-08,2020-07
2020-09,2020-10-11T21:59:00+00:00,0.2189432005317793,0.27932640081234367,0.22134988805581676,2.6273184063813515,3.351916809748124,2.656198656669801,0.6166754615981799,1.0,61,2015-08,2020-08
2020-10,2020-11-09T22:59:00+00:00,0.19855563009157515,0.2809681473593475,0.22168690200290056,2.3826675610989017,3.37161776831217,2.660242824034807,0.6049985535401703,1.0,62,2015-08,2020-09
2020-11,2020-12-09T22:59:00+00:00,0.20079651946190882,0.2749043329222632,0.22202391594998439,2.409558233542906,3.2988519950671584,2.6642869913998126,0.6069817576067106,1.0,63,2015-08,2020-10
2020-12,2021-01-12T22:59:00+00:00,0.19524610439070803,0.2688405184851789,0.22168690200290056,2.3429532526884964,3.226086221822147,2.660242824034807,0.6061026726026472,1.0,64,2015-08,2020-11
2021-01,2021-02-11T22:59:00+00:00,0.17140469756722873,0.2663474564199034,0.22134988805581676,2.0568563708067447,3.1961694770388407,2.656198656669801,0.6084889603932708,1.0,65,2015-08,2020-12
2021-02,2021-03-09T22:59:00+00:00,0.19472078232958404,0.2638543943546279,0.22091065043136382,2.3366493879550085,3.1662527322555345,2.650927805176366,0.5892194233849498,1.0,66,2015-08,2021-01
2021-03,2021-04-12T21:59:00+00:00,0.19011910751401087,0.2484305930008277,0.22047141280691088,2.2814292901681306,2.9811671160099324,2.6456569536829306,0.577885189496915,1.0,67,2015-08,2021-02
2021-04,2021-05-10T21:59:00+00:00,0.1897919942832459,0.23300679164702753,0.22042538000578085,2.2775039313989507,2.7960814997643304,2.6451045600693703,0.5510632667711779,1.0,68,2015-08,2021-03
2021-05,2021-06-09T21:59:00+00:00,0.20290264067274855,0.23279001297799992,0.22037934720465083,2.4348316880729826,2.793480155735999,2.64455216645581,0.552709103095128,1.0,69,2015-08,2021-04
