sample,h,model,n,rmse,mae,bias,mm_rmse,mm_bias
all,1,INDEPENDENT_BRIDGE,88,0.9107373045382808,0.5483448281111426,-0.11911212254514592,0.6910300803237961,-0.09545380836145988
all,1,TARGET_ML,88,0.9696722655210127,0.6105595538258928,-0.12231160596798639,0.7667365509641342,-0.0977560477387263
all,1,TARGET_FX_ML,88,0.9687643947110376,0.6099399397780364,-0.11526627489917857,0.7677205634059394,-0.09077624649032755
all,1,TARGET_U_FX_ML,88,0.9691264691003392,0.6104010972751378,-0.11564340861243533,0.7676837043963053,-0.0910470506784195
all,1,BVAR_U_FX,88,0.9460862382884062,0.6044827263596932,-0.22009520498967028,0.76355807019039,-0.1921498047155967
all,1,RF_U_FX,88,0.9750617933665321,0.6067177855211168,-0.08685545921299985,0.7789609566453302,-0.06556999549142718
all,1,NAIVE,88,1.0395964047400599,0.6886424051042276,-0.10129936528618946,0.8647913712882402,-0.06712081940655411
all,2,INDEPENDENT_BRIDGE,86,1.2945851997901523,0.8416168863837293,-0.19975388785801604,0.6899196711885609,-0.07378654878921921
all,2,TARGET_ML,86,1.5276829254563637,1.0131331289278314,-0.23881864809434047,0.814767496104423,-0.10617758597530925
all,2,TARGET_FX_ML,86,1.5266709604853792,1.0150218494597214,-0.2250083729745235,0.8158265554807211,-0.09919047818159475
all,2,TARGET_U_FX_ML,86,1.526833411723764,1.0147217292175674,-0.22520962600883943,0.8156590274546016,-0.09879054344337286
all,2,BVAR_U_FX,86,1.4970299852775575,0.9587017676023446,-0.47242728754732494,0.8208400529467768,-0.23639421101207445
all,2,RF_U_FX,86,1.4436664937615773,0.9510206597385008,-0.16630025478081778,0.769436047730677,-0.07312626096126967
all,2,NAIVE,86,1.6230560525706261,1.1312755277966848,-0.1884799577654498,0.873144487136454,-0.06482884497518132
all,3,INDEPENDENT_BRIDGE,84,1.5373220457297827,1.0545270625741108,-0.30066233166206696,0.8002655056395581,-0.0882581798507764
all,3,TARGET_ML,84,1.9566239020437877,1.3249053156838937,-0.3717709165491433,0.8019803187060044,-0.11421223057596885
all,3,TARGET_FX_ML,84,1.9598423521991863,1.3289193688862377,-0.35217266878346626,0.8058758235817447,-0.10771781992385582
all,3,TARGET_U_FX_ML,84,1.9604245994533687,1.3309776039702437,-0.35165726399877856,0.806148673408907,-0.10686458412868502
all,3,BVAR_U_FX,84,1.8911795205964448,1.2532182899451887,-0.7401040921302272,0.7854451163499354,-0.24094760098355625
all,3,RF_U_FX,84,1.7718798041559458,1.19870834804215,-0.2434698658714632,0.7606329454021712,-0.06297813762349473
all,3,NAIVE,84,2.123029152105899,1.5181076146641377,-0.2818656748957147,0.8833256059430817,-0.06396183356095174
all,4,INDEPENDENT_BRIDGE,83,1.82372990802413,1.233635025154024,-0.40353756179408024,0.7691622651348138,-0.08621888132497549
all,4,TARGET_ML,83,2.4223408371841324,1.6363868131234647,-0.507644260097038,0.8165901589491342,-0.11755331610634327
all,4,TARGET_FX_ML,83,2.4337916694564083,1.6235723851075983,-0.4835755920817553,0.8225192880418529,-0.11165451146843766
all,4,TARGET_U_FX_ML,83,2.4345894854944348,1.6250261549722123,-0.48194345250062776,0.8227689494497895,-0.1105343482006881
all,4,BVAR_U_FX,83,2.3043196847200598,1.5886216058166112,-0.9987842025051554,0.7892861441092676,-0.23485656792153384
all,4,RF_U_FX,83,2.0763324468843156,1.4182513260371896,-0.32034962583992044,0.7387411129690427,-0.06328337533030115
all,4,NAIVE,83,2.6157411384861224,1.8950478874725907,-0.37732834198902887,0.888430504752355,-0.0626610318491516
all,5,INDEPENDENT_BRIDGE,82,2.16847594258856,1.422114230558286,-0.5459131715251515,0.8148155161639437,-0.1256591571106719
all,5,TARGET_ML,82,2.892206723807747,1.8997656879600975,-0.6460151448907686,0.8192681493082975,-0.1254692396153711
all,5,TARGET_FX_ML,82,2.9179265759209336,1.8982113173804376,-0.6185575278434,0.8277216173109989,-0.12019970973536455
all,5,TARGET_U_FX_ML,82,2.9190837722539205,1.9001509845285116,-0.6164509962958652,0.8279381998449573,-0.11911387818122753
all,5,BVAR_U_FX,82,2.7233656828863806,1.896959602552101,-1.241806755016373,0.7973504816552783,-0.23186844998481243
all,5,RF_U_FX,82,2.429551040404718,1.6200462168397183,-0.42180113318691675,0.7958742660849435,-0.089736980615593
all,5,NAIVE,82,3.1259434202102048,2.3251325325155627,-0.4783041244518279,0.8931544693709529,-0.06726587831456882
all,6,INDEPENDENT_BRIDGE,81,2.5163793712145033,1.5996315808539057,-0.6833580329573763,0.8213270928753271,-0.12608909193469392
