sample,h,block,n,bias,rmse,mse_allocation,total_mse
all,1,core,88,-0.032723247844550434,0.20006496763757356,0.05237665784994294,0.47752257191231207
all,1,food,88,-0.008235209755557938,0.18072389242361203,0.03795497653452032,0.47752257191231207
all,1,administered,88,-0.04416120548023745,0.5988608942891037,0.3447998824392345,0.47752257191231207
all,1,alcohol_tobacco,88,-0.008099050884735441,0.08040210938265492,0.014866475157327313,0.47752257191231207
all,1,fuel,88,-0.0010615137874591194,0.15402009060781718,0.025798790203075572,0.47752257191231207
all,1,wedge,88,-0.0011735806089195118,0.07901659689947099,0.001725789728211509,0.47752257191231207
all,2,core,86,-0.027962343698693073,0.21867381310446846,0.04930714734575811,0.47598915269293196
all,2,food,86,0.009773084642633639,0.1892188846493304,0.04392514357767582,0.47598915269293196
all,2,administered,86,-0.04706993292396589,0.6045125998037988,0.33837355137917197,0.47598915269293196
all,2,alcohol_tobacco,86,-0.009210090063270181,0.0769729272046078,0.01536502511599709,0.47598915269293196
all,2,fuel,86,-0.002228580794933018,0.1625690247564661,0.03007620825298101,0.47598915269293196
all,2,wedge,86,0.0029113140490092952,0.08318409334043243,-0.0010579229786521712,0.47598915269293196
all,3,core,84,0.007928664118097156,0.23929434987427575,0.07127737321378765,0.6404248795165377
all,3,food,84,0.0006995696805603334,0.19735883576642502,0.08238651972627176,0.6404248795165377
all,3,administered,84,-0.08191443714629962,0.6306699097575541,0.42423316834769004,0.6404248795165377
all,3,alcohol_tobacco,84,-0.01110489919912312,0.07737148097571987,0.014359303553054233,0.6404248795165377
all,3,fuel,84,-0.004289982438081749,0.16319798624662252,0.029946372970713522,0.6404248795165377
all,3,wedge,84,0.00042290513407062516,0.07680720047254845,0.018222141705020463,0.6404248795165377
all,4,core,86,0.005833532047068861,0.26716549741587764,0.056613780621569396,0.5713530172488476
all,4,food,86,0.0007045113108628979,0.20783590307093103,0.06691912878446946,0.5713530172488476
all,4,administered,86,-0.07904476766936037,0.6229729101867814,0.3895713434644664,0.5713530172488476
all,4,alcohol_tobacco,86,-0.00932251513732857,0.07774734132827787,0.014458907148631241,0.5713530172488476
all,4,fuel,86,-0.003648768206214896,0.1609089792750361,0.02844108113295115,0.5713530172488476
all,4,wedge,86,-0.0007852147029888404,0.07877623296751048,0.015348776096759928,0.5713530172488476
all,5,core,85,-0.026785509195127535,0.262484911437947,0.08760251554781089,0.6426972267266738
all,5,food,85,0.001646486929897227,0.20912554974346104,0.07389741820280757,0.6426972267266738
all,5,administered,85,-0.08080569233460362,0.6250650624410405,0.4220307768152099,0.6426972267266738
all,5,alcohol_tobacco,85,-0.010225912214381615,0.07868852615029139,0.015244853865404903,0.6426972267266738
all,5,fuel,85,-0.004092019832830631,0.16237750777129753,0.025850662559934727,0.6426972267266738
all,5,wedge,85,0.00046540343504554373,0.07846394126260299,0.018070999735505865,0.6426972267266738
all,6,core,84,-0.02476229571547186,0.33921674626684595,0.11229852597517058,0.6532730820278226
all,6,food,84,0.0018417118812233276,0.21035967369068417,0.08702516335182972,0.6532730820278226
all,6,administered,84,-0.08407428105366782,0.6299909279723354,0.3970494991848086,0.6532730820278226
all,6,alcohol_tobacco,84,-0.011375905762581061,0.07858884947545537,0.016162648793073407,0.6532730820278226
all,6,fuel,84,-0.004259062937840743,0.16305662645197383,0.027141136188491396,0.6532730820278226
all,6,wedge,84,0.001486979122054132,0.08685556317955695,0.013596108534448703,0.6532730820278226
all,7,core,83,-0.025414074335046628,0.35874744103072104,0.1718343547131519,0.7653041470371597
all,7,food,83,0.0024919855419646042,0.21154383341460853,0.09342404029710827,0.7653041470371597
all,7,administered,83,-0.084863772020867,0.6334919049278656,0.43847140985108995,0.7653041470371597
