model,target,old_origin,new_origin,old_h,new_h,monthly_revision,annual_revision,revision_status,contribution_core,contribution_food,contribution_administered,contribution_alcohol_tobacco,contribution_fuel,contribution_wedge
DAMPED_P95_Q001_R16,2019-04,2019-02,2019-03,2,1,0.035235726677112666,-0.0862217825724918,reconciled,-0.02170823547681161,0.007680804780566458,-0.00044634482045336453,0.0,0.05015584701426453,-0.0004463448204533593
DAMPED_P95_Q001_R16,2019-05,2019-02,2019-03,3,2,-0.015063230446779458,-0.10146125702669595,reconciled,-0.02247396868523241,0.007968669264019797,-0.00044634482045336453,0.0,-1.062435468162093e-16,-0.00011158620511333983
DAMPED_P95_Q001_R16,2019-05,2019-03,2019-04,2,1,0.007808184214792374,0.13725565960073416,reconciled,-0.04128841178711258,-0.0014622049726445915,0.000119661028158859,0.0,0.05040922468935098,2.9915257039714316e-05
DAMPED_P95_Q001_R16,2019-06,2019-02,2019-03,4,3,-0.01578788745761625,-0.11741351664371091,reconciled,-0.021950837575015286,0.005605019091832307,0.0,0.0,0.0,0.0005579310255667096
DAMPED_P95_Q001_R16,2019-06,2019-03,2019-04,3,2,-0.041488942302755016,0.09446085404742366,reconciled,-0.0406883491697838,-0.0006510168477726168,0.0,0.0,0.0,-0.00014957628519857852
DAMPED_P95_Q001_R16,2019-06,2019-04,2019-05,2,1,0.0394302074957511,-0.28023764934208106,reconciled,-0.005243651156735363,0.010825022878484029,0.0,0.0,0.03381291552457174,3.592024943066541e-05
DAMPED_P95_Q001_R16,2019-07,2019-02,2019-03,5,4,-0.017920177831457107,-0.13593120103137313,reconciled,-0.020743922884235266,0.004051193309024686,-0.00022317241022668226,0.0,2.124870936324186e-16,-0.0010042758460200585
DAMPED_P95_Q001_R16,2019-07,2019-03,2019-04,4,3,-0.0408214273313704,0.052803161511471686,reconciled,-0.040738813023484644,-0.00041168213532235404,5.98305140794295e-05,0.0,-2.124870936324186e-16,0.00026923731335742884
DAMPED_P95_Q001_R16,2019-07,2019-04,2019-05,3,2,0.00018139622990426263,-0.28033740046322375,reconciled,-0.005085030161720405,0.005345450940372122,-1.4368099772265816e-05,0.0,0.0,-6.465644897519704e-05
DAMPED_P95_Q001_R16,2019-07,2019-05,2019-06,2,1,-0.04112959453515547,0.3505095045449056,reconciled,-0.0034873006103600668,0.0012752738608662467,-2.2481580537109247e-05,0.0,-0.038793919092707546,-0.00010116711241699161
DAMPED_P95_Q001_R16,2019-08,2019-02,2019-03,6,5,-0.019890503216128105,-0.15628188247765706,reconciled,-0.022092035115345326,0.0022015318992173044,0.0,0.0,-1.062435468162093e-16,6.938893903907228e-18
DAMPED_P95_Q001_R16,2019-08,2019-03,2019-04,5,4,-0.04087810906250755,0.010843679825161434,reconciled,-0.04012962044198633,-0.0007484886205213204,0.0,0.0,1.062435468162093e-16,-6.938893903907228e-18
DAMPED_P95_Q001_R16,2019-08,2019-04,2019-05,4,3,-0.001809456719229982,-0.28193085035150744,reconciled,-0.00510430184018533,0.0032948451209553614,0.0,0.0,0.0,0.0
DAMPED_P95_Q001_R16,2019-08,2019-05,2019-06,3,2,0.006324055146657584,0.3566726841716825,reconciled,-0.003553419251806411,0.009877474398463773,0.0,0.0,2.124870936324186e-16,0.0
DAMPED_P95_Q001_R16,2019-08,2019-06,2019-07,2,1,0.01867196497171983,0.27077553755018213,reconciled,0.019693741649640273,-0.0020983784244006654,0.0,0.0,0.0010766017464802133,6.938893903907228e-18
DAMPED_P95_Q001_R16,2019-09,2019-02,2019-03,7,6,-0.023428857951262552,-0.18071341976775424,reconciled,-0.024499218145672047,0.0015167050148626599,-0.00044634482045336453,0.0,2.124870936324186e-16,-6.938893903907228e-18
DAMPED_P95_Q001_R16,2019-09,2019-03,2019-04,6,5,-0.03964679433765264,-0.029921852262375648,reconciled,-0.03935250590050471,-0.0004139494653065956,0.000119661028158859,0.0,-2.124870936324186e-16,6.938893903907228e-18
DAMPED_P95_Q001_R16,2019-09,2019-04,2019-05,5,4,-0.0016305919317024242,-0.2840242990470112,reconciled,-0.005210693645049086,0.0036088379128912107,-2.8736199544531632e-05,0.0,0.0,-6.938893903907228e-18
DAMPED_P95_Q001_R16,2019-09,2019-05,2019-06,4,3,0.002771650092283001,0.36005234132765374,reconciled,-0.003746510104630646,0.006563123357987963,-4.4963161074218494e-05,0.0,-1.062435468162093e-16,0.0
DAMPED_P95_Q001_R16,2019-09,2019-06,2019-07,3,2,0.019584682557170385,0.2913979036702292,reconciled,0.019359926770145364,0.00020320199804797767,2.1553788976955493e-05,0.0,1.062435468162093e-16,0.0
DAMPED_P95_Q001_R16,2019-09,2019-07,2019-08,2,1,0.0710910141349647,0.05282400069559445,reconciled,0.08877976320651823,-0.005953341085578823,6.415587205631235e-05,0.0,-0.01179956385803104,-6.938893903907228e-18
DAMPED_P95_Q001_R16,2019-10,2019-02,2019-03,8,7,-0.021282866446116988,-0.20243324288531728,reconciled,-0.02153399477169418,0.0009206455562574128,0.0,0.0,-1.062435468162093e-16,-0.0006695172306800399
DAMPED_P95_Q001_R16,2019-10,2019-03,2019-04,7,6,-0.040844493094997714,-0.07170735432551067,reconciled,-0.04077568109512972,-0.00024830354210639283,0.0,0.0,1.062435468162093e-16,0.0001794915422382859
DAMPED_P95_Q001_R16,2019-10,2019-04,2019-05,6,5,-0.002513688859162422,-0.2863056808972013,reconciled,-0.005038870325772604,0.0025682857659269226,0.0,0.0,0.0,-4.3104299316798315e-05
DAMPED_P95_Q001_R16,2019-10,2019-05,2019-06,5,4,0.0019169140909688909,0.3616464127256558,reconciled,-0.003432663280153153,0.005417022112733219,0.0,0.0,2.124870936324186e-16,-6.744474161132774e-05
DAMPED_P95_Q001_R16,2019-10,2019-06,2019-07,4,3,0.019176042165143348,0.3108009608194635,reconciled,0.019158361036463206,-1.4649554785084451e-05,0.0,0.0,-2.124870936324186e-16,3.233068346543671e-05
DAMPED_P95_Q001_R16,2019-10,2019-07,2019-08,3,2,0.07855118186963395,0.13350486072445023,reconciled,0.08740722491506459,-0.008952276853515143,0.0,0.0,0.0,9.623380808447199e-05
DAMPED_P95_Q001_R16,2019-10,2019-08,2019-09,2,1,-0.03473139410027137,-0.29277155770820773,reconciled,-0.028366648007223882,-0.010293526746038999,0.0,0.0,0.0038800133821230436,4.876727086849074e-05
DAMPED_P95_Q001_R16,2019-11,2019-02,2019-03,9,8,-0.02266463092364568,-0.22612625218378613,reconciled,-0.023259932612871154,0.0005953016892254748,0.0,0.0,0.0,1.734723475976807e-18
DAMPED_P95_Q001_R16,2019-11,2019-03,2019-04,8,7,-0.040685306007622477,-0.11362617217112447,reconciled,-0.04055781433677309,-0.000127491670849373,0.0,0.0,0.0,0.0
DAMPED_P95_Q001_R16,2019-11,2019-04,2019-05,7,6,-0.003681791394786256,-0.2904524699080899,reconciled,-0.005145018843427742,0.0014632274486414826,0.0,0.0,0.0,-1.734723475976807e-18
DAMPED_P95_Q001_R16,2019-11,2019-05,2019-06,6,5,-0.002813091655354042,0.3592148621804858,reconciled,-0.0035912579805312634,0.0007781663251772257,0.0,0.0,0.0,0.0
DAMPED_P95_Q001_R16,2019-11,2019-06,2019-07,5,4,0.019767346666736945,0.3315711447871963,reconciled,0.019106209229298083,0.0006611374374388586,0.0,0.0,0.0,1.734723475976807e-18
DAMPED_P95_Q001_R16,2019-11,2019-07,2019-08,4,3,0.08058929971387492,0.21690538592745856,reconciled,0.08650328631178125,-0.005913986597906323,0.0,0.0,0.0,0.0
DAMPED_P95_Q001_R16,2019-11,2019-08,2019-09,3,2,-0.033147345694296615,-0.3275574222141686,reconciled,-0.027662655465529665,-0.005484690228766943,0.0,0.0,0.0,-1.734723475976807e-18
DAMPED_P95_Q001_R16,2019-11,2019-09,2019-10,2,1,-0.11788120014154416,-0.4820131004486692,reconciled,-0.12221082343390466,0.016056052940854236,0.0,0.0,-0.011726429648493743,0.0
