month,education
2015-01,99.599999999999994
2015-02,99.599999999999994
2015-03,99.599999999999994
2015-04,99.599999999999994
2015-05,99.599999999999994
2015-06,99.599999999999994
2015-07,99.599999999999994
2015-08,99.599999999999994
2015-09,100.8
2015-10,100.8
2015-11,100.7
2015-12,100.8
2016-01,100.8
2016-02,100.7
2016-03,100.7
2016-04,100.59999999999999
2016-05,100.59999999999999
2016-06,100.7
2016-07,100.7
2016-08,100.7
2016-09,102.59999999999999
2016-10,102.59999999999999
2016-11,102.59999999999999
2016-12,102.59999999999999
2017-01,102.7
2017-02,102.8
2017-03,102.8
2017-04,102.8
2017-05,102.8
2017-06,102.8
2017-07,102.8
2017-08,102.8
2017-09,104.2
2017-10,104.2
2017-11,104.2
2017-12,104.2
2018-01,104.2
2018-02,104.3
2018-03,104.3
2018-04,104.3
2018-05,104.3
2018-06,104.40000000000001
2018-07,104.40000000000001
2018-08,104.40000000000001
2018-09,106.5
2018-10,106.5
2018-11,106.5
2018-12,106.59999999999999
2019-01,106.5
2019-02,106.59999999999999
2019-03,106.59999999999999
2019-04,106.59999999999999
2019-05,106.59999999999999
2019-06,106.59999999999999
2019-07,106.59999999999999
2019-08,106.59999999999999
2019-09,110.5
2019-10,110.59999999999999
2019-11,110.59999999999999
2019-12,110.59999999999999
2020-01,110.8
2020-02,110.90000000000001
2020-03,111
2020-04,111
2020-05,110.90000000000001
2020-06,111
2020-07,111
2020-08,111
2020-09,113.8
2020-10,113.8
2020-11,113.90000000000001
2020-12,113.90000000000001
2021-01,114
2021-02,114
2021-03,114
2021-04,114.09999999999999
2021-05,114
2021-06,114.09999999999999
2021-07,114.09999999999999
2021-08,114.09999999999999
2021-09,115.3
2021-10,115.5
2021-11,115.5
2021-12,115.5
2022-01,115.90000000000001
2022-02,116
2022-03,116.2
2022-04,116.3
2022-05,116.3
2022-06,116.40000000000001
2022-07,116.40000000000001
2022-08,116.40000000000001
2022-09,123.90000000000001
2022-10,124
2022-11,124.2
2022-12,124.2
2023-01,124.3
2023-02,124.59999999999999
2023-03,124.59999999999999
2023-04,124.7
2023-05,124.7
2023-06,124.8
2023-07,124.8
2023-08,124.8
2023-09,132
2023-10,132.09999999999999
2023-11,132.09999999999999
2023-12,132.09999999999999
2024-01,132.69999999999999
2024-02,132.80000000000001
2024-03,132.80000000000001
2024-04,132.90000000000001
2024-05,132.90000000000001
2024-06,132.90000000000001
2024-07,132.90000000000001
2024-08,133
2024-09,146.90000000000001
2024-10,147
2024-11,147.09999999999999
2024-12,147.09999999999999
2025-01,147.40000000000001
2025-02,147.69999999999999
2025-03,147.69999999999999
2025-04,147.69999999999999
2025-05,147.69999999999999
2025-06,147.90000000000001
2025-07,147.90000000000001
2025-08,147.90000000000001
2025-09,153
2025-10,153.09999999999999
2025-11,153.09999999999999
2025-12,153.09999999999999
2026-01,153.30000000000001
2026-02,153.5
2026-03,153.59999999999999
2026-04,153.59999999999999
2026-05,153.69999999999999
2026-06,153.80000000000001
2026-07,153.90000000000001
2026-08,153.90000000000001
