model,frame,n,rmse,mae,bias,mean_gain,total_gain,closer,material_win,material_loss,direction,alerts,alerted_big,false_alarm,missed_big,big_precision,big_recall,directional_big_hit,wrong_way_big_alert,material_big_hit,directional_big_precision,material_big_precision
LEGACY_BASE,all,90,0.41991699780709985,0.2700109418656688,-0.042565065962563126,-0.016677608532335478,-1.500984767910193,40,11,12,45,19,7,12,16,0.3684210526315789,0.30434782608695654,6,1,5,0.3157894736842105,0.2631578947368421
LEGACY_BASE,ex_jan,83,0.4041436836389838,0.25490109528400634,-0.008273037075819492,-0.010322782030994349,-0.8567909085725309,37,10,11,41,16,5,11,14,0.3125,0.2631578947368421,4,1,4,0.25,0.25
LEGACY_BASE,2024+,31,0.21659843528266015,0.17001376637286428,-0.02387730451173867,0.017083007820684108,0.5295732424412074,18,3,2,19,5,2,3,3,0.4,0.4,2,0,1,0.4,0.2
LEGACY_BASE,flash2025+,19,0.16969570717873983,0.1413959766410337,0.009195565412610053,0.016498760201071553,0.3134764438203595,12,1,1,12,2,0,2,1,0.0,0.0,0,0,0,0.0,0.0
LEGACY_BASE,big,23,0.6999166678167222,0.5057823910104075,-0.04722558795852334,0.07247847855480989,1.6670050067606275,14,7,1,15,7,7,0,16,1.0,0.30434782608695654,6,1,5,0.8571428571428571,0.7142857142857143
LEGACY_BASE,big_ex_jan,19,0.7373022446780805,0.5216999391208501,0.03339513825774648,0.07303690298441301,1.3877011567038473,13,6,1,13,5,5,0,14,1.0,0.2631578947368421,4,1,4,0.8,0.8
LEGACY_BASE,alerts,19,0.7191998685530658,0.4556308938272413,-0.018529539481993998,-0.0766835254061887,-1.4569869827175852,7,6,8,12,19,7,12,0,0.3684210526315789,1.0,6,1,5,0.3157894736842105,0.2631578947368421
LEGACY_HALF,all,90,0.4145800957770289,0.27129771327101304,-0.029914155101528457,-0.0179643799376797,-1.616794194391173,42,11,12,48,24,9,15,14,0.375,0.391304347826087,8,1,6,0.3333333333333333,0.25
LEGACY_HALF,ex_jan,83,0.3957392593770452,0.2556242885519348,0.004607314620939323,-0.01104597529892276,-0.916815949810589,39,10,11,44,21,7,14,12,0.3333333333333333,0.3684210526315789,6,1,5,0.2857142857142857,0.23809523809523808
LEGACY_HALF,2024+,31,0.22016624170718427,0.1709507239675707,-0.022326765883291095,0.016146050225977718,0.5005275570053093,17,4,2,19,6,2,4,3,0.3333333333333333,0.4,2,0,1,0.3333333333333333,0.16666666666666666
LEGACY_HALF,flash2025+,19,0.16505325872339852,0.1376334756100982,0.019503282876828704,0.020261261232007034,0.38496396340813366,12,2,1,12,2,0,2,1,0.0,0.0,0,0,0,0.0,0.0
LEGACY_HALF,big,23,0.6768628388328313,0.4901798034286145,-0.04142260820869573,0.08808106613660291,2.025864521141867,15,8,1,16,9,9,0,14,1.0,0.391304347826087,8,1,6,0.8888888888888888,0.6666666666666666
LEGACY_HALF,big_ex_jan,19,0.7112025477514471,0.5039739246481768,0.03266388157040603,0.09076291745708642,1.7244954316846421,14,7,1,14,7,7,0,12,1.0,0.3684210526315789,6,1,5,0.8571428571428571,0.7142857142857143
LEGACY_HALF,alerts,24,0.4379757876846538,0.3326822684891503,-0.09914082259087777,-0.04934893515581692,-1.184374443739606,11,8,8,17,24,9,15,0,0.375,1.0,8,1,6,0.3333333333333333,0.25
LEGACY_FULL,all,90,0.4205691724940641,0.2801020759606701,-0.017263244240493778,-0.02676874262733679,-2.409186836460311,38,14,16,45,32,15,17,8,0.46875,0.6521739130434783,13,2,10,0.40625,0.3125
LEGACY_FULL,ex_jan,83,0.39920303445908983,0.26321201089279567,0.017487666317698172,-0.01863369763978364,-1.5465969041020422,35,13,14,41,29,13,16,6,0.4482758620689655,0.6842105263157895,11,2,9,0.3793103448275862,0.3103448275862069
LEGACY_FULL,2024+,31,0.2297716044682822,0.17572603932416506,-0.020776227254843512,0.01137073486938331,0.3524927809508826,15,4,4,17,7,3,4,2,0.42857142857142855,0.6,3,0,2,0.42857142857142855,0.2857142857142857
LEGACY_FULL,flash2025+,19,0.16670981132316506,0.13617296313305766,0.029811000341047375,0.021721773709047598,0.41271370047190437,10,2,2,10,2,0,2,1,0.0,0.0,0,0,0,0.0,0.0
LEGACY_FULL,big,23,0.664938034284015,0.47922188117441994,-0.03561962845886805,0.09903898839079749,2.277896732988342,15,10,3,17,15,15,0,8,1.0,0.6521739130434783,13,2,10,0.8666666666666667,0.6666666666666666
LEGACY_FULL,big_ex_jan,19,0.6958339538199225,0.4862479101755034,0.03193262488306564,0.10848893192975978,2.061289706665436,13,9,2,14,13,13,0,6,1.0,0.6842105263157895,11,2,9,0.8461538461538461,0.6923076923076923
LEGACY_FULL,alerts,32,0.45923840077634953,0.34453528687238216,-0.0918566835703012,-0.02266028687238214,-0.7251291799162285,17,14,10,24,32,15,17,0,0.46875,1.0,13,2,10,0.40625,0.3125
HARD_BASE,all,90,0.41795154739724044,0.2625157341641442,-0.02522563676857153,-0.009182400830810854,-0.826416074772977,45,12,15,50,20,7,13,16,0.35,0.30434782608695654,6,1,5,0.3,0.25
HARD_BASE,ex_jan,83,0.4033326092057299,0.24825110030558287,0.009051414942628455,-0.0036727870525708143,-0.3048413253633776,42,11,14,46,17,5,12,14,0.29411764705882354,0.2631578947368421,4,1,4,0.23529411764705882,0.23529411764705882
HARD_BASE,2024+,31,0.21897776134072025,0.1690393240182862,-0.005877997285901057,0.01805745017526219,0.5597809554331279,19,4,2,20,4,2,2,3,0.5,0.4,2,0,1,0.5,0.25
HARD_BASE,flash2025+,19,0.17300164605167864,0.13929634726858156,0.024692630835155806,0.018598389573523697,0.35336940189695026,12,2,1,12,1,0,1,1,0.0,0.0,0,0,0,0.0,0.0
HARD_BASE,big,23,0.6985702092561593,0.48458284194899887,-0.02123852361785028,0.09367802761621853,2.154594635173026,16,7,3,17,7,7,0,16,1.0,0.30434782608695654,6,1,5,0.8571428571428571,0.7142857142857143
HARD_BASE,big_ex_jan,19,0.7365562717606702,0.49869034454316896,0.062200146068221586,0.09604649756209435,1.8248834536797927,15,6,3,15,5,5,0,14,1.0,0.2631578947368421,4,1,4,0.8,0.8
HARD_BASE,alerts,20,0.6999864621564055,0.4090825368404247,0.011537374496096684,-0.03908253684042467,-0.7816507368084934,9,7,8,14,20,7,13,0,0.35,1.0,6,1,5,0.3,0.25
HARD_HALF,all,90,0.41369643830575464,0.26437319954197214,-0.015502383955060336,-0.011039866208638819,-0.9935879587774937,43,10,11,48,22,7,15,16,0.3181818181818182,0.30434782608695654,6,1,5,0.2727272727272727,0.22727272727272727
HARD_HALF,ex_jan,83,0.3985028209280238,0.25081239794535004,0.01856297978737334,-0.006234084692338051,-0.5174290294640582,40,9,10,44,19,5,14,14,0.2631578947368421,0.2631578947368421,4,1,4,0.21052631578947367,0.21052631578947367
HARD_HALF,2024+,31,0.2195880711904428,0.16785552729960732,-0.004092841621496898,0.019241246893940994,0.5964786537121708,18,3,1,19,5,2,3,3,0.4,0.4,2,0,1,0.4,0.2
HARD_HALF,flash2025+,19,0.16560096093755453,0.13375320629227996,0.032267453772336495,0.024141530549825287,0.45868908044668044,12,2,0,12,2,0,2,1,0.0,0.0,0,0,0,0.0,0.0
HARD_HALF,big,23,0.6833130723904106,0.479371431160143,-0.010226492368174326,0.09888943840507443,2.2744570833167117,15,7,1,16,7,7,0,16,1.0,0.30434782608695654,6,1,5,0.8571428571428571,0.7142857142857143
HARD_HALF,big_ex_jan,19,0.7201400489073938,0.49466312228371356,0.07113248514835277,0.10007371982154964,1.9014006766094431,14,6,1,14,5,5,0,14,1.0,0.2631578947368421,4,1,4,0.8,0.8
HARD_HALF,alerts,22,0.6693338518992189,0.40368863384598686,0.03883925620934245,-0.04914317930053229,-1.0811499446117103,10,8,9,15,22,7,15,0,0.3181818181818182,1.0,6,1,5,0.2727272727272727,0.22727272727272727
HARD_FULL,all,90,0.4139308470027306,0.2696268338876435,-0.0057791311415491455,-0.016293500554310232,-1.466415049887921,42,13,14,47,23,7,16,16,0.30434782608695654,0.30434782608695654,7,0,6,0.30434782608695654,0.2608695652173913
