period,model,actual,consensus,forecast,error,surprise,deviation,gain,big,alert,directional_big_hit,wrong_way_big_alert,material_big_hit,capture_ratio
2019-02,LEGACY_BASE,0.2,0.1,0.28148757009215447,0.08148757009215446,0.1,0.18148757009215447,0.018512429907845546,False,False,False,False,False,
2019-03,LEGACY_BASE,0.2,0.1,0.08296838830705089,-0.11703161169294912,0.1,-0.017031611692949117,-0.017031611692949117,False,False,False,False,False,
2019-04,LEGACY_BASE,0.1,0.3,0.41801784445401535,0.3180178444540154,-0.19999999999999998,0.11801784445401536,-0.11801784445401539,False,False,False,False,False,
2019-05,LEGACY_BASE,0.7,0.4,0.2348046582023983,-0.4651953417976017,0.29999999999999993,-0.16519534179760173,-0.16519534179760176,False,False,False,False,False,
2019-06,LEGACY_BASE,0.2,0.1,0.12503802156624538,-0.07496197843375463,0.1,0.025038021566245378,0.025038021566245378,False,False,False,False,False,
2019-07,LEGACY_BASE,0.4,0.2,0.39045237187163523,-0.009547628128364793,0.2,0.19045237187163522,0.19045237187163522,False,False,False,False,False,
2019-08,LEGACY_BASE,0.1,0.0,-0.006945762243797032,-0.10694576224379704,0.1,-0.006945762243797032,-0.006945762243797032,False,False,False,False,False,
2019-09,LEGACY_BASE,-0.6,-0.4,-0.34838756200358595,0.25161243799641403,-0.19999999999999996,0.05161243799641407,-0.05161243799641407,False,False,False,False,False,
2019-10,LEGACY_BASE,0.5,0.4,0.2815613688180064,-0.21843863118199358,0.09999999999999998,-0.1184386311819936,-0.1184386311819936,False,False,False,False,False,
2019-11,LEGACY_BASE,0.3,0.2,0.16937829587203512,-0.13062170412796487,0.09999999999999998,-0.03062170412796489,-0.03062170412796489,False,False,False,False,False,
2019-12,LEGACY_BASE,0.2,0.1,-0.01685989837024902,-0.21685989837024902,0.1,-0.11685989837024903,-0.11685989837024902,False,False,False,False,False,
2020-01,LEGACY_BASE,1.5,1.0,0.8780719418354076,-0.6219280581645924,0.5,-0.1219280581645924,-0.1219280581645924,True,False,False,False,False,-0.2438561163291848
2020-02,LEGACY_BASE,0.3,0.3,0.25677981575345094,-0.043220184246549054,0.0,-0.043220184246549054,-0.043220184246549054,False,False,False,False,False,
2020-03,LEGACY_BASE,-0.1,0.1,-0.3165938046256471,-0.21659380462564712,-0.2,-0.4165938046256471,-0.016593804625647107,False,True,False,False,False,
2020-04,LEGACY_BASE,-0.2,-0.2,-0.4407139221465571,-0.24071392214655707,0.0,-0.24071392214655707,-0.24071392214655707,False,True,False,False,False,
2020-05,LEGACY_BASE,0.4,0.1,0.09702002228411025,-0.3029799777158898,0.30000000000000004,-0.002979977715889759,-0.002979977715889759,False,False,False,False,False,
2020-06,LEGACY_BASE,0.6,0.2,0.2507384390118719,-0.34926156098812805,0.39999999999999997,0.050738439011871916,0.050738439011871916,True,False,False,False,False,0.1268460975296798
2020-07,LEGACY_BASE,0.4,0.2,0.395328459237208,-0.004671540762792026,0.2,0.19532845923720799,0.19532845923720799,False,False,False,False,False,
2020-08,LEGACY_BASE,0.0,0.0,-0.023200720954765504,-0.023200720954765504,0.0,-0.023200720954765504,-0.023200720954765504,False,False,False,False,False,
2020-09,LEGACY_BASE,-0.6,-0.3,-0.39217985943779865,0.20782014056220133,-0.3,-0.09217985943779866,0.09217985943779866,False,False,False,False,False,
2020-10,LEGACY_BASE,0.2,0.2,0.20054010508595513,0.0005401050859551171,0.0,0.0005401050859551171,-0.0005401050859551171,False,False,False,False,False,
2020-11,LEGACY_BASE,0.0,0.1,0.11570993652619654,0.11570993652619654,-0.1,0.01570993652619654,-0.01570993652619654,False,False,False,False,False,
2020-12,LEGACY_BASE,-0.2,0.1,0.15685617978845667,0.3568561797884567,-0.30000000000000004,0.05685617978845667,-0.05685617978845664,False,False,False,False,False,
2021-01,LEGACY_BASE,1.3,0.9,0.8134405209147586,-0.48655947908524144,0.4,-0.08655947908524142,-0.08655947908524142,True,False,False,False,False,-0.21639869771310355
2021-02,LEGACY_BASE,0.2,0.3,0.42160981863968877,0.22160981863968876,-0.09999999999999998,0.12160981863968878,-0.12160981863968878,False,False,False,False,False,
2021-03,LEGACY_BASE,0.2,0.3,0.1350844973045423,-0.0649155026954577,-0.09999999999999998,-0.16491550269545768,0.03508449730454227,False,False,False,False,False,
2021-04,LEGACY_BASE,0.5,0.2,0.2667329009996384,-0.23326709900036158,0.3,0.06673290099963841,0.06673290099963841,False,False,False,False,False,
2021-05,LEGACY_BASE,0.2,0.4,0.5712988080034986,0.3712988080034986,-0.2,0.17129880800349861,-0.17129880800349861,False,False,False,False,False,
2021-06,LEGACY_BASE,0.5,0.4,0.3354674070889383,-0.1645325929110617,0.09999999999999998,-0.06453259291106173,-0.06453259291106173,False,False,False,False,False,
2021-07,LEGACY_BASE,1.0,0.5,0.5987636914772603,-0.4012363085227397,0.5,0.09876369147726027,0.09876369147726027,True,False,False,False,False,0.19752738295452055
2021-08,LEGACY_BASE,0.7,0.2,0.16469840188991133,-0.5353015981100886,0.49999999999999994,-0.03530159811008868,-0.03530159811008865,True,False,False,False,False,-0.07060319622017737
2021-09,LEGACY_BASE,0.2,-0.2,-0.15445391030053146,-0.35445391030053147,0.4,0.04554608969946855,0.04554608969946855,True,False,False,False,False,0.11386522424867138
2021-10,LEGACY_BASE,1.0,0.7,0.7040378888996407,-0.2959621111003593,0.30000000000000004,0.00403788889964074,0.00403788889964074,False,False,False,False,False,
2021-11,LEGACY_BASE,0.2,0.3,0.6883656072042946,0.4883656072042946,-0.09999999999999998,0.38836560720429464,-0.38836560720429464,False,True,False,False,False,
2021-12,LEGACY_BASE,0.4,0.3,0.7925304539524585,0.39253045395245845,0.10000000000000003,0.4925304539524585,-0.2925304539524584,False,True,False,False,False,
2022-01,LEGACY_BASE,4.4,3.8,4.346586348732619,-0.05341365126738129,0.6000000000000005,0.5465863487326192,0.5465863487326192,True,True,True,False,True,0.910977247887698
2022-02,LEGACY_BASE,1.3,0.6,0.8630383692151836,-0.4369616307848164,0.7000000000000001,0.26303836921518364,0.26303836921518364,True,True,True,False,True,0.37576909887883375
2022-03,LEGACY_BASE,1.7,1.4,0.9820869543089299,-0.7179130456910701,0.30000000000000004,-0.41791304569107,-0.41791304569107,False,True,False,False,False,
2022-04,LEGACY_BASE,1.8,0.9,0.8213126444004937,-0.9786873555995064,0.9,-0.07868735559950635,-0.07868735559950635,True,False,False,False,False,-0.08743039511056261
2022-05,LEGACY_BASE,1.8,1.4,1.984974314785807,0.18497431478580695,0.40000000000000013,0.5849743147858071,0.21502568521419319,True,True,True,False,True,1.4624357869645173
2022-06,LEGACY_BASE,1.6,1.5,1.4599421046830754,-0.1400578953169247,0.10000000000000009,-0.04005789531692461,-0.04005789531692461,False,False,False,False,False,
2022-07,LEGACY_BASE,1.3,1.6,1.4472712435231796,0.14727124352317955,-0.30000000000000004,-0.1527287564768205,0.1527287564768205,False,False,False,False,False,
2022-08,LEGACY_BASE,0.4,0.8,0.6229589155390018,0.22295891553900182,-0.4,-0.1770410844609982,0.1770410844609982,True,False,False,False,False,0.4426027111524955
2022-09,LEGACY_BASE,0.8,0.2,0.08611331883587586,-0.7138866811641242,0.6000000000000001,-0.11388668116412415,-0.11388668116412415,True,False,False,False,False,-0.1898111352735402
