dataset,freq,indic,s_adj,unit,geo,time,value,status
ei_bsin_m_r2,M,BS-IPT,NSA,BAL,EU27_2020,1984-12,-15.2,
ei_bsin_m_r2,M,BS-IPT,NSA,BAL,EU27_2020,1985-01,-1.1,
ei_bsin_m_r2,M,BS-IPT,NSA,BAL,EU27_2020,1985-02,-1.9,
ei_bsin_m_r2,M,BS-IPT,NSA,BAL,EU27_2020,1985-03,3.1,
ei_bsin_m_r2,M,BS-IPT,NSA,BAL,EU27_2020,1985-04,-0.3,
ei_bsin_m_r2,M,BS-IPT,NSA,BAL,EU27_2020,1985-05,1.7,
ei_bsin_m_r2,M,BS-IPT,NSA,BAL,EU27_2020,1985-06,1.9,
ei_bsin_m_r2,M,BS-IPT,NSA,BAL,EU27_2020,1985-07,2.1,
ei_bsin_m_r2,M,BS-IPT,NSA,BAL,EU27_2020,1985-08,-6.1,
ei_bsin_m_r2,M,BS-IPT,NSA,BAL,EU27_2020,1985-09,3.3,
ei_bsin_m_r2,M,BS-IPT,NSA,BAL,EU27_2020,1985-10,4.8,
ei_bsin_m_r2,M,BS-IPT,NSA,BAL,EU27_2020,1985-11,-4.5,
ei_bsin_m_r2,M,BS-IPT,NSA,BAL,EU27_2020,1985-12,-4.5,
ei_bsin_m_r2,M,BS-IPT,NSA,BAL,EU27_2020,1986-01,-0.9,
ei_bsin_m_r2,M,BS-IPT,NSA,BAL,EU27_2020,1986-02,0.0,
ei_bsin_m_r2,M,BS-IPT,NSA,BAL,EU27_2020,1986-03,0.1,
ei_bsin_m_r2,M,BS-IPT,NSA,BAL,EU27_2020,1986-04,5.3,
ei_bsin_m_r2,M,BS-IPT,NSA,BAL,EU27_2020,1986-05,-0.1,
ei_bsin_m_r2,M,BS-IPT,NSA,BAL,EU27_2020,1986-06,4.8,
ei_bsin_m_r2,M,BS-IPT,NSA,BAL,EU27_2020,1986-07,0.0,
ei_bsin_m_r2,M,BS-IPT,NSA,BAL,EU27_2020,1986-08,-8.0,
ei_bsin_m_r2,M,BS-IPT,NSA,BAL,EU27_2020,1986-09,5.8,
ei_bsin_m_r2,M,BS-IPT,NSA,BAL,EU27_2020,1986-10,4.2,
ei_bsin_m_r2,M,BS-IPT,NSA,BAL,EU27_2020,1986-11,-4.6,
ei_bsin_m_r2,M,BS-IPT,NSA,BAL,EU27_2020,1986-12,-7.0,
ei_bsin_m_r2,M,BS-IPT,NSA,BAL,EU27_2020,1987-01,-0.9,
ei_bsin_m_r2,M,BS-IPT,NSA,BAL,EU27_2020,1987-02,1.2,
ei_bsin_m_r2,M,BS-IPT,NSA,BAL,EU27_2020,1987-03,4.3,
ei_bsin_m_r2,M,BS-IPT,NSA,BAL,EU27_2020,1987-04,3.4,
ei_bsin_m_r2,M,BS-IPT,NSA,BAL,EU27_2020,1987-05,5.0,
ei_bsin_m_r2,M,BS-IPT,NSA,BAL,EU27_2020,1987-06,5.0,
ei_bsin_m_r2,M,BS-IPT,NSA,BAL,EU27_2020,1987-07,6.6,
ei_bsin_m_r2,M,BS-IPT,NSA,BAL,EU27_2020,1987-08,-1.6,
ei_bsin_m_r2,M,BS-IPT,NSA,BAL,EU27_2020,1987-09,10.0,
ei_bsin_m_r2,M,BS-IPT,NSA,BAL,EU27_2020,1987-10,7.4,
ei_bsin_m_r2,M,BS-IPT,NSA,BAL,EU27_2020,1987-11,6.9,
ei_bsin_m_r2,M,BS-IPT,NSA,BAL,EU27_2020,1987-12,3.1,
ei_bsin_m_r2,M,BS-IPT,NSA,BAL,EU27_2020,1988-01,7.0,
ei_bsin_m_r2,M,BS-IPT,NSA,BAL,EU27_2020,1988-02,10.2,
ei_bsin_m_r2,M,BS-IPT,NSA,BAL,EU27_2020,1988-03,14.3,
ei_bsin_m_r2,M,BS-IPT,NSA,BAL,EU27_2020,1988-04,8.1,
ei_bsin_m_r2,M,BS-IPT,NSA,BAL,EU27_2020,1988-05,14.5,
ei_bsin_m_r2,M,BS-IPT,NSA,BAL,EU27_2020,1988-06,12.8,
ei_bsin_m_r2,M,BS-IPT,NSA,BAL,EU27_2020,1988-07,8.4,
ei_bsin_m_r2,M,BS-IPT,NSA,BAL,EU27_2020,1988-08,5.5,
ei_bsin_m_r2,M,BS-IPT,NSA,BAL,EU27_2020,1988-09,15.7,
ei_bsin_m_r2,M,BS-IPT,NSA,BAL,EU27_2020,1988-10,14.4,
ei_bsin_m_r2,M,BS-IPT,NSA,BAL,EU27_2020,1988-11,12.4,
ei_bsin_m_r2,M,BS-IPT,NSA,BAL,EU27_2020,1988-12,9.9,
ei_bsin_m_r2,M,BS-IPT,NSA,BAL,EU27_2020,1989-01,12.9,
ei_bsin_m_r2,M,BS-IPT,NSA,BAL,EU27_2020,1989-02,9.7,
ei_bsin_m_r2,M,BS-IPT,NSA,BAL,EU27_2020,1989-03,15.8,
ei_bsin_m_r2,M,BS-IPT,NSA,BAL,EU27_2020,1989-04,12.9,
ei_bsin_m_r2,M,BS-IPT,NSA,BAL,EU27_2020,1989-05,12.0,
ei_bsin_m_r2,M,BS-IPT,NSA,BAL,EU27_2020,1989-06,16.7,
ei_bsin_m_r2,M,BS-IPT,NSA,BAL,EU27_2020,1989-07,6.9,
ei_bsin_m_r2,M,BS-IPT,NSA,BAL,EU27_2020,1989-08,7.1,
ei_bsin_m_r2,M,BS-IPT,NSA,BAL,EU27_2020,1989-09,15.3,
ei_bsin_m_r2,M,BS-IPT,NSA,BAL,EU27_2020,1989-10,14.7,
ei_bsin_m_r2,M,BS-IPT,NSA,BAL,EU27_2020,1989-11,9.7,
ei_bsin_m_r2,M,BS-IPT,NSA,BAL,EU27_2020,1989-12,6.2,
ei_bsin_m_r2,M,BS-IPT,NSA,BAL,EU27_2020,1990-01,9.2,
ei_bsin_m_r2,M,BS-IPT,NSA,BAL,EU27_2020,1990-02,8.7,
ei_bsin_m_r2,M,BS-IPT,NSA,BAL,EU27_2020,1990-03,11.8,
ei_bsin_m_r2,M,BS-IPT,NSA,BAL,EU27_2020,1990-04,6.8,
ei_bsin_m_r2,M,BS-IPT,NSA,BAL,EU27_2020,1990-05,10.5,
ei_bsin_m_r2,M,BS-IPT,NSA,BAL,EU27_2020,1990-06,6.2,
ei_bsin_m_r2,M,BS-IPT,NSA,BAL,EU27_2020,1990-07,6.2,
ei_bsin_m_r2,M,BS-IPT,NSA,BAL,EU27_2020,1990-08,2.4,
ei_bsin_m_r2,M,BS-IPT,NSA,BAL,EU27_2020,1990-09,7.5,
ei_bsin_m_r2,M,BS-IPT,NSA,BAL,EU27_2020,1990-10,6.7,
ei_bsin_m_r2,M,BS-IPT,NSA,BAL,EU27_2020,1990-11,3.4,
ei_bsin_m_r2,M,BS-IPT,NSA,BAL,EU27_2020,1990-12,1.9,
ei_bsin_m_r2,M,BS-IPT,NSA,BAL,EU27_2020,1991-01,-3.5,
ei_bsin_m_r2,M,BS-IPT,NSA,BAL,EU27_2020,1991-02,-9.5,
ei_bsin_m_r2,M,BS-IPT,NSA,BAL,EU27_2020,1991-03,-8.8,
ei_bsin_m_r2,M,BS-IPT,NSA,BAL,EU27_2020,1991-04,-5.8,
ei_bsin_m_r2,M,BS-IPT,NSA,BAL,EU27_2020,1991-05,-7.3,
ei_bsin_m_r2,M,BS-IPT,NSA,BAL,EU27_2020,1991-06,-3.2,
ei_bsin_m_r2,M,BS-IPT,NSA,BAL,EU27_2020,1991-07,-5.4,
ei_bsin_m_r2,M,BS-IPT,NSA,BAL,EU27_2020,1991-08,-11.9,
ei_bsin_m_r2,M,BS-IPT,NSA,BAL,EU27_2020,1991-09,-5.1,
ei_bsin_m_r2,M,BS-IPT,NSA,BAL,EU27_2020,1991-10,-3.6,
ei_bsin_m_r2,M,BS-IPT,NSA,BAL,EU27_2020,1991-11,-6.9,
ei_bsin_m_r2,M,BS-IPT,NSA,BAL,EU27_2020,1991-12,-12.8,
ei_bsin_m_r2,M,BS-IPT,NSA,BAL,EU27_2020,1992-01,-11.0,
ei_bsin_m_r2,M,BS-IPT,NSA,BAL,EU27_2020,1992-02,-7.4,
ei_bsin_m_r2,M,BS-IPT,NSA,BAL,EU27_2020,1992-03,-3.9,
ei_bsin_m_r2,M,BS-IPT,NSA,BAL,EU27_2020,1992-04,-3.6,
ei_bsin_m_r2,M,BS-IPT,NSA,BAL,EU27_2020,1992-05,-8.3,
ei_bsin_m_r2,M,BS-IPT,NSA,BAL,EU27_2020,1992-06,-5.7,
ei_bsin_m_r2,M,BS-IPT,NSA,BAL,EU27_2020,1992-07,-8.7,
ei_bsin_m_r2,M,BS-IPT,NSA,BAL,EU27_2020,1992-08,-16.2,
ei_bsin_m_r2,M,BS-IPT,NSA,BAL,EU27_2020,1992-09,-12.1,
ei_bsin_m_r2,M,BS-IPT,NSA,BAL,EU27_2020,1992-10,-16.4,
ei_bsin_m_r2,M,BS-IPT,NSA,BAL,EU27_2020,1992-11,-21.3,
ei_bsin_m_r2,M,BS-IPT,NSA,BAL,EU27_2020,1992-12,-26.8,
ei_bsin_m_r2,M,BS-IPT,NSA,BAL,EU27_2020,1993-01,-26.8,
ei_bsin_m_r2,M,BS-IPT,NSA,BAL,EU27_2020,1993-02,-23.1,
ei_bsin_m_r2,M,BS-IPT,NSA,BAL,EU27_2020,1993-03,-17.6,
ei_bsin_m_r2,M,BS-IPT,NSA,BAL,EU27_2020,1993-04,-21.2,
ei_bsin_m_r2,M,BS-IPT,NSA,BAL,EU27_2020,1993-05,-21.7,
ei_bsin_m_r2,M,BS-IPT,NSA,BAL,EU27_2020,1993-06,-16.6,
ei_bsin_m_r2,M,BS-IPT,NSA,BAL,EU27_2020,1993-07,-19.1,
ei_bsin_m_r2,M,BS-IPT,NSA,BAL,EU27_2020,1993-08,-19.7,
ei_bsin_m_r2,M,BS-IPT,NSA,BAL,EU27_2020,1993-09,-10.6,
ei_bsin_m_r2,M,BS-IPT,NSA,BAL,EU27_2020,1993-10,-12.2,
ei_bsin_m_r2,M,BS-IPT,NSA,BAL,EU27_2020,1993-11,-10.4,
ei_bsin_m_r2,M,BS-IPT,NSA,BAL,EU27_2020,1993-12,-13.0,
ei_bsin_m_r2,M,BS-IPT,NSA,BAL,EU27_2020,1994-01,-8.6,
ei_bsin_m_r2,M,BS-IPT,NSA,BAL,EU27_2020,1994-02,-3.5,
ei_bsin_m_r2,M,BS-IPT,NSA,BAL,EU27_2020,1994-03,4.6,
ei_bsin_m_r2,M,BS-IPT,NSA,BAL,EU27_2020,1994-04,4.1,
ei_bsin_m_r2,M,BS-IPT,NSA,BAL,EU27_2020,1994-05,8.3,
ei_bsin_m_r2,M,BS-IPT,NSA,BAL,EU27_2020,1994-06,10.2,
ei_bsin_m_r2,M,BS-IPT,NSA,BAL,EU27_2020,1994-07,7.3,
ei_bsin_m_r2,M,BS-IPT,NSA,BAL,EU27_2020,1994-08,4.4,
ei_bsin_m_r2,M,BS-IPT,NSA,BAL,EU27_2020,1994-09,13.2,
ei_bsin_m_r2,M,BS-IPT,NSA,BAL,EU27_2020,1994-10,11.7,
ei_bsin_m_r2,M,BS-IPT,NSA,BAL,EU27_2020,1994-11,13.4,
ei_bsin_m_r2,M,BS-IPT,NSA,BAL,EU27_2020,1994-12,8.2,
ei_bsin_m_r2,M,BS-IPT,NSA,BAL,EU27_2020,1995-01,10.9,
ei_bsin_m_r2,M,BS-IPT,NSA,BAL,EU27_2020,1995-02,12.7,
ei_bsin_m_r2,M,BS-IPT,NSA,BAL,EU27_2020,1995-03,16.9,
ei_bsin_m_r2,M,BS-IPT,NSA,BAL,EU27_2020,1995-04,11.3,
ei_bsin_m_r2,M,BS-IPT,NSA,BAL,EU27_2020,1995-05,12.5,
ei_bsin_m_r2,M,BS-IPT,NSA,BAL,EU27_2020,1995-06,9.7,
ei_bsin_m_r2,M,BS-IPT,NSA,BAL,EU27_2020,1995-07,7.0,
ei_bsin_m_r2,M,BS-IPT,NSA,BAL,EU27_2020,1995-08,2.4,
ei_bsin_m_r2,M,BS-IPT,NSA,BAL,EU27_2020,1995-09,6.6,
ei_bsin_m_r2,M,BS-IPT,NSA,BAL,EU27_2020,1995-10,3.7,
ei_bsin_m_r2,M,BS-IPT,NSA,BAL,EU27_2020,1995-11,1.1,
ei_bsin_m_r2,M,BS-IPT,NSA,BAL,EU27_2020,1995-12,-7.5,
ei_bsin_m_r2,M,BS-IPT,NSA,BAL,EU27_2020,1996-01,-5.3,
ei_bsin_m_r2,M,BS-IPT,NSA,BAL,EU27_2020,1996-02,-4.7,
ei_bsin_m_r2,M,BS-IPT,NSA,BAL,EU27_2020,1996-03,-4.4,
ei_bsin_m_r2,M,BS-IPT,NSA,BAL,EU27_2020,1996-04,-6.6,
ei_bsin_m_r2,M,BS-IPT,NSA,BAL,EU27_2020,1996-05,-5.7,
ei_bsin_m_r2,M,BS-IPT,NSA,BAL,EU27_2020,1996-06,-5.6,
ei_bsin_m_r2,M,BS-IPT,NSA,BAL,EU27_2020,1996-07,-3.7,
ei_bsin_m_r2,M,BS-IPT,NSA,BAL,EU27_2020,1996-08,-7.2,
ei_bsin_m_r2,M,BS-IPT,NSA,BAL,EU27_2020,1996-09,1.4,
ei_bsin_m_r2,M,BS-IPT,NSA,BAL,EU27_2020,1996-10,0.5,
ei_bsin_m_r2,M,BS-IPT,NSA,BAL,EU27_2020,1996-11,-3.2,
ei_bsin_m_r2,M,BS-IPT,NSA,BAL,EU27_2020,1996-12,-7.6,
ei_bsin_m_r2,M,BS-IPT,NSA,BAL,EU27_2020,1997-01,-2.4,
ei_bsin_m_r2,M,BS-IPT,NSA,BAL,EU27_2020,1997-02,-1.5,
ei_bsin_m_r2,M,BS-IPT,NSA,BAL,EU27_2020,1997-03,0.6,
ei_bsin_m_r2,M,BS-IPT,NSA,BAL,EU27_2020,1997-04,8.5,
ei_bsin_m_r2,M,BS-IPT,NSA,BAL,EU27_2020,1997-05,4.3,
ei_bsin_m_r2,M,BS-IPT,NSA,BAL,EU27_2020,1997-06,11.8,
ei_bsin_m_r2,M,BS-IPT,NSA,BAL,EU27_2020,1997-07,11.2,
ei_bsin_m_r2,M,BS-IPT,NSA,BAL,EU27_2020,1997-08,3.6,
