dataset,freq,indic,s_adj,unit,geo,time,value,status
ei_bsrt_m_r2,M,BS-RPBS,NSA,BAL,EU27_2020,1985-10,-23.4,
ei_bsrt_m_r2,M,BS-RPBS,NSA,BAL,EU27_2020,1985-11,-19.7,
ei_bsrt_m_r2,M,BS-RPBS,NSA,BAL,EU27_2020,1985-12,-9.8,
ei_bsrt_m_r2,M,BS-RPBS,NSA,BAL,EU27_2020,1986-01,-0.9,
ei_bsrt_m_r2,M,BS-RPBS,NSA,BAL,EU27_2020,1986-02,-2.3,
ei_bsrt_m_r2,M,BS-RPBS,NSA,BAL,EU27_2020,1986-03,-8.4,
ei_bsrt_m_r2,M,BS-RPBS,NSA,BAL,EU27_2020,1986-04,-8.1,
ei_bsrt_m_r2,M,BS-RPBS,NSA,BAL,EU27_2020,1986-05,-0.1,
ei_bsrt_m_r2,M,BS-RPBS,NSA,BAL,EU27_2020,1986-06,1.2,
ei_bsrt_m_r2,M,BS-RPBS,NSA,BAL,EU27_2020,1986-07,-1.7,
ei_bsrt_m_r2,M,BS-RPBS,NSA,BAL,EU27_2020,1986-08,-4.0,
ei_bsrt_m_r2,M,BS-RPBS,NSA,BAL,EU27_2020,1986-09,8.1,
ei_bsrt_m_r2,M,BS-RPBS,NSA,BAL,EU27_2020,1986-10,10.2,
ei_bsrt_m_r2,M,BS-RPBS,NSA,BAL,EU27_2020,1986-11,-2.6,
ei_bsrt_m_r2,M,BS-RPBS,NSA,BAL,EU27_2020,1986-12,-1.1,
ei_bsrt_m_r2,M,BS-RPBS,NSA,BAL,EU27_2020,1987-01,14.2,
ei_bsrt_m_r2,M,BS-RPBS,NSA,BAL,EU27_2020,1987-02,6.2,
ei_bsrt_m_r2,M,BS-RPBS,NSA,BAL,EU27_2020,1987-03,1.8,
ei_bsrt_m_r2,M,BS-RPBS,NSA,BAL,EU27_2020,1987-04,0.3,
ei_bsrt_m_r2,M,BS-RPBS,NSA,BAL,EU27_2020,1987-05,-2.7,
ei_bsrt_m_r2,M,BS-RPBS,NSA,BAL,EU27_2020,1987-06,-15.0,
ei_bsrt_m_r2,M,BS-RPBS,NSA,BAL,EU27_2020,1987-07,0.1,
ei_bsrt_m_r2,M,BS-RPBS,NSA,BAL,EU27_2020,1987-08,9.8,
ei_bsrt_m_r2,M,BS-RPBS,NSA,BAL,EU27_2020,1987-09,-12.5,
ei_bsrt_m_r2,M,BS-RPBS,NSA,BAL,EU27_2020,1987-10,-13.6,
ei_bsrt_m_r2,M,BS-RPBS,NSA,BAL,EU27_2020,1987-11,-2.7,
ei_bsrt_m_r2,M,BS-RPBS,NSA,BAL,EU27_2020,1987-12,2.1,
ei_bsrt_m_r2,M,BS-RPBS,NSA,BAL,EU27_2020,1988-01,4.8,
ei_bsrt_m_r2,M,BS-RPBS,NSA,BAL,EU27_2020,1988-02,-3.5,
ei_bsrt_m_r2,M,BS-RPBS,NSA,BAL,EU27_2020,1988-03,-2.2,
ei_bsrt_m_r2,M,BS-RPBS,NSA,BAL,EU27_2020,1988-04,2.5,
ei_bsrt_m_r2,M,BS-RPBS,NSA,BAL,EU27_2020,1988-05,-2.4,
ei_bsrt_m_r2,M,BS-RPBS,NSA,BAL,EU27_2020,1988-06,-0.8,
ei_bsrt_m_r2,M,BS-RPBS,NSA,BAL,EU27_2020,1988-07,-6.6,
ei_bsrt_m_r2,M,BS-RPBS,NSA,BAL,EU27_2020,1988-08,-4.9,
ei_bsrt_m_r2,M,BS-RPBS,NSA,BAL,EU27_2020,1988-09,7.3,
ei_bsrt_m_r2,M,BS-RPBS,NSA,BAL,EU27_2020,1988-10,9.7,
ei_bsrt_m_r2,M,BS-RPBS,NSA,BAL,EU27_2020,1988-11,-3.7,
ei_bsrt_m_r2,M,BS-RPBS,NSA,BAL,EU27_2020,1988-12,1.2,
ei_bsrt_m_r2,M,BS-RPBS,NSA,BAL,EU27_2020,1989-01,4.2,
ei_bsrt_m_r2,M,BS-RPBS,NSA,BAL,EU27_2020,1989-02,0.7,
ei_bsrt_m_r2,M,BS-RPBS,NSA,BAL,EU27_2020,1989-03,4.5,
ei_bsrt_m_r2,M,BS-RPBS,NSA,BAL,EU27_2020,1989-04,6.0,
ei_bsrt_m_r2,M,BS-RPBS,NSA,BAL,EU27_2020,1989-05,4.8,
ei_bsrt_m_r2,M,BS-RPBS,NSA,BAL,EU27_2020,1989-06,6.6,
ei_bsrt_m_r2,M,BS-RPBS,NSA,BAL,EU27_2020,1989-07,7.8,
ei_bsrt_m_r2,M,BS-RPBS,NSA,BAL,EU27_2020,1989-08,7.0,
ei_bsrt_m_r2,M,BS-RPBS,NSA,BAL,EU27_2020,1989-09,7.1,
ei_bsrt_m_r2,M,BS-RPBS,NSA,BAL,EU27_2020,1989-10,7.4,
ei_bsrt_m_r2,M,BS-RPBS,NSA,BAL,EU27_2020,1989-11,3.7,
ei_bsrt_m_r2,M,BS-RPBS,NSA,BAL,EU27_2020,1989-12,8.3,
ei_bsrt_m_r2,M,BS-RPBS,NSA,BAL,EU27_2020,1990-01,14.0,
ei_bsrt_m_r2,M,BS-RPBS,NSA,BAL,EU27_2020,1990-02,9.2,
ei_bsrt_m_r2,M,BS-RPBS,NSA,BAL,EU27_2020,1990-03,14.4,
ei_bsrt_m_r2,M,BS-RPBS,NSA,BAL,EU27_2020,1990-04,16.7,
ei_bsrt_m_r2,M,BS-RPBS,NSA,BAL,EU27_2020,1990-05,16.7,
ei_bsrt_m_r2,M,BS-RPBS,NSA,BAL,EU27_2020,1990-06,19.9,
ei_bsrt_m_r2,M,BS-RPBS,NSA,BAL,EU27_2020,1990-07,10.1,
ei_bsrt_m_r2,M,BS-RPBS,NSA,BAL,EU27_2020,1990-08,15.1,
ei_bsrt_m_r2,M,BS-RPBS,NSA,BAL,EU27_2020,1990-09,9.9,
ei_bsrt_m_r2,M,BS-RPBS,NSA,BAL,EU27_2020,1990-10,12.8,
ei_bsrt_m_r2,M,BS-RPBS,NSA,BAL,EU27_2020,1990-11,10.8,
ei_bsrt_m_r2,M,BS-RPBS,NSA,BAL,EU27_2020,1990-12,11.0,
ei_bsrt_m_r2,M,BS-RPBS,NSA,BAL,EU27_2020,1991-01,1.5,
ei_bsrt_m_r2,M,BS-RPBS,NSA,BAL,EU27_2020,1991-02,-2.3,
ei_bsrt_m_r2,M,BS-RPBS,NSA,BAL,EU27_2020,1991-03,-5.5,
ei_bsrt_m_r2,M,BS-RPBS,NSA,BAL,EU27_2020,1991-04,-3.4,
