dataset,freq,s_adj,age,unit,sex,geo,time,value,status
une_rt_m,M,NSA,TOTAL,PC_ACT,T,CZ,1993-01,4.7,
une_rt_m,M,NSA,TOTAL,PC_ACT,T,CZ,1993-02,4.5,
une_rt_m,M,NSA,TOTAL,PC_ACT,T,CZ,1993-03,4.3,
une_rt_m,M,NSA,TOTAL,PC_ACT,T,CZ,1993-04,4.3,
une_rt_m,M,NSA,TOTAL,PC_ACT,T,CZ,1993-05,4.3,
une_rt_m,M,NSA,TOTAL,PC_ACT,T,CZ,1993-06,4.2,
une_rt_m,M,NSA,TOTAL,PC_ACT,T,CZ,1993-07,4.6,
une_rt_m,M,NSA,TOTAL,PC_ACT,T,CZ,1993-08,4.4,
une_rt_m,M,NSA,TOTAL,PC_ACT,T,CZ,1993-09,3.9,
une_rt_m,M,NSA,TOTAL,PC_ACT,T,CZ,1993-10,4.3,
une_rt_m,M,NSA,TOTAL,PC_ACT,T,CZ,1993-11,3.9,
une_rt_m,M,NSA,TOTAL,PC_ACT,T,CZ,1993-12,4.3,
une_rt_m,M,NSA,TOTAL,PC_ACT,T,CZ,1994-01,4.3,
une_rt_m,M,NSA,TOTAL,PC_ACT,T,CZ,1994-02,4.3,
une_rt_m,M,NSA,TOTAL,PC_ACT,T,CZ,1994-03,4.1,
une_rt_m,M,NSA,TOTAL,PC_ACT,T,CZ,1994-04,4.3,
une_rt_m,M,NSA,TOTAL,PC_ACT,T,CZ,1994-05,3.9,
une_rt_m,M,NSA,TOTAL,PC_ACT,T,CZ,1994-06,4.3,
une_rt_m,M,NSA,TOTAL,PC_ACT,T,CZ,1994-07,4.3,
une_rt_m,M,NSA,TOTAL,PC_ACT,T,CZ,1994-08,4.5,
une_rt_m,M,NSA,TOTAL,PC_ACT,T,CZ,1994-09,4.6,
une_rt_m,M,NSA,TOTAL,PC_ACT,T,CZ,1994-10,4.4,
une_rt_m,M,NSA,TOTAL,PC_ACT,T,CZ,1994-11,4.1,
une_rt_m,M,NSA,TOTAL,PC_ACT,T,CZ,1994-12,4.4,
une_rt_m,M,NSA,TOTAL,PC_ACT,T,CZ,1995-01,4.3,
une_rt_m,M,NSA,TOTAL,PC_ACT,T,CZ,1995-02,4.3,
une_rt_m,M,NSA,TOTAL,PC_ACT,T,CZ,1995-03,4.3,
une_rt_m,M,NSA,TOTAL,PC_ACT,T,CZ,1995-04,4.0,
une_rt_m,M,NSA,TOTAL,PC_ACT,T,CZ,1995-05,3.8,
une_rt_m,M,NSA,TOTAL,PC_ACT,T,CZ,1995-06,4.2,
une_rt_m,M,NSA,TOTAL,PC_ACT,T,CZ,1995-07,4.2,
une_rt_m,M,NSA,TOTAL,PC_ACT,T,CZ,1995-08,4.1,
une_rt_m,M,NSA,TOTAL,PC_ACT,T,CZ,1995-09,3.8,
une_rt_m,M,NSA,TOTAL,PC_ACT,T,CZ,1995-10,3.9,
une_rt_m,M,NSA,TOTAL,PC_ACT,T,CZ,1995-11,3.6,
une_rt_m,M,NSA,TOTAL,PC_ACT,T,CZ,1995-12,3.6,
une_rt_m,M,NSA,TOTAL,PC_ACT,T,CZ,1996-01,4.0,
une_rt_m,M,NSA,TOTAL,PC_ACT,T,CZ,1996-02,3.6,
une_rt_m,M,NSA,TOTAL,PC_ACT,T,CZ,1996-03,3.6,
une_rt_m,M,NSA,TOTAL,PC_ACT,T,CZ,1996-04,3.9,
une_rt_m,M,NSA,TOTAL,PC_ACT,T,CZ,1996-05,3.7,
une_rt_m,M,NSA,TOTAL,PC_ACT,T,CZ,1996-06,3.8,
une_rt_m,M,NSA,TOTAL,PC_ACT,T,CZ,1996-07,3.9,
une_rt_m,M,NSA,TOTAL,PC_ACT,T,CZ,1996-08,4.1,
une_rt_m,M,NSA,TOTAL,PC_ACT,T,CZ,1996-09,4.0,
une_rt_m,M,NSA,TOTAL,PC_ACT,T,CZ,1996-10,3.8,
une_rt_m,M,NSA,TOTAL,PC_ACT,T,CZ,1996-11,4.0,
une_rt_m,M,NSA,TOTAL,PC_ACT,T,CZ,1996-12,4.3,
une_rt_m,M,NSA,TOTAL,PC_ACT,T,CZ,1997-01,4.4,
une_rt_m,M,NSA,TOTAL,PC_ACT,T,CZ,1997-02,4.3,
une_rt_m,M,NSA,TOTAL,PC_ACT,T,CZ,1997-03,4.2,
une_rt_m,M,NSA,TOTAL,PC_ACT,T,CZ,1997-04,4.4,
une_rt_m,M,NSA,TOTAL,PC_ACT,T,CZ,1997-05,4.3,
une_rt_m,M,NSA,TOTAL,PC_ACT,T,CZ,1997-06,4.7,
une_rt_m,M,NSA,TOTAL,PC_ACT,T,CZ,1997-07,4.9,
une_rt_m,M,NSA,TOTAL,PC_ACT,T,CZ,1997-08,5.0,
une_rt_m,M,NSA,TOTAL,PC_ACT,T,CZ,1997-09,5.0,
une_rt_m,M,NSA,TOTAL,PC_ACT,T,CZ,1997-10,5.1,
une_rt_m,M,NSA,TOTAL,PC_ACT,T,CZ,1997-11,5.3,
une_rt_m,M,NSA,TOTAL,PC_ACT,T,CZ,1997-12,5.7,
une_rt_m,M,NSA,TOTAL,PC_ACT,T,CZ,1998-01,5.9,
une_rt_m,M,NSA,TOTAL,PC_ACT,T,CZ,1998-02,5.8,
une_rt_m,M,NSA,TOTAL,PC_ACT,T,CZ,1998-03,6.1,
une_rt_m,M,NSA,TOTAL,PC_ACT,T,CZ,1998-04,5.8,
une_rt_m,M,NSA,TOTAL,PC_ACT,T,CZ,1998-05,5.7,
une_rt_m,M,NSA,TOTAL,PC_ACT,T,CZ,1998-06,6.2,
une_rt_m,M,NSA,TOTAL,PC_ACT,T,CZ,1998-07,6.7,
une_rt_m,M,NSA,TOTAL,PC_ACT,T,CZ,1998-08,6.7,
une_rt_m,M,NSA,TOTAL,PC_ACT,T,CZ,1998-09,6.9,
une_rt_m,M,NSA,TOTAL,PC_ACT,T,CZ,1998-10,7.4,
une_rt_m,M,NSA,TOTAL,PC_ACT,T,CZ,1998-11,7.2,
une_rt_m,M,NSA,TOTAL,PC_ACT,T,CZ,1998-12,7.2,
une_rt_m,M,NSA,TOTAL,PC_ACT,T,CZ,1999-01,8.3,
une_rt_m,M,NSA,TOTAL,PC_ACT,T,CZ,1999-02,8.4,
une_rt_m,M,NSA,TOTAL,PC_ACT,T,CZ,1999-03,8.5,
une_rt_m,M,NSA,TOTAL,PC_ACT,T,CZ,1999-04,8.5,
une_rt_m,M,NSA,TOTAL,PC_ACT,T,CZ,1999-05,8.6,
une_rt_m,M,NSA,TOTAL,PC_ACT,T,CZ,1999-06,8.2,
une_rt_m,M,NSA,TOTAL,PC_ACT,T,CZ,1999-07,8.7,
une_rt_m,M,NSA,TOTAL,PC_ACT,T,CZ,1999-08,9.1,
une_rt_m,M,NSA,TOTAL,PC_ACT,T,CZ,1999-09,9.1,
une_rt_m,M,NSA,TOTAL,PC_ACT,T,CZ,1999-10,9.0,
une_rt_m,M,NSA,TOTAL,PC_ACT,T,CZ,1999-11,8.9,
une_rt_m,M,NSA,TOTAL,PC_ACT,T,CZ,1999-12,9.1,
une_rt_m,M,NSA,TOTAL,PC_ACT,T,CZ,2000-01,9.6,
une_rt_m,M,NSA,TOTAL,PC_ACT,T,CZ,2000-02,9.6,
une_rt_m,M,NSA,TOTAL,PC_ACT,T,CZ,2000-03,9.4,
une_rt_m,M,NSA,TOTAL,PC_ACT,T,CZ,2000-04,9.0,
une_rt_m,M,NSA,TOTAL,PC_ACT,T,CZ,2000-05,8.8,
une_rt_m,M,NSA,TOTAL,PC_ACT,T,CZ,2000-06,8.3,
une_rt_m,M,NSA,TOTAL,PC_ACT,T,CZ,2000-07,8.7,
une_rt_m,M,NSA,TOTAL,PC_ACT,T,CZ,2000-08,8.7,
une_rt_m,M,NSA,TOTAL,PC_ACT,T,CZ,2000-09,8.3,
une_rt_m,M,NSA,TOTAL,PC_ACT,T,CZ,2000-10,8.3,
une_rt_m,M,NSA,TOTAL,PC_ACT,T,CZ,2000-11,8.4,
une_rt_m,M,NSA,TOTAL,PC_ACT,T,CZ,2000-12,8.2,
une_rt_m,M,NSA,TOTAL,PC_ACT,T,CZ,2001-01,8.6,
une_rt_m,M,NSA,TOTAL,PC_ACT,T,CZ,2001-02,8.6,
une_rt_m,M,NSA,TOTAL,PC_ACT,T,CZ,2001-03,8.1,
une_rt_m,M,NSA,TOTAL,PC_ACT,T,CZ,2001-04,8.2,
une_rt_m,M,NSA,TOTAL,PC_ACT,T,CZ,2001-05,7.9,
une_rt_m,M,NSA,TOTAL,PC_ACT,T,CZ,2001-06,7.8,
une_rt_m,M,NSA,TOTAL,PC_ACT,T,CZ,2001-07,8.0,
une_rt_m,M,NSA,TOTAL,PC_ACT,T,CZ,2001-08,8.5,
une_rt_m,M,NSA,TOTAL,PC_ACT,T,CZ,2001-09,8.2,
une_rt_m,M,NSA,TOTAL,PC_ACT,T,CZ,2001-10,7.6,
une_rt_m,M,NSA,TOTAL,PC_ACT,T,CZ,2001-11,7.9,
une_rt_m,M,NSA,TOTAL,PC_ACT,T,CZ,2001-12,8.1,
une_rt_m,M,NSA,TOTAL,PC_ACT,T,CZ,2002-01,7.6,
une_rt_m,M,NSA,TOTAL,PC_ACT,T,CZ,2002-02,7.8,
une_rt_m,M,NSA,TOTAL,PC_ACT,T,CZ,2002-03,7.6,
une_rt_m,M,NSA,TOTAL,PC_ACT,T,CZ,2002-04,6.8,
