dataset,freq,indic,s_adj,unit,geo,time,value,status
ei_bsse_m_r2,M,BS-SABC,NSA,BAL,EU27_2020,1995-04,11.1,
ei_bsse_m_r2,M,BS-SABC,NSA,BAL,EU27_2020,1995-07,13.7,
ei_bsse_m_r2,M,BS-SABC,NSA,BAL,EU27_2020,1995-10,4.6,
ei_bsse_m_r2,M,BS-SABC,NSA,BAL,EU27_2020,1996-01,7.8,
ei_bsse_m_r2,M,BS-SABC,NSA,BAL,EU27_2020,1996-04,4.7,
ei_bsse_m_r2,M,BS-SABC,NSA,BAL,EU27_2020,1996-07,1.5,
ei_bsse_m_r2,M,BS-SABC,NSA,BAL,EU27_2020,1996-10,7.9,
ei_bsse_m_r2,M,BS-SABC,NSA,BAL,EU27_2020,1996-11,15.4,
ei_bsse_m_r2,M,BS-SABC,NSA,BAL,EU27_2020,1996-12,17.2,
ei_bsse_m_r2,M,BS-SABC,NSA,BAL,EU27_2020,1997-01,13.3,
ei_bsse_m_r2,M,BS-SABC,NSA,BAL,EU27_2020,1997-02,18.8,
ei_bsse_m_r2,M,BS-SABC,NSA,BAL,EU27_2020,1997-03,22.9,
ei_bsse_m_r2,M,BS-SABC,NSA,BAL,EU27_2020,1997-04,16.5,
ei_bsse_m_r2,M,BS-SABC,NSA,BAL,EU27_2020,1997-05,25.8,
ei_bsse_m_r2,M,BS-SABC,NSA,BAL,EU27_2020,1997-06,20.9,
ei_bsse_m_r2,M,BS-SABC,NSA,BAL,EU27_2020,1997-07,17.3,
ei_bsse_m_r2,M,BS-SABC,NSA,BAL,EU27_2020,1997-08,23.3,
ei_bsse_m_r2,M,BS-SABC,NSA,BAL,EU27_2020,1997-09,21.9,
ei_bsse_m_r2,M,BS-SABC,NSA,BAL,EU27_2020,1997-10,17.1,
ei_bsse_m_r2,M,BS-SABC,NSA,BAL,EU27_2020,1997-11,24.9,
ei_bsse_m_r2,M,BS-SABC,NSA,BAL,EU27_2020,1997-12,24.4,
ei_bsse_m_r2,M,BS-SABC,NSA,BAL,EU27_2020,1998-01,26.5,
ei_bsse_m_r2,M,BS-SABC,NSA,BAL,EU27_2020,1998-02,30.6,
ei_bsse_m_r2,M,BS-SABC,NSA,BAL,EU27_2020,1998-03,33.0,
ei_bsse_m_r2,M,BS-SABC,NSA,BAL,EU27_2020,1998-04,29.0,
ei_bsse_m_r2,M,BS-SABC,NSA,BAL,EU27_2020,1998-05,34.1,
ei_bsse_m_r2,M,BS-SABC,NSA,BAL,EU27_2020,1998-06,37.2,
ei_bsse_m_r2,M,BS-SABC,NSA,BAL,EU27_2020,1998-07,29.9,
ei_bsse_m_r2,M,BS-SABC,NSA,BAL,EU27_2020,1998-08,35.8,
ei_bsse_m_r2,M,BS-SABC,NSA,BAL,EU27_2020,1998-09,34.6,
ei_bsse_m_r2,M,BS-SABC,NSA,BAL,EU27_2020,1998-10,28.9,
ei_bsse_m_r2,M,BS-SABC,NSA,BAL,EU27_2020,1998-11,36.3,
ei_bsse_m_r2,M,BS-SABC,NSA,BAL,EU27_2020,1998-12,36.0,
ei_bsse_m_r2,M,BS-SABC,NSA,BAL,EU27_2020,1999-01,23.2,
ei_bsse_m_r2,M,BS-SABC,NSA,BAL,EU27_2020,1999-02,27.3,
ei_bsse_m_r2,M,BS-SABC,NSA,BAL,EU27_2020,1999-03,25.9,
ei_bsse_m_r2,M,BS-SABC,NSA,BAL,EU27_2020,1999-04,15.9,
